word,meanings,score
a,"〔同種類のものの〕一つの,〔どうしゅるいのものの〕ひとつの_1個の,いっこの_1台の,いちだいの_一人の,ひとりの_ある～,ある～_1回分,いっかいぶん_一種,いっしゅ_一人前,いちにんまえ_一例,いちれい_毎～,まい～_同じ,おなじ",1
A,"アルファベットのA〔大文字〕,あるふぁべっとのえー〔おおもじ〕_Aサイズ,えーさいず_《音楽》イ調,《おんがく》いちょう_イ音,いおと_〔成績の〕A,〔せいせきの〕えー_優,ゆう_甲,かぶと_《the ～》アトランタ,《the ～》あとらんた_〔ウルマー・スケールの〕A,〔うるまー・すけーるの〕えー",0
A Christmas Carol,"クリスマス・キャロル,くりすます・きゃろる",0
A de Luze et Fils,"アー・ド・リューズ・エ・フィユ,あー・ど・りゅーず・え・ふぃゆ",0
a deux,"〈フランス語〉二人(だけ)の,〈ふらんすご〉ふたり(だけ)の_〈フランス語〉二人(だけ)で,〈ふらんすご〉ふたり(だけ)で",0
A Distant Mirror,"ア・ディスタント・ミラー,あ・でぃすたんと・みらー",0
a fair few,"かなりの数,かなりのかず_相当数,そうとうすう_かなりの数の,かなりのかずの_相当数の,そうとうすうの",0
A Farewell to Arms,"武器よさらば,ぶきよさらば",0
A Is for Alibi,"アリバイのA,ありばいのえー",0
A Japanese Miscellany,"日本雑記,にっぽんざっき",0
a la mode,"〈フランス語〉流行の,〈ふらんすご〉りゅうこうの_アイスクリームを乗せた,あいすくりーむをのせた_〈フランス語〉流行に従って,〈ふらんすご〉りゅうこうにしたがって_アイスクリームを乗せて,あいすくりーむをのせて",0
a la Newburg,"《料理》ニューバーグ風の,《りょうり》にゅーばーぐかぜの_《料理》ニューバーグ風に,《りょうり》にゅーばーぐかぜに",0
A la recherche du temps perdu,"失われた時を求めて,うしなわれたときをもとめて",0
A Policy on Geometric Design of Highways and Streets,"幹線道路および街路の幾何構造設計指針,かんせんどうろおよびがいろのきかこうぞうせっけいししん",0
a posteriori,"〈ラテン語〉帰納的な,〈らてんご〉きのうてきな_〈ラテン語〉帰納的に,〈らてんご〉きのうてきに",0
a priori,"〈ラテン語〉原因から結果へ,〈らてんご〉げんいんからけっかへ_先験的に,せんけんてきに_推測的に,すいそくてきに_〈ラテン語〉原因から結果の,〈らてんご〉げんいんからけっかの_先験的な,せんけんてきな_推測的な,すいそくてきな",0
A Royals Tribute,"ア・ロイヤル・トリビュート,あ・ろいやる・とりびゅーと",0
A to Z,"英国の地図,えいこくのちず",0
A&A Material Corporation,"株式会社エーアンドエーマテリアル,かぶしきがいしゃえーあんどえーまてりある",0
"A&W Restaurants, Inc.","エー・アンド・ダブリュー社,えー・あんど・だぶりゅーしゃ",0
A'ali,"アーリー,あーりー",0
A'nyemaqen Shan,"アニマチェン山,あにまちぇんやま",0
A+,"〔成績の〕A+,〔せいせきの〕えーぷらす_《コ》〔プログラミング言語の〕A+,《こ》〔ぷろぐらみんぐげんごの〕えーぷらす_〔ウルマー・スケールの〕A+,〔うるまー・すけーるの〕えーぷらす",0
A-,"〔成績の〕A-,〔せいせきの〕えーまいなす",0
A-1,"エイワン(の),えいわん(の)_最高(の),さいこう(の)_一級(の),いっきゅう(の)_一流(の),いちりゅう(の)",0
A-axis,"A軸,えーじく",0
A-battery,"《電気》A電池,《でんき》えーでんち_真空管陰極加熱用電池,しんくうかんいんきょくかねつようでんち_陰極加熱用電池,いんきょくかねつようでんち_カソード加熱用電池,かそーどかねつようでんち_フィラメント加熱用電池,ふぃらめんとかねつようでんち",0
A-bomb,"原子爆弾,げんしばくだん_原爆で攻撃する,げんばくでこうげきする",0
A-Day,"空軍の導入日,くうぐんのどうにゅうにち",0
A-DNA,"《生化学》A型DNA,《せいかがく》えーかたでぃえぬえー",0
A-double-S,"〈俗〉assの婉曲的表現,〈ぞく〉assのえんきょくてきひょうげん",0
A-frame,"《建築》Aフレーム,《けんちく》えーふれーむ_合掌造り,がっしょうづくり",0
