word,meanings,score
B,"アルファベットのB,あるふぁべっとのびー_B字形(のもの),びーじけい(のもの)_《数学》第二の既知数,《すうがく》だいにのきちかず_〔品質などの〕Bクラス,〔ひんしつなどの〕びーくらす_2級,にきゅう_2番目,にばんめ_《音楽》ロ音,《おんがく》ろおと_ロ調,ろちょう_鉛筆の軟度を示す記号,えんぴつのなんどをしめすきごう_《紙》Bサイズ,《かみ》びーさいず_〔甲乙丙の〕乙,〔こうおつひのえの〕おつ_〔優良可の〕良,〔ゆうりょうかの〕りょう_〈米黒人俗〉おまえ,〈こめこくじんぞく〉おまえ",0
B Is for Burglar,"泥棒のB,どろぼうのびー",0
B&W Nuclear Service Company,"B&W［バブコック・アンド・ウィルコックス］原子力サービス・カンパニー,びー&だぶる［ばぶこっく・あんど・うぃるこっくす］げんしりょくさーびす・かんぱにー",0
B'nai B'rith,"ユダヤ人文化教育促進協会,ゆだやじんぶんかきょういくそくしんきょうかい",0
b'y,"〈カナダ方〉,〈かなだほう〉",0
B-1,"〈米〉爆撃機,〈こめ〉ばくげきき",0
B-1 bomber,"〈米〉爆撃機,〈こめ〉ばくげきき",0
B-52,"〔戦略爆撃機の〕B-52,〔せんりゃくばくげききの〕びーまいなすごじゅうに_蜂の巣髪形,はちのすかみがた",0
B-axis,"《結晶》B軸,《けっしょう》びーじく",0
b-ball,"〈俗〉バスケットボール,〈ぞく〉ばすけっとぼーる",0
b-baller,"〈俗〉バスケットボール選手,〈ぞく〉ばすけっとぼーるせんしゅ_バスケットボールをする人,ばすけっとぼーるをするにん",0
B-battery,"B電池,びーでんち_真空管陽極バイアス用電池,しんくうかんようきょくばいあすようでんち_陽極バイアス用電池,ようきょくばいあすようでんち_プレートバイアス用電池,ぷれーとばいあすようでんち_アノードバイアス用電池,あのーどばいあすようでんち",0
b-boy,"ブレイクダンスをする,ぶれいくだんすをする_Bボーイ,びーぼーい",0
B-Boy,"ブレイクダンスをする,ぶれいくだんすをする",0
B-boy,"ブレイクダンスをする,ぶれいくだんすをする",0
B-Boy,"Bボーイ,びーぼーい",0
B-boy,"Bボーイ,びーぼーい",0
b-boy/b-girl,"ラップミュージックの熱烈少年少女ファン,らっぷみゅーじっくのねつれつしょうねんしょうじょふぁん",0
b-carboline,"《化学》ベータ・カルボリン,《かがく》べーた・かるぼりん",0
B-cell,"B細胞,びーさいぼう_Bリンパ球,びーりんぱたま",0
B-Day,"Bデイ,びーでい_トイレに大変な日,といれにたいへんなにち",0
B-DNA,"《生化学》B型DNA,《せいかがく》びーかたでぃえぬえー",0
B-Encephalitis,"《病理》日本脳炎,《びょうり》にっぽんのうえん",0
B-frame,"〔動画圧縮の〕Bフレーム,〔どうがあっしゅくの〕びーふれーむ",0
B-language,"第二言語,だいにげんご",0
B-lister,"準有名人,じゅんゆうめいじん_B級スター,びーきゅうすたー",0
B-More,"〈米俗〉米国メリーランド州ボルチモアのニックネーム,〈こめぞく〉べいこくめりーらんどしゅうぼるちもあのにっくねーむ",0
B-movie,"B級映画,びーきゅうえいが",0
B-school,"経営学大学院,けいえいがくだいがくいん",0
B-tree,"《コ》Bツリー,《こ》びーつりー",0
B.O.R.N. (Body Organ Replacement Network),"ターボ・クライシス,たーぼ・くらいしす",0
B.V.D.,"ビーブイディー,びーぶいでぃー",0
b0x,"〈俗〉コンピューター,〈ぞく〉こんぴゅーたー",0
b0x0r,"〈俗〉コンピューター,〈ぞく〉こんぴゅーたー",0
ba,"《古エジプト》バー,《こえじぷと》ばー_霊魂,れいこん",0
baa,"羊がメーと鳴くこと,ひつじがめーとなくこと_メー,めー",0
baa-aa,"メーメー,めーめー",0
baa-baa,"メーメー,めーめー",0
baa-lamb,"メーメー,めーめー",0
Baabda,"バアブダー,ばあぶだー",0
baal,"バアル,ばある_〈豪俗〉バル,〈ごうぞく〉ばる",0
Baal,"バール,ばーる",0
Baalbek,"バールベック,ばーるべっく",0
Baao,"バーオ,ばーお",0
baap,"〈インド〉父親,〈いんど〉ちちおや",0
Baar,"バール,ばーる",0
Baarle-Hertog,"バールレヘルトーホ,ばーるれへるとーほ",0
Baarn,"バールン,ばーるん",0
baas,"〈南アフリカ〉主人,〈みなみあふりか〉しゅじん",0
Baasskap,"〈南アフリカ〉バースカップ,〈みなみあふりか〉ばーすかっぷ_白人優越主義,はくじんゆうえつしゅぎ",0
Baathist,"バース党支持者,ばーすとうしじしゃ_バース党員,ばーすとういん_バース党支持の,ばーすとうしじの",0
bab,"排便する,はいべんする",0
Bab Anar,"バーブ・アナール,ばーぶ・あなーる",0
Bab el Mandeb,"バブ・エル・マンデブ海峡,ばぶ・える・まんでぶかいきょう",0
baba,"バーバ,ばーば_ラム酒入りケーキ,らむさけいりけーき_〈インド話〉ババ,〈いんどはなし〉ばば_〈インド〉ババ,〈いんど〉ばば_尊師,みことし_〈インド話〉男の子,〈いんどはなし〉おとこのこ",0
babaco,"《植物》ババコ,《しょくぶつ》ばばこ",0
Babaeski,"ババエスキ,ばばえすき",0
Babahoyo,"ババオヨ,ばばおよ",0
Babai Khola,"ババイコラ川,ばばいこらかわ",0
Babanango,"ババナンゴ,ばばなんご",0
Babar,"ババル諸島,ばばるしょしま",0
Babarashani,"バーバーラシャーニー,ばーばーらしゃーにー",0
Babarnama,"バーブル・ナーマ,ばーぶる・なーま",0
Babayevo,"ババエボ,ばばえぼ",0
Babbar,"バッバル,ばっばる",0
babbitt,"バビット合金,ばびっとごうきん_減摩合金,げんまごうきん_軸受合金,じくうけごうきん",0
Babbitt,"低俗な実業家,ていぞくなじつぎょうか_俗物,ぞくぶつ_名利［名誉と利得］にとらわれているつまらない人,みょうり［めいよとりとく］にとらわれているつまらないにん_バビット,ばびっと",0
babble,"〔興奮して〕わめく,〔こうふんして〕わめく_ガヤガヤと話す,がやがやとはなす_〔早口でまたは延々と〕無関係なことを話す,〔はやくちでまたはえんえんと〕むかんけいなことをはなす_ペチャクチャしゃべる,ぺちゃくちゃしゃべる_〔小川などが〕せせらぐ,〔おがわなどが〕せせらぐ_さらさらと音を立てる,さらさらとおとをたてる_〔うっかりと〕口を滑らす,〔うっかりと〕くちをすべらす_秘密を漏らす,ひみつをもらす_〔訳の分からないことを〕わめく,〔わけのわからないことを〕わめく_がなり立てる,がなりたてる_〔秘密にしておくべきことを〕口に出す,〔ひみつにしておくべきことを〕くちにだす_漏らす,もらす_〔聞き取れない〕ガヤガヤという［わめくような］話し声,〔ききとれない〕がやがやという［わめくような］はなしごえ_〔たわいない〕無駄話,〔たわいない〕むだばなし_〔子どもの〕片言話,〔こどもの〕かたことはなし_〔水の流れの〕せせらぎ,〔みずのながれの〕せせらぎ_泡立つ音,あわだつおと",0
babbler,"《鳥》チメドリ,《とり》ちめどり_おしゃべりな人,おしゃべりなにん_ぺちゃくちゃしゃべる人,ぺちゃくちゃしゃべるにん",0
