word,meanings,score
C,"単2,たんに_C言語,しーげんご_セ氏度,せしど_℃,ど_光速,こうそく_光の速さ,ひかりのはやさ_《ローマ数字》100,《ろーますうじ》ひゃく_百,ひゃく_《紙》Cサイズ,《かみ》しーさいず_甲乙丙の丙,こうおつひのえのひのえ_優良可の可,ゆうりょうかのか_〈米俗〉100ドル,〈こめぞく〉ひゃくどる",0
C Is for Corpse,"死体のC,したいのしー",0
c'arn,"〈豪〉,〈ごう〉",0
c'est-a-dire,"すなわち,すなわち",0
C++,"シー・プラス・プラス,しー・ぷらす・ぷらす_シー・プラ・プラ,しー・ぷら・ぷら",0
C-arms,"Cアーム,しーあーむ",0
C-axis,"〔結晶軸のうち〕C軸,〔けっしょうじくのうち〕しーじく_主軸,しゅじく",0
C-battery,"C電池,しーでんち_真空管グリッドバイアス用電池,しんくうかんぐりっどばいあすようでんち_グリッドバイアス用電池,ぐりっどばいあすようでんち_格子バイアス用電池,こうしばいあすようでんち",0
C-clamp,"《工具》しゃこ万力,《こうぐ》しゃこまんりき",0
C-Cube Corporation,"シーキューブ,しーきゅーぶ",0
C-day,"〈米俗〉〔特にCで始まる名前の人の〕誕生日,〈こめぞく〉〔とくにしーではじまるなまえのにんの〕たんじょうび",0
C-frame,"C形フレーム,しーかたちふれーむ",0
C-Heights,"Cハイツ,しーはいつ",0
C-level,"経営幹部レベルの,けいえいかんぶれべるの",0
c-lo,"〔さいころ賭博の〕チンチロリン,〔さいころとばくの〕ちんちろりん",0
c-mail,"《コ》商用メール,《こ》しょうようめーる",0
C-mode,"Cモード,しーもーど",0
C-note,"100ドル札,ひゃくどるさつ",0
C-section,"《医》帝王切開,《い》ていおうせっかい",0
C-suite,"経営幹部レベルの,けいえいかんぶれべるの",0
C-town,"〈米俗〉米国オハイオ州クリーブランドのニックネーム,〈こめぞく〉べいこくおはいおしゅうくりーぶらんどのにっくねーむ",0
C-word,"〈卑〉Cワード,〈ひ〉しーわーど_Cで始まる言葉,しーではじまることば",0
C.A.T. Squad,"C.A.T.スクワッド／対ゲリラ特別襲撃班,しー.えー.てぃー.すくわっど／ついげりらとくべつしゅうげきはん",0
C.C. And Company,"C.C.ライダー,しー.しー.らいだー",0
C.H.U.D,"チャド,ちゃど",0
"C.I. Kasei Co., Ltd.","シーアイ化成,しーあいかせい",0
C.I.A. Code name - Alexa,"地獄のアレクサ／殺人捜査網,じごくのあれくさ／さつじんそうさあみ",0
C/C+ User Journal,"C/C+ユーザー・ジャーナル,しー/しーぷらすゆーざー・じゃーなる",0
C4,"C4火薬,しーしかやく_プラスティック爆弾,ぷらすてぃっくばくだん",0
Ca,"カルシウム(Calcium)の元素記号,かるしうむ(Calcium)のげんそきごう",0
ca-ching,"カチャカチャ・チーン,かちゃかちゃ・ちーん",0
Caacupe,"カークペ,かーくぺ",0
Caaguazu,"カーグアス,かーぐあす",0
caatinga,"カーチンガ,かーちんが_カーティンガ,かーてぃんが",0
Caazapa,"カーサパ,かーさぱ",0
cab,"〈主に米〉タクシー,〈おもにこめ〉たくしー_馬車,ばしゃ_運転室,うんてんしつ_運転台,うんてんだい_《航空》管制塔,《こうくう》かんせいとう_タクシーの運転手をする,たくしーのうんてんしゅをする_タクシーに乗って行く,たくしーにのっていく",0
cab'over,"《車》キャブ・オーバー,《くるま》きゃぶ・おーばー_キャブオーバー,きゃぶおーばー",0
cab-forward,"《車》キャブ・フォワードの,《くるま》きゃぶ・ふぉわーどの",0
cab-getter,"タクシーを捕まえる人,たくしーをつかまえるにん",0
Cab-link,"キャブ・リンク,きゃぶ・りんく",0
cab-over,"《車》キャブ・オーバー,《くるま》きゃぶ・おーばー_キャブオーバー,きゃぶおーばー",0
Cabagan,"カバガン,かばがん",0
Cabaiguan,"カバイグアン,かばいぐあん",0
cabal,"〔政治的〕陰謀団,〔せいじてき〕いんぼうだん_〔政治的〕陰謀,〔せいじてき〕いんぼう_はかりごと,はかりごと_〔排他的な〕徒党,〔はいたてきな〕ととう_徒党を組む,ととうをくむ",0
cabala,"カバラ,かばら_秘教,ひきょう",0
Cabalete,"カバレテ島,かばれてしま",0
cabaletta,"《音楽》カバレッタ,《おんがく》かばれった",0
cabalism,"カバラ主義,かばらしゅぎ",0
cabalist,"カバラ信奉者,かばらしんぽうしゃ_カバラ研究者,かばらけんきゅうしゃ_密教［神秘主義］に詳しい人,みっきょう［しんぴしゅぎ］にくわしいにん",0
cabalistic,"カバラの,かばらの_密教の,みっきょうの_神秘主義の,しんぴしゅぎの",0
caballerial,"〔スケートボードの〕キャバレリアル,〔すけーとぼーどの〕きゃばれりある",0
caballero,"〈スペイン語〉騎士,〈すぺいんご〉きし_紳士,しんし_〈スペイン語〉〔米南部の〕馬の名手,〈すぺいんご〉〔こめなんぶの〕うまのめいしゅ",0
caballo,"〈スペイン語〉馬,〈すぺいんご〉うま_〈スペイン語俗〉麻薬,〈すぺいんごぞく〉まやく",0
cabana,"〈米〉〔海水浴場などの〕脱衣小屋,〈こめ〉〔かいすいよくじょうなどの〕だついこや",0
Cabanaquinta,"カバニャキンタ,かばにゃきんた",0
Cabanatuan,"カバナトゥアン,かばなとぅあん",0
cabaret,"キャバレー,きゃばれー_キャバレーで行われるエンターテインメント,きゃばれーでおこなわれるえんたーていんめんと",0
Cabaret,"キャバレー,きゃばれー",0
Cabarruyan,"カバルヤン島,かばるやんしま",0
cabas,"女性用小物入れ,じょせいようこものいれれ",0
Cabassous,"《動物》スベオアルマジロ属,《どうぶつ》すべおあるまじろぞく",0
cabbage,"キャベツ,きゃべつ_玉菜,たまな_〈俗〉無気力な人,〈ぞく〉むきりょくなにん_無関心な人,むかんしんなにん_植物状態の患者,しょくぶつじょうたいのかんじゃ",0
