word,meanings,score
D,"単1,たんいつ_《ローマ数字》500,《ろーますうじ》ごひゃく_五百,ごひゃく_《the ～》デトロイト,《the ～》でとろいと",0
D Is for Deadbeat,"欺しのD,ぎしのでぃ",0
D&M,"大事な話,だいじなはなし_重要な話,じゅうようなはなし",0
d'accord,"〈フランス語〉賛成,〈ふらんすご〉さんせい_了解,りょうかい_OK,おうけい",0
d'ailleurs,"その上,そのうえ",0
D'Entrecasteaux Islands,"ダントルカストー諸島,だんとるかすとーしょしま",0
d'huitre,"〈フランス語〉《料理》蛎油,〈ふらんすご〉《りょうり》かきあぶら_オイスターソース,おいすたーそーす",0
d'oh,"どっ！,どっ！",0
"D'urban, Inc.","ダーバン,だーばん",0
D-brane,"ディリクレ膜,でぃりくれまく",0
D-day,"《軍事》D-デイ,《ぐんじ》でぃまいなすでい_ディーデイ,でぃーでい_大規模作戦開始［決行］日,だいきぼさくせんかいし［けっこう］にち",0
d-dimensional,"d次元の,でぃじげんの",0
D-glucuronate,"D-グルクロン酸塩,でぃまいなすぐるくろんさんしお",0
D-layer,"《地学》D層,《ちがく》でぃそう_D領域,でぃりょういき",0
d-line,"〔IRCサーバーなどの設定で〕～からのアクセスを禁止する,〔あいあーるしーさーばーなどのせっていで〕～からのあくせすをきんしする",0
D-Pa,"ペンシルベニア選出民主党国会議員,ぺんしるべにあせんしゅつみんしゅとうこっかいぎいん",0
D-region,"《地学》D層,《ちがく》でぃそう_D領域,でぃりょういき",0
d-ring,"D字型のリング,でぃじけいのりんぐ_靴のひも通しのリング,くつのひもとうしのりんぐ",0
D-ring,"D字型のリング,でぃじけいのりんぐ_靴のひも通しのリング,くつのひもとうしのりんぐ",0
D-shaped,"D型の,でぃかたの",0
D-Town,"〈米俗〉Dタウン,〈こめぞく〉でぃたうん",0
D-up,"排便する,はいべんする",0
D-word,"Dで始まる言葉,でぃではじまることば",0
D.A.R.Y.L.,"ダリル,だりる",0
D.C. Cab,"D.C.キャブ,でぃ.しー.きゃぶ",0
D.I.,"D.I.,でぃ.あい.",0
D.K.,"〔その件については〕知らんぷりを決め込む,〔そのけんについては〕しらんぷりをきめこむ",0
D.O.A.,"D.O.A.,でぃ.おう.えー.",0
D.P.E.,"〈和製英語〉〔写真の〕現像・焼き付け・引き伸ばし,〈わせいえいご〉〔しゃしんの〕げんぞう・やきつけ・ひきのばし",0
D/deaf,"〈俗〉文化的にも物理的にも「ろう」の［で］,〈ぞく〉ぶんかてきにもぶつりてきにも「ろう」の［で］",0
Da Hinggan Ling,"大興安嶺,たいこうあんみね",0
Da Nang,"ダーナン,だーなん",0
Da Qaidam,"ターツァイダム,たーつぁいだむ",0
Da Vinci Code,"《The ～》ダ・ヴィンチ・コード,《The ～》だ・ゔぃんち・こーど",0
Da-lat,"ダラト,だらと",0
Da-nang,"ダナン,だなん",0
dab,"軽く塗る［たたく］,かるくぬる［たたく］_そっとたたく,そっとたたく_軽くたたくこと,かるくたたくこと_軽く塗ること,かるくぬること_一塗り,いちぬり_わずか,わずか_ほんの少し,ほんのすこし_達人,たつじん_名人,めいじん_《魚》小ガレイ,《さかな》しょうがれい",0
Dabakala,"ダバカラ,だばから",0
dabber,"軽くたたく人,かるくたたくにん_塗る人,ぬるにん",0
dabbing,"軽くたたく,かるくたたく",0
dabble,"〔戯れ程度に〕水を跳ねかける,〔たわむれていどに〕みずをはねかける_ちょっと手を出す,ちょっとてをだす",0
dabbler,"《鳥》カモ,《とり》かも_素人,しろうと",7
dabbling,"〔学問などの〕一部だけの習得,〔がくもんなどの〕いちぶだけのしゅうとく_生かじり,いかじり",0
dabchick,"《鳥》カイツブリ,《とり》かいつぶり",0
Dabeiba,"ダベイバ,だべいば",0
dabigatran,"《薬学》ダビガトラン,《やくがく》だびがとらん",0
Dabiran,"ダビーラーン,だびーらーん",0
Dabob,"デーボブ,でーぼぶ",0
Dabob Bay,"デーボブ湾,でーぼぶわん",0
Dabola,"ダボラ,だぼら",0
Dabrowa,"ドンブロバ,どんぶろば",0
Dabrowa Gornicza,"ドンブロワグルニチャ,どんぶろわぐるにちゃ",0
dabs,"〈俗〉称賛,〈ぞく〉しょうさん_〈俗〉指紋,〈ぞく〉しもん",0
dabster,"物好き,ものずき_下手の横好き,へたのよこすき",0
Dabud,"ダブード,だぶーど",0
Dabudasht,"ダーブーダシュト,だーぶーだしゅと",0
dacarbazine,"《化学》ダカルバジン,《かがく》だかるばじん",0
dacarbazine-containing,"ダカルバジン含有の,だかるばじんがんゆうの",0
dacarbazine-induced,"ダカルバジン誘導［誘発・誘起・起因］(性)の,だかるばじんゆうどう［ゆうはつ・ゆうき・きいん］(せい)の_ダカルバジンに(よって)誘導［誘発・誘起・引き起こ］される,だかるばじんに(よって)ゆうどう［ゆうはつ・ゆうき・ひきおこ］される",0
dacarbazine-mediated,"ダカルバジン媒介［介在・仲介］(性)の,だかるばじんばいかい［かいざい・ちゅうかい］(せい)の_ダカルバジンの媒介［介在・仲介］による,だかるばじんのばいかい［かいざい・ちゅうかい］による",0
dacarbazine-related,"ダカルバジン関連の,だかるばじんかんれんの",0
dacarbazine-resistant,"ダカルバジン耐性［抵抗性］の,だかるばじんたいせい［ていこうせい］の",0
Dacca,"ダッカ,だっか",0
dace,"《魚》デイス,《さかな》でいす",0
dacha,"〔ロシアの〕田舎の邸宅,〔ろしあの〕いなかのていたく",0
Dachau,"ダッハウ強制収容所,だっはうきょうせいしゅうようところ_ダッハウ,だっはう",0
dachshund,"《犬》ダックスフント,《いぬ》だっくすふんと",0
dacite,"デイサイト,でいさいと_石英安山岩,せきえいあんざんがん",0
dacker,"よろめく,よろめく_ぐらつく,ぐらつく_ブラブラ歩く,ぶらぶらあるく_ぐずぐずする,ぐずぐずする",0
dacoit,"〔インド・ミャンマーの〕強盗団(の一員),〔いんど・みゃんまーの〕ごうとうだん(のいちいん)",0
dacoity,"〔インド・ミャンマーにおける〕強盗,〔いんど・みゃんまーにおける〕ごうとう",0
dacquoise,"〈フランス語〉《料理》ダクワーズ,〈ふらんすご〉《りょうり》だくわーず",0
Dacron,"ダクロン,だくろん",0
dacry-,"dacryoの異形,dacryoのいぎょう",0
dacrya,"dacryonの複数形,dacryonのふくすうけい",0
dacryadenalgia,"涙腺痛,なみだせんつう",0
dacrylagnia,"《精神医学》泣哭性愛,《せいしんいがく》きゅうこくせいあい",0
dacryo-,"涙,なみだ",0
dacryoadenalgia,"涙腺痛,なみだせんつう",0
dacryoadenitis,"《病理》涙腺炎,《びょうり》なみだせんほのお_涙嚢炎,なみだのうほのお",0
dacryocyst,"《医》涙嚢,《い》なみだのう",0
dacryocystalgia,"涙嚢痛,なみだのうつう",0
dacryocystectomy,"涙嚢摘出術,なみだのうてきしゅつじゅつ",0
dacryocystitis,"《病理》涙嚢炎,《びょうり》なみだのうほのお",0
dacryocystoblennorrhea,"涙嚢膿漏,なみだのううみろう",0
dacryocystocele,"涙嚢ヘルニア,なみだのうへるにあ",0
