word,meanings,score
e,"電子の電荷,でんしのでんか_《数学》自然対数の底,《すうがく》しぜんたいすうのそこ_指数(exponential),しすう(exponential)",0
E,"アルファベットのイー,あるふぁべっとのいー_《音楽》ホ調,《おんがく》ほちょう_ホ音,ほおと_《数学》10の指数,《すうがく》じゅうのしすう_10のべき数,じゅうのべきかず_250,にひゃくごじゅう_靴の幅を表す記号,くつのはばをあらわすきごう",0
E Ink Corporation,"イーインク社,いーいんくしゃ",0
E Is for Evidence,"証拠のE,しょうこのいー",0
"E*TRADE Group, Inc.","イー・トレード・グループ,いー・とれーど・ぐるーぷ",0
"E*Trade Securities Co., Ltd.","イー・トレード株式会社,いー・とれーどかぶしきがいしゃ",0
e-airport,"e-エアポート,いーまいなすえあぽーと",0
e-banking,"電子バンキング,でんしばんきんぐ_電子銀行業務,でんしぎんこうぎょうむ",0
e-bike,"電動自転車,でんどうじてんしゃ",0
e-bill,"電子明細書,でんしめいさいしょ_オンライン明細照会サービス,おんらいんめいさいしょうかいさーびす",0
e-blast,"《イ》Eブラスト,《い》いーぶらすと",0
E-boat,"《米軍》Eボート,《べいぐん》いーぼーと",0
e-Bomb,"イーメール爆弾,いーめーるばくだん_電子爆弾,でんしばくだん",0
E-bomb,"E爆弾,いーばくだん_電磁パルス爆弾,でんじぱるすばくだん",0
E-Bomb,"イーメール爆弾,いーめーるばくだん_電子爆弾,でんしばくだん",0
e-book,"電子本［書籍］,でんしほん［しょせき］_イーブック,いーぶっく",0
e-business,"E［電子］ビジネス,いー［でんし］びじねす_電子商取引,でんししょうとりひき",0
e-card,"《イ》eカード,《い》いーかーど_電子グリーティングカード,でんしぐりーてぃんぐかーど",0
e-cash,"電子キャッシュ,でんしきゃっしゅ",0
e-CEO,"ネット企業の最高経営責任者,ねっときぎょうのさいこうけいえいせきにんしゃ",0
e-commerce,"電子商取引,でんししょうとりひき_eコマース,いーこまーす",0
e-commerce-boosting,"電子商取引を促進する,でんししょうとりひきをそくしんする",0
e-conveyancing,"電子不動産譲渡,でんしふどうさんじょうと",0
e-corporation,"ネット企業,ねっときぎょう",0
E-Cortal Securities,"イー・コータル証券,いー・こーたるしょうけん",0
e-crime,"ネット犯罪,ねっとはんざい_インターネットにからむ犯罪,いんたーねっとにからむはんざい",0
