word,meanings,score
F,"《鉛筆》細字用,《えんぴつ》ほそじよう_〔成績・採点などにおける〕F評価,〔せいせき・さいてんなどにおける〕えふひょうか_不可,ふか_落第点,らくだいてん_赤点,あかてん",0
F Is for Fugitive,"逃亡者のF,とうぼうしゃのえふ",0
F-14,"《米軍》F-14戦闘機,《べいぐん》えふまいなすじゅうよんせんとうき",0
F-15,"《軍事》戦闘機,《ぐんじ》せんとうき",0
F-16,"《米軍》F-16戦闘爆撃機,《べいぐん》えふまいなすじゅうろくせんとうばくげきき",0
F-18,"《米軍》F-18戦闘機,《べいぐん》えふまいなすじゅうはちせんとうき",0
F-8,"《軍事》中国の戦闘機,《ぐんじ》ちゅうごくのせんとうき",0
f-axis,"f軸,えふじく",0
f-Campus,"エフ・キャンパス,えふ・きゃんぱす",0
F-distribution,"F分布,えふぶんぷ",0
F-duction,"F導入,えふどうにゅう",0
F-factor,"F因子,えふいんし_稔性因子,みのるせいいんし",0
f-hole,"〔弦楽器の〕f字孔,〔げんがっきの〕えふじあな",0
F-layer,"《地学》F層,《ちがく》えふそう_F領域,えふりょういき",0
F-measure,"《情報検索》F値,《じょうほうけんさく》えふあたい",0
f-number,"F値［数・ナンバー］,えふあたい［かず・なんばー］_焦点比,しょうてんひ",0
F-One Ltd.,"エフワン,えふわん",0
f-orbital,"《化学》f軌道,《かがく》えふきどう",0
F-pilus,"F線毛,えふせんもう",0
f-ratio,"F値［数・ナンバー］,えふあたい［かず・なんばー］_焦点比,しょうてんひ",0
F-region,"《地学》F層,《ちがく》えふそう_F領域,えふりょういき",0
F-statistics,"F統計量,えふとうけいりょう",0
f-stop,"《写真》Fストップ,《しゃしん》えふすとっぷ_絞り目盛り,しぼりめもり",0
"F-Tech, Inc.","エフテック,えふてっく",0
F-test,"《統計》F検定,《とうけい》えふけんてい",0
f-word,"エフ・ワード,えふ・わーど",0
F-word,"Fワード,えふわーど_Fで始まる言葉,えふではじまることば_汚い言葉,きたないことば_罵りの言葉,ののしりのことば_罵詈雑言,ばりぞうごん",0
F. Hoffmann-La Roche Limited,"エフ・ホフマン・ラ・ロシュ社,えふ・ほふまん・ら・ろしゅしゃ",0
"F.C.C. Co., Ltd.","エフ・シー・シー,えふ・しー・しー",0
F.I.S.T.,"フィスト,ふぃすと",0
F/X,"F/X／引き裂かれたトリック,えふ/えっくす／ひきさかれたとりっく",0
F/X 2 - The Deadly Art of Illusion,"F/X2　イリュージョン,えふ/えっくすに　いりゅーじょん",0
F1-layer,"《地学》F1層,《ちがく》えふいっそう_F1領域,えふいちりょういき",0
F1-region,"《地学》F1層,《ちがく》えふいっそう_F1領域,えふいちりょういき",0
F2-layer,"《地学》F二層,《ちがく》えふにそう_F2領域,えふにりょういき",0
F2-region,"《地学》F二層,《ちがく》えふにそう_F2領域,えふにりょういき",0
fa,"《音楽》ファ,《おんがく》ふぁ",0
fa sho,"〈米黒人俗〉,〈こめこくじんぞく〉",0
fa sho',"〈米黒人俗〉,〈こめこくじんぞく〉",0
fa' sho,"〈米黒人俗〉,〈こめこくじんぞく〉",0
fa' sho',"〈米黒人俗〉,〈こめこくじんぞく〉",0
fab,"〈俗〉,〈ぞく〉",0
Fabaceae,"《植物》マメ科,《しょくぶつ》まめか",0
fabaceous,"《植物》マメ科の,《しょくぶつ》まめかの_マメのような,まめのような",0
