word,meanings,score
G,"一般向き映画,いっぱんむききえいが_〈米俗〉おまえ,〈こめぞく〉おまえ",0
G Is for Gumshoe,"探偵のG,たんていのじー",0
G'd-up,"ヒップホップ風のファッションで格好つけた［きめた］,ひっぷほっぷかぜのふぁっしょんでかっこうつけた［きめた］",0
G'day,"こんにちは,こんにちは_やあ！,やあ！_元気？,げんきくえすちょんまーく",0
G-Day,"地上部隊の導入日,ちじょうぶたいのどうにゅうにち",0
G-forces,"重力加速度,じゅうりょくかそくど",0
G-jan,"〈和製英語〉ジージャン,〈わせいえいご〉じーじゃん",0
g-line,"〈俗〉〔IRCネットなどの設定で〕特定アドレスからのアクセス禁止(を指定する行),〈ぞく〉〔あいあーるしーねっとなどのせっていで〕とくていあどれすからのあくせすきんし(をしていするぎょう)",0
g-lined,"〈俗〉ネットワークへのアクセスが禁止されて,〈ぞく〉ねっとわーくへのあくせすがきんしされて",0
g-ma,"〈米俗〉,〈こめぞく〉",0
G-man,"FBIの捜査官,えふびーあいのそうさかん",0
G-Net Corporation,"ジーネット,じーねっと",0
G-pan,"〈和製英語〉ジーパン,〈わせいえいご〉じーぱん",0
G-rated,"一般向けの,いっぱんむきけの",0
G-Spot,"《医》Gスポット,《い》じーすぽっと",0
G-string,"《音楽》G線,《おんがく》じーせん_ゲー線,げーせん_ジーストリング,じーすとりんぐ_ふんどし,ふんどし_下帯,したおび_〔ストリッパーの〕バタフライ,〔すとりっぱーの〕ばたふらい",0
g-tolerance,"重力耐性,じゅうりょくたいせい",0
G-up,"ヒップホップ風のファッションで格好つける［きめる］,ひっぷほっぷかぜのふぁっしょんでかっこうつける［きめる］",0
G-value,"G値,じーあたい",0
"G. Schirmer, Inc.","G・シャーマー社,じー・しゃーまーしゃ",0
G.I.,"米兵,べいへい",0
G.I. Joe,"GIジョー,じーあいじょー",0
G10,"《製造》積層板のグレード,《せいぞう》せきそういたのぐれーど",0
G11,"《製造》積層板のグレード,《せいぞう》せきそういたのぐれーど",0
ga-ga,"〔赤ん坊などが〕バーブーと言う,〔あかんぼうなどが〕ばーぶーという_バーブー,ばーぶー",0
GaAs,"ガリウム・ヒ素,がりうむ・ひもと_ガリ・ヒソ,がり・ひそ",0
gab,"無駄話(をする),むだばなし(をする)_おしゃべり(をする),おしゃべり(をする)_《機械》引っ掛け,《きかい》ひっかけ",0
Gabapentin,"《薬学》ガバペンチン,《やくがく》がばぺんちん",0
gabapentine,"《化学》ガバペンチン,《かがく》がばぺんちん",0
gabardine,"ギャバジン,ぎゃばじん_ギャバジン製の衣服,ぎゃばじんせいのいふく_ギャバジン(製)の,ぎゃばじん(せい)の",0
Gabardine,"ギャバジン,ぎゃばじん",0
Gabbai,"〔ユダヤ教の〕会計係,〔ゆだやきょうの〕かいけいかかり_主事,しゅじ",0
gabber,"〈話〉よくしゃべる人,〈はなし〉よくしゃべるにん_ガバ,がば",0
