word,meanings,score
H,"〔鉛筆の芯の硬さが〕硬い,〔えんぴつのしんのこうさが〕かたい_H型,えいちかた",0
H Is for Homicide,"殺人のH,さつじんのえいち",0
h'm,"ふーむ,ふーむ_うーん,うーん",0
H-alpha,"Hα(線),えいちあるふぁ(せん)",0
h-bar,"《物理》hバー,《ぶつり》えいちばー",0
H-hour,"《軍事》(大規模)作戦実行時刻,《ぐんじ》(だいきぼ)さくせんじっこうじこく_攻撃開始時刻,こうげきかいしじこく",0
H-split,"《コ》H分割,《こ》えいちぶんかつ",0
H-two-O,"水,みず",0
H. I. S. Kyoritsu Securities,"エイチ・アイ・エス協立証券,えいち・あい・えすきょうりっしょうけん",0
H. J. Heinz Co.,"H.J.ハインツ株式会社,えいち.じぇー.はいんつかぶしきがいしゃ",0
"H.I.S. Co., Ltd.","エイチ・アイ・エス,えいち・あい・えす",0
H2O,"水,みず",0
ha,"〔驚き・喜びなどを表して〕ほう,〔おどろき・よろこびなどをあらわして〕ほう_まあ,まあ_おや,おや",0
Ha Giang,"ハジャン,はじゃん",0
Ha Tinh,"ハチン,はちん",0
Ha'aretz,"ハアレツ,はあれつ",0
Ha-dong,"ハドン,はどん",0
Ha-giang,"ハジャン,はじゃん",0
ha-ha,"あはは！,あはは！_はは！,はは！_〈俗〉面白いこと,〈ぞく〉おもしろいこと_〈英俗〉マリフアナ,〈えいぞく〉まりふあな_大麻,たいま_隠れ垣,かくれかき",0
Ha-tien,"ハティエン,はてぃえん",0
Ha-tinh,"ハティン,はてぃん",0
"Haagen-Dazs Japan, Inc.","ハーゲンダッツジャパン,はーげんだっつじゃぱん",0
Haan,"ハーン,はーん",0
Haapamaki,"ハーパメキ,はーぱめき",0
haar,"〔スコットランドの東海岸に発生する〕海霧,〔すこっとらんどのひがしかいがんにはっせいする〕うみきり",0
Haar,"ハール,はーる",0
Haarlem,"ハールレム,はーるれむ",0
Haarlemmermeer,"ハールレメルメール,はーるれめるめーる",0
Habab,"《民族》ハバブ族,《みんぞく》はばぶぞく",0
Habahe,"哈巴河県,ごうともえかわけん",0
Habakkuk,"《旧約聖書》ハバクク書,《きゅうやくせいしょ》はばくくかき",0
habanera,"〔ダンスの〕ハバネラ,〔だんすの〕はばねら_《音楽》ハバネラ,《おんがく》はばねら",0
Habanero,"〔キューバの〕ハバナ市民,〔きゅーばの〕はばなしみん",0
habdabs,"〈俗〉いら立ち,〈ぞく〉いらたち",0
habena,"〈ラテン語〉《解剖》,〈らてんご〉《かいぼう》",0
habenae,"habenaの複数形,habenaのふくすうけい",0
habenula,"〈ラテン語〉《解剖》〔松果体の〕手綱,〈らてんご〉《かいぼう》〔まつかからだの〕たづな",0
habenulae,"habenulaの複数形,habenulaのふくすうけい",0
habenular,"《解剖》ひも［小帯］の［に関する］,《かいぼう》ひも［しょうおび］の［にかんする］",0
haberdasher,"〔特に男性向けの〕雑貨小間物商人,〔とくにだんせいむけの〕ざっかこまものしょうにん",0
haberdashery,"〈米〉男性服飾品(店),〈こめ〉だんせいふくしょくひん(みせ)",0
habergeon,"〔中世の〕ホーバージョン,〔ちゅうせいの〕ほーばーじょん",0
habetrot,"ハベトロット,はべとろっと",0
Habiganj,"ハビガンジ,はびがんじ",0
habile,"熟練した,じゅくれんした_器用な,きような_上手な,じょうずな",0
habiliment,"〈文〉衣服,〈ぶん〉いふく_衣類,いるい_《habiliments》〈文〉〔特定の用途の〕装具,《habiliments》〈ぶん〉〔とくていのようとの〕そうぐ_用具,ようぐ_《habiliments》〔特定の職業用または式典用の〕服装,《habiliments》〔とくていのしょくぎょうようまたはしきてんようの〕ふくそう_礼服,れいふく",0
habilitate,"〈主に米西部〉〔鉱山に〕投資する,〈おもにこめせいぶ〉〔こうざんに〕とうしする_〔ドイツの大学教員の〕資格を取得する,〔どいつのだいがくきょういんの〕しかくをしゅとくする",0
