word,meanings,score
i,"《ギリシャ文字》イォータ,《ぎりしゃもじ》いぉーた_iota,iota",0
I,"アルファベットのアイ,あるふぁべっとのあい_《ローマ数字》1,《ろーますうじ》いち_一,いち_《Monster ～》怪奇！二つの顔を持つ男,《Monster ～》かいき！ふたつのかおをもつおとこ",0
I Am A Dancer,"華麗なるダンサー,かれいなるだんさー",0
I Am Sam,"アイ・アム・サム,あい・あむ・さむ",0
I Bought A Vampire Motorcycle,"暴走スプラッターマシーン,ぼうそうすぷらったーましーん",0
I can't believe it's not butter!,"アイ・キャント・ビリーブ・イッツ・ノット・バター！,あい・きゃんと・びりーぶ・いっつ・のっと・ばたー！",0
I Confess,"私は告白する,わたしはこくはくする",0
I Is for Innocent,"無実のI,むじつのあい",0
I Know What You Did Last Summer,"ラストサマー,らすとさまー",0
I Live In Grovenor Square,"大空に散る恋,おおぞらにちるこい",0
I Love N.Y.,"ニューヨーク恋物語,にゅーよーくこいものがたり",0
I Love Trouble.,"アイ・ラブ・トラブル,あい・らぶ・とらぶる",0
I Love You to Death,"殺したいほど／アイ・ラヴ・ユー,ころしたいほど／あい・らゔ・ゆー",0
I Married A Monster From Outer Space,"宇宙船の襲来,うちゅうせんのしゅうらい",0
I Married A Witch,"奥様は魔女,おくさまはまじょ",0
I Miss You Hugs And Kisses,"ミス・ユー／氷の接吻,みす・ゆー／こおりのせっぷん",0
I Never Sang For My Father,"父の肖像,ちちのしょうぞう",0
I Ought To Be In Pictures,"私は女優志願,わたしはじょゆうしがん",0
I Remember Mama,"ママの想い出,ままのおもいで",0
I Shall Spit on Your Graves,"墓に唾をかけろ,はかにつばをかけろ",0
I Still Know What You Did Last Summer,"ラストサマー2,らすとさまーに",0
I Walked with A Zombie,"ブードゥリアン,ぶーどぅりあん",0
I Wanna Hold Your Hand,"抱きしめたい,だきしめたい",0
I Want to Live!,"私は死にたくない,わたしはしにたくない",0
I Want You,"我が心の呼ぶ声,わがこころのよぶこえ",0
I Was A Teenage Vampire,"ティーンバンパイア,てぃーんばんぱいあ",0
I was born but...,"生まれてはみたけれど,うまれてはみたけれど",0
I Will Fear No Evil,"悪徳なんか恐くない,あくとくなんかこわくない",0
"I Will, I Will... For Now","可愛い女,かわいおんな",0
I'll Met By Moonlight,"将軍月光に消ゆ,しょうぐんげっこうにきゆ",0
I'ma,"〈米黒人俗〉,〈こめこくじんぞく〉",0
I've Heard the Mermaids Singing,"私は人魚の歌を聞いた,わたしはにんぎょのうたをきいた",0
"I, etcetera","わたしエトセトラ,わたしえとせとら",0
"I, Robot","アイ・ロボット,あい・ろぼっと_われはロボット,われはろぼっと",0
"I, the Jury","探偵マイク・ハマー／俺がおきてだ！,たんていまいく・はまー／おれがおきてだ！",0
I-131,"再入国許可申請書,さいにゅうこくきょかしんせいしょ",0
I-20,"入学許可証,にゅうがくきょかしょう",0
I-94,"出入国管理カード,しゅつにゅうこくかんりかーど",0
I-beam,"I形梁,あいかたちはり",0
i-butane,"《化学》i-ブタン,《かがく》あいまいなすぶたん",0
I-frame,"〔動画圧縮の〕Iフレーム,〔どうがあっしゅくの〕あいふれーむ",0
i-Mode,"iモード,あいもーど",0
I-novel,"〔日本の〕私小説,〔にっぽんの〕ししょうせつ",0
"I-O Data Device, Inc.","アイ・オー・データ機器,あい・おー・でーたきき",0
I. A. Corporation,"アイエー,あいえー",0
I.N.N.,"イン,いん",0
I.O.U.,"借用証書,しゃくようしょうしょ",0
i.q.,"同様に,どうように_同様の,どうようの",0
I.Q.,"星に想いを,ほしにおもいを",0
Ialomita,"ヤロミツァ川,やろみつぁかわ",0
iamb,"弱強格,じゃくきょうかく_短長格,たんちょうかく",0
iambi,"iambusの複数形,iambusのふくすうけい",0
iambic,"弱強格の,じゃくきょうかくの_短長格の,たんちょうかくの_弱強格の詩,じゃくきょうかくのし",0
iambically,"弱強格で,じゃくきょうかくで_短長格で,たんちょうかくで",0
iambus,"弱強格,じゃくきょうかく",0
ianthina,"朝顔貝,あさがおかい",0
ianthine,"スミレ色の,すみれしょくの",0
ianthinite,"ムラサキウラン鉱,むらさきうらんこう_アイアンシナイト,あいあんしないと",0
Iapetus,"《ギリシャ神話》イアペタス,《ぎりしゃしんわ》いあぺたす_《天文》イアペトス,《てんもん》いあぺとす",0
Iapyges,"《民族》イアーピュゲス族,《みんぞく》いあーぴゅげすぞく",0
iarovization,"春化,はるか",0
Iasi,"ヤシ,やし",0
IATA Carrier,"IATA加盟航空会社,あいえーてぃーえーかめいこうくうがいしゃ",0
iatraliptics,"塗擦療法,ぬりさつりょうほう",0
iatric,"医師の,いしの",0
iatrical,"医師の,いしの",0
iatro-,"医師の,いしの_医療の,いりょうの_治療の,ちりょうの",0
iatrochemical,"《医》医療化学の［に関する］,《い》いりょうかがくの［にかんする］_《医》イアトロ化学派の［に関する］,《い》いあとろかがくはの［にかんする］",0
iatrochemistry,"医療化学,いりょうかがく_イアトロ化学派,いあとろかがくは",0
iatrogenesis,"医原病,いはらびょう",0
iatrogenic,"《医》医原性の,《い》いはらせいの",0
iatrogenically,"医原的に,いはらてきに",0
iatrophobia,"《精神医学》医者恐怖症,《せいしんいがく》いしゃきょうふしょう",0
iatrophysical,"医療物理学派の,いりょうぶつりがくはの",0
iatrophysics,"物療医学,ぶつりょういがく",0
IAYM,"夫(husband),おっと(husband)",0
Iba,"イーバ,いーば",0
ibadah,"《回教》イバーダ,《かいきょう》いばーだ_信仰行為,しんこうこうい",0
Ibadan,"イバダン,いばだん",0
Ibague,"イバゲ,いばげ",0
Iban,"イバン族,いばんぞく",0
Ibanag,"《民族》イバナグ族,《みんぞく》いばなぐぞく",0
Ibar,"イバル川,いばるかわ",0
Ibara International Exchange Association,"財団法人井原市国際交流協会,ざいだんほうじんいはらしこくさいこうりゅうきょうかい",0
Ibaraki Association of Radiological Technologists,"社団法人茨城県放射線技師会,しゃだんほうじんいばらきけんほうしゃせんぎしかい",0
Ibaraki Atomic Energy Consultation,"社団法人茨城原子力協議会,しゃだんほうじんいばらきげんしりょくきょうぎかい",0
Ibaraki Construction Technology Center,"財団法人茨城県建設技術管理センター,ざいだんほうじんいばらきけんけんせつぎじゅつかんりせんたー",0
Ibaraki Corporation for Small and Medium Enterprise Promotion,"財団法人茨城県中小企業振興公社,ざいだんほうじんいばらきけんちゅうしょうきぎょうしんこうこうしゃ",0
