word,meanings,score
K,"アルファベットのケー,あるふぁべっとのけー_1000,せん_カリウム(Potassium)の元素記号,かりうむ(Potassium)のげんそきごう",0
K Is for Killer,"殺害者のK,さつがいしゃのけい",0
K Mart,"Kマート,けいまーと",0
K-12,"幼稚園から12年生［高校3年生］まで(の),ようちえんからじゅうにねんせい［こうこうさんねんせい］まで(の)",0
K-9,"K-9／友情に輝く星,けいまいなすきゅう／ゆうじょうにかがやくほし",0
K-complex,"K複合波,けいふくごうなみ",0
K-Cup,"〔キューリグの〕Kカップ,〔きゅーりぐの〕けいかっぷ",0
k-line,"〈俗〉〔IRCサーバーなどの設定で〕特定アドレスからのアクセス禁止(を指定する行),〈ぞく〉〔あいあーるしーさーばーなどのせっていで〕とくていあどれすからのあくせすきんし(をしていするぎょう)",0
k-lined,"〈俗〉サーバーへのアクセスが禁止されて,〈ぞく〉さーばーへのあくせすがきんしされて",0
K-mart,"Kマート,けいまーと",0
K-means,"K平均法,けいへいきんほう",0
K-radiation,"K放射線,けいほうしゃせん",0
K-term,"《天文》K項,《てんもん》けいこう",0
K-theory,"K理論,けいりろん",0
K-turn,"Kターンする,けいたーんする_切り返してUターン［方向転換］する,きりかえしてゆーたーん［ほうこうてんかん］する_Kターン,けいたーん_切り返して行うUターン［方向転換］,きりかえしておこなうゆーたーん［ほうこうてんかん］",0
K-value,"《化学》K値,《かがく》けいあたい_気液平衡係数,きえきへいこうけいすう",0
K-Y Jelly,"KYゼリー,けいわいぜりー",0
K. Matsushita Foundation of Expo '90,"財団法人松下幸之助花の万博記念財団,ざいだんほうじんまつしたこうのすけはなのばんぱくきねんざいだん",0
K2 - Harold & Taylor,"K2／ハロルドとテイラー,けいに／はろるどとていらー",0
K9,"軍用犬,ぐんよういぬ_警察犬,けいさついぬ",0
ka-boom,"ドドーン,どどーん_ドーンという音,どーんというおと",0
Ka-ching,"カチーン,かちーん",0
Kaaba,"《the ～》カーバ神殿,《the ～》かーばしんでん",0
Kaala,"カアーラ山,かあーらやま",0
Kaalfontein,"カールフォンテイン,かーるふぉんていん",0
kabab,"〔料理の〕カバブ,〔りょうりの〕かばぶ_ケバブ,けばぶ",0
Kabaena,"カバエナ島,かばえなしま",0
kabah,"〈アラビア語〉カアバ,〈あらびあご〉かあば_カーバ,かーば",0
Kabala,"カバラ,かばら",0
Kabalo,"カバロ,かばろ",0
kabaragoya,"《動物》ミズオオトカゲ,《どうぶつ》みずおおとかげ",0
Kabardian,"カバルダ人［語］,かばるだにん［ご］",0
Kabardin,"《民族》カバルダ族,《みんぞく》かばるだぞく",0
Kabardino-Balkarskaya,"カバルダバルカル,かばるだばるかる",0
kabaya,"〈マライ語〉カバヤ,〈まらいご〉かばや",0
Kabinda,"カビンダ,かびんだ",0
Kabinet,"〈ドイツ語〉カビネット,〈どいつご〉かびねっと",0
Kabinett,"カビネット,かびねっと",0
Kabir,"カビール川,かびーるかわ",0
kablooey,"〈米俗〉,〈こめぞく〉",0
kabloona,"〈カナダ〉〔イヌイットから見た〕白人,〈かなだ〉〔いぬいっとからみた〕はくじん_ヨーロッパ人,よーろっぱにん",0
kabob,"〔料理の〕カバブ,〔りょうりの〕かばぶ_ケバブ,けばぶ",0
Kabompo,"カボンポ川,かぼんぽかわ",0
Kabong,"カボン,かぼん",0
Kabongo,"カボンゴ,かぼんご",0
kaboodle,"〈話〉群れ,〈はなし〉むれ_集まり,あつまり_束,そく_〈話〉群衆,〈はなし〉ぐんしゅう_一団の人,いちだんのにん",0
Kaboodle,"カブードル,かぶーどる",0
Kabru,"カブルー山,かぶるーやま",0
Kabsa,"カブサ,かぶさ",0
Kabu.com Securities,"カブドットコム証券,かぶどっとこむしょうけん",0
kabuki,"〈日〉歌舞伎,〈にち〉かぶき",0
Kabuki Theatrical Corporation,"歌舞伎座,かぶきざ",0
Kabukiman,"カブキマン,かぶきまん",0
Kabul,"カブール,かぶーる_カーブル,かーぶる_カブール川,かぶーるかわ_カーブル川,かーぶるかわ",0
Kabutarahang,"キャブータラーハング,きゃぶーたらーはんぐ",0
Kabuto,"兜,かぶと",0
Kabwe,"カブウェ,かぶうぇ",0
Kabyle,"カビル族(の),かびるぞく(の)_カビル語(の),かびるご(の)",0
Kachin,"カチン州,かちんしゅう",0
kachina,"〔精霊の〕カチナ,〔せいれいの〕かちな_カチーナ,かちーな_〔踊り手の〕カチナ,〔おどりての〕かちな_〔人形の〕カチナ,〔にんぎょうの〕かちな",0
Kachkanar,"カチカナル,かちかなる",0
kachoo,"ハクション,はくしょん",0
Kachuga,"カチューガ,かちゅーが",0
Kadai,"カダイ語(族),かだいご(ぞく)",0
Kadan Automotive Technical College Sendai,"花壇自動車整備専門学校,かだんじどうしゃせいびせんもんがっこう",0
Kadapa,"カダパ,かだぱ",0
kaddish,"《ユダヤ教》カディシュ,《ゆだやきょう》かでぃしゅ",0
Kaddish,"《ユダヤ教》カディッシュ,《ゆだやきょう》かでぃっしゅ_カディーシュ,かでぃーしゅ",0
Kadena,"嘉手納,かでな",0
Kader,"カーデル法,かーでるほう",0
Kadesh,"カデシュ,かでしゅ",0
Kadievka,"カジエフカ,かじえふか_カディエフカ,かでぃえふか",0
kadigan,"〈米俗〉何とかいう物,〈こめぞく〉なんとかいうもの",0
kadigin,"〈米俗〉何とかいう物,〈こめぞく〉なんとかいうもの",0
Kadina,"カジナ,かじな",0
Kadkan,"キャドキャン,きゃどきゃん",0
Kadnikov,"カドニコフ,かどにこふ",0
"Kadokawa Shoten Publishing Co., Ltd.","角川書店,かどかわしょてん",0
"Kadoya Sesame Mills, Inc.","かどや製油,かどやせいゆ",0
Kadu,"《民族》カド族,《みんぞく》かどぞく",0
Kaduna,"カドゥナ,かどぅな",0
Kaechon,"ケチョン,けちょん",0
Kaedi,"カエディ,かえでぃ",0
kaempferol,"《生化学》ケンペロール,《せいかがく》けんぺろーる",0
Kaena Point,"カエナ岬,かえなみさき",0
Kaesong,"カイソン,かいそん",0
Kaetsu Girls' Junior High School,"嘉悦女子中学校,かえつじょしちゅうがっこう",0
Kaetsu Girls' Senior High School,"嘉悦女子高等学校,かえつじょしこうとうがっこう",0
kaf,"カフ,かふ",0
Kaf,"カーフ,かーふ",0
Kafan,"カファン,かふぁん",0
Kaffa,"カファ,かふぁ_カッファ,かっふぁ",0
kaffeeklatsch,"〈ドイツ語〉コーヒーを飲みながらのおしゃべり,〈どいつご〉こーひーをのみながらのおしゃべり_茶話会,さわかい",0
Kaffir,"〈南ア・軽蔑的〉〔アフリカの〕黒人,〈みなみあ・けいべつてき〉〔あふりかの〕こくじん_〈俗・軽蔑的〉〔イスラム教徒から見た〕不信心者,〈ぞく・けいべつてき〉〔いすらむきょうとからみた〕ふしんしんじゃ_異教徒,いきょうと_〈古・軽蔑的〉〔アフリカの〕ホサ族,〈こ・けいべつてき〉〔あふりかの〕ほさぞく_ホサ語,ほさご_《kaffir》,《kaffir》",0
Kafia Kingi,"カフィアキンギ,かふぃあきんぎ",0
kafir,"〈アラビア語〉カーフィル,〈あらびあご〉かーふぃる_信仰を拒否する者,しんこうをきょひするもの",0
Kafka,"KAFKA／迷宮の悪夢,けいえーえふけいえー／めいきゅうのあくむ",0
Kafka on the Shore,"海辺のカフカ,うみべのかふか",0
Kafkaesque,"カフカの,かふかの",0
Kafkan,"カフカの,かふかの",0
kafooster,"〈米俗〉無駄話,〈こめぞく〉むだばなし_くだらないおしゃべり,くだらないおしゃべり",0
Kafr ad-Dawwar,"カフルアッダウワル,かふるあっだうわる",0
Kafr ash-Shaykh,"カフルアッシャイフ,かふるあっしゃいふ",0
Kafr az-Zaiyat,"カフルアッザイヤト,かふるあっざいやと",0
Kafue,"カフエ,かふえ",0
"Kaga Electronics Co., Ltd.","加賀電子,かがでんし",0
"KAGAKU-DOJIN PUBLISHING CO., LTD.","株式会社化学同人,かぶしきがいしゃかがくどうじん",0
Kagan,"カガン,かがん",0
"Kagawa Bank, Ltd.","香川銀行,かがわぎんこう",0
Kagawa International Exchange Foundation,"財団法人かがわ海外交流財団,ざいだんほうじんかがわかいがいこうりゅうざいだん",0
Kagawa-ken Institute of Foreign Languages,"財団法人香川県語学研修センター,ざいだんほうじんかがわけんごがくけんしゅうせんたー",0
Kagemusha,"影武者,かげむしゃ",0
Kagera,"カゲラ川,かげらかわ",0
Kagera River,"カゲラ川,かげらかわ",0
"Kagetsuenkanko Co., Ltd.","花月園観光,かげつえんかんこう",0
"Kagome Co., Ltd.","カゴメ,かごめ",0
