word,meanings,score
L,"《貨幣単位》ポンド,《かへいたんい》ぽんど_《ローマ数字》50,《ろーますうじ》ごじゅう_五十,ごじゅう",0
L & M Foods Corporation,"エルエムフーズ,えるえむふーず",0
L Is for Lawless,"無法のL,むほうのえる",0
L Kakuei Corporation,"エルカクエイ,えるかくえい",0
L&L Crip Gang,"L&L・クリップ・ギャング,える&える・くりっぷ・ぎゃんぐ",0
L'Acadie,"ラカジー,らかじー",0
L'amant,"愛人／ラマン,あいじん／らまん",0
L'Aquila,"ラクイラ,らくいら",0
L'Arelesienne,"アルルの女,あるるのおんな",0
L'Assomption,"ラソンプション,らそんぷしょん",0
l'empereur,"ラムペラー,らむぺらー",0
L'Epiphanie,"レピファニー,れぴふぁにー",0
L'Estaque,"レスタク,れすたく",0
L'Etranger,"異邦人,いほうじん",0
L'gov,"リゴフ,りごふ",0
L'Humanite,"リュマニト,りゅまにと",0
L'Isle-Adam,"リラダン,りらだん",0
L'Osservatore Romano,"オッセルヴァトーレ・ロマーノ,おっせるゔぁとーれ・ろまーの",0
L'Unita,"ルニータ,るにーた",0
L'vov,"リボフ,りぼふ",0
L-arginine,"《生化学》エルアルギニン,《せいかがく》えるあるぎにん",0
L-asparaginase,"《生化学》エル・アスパラギナーゼ,《せいかがく》える・あすぱらぎなーぜ",0
L-Carnitine,"L-カルニチン,えるまいなすかるにちん",0
L-carnitine,"L-カルニチン,えるまいなすかるにちん",0
L-chain-negative,"L鎖陰性の,えるくさりいんせいの",0
l-glucose,"L形グルコース［ブドウ糖］,えるかたちぐるこーす［ぶどうとう］_左旋性グルコース［ブドウ糖］,ひだりせんせいぐるこーす［ぶどうとう］",0
L-glutamate,"《生化学》Lグルタミン酸塩,《せいかがく》えるぐるたみんさんしお",0
L-glutamine,"《生化学》L-グルタミン酸,《せいかがく》えるまいなすぐるたみんさん",0
L-homocysteine,"《生化学》L-ホモシステイン,《せいかがく》えるまいなすほもしすていん",0
L-methionine,"《生化学》L-メチオニン,《せいかがく》えるまいなすめちおにん",0
L-phenylalanine,"《生化学》L-フェニルアラニン,《せいかがく》えるまいなすふぇにるあらにん",0
L-plate,"L字プレート,えるじぷれーと",0
L-shape,"L字型の,えるじけいの",0
L-shaped,"L字型の,えるじけいの",0
L-sit,"《体操》脚前挙,《たいそう》あしまえきょ",0
L-word,"愛の言葉,あいのことば",0
L.A. Bad,"吐きだめの疾走,はきだめのしっそう",0
L.A. Confidential,"L.A.コンフィデンシャル,える.えー.こんふぃでんしゃる_L.A.コンフイデンシャル,える.えー.こんふいでんしゃる",0
l.a. Eyeworks,"エル・エイ・アイワークス,える・えい・あいわーくす",0
L.A. Heat,"L.A.ヒート／復讐の街角,える.えー.ひーと／ふくしゅうのまちかど",0
L.A. Lakers,"LA［ロサンゼルス］レイカーズ,えるえー［ろさんぜるす］れいかーず",0
L.A. Law,"カリフォルニア・ジャスティス,かりふぉるにあ・じゃすてぃす",0
L.A. Story,"L.A.ストーリー／恋が降る街,える.えー.すとーりー／こいがふるまち",0
L.A. Weekly,"LAウィークリー,えるえーうぃーくりー",0
L.A. without a map,"GO! GO! L.A.,じーおう! じーおう! える.えー.",0
L.A.Confidential,"L.A.コンフィデンシャル,える.えー.こんふぃでんしゃる",0
"L.L.Bean, Inc.","エルエルビーン社,えるえるびーんしゃ",0
L7,"〈俗〉ださい［新しい文化を理解しない］(人),〈ぞく〉ださい［あたらしいぶんかをりかいしない］(にん)",0
la,"《音楽》ラ,《おんがく》ら_イ音,いおと_〈フランス語〉～風の,〈ふらんすご〉～かぜの_〈フランス語〉～風に,〈ふらんすご〉～かぜに",0
La Asuncion,"ラアスンシオン,らあすんしおん",0
La Bamba,"ラ・バンバ,ら・ばんば",0
La Banda,"ラバンダ,らばんだ",0
La Battaglia D'inghilterra,"空爆大作戦／決死のエアーバトル,くうばくだいさくせん／けっしのえあーばとる",0
La Baule,"ラボール,らぼーる",0
La Bisbal,"ラビスバル,らびすばる",0
La Bisbetica Domata,"じゃじゃ馬ならし,じゃじゃうまならし",0
LA Brims,"LAブリムス,えるえーぶりむす",0
La Calera,"ラカレラ,らかれら",0
La Calle,"ラカル,らかる",0
La Canada,"ラカナダ,らかなだ",0
La Carolina,"ラカロリナ,らかろりな",0
La Ceiba,"ラセイバ,らせいば",0
La Ceja,"ラセハ,らせは",0
La Chaux de Fonds,"ラ・ショー・ド・フォン,ら・しょー・ど・ふぉん",0
La Chorrera,"ラチョレラ,らちょれら",0
La Ciotat,"ラシオタ,らしおた",0
La Clan Des Sicilians,"シシリアン,ししりあん",0
La Coruna,"ラコルニャ,らこるにゃ",0
La Crescenta,"ラクレセンタ,らくれせんた",0
La Crosse,"ラクロス,らくろす",0
La Crosse Tribune,"ラクロス・トリビューン,らくろす・とりびゅーん",0
La Cruz,"ラクルス,らくるす",0
