word,meanings,score
M,"アルファベットのM,あるふぁべっとのえむ_《ローマ数字》1000,《ろーますうじ》せん_千,せん",0
M Butterfly,"M(エム)バタフライ,えむ(えむ)ばたふらい",0
M cubed,"何でもいつでもどこでもお客様に仕えて,なんでもいつでもどこでもおきゃくさまにつかえて",0
M Is for Malice,"悪意のM,あくいのえむ",0
M&M's,"エムアンドエムズ,えむあんどえむず",0
M'Bigou,"ムビグー,むびぐー",0
M'Bomou,"ムボム川,むぼむかわ",0
M'bour,"ンブール,んぶーる_ムブール,むぶーる",0
M'Clure Strait,"《the ～》マクルアー海峡,《the ～》まくるあーかいきょう",0
m'kay,"〈話〉うん分かった,〈はなし〉うんわかった_いいよ,いいよ_オーケー,おーけー",0
M'Lud,"ミラッド,みらっど_閣下,かっか",0
m'm,"《あいづち》ウム,《あいづち》うむ_ウン,うん_フム,ふむ",0
M'Sila,"ムシラ,むしら",0
M'Zab Valley,"ムザブの谷,むざぶのたに",0
M-1,"専門学校生用ビザ,せんもんがっこうせいようびざ",0
M-16,"《軍事》軽機関銃,《ぐんじ》けいきかんじゅう_自動ライフル銃,じどうらいふるじゅう",0
m-banking,"モバイルバンキング,もばいるばんきんぐ",0
m-benzenediol,"《化学》m-ベンゼンジオール,《かがく》えむまいなすべんぜんじおーる",0
M-day,"動員(開始)日,どういん(かいし)にち",0
m-dihydroxybenzene,"《化学》m-ジヒドロキシベンゼン,《かがく》えむまいなすじひどろきしべんぜん",0
M-sequence,"M系列,えむけいれつ",0
M-theory,"M理論,えむりろん",0
m.c.,"司会者を務める,しかいしゃをつとめる",0
M0,"《医》〔がんの〕転移なし,《い》〔がんの〕てんいなし",0
M1,"通貨供給量の一つ,つうかきょうきゅうりょうのひとつ_《医》〔がんの〕転移あり,《い》〔がんの〕てんいあり",0
M3,"何でもいつでもどこでもお客様に仕えて,なんでもいつでもどこでもおきゃくさまにつかえて",0
ma,"〈幼児語〉ママ,〈ようじご〉まま_お母さん,おかあさん_おかあちゃん,おかあちゃん_〈米黒人俗〉セクシーな女,〈こめこくじんぞく〉せくしーなおんな",0
MA Training,"MAトレーニング,えむえーとれーにんぐ",0
ma'am,"〈米話〉ご婦人,〈こめはなし〉ごふじん_お嬢さん,おじょうさん_〈英話〉女王様,〈えいはなし〉じょおうさま",0
Ma'amuniye,"マアムーニーイェ,まあむーにーいぇ",0
Ma'arrat al-Numan,"マアッラト・アンヌウマーン,まあっらと・あんぬうまーん",0
Ma'mulan,"マアムーラーン,まあむーらーん",0
ma-and-pa,"〈米話〉家族経営の,〈こめはなし〉かぞくけいえいの_夫婦だけで経営する,ふうふだけでけいえいする_(店が)小さな,(みせが)ちいさな",0
Maalox,"マーロックス,まーろっくす",0
Maan,"マアーン,まあーん",0
Maanshan,"馬鞍山,うまくらやま_マーアンシャン,まーあんしゃん_まあんさん,まあんさん",0
maar,"マール,まーる",0
Maarianhamina,"マーリアンハミナ,まーりあんはみな",0
Maartensdijk,"マールテンスダイク,まーるてんすだいく",0
Maas,"マース川,まーすかわ",0
Maastricht,"マーストリヒト,まーすとりひと",0
Maastrichtian,"《地学》マーストリヒチアン(期),《ちがく》まーすとりひちあん(き)",0
Mabana,"マバナ,まばな",0
MabCampath,"マブキャンパス,まぶきゃんぱす",0
MaBell,"母ベル,ははべる",0
Mabeskraal,"メーブスクラール,めーぶすくらーる",0
mabolo,"《植物》ケガキ,《しょくぶつ》けがき",0
Mabrak,"マブラク,まぶらく",0
Mabrouk,"マブルク,まぶるく",0
"Mabuchi Motor Co., Ltd.","マブチモーター,まぶちもーたー",0
Mabula,"マブーラ,まぶーら",0
mac,"〈英話〉レインコート(mackintosh),〈えいはなし〉れいんこーと(mackintosh)",0
Mac,"おい,おい_君,くん",0
MAC,"エム・エー・シー,えむ・えー・しー",0
Mac Addict,"MACアディクト,えむえーしーあでぃくと",0
Mac And Me,"マック,まっく",0
MAC User,"MACユーザー,えむえーしーゆーざー",0
MAC World,"MACワールド,えむえーしーわーるど",0
Mac-compliant,"《コ》マッキントッシュ対応の,《こ》まっきんとっしゅたいおうの",0
Macabeo,"マカベオ(種)(の)(ワイン),まかべお(たね)(の)(わいん)",0
macabre,"〈フランス語〉ゾッとするような,〈ふらんすご〉ぞっとするような_恐ろしい,おそろしい_不気味な,ぶきみな_〈フランス語〉死を表現した,〈ふらんすご〉しをひょうげんした_死に関する,しにかんする",0
macabre-looking,"気味の悪い,きみのわるい_ゾッとするような,ぞっとするような",0
Macaca,"《動物》マカク属,《どうぶつ》まかくぞく",0
macaco,"《動物》キツネザル,《どうぶつ》きつねざる_〈廃〉,〈はい〉",0
macadam,"砕石,さいせき_マカダム(舗装)道路,まかだむ(ほそう)どうろ_割石,わりいし",0
macadamia,"《Macadamia》《植物》マカダミア属,《Macadamia》《しょくぶつ》まかだみあぞく_マカダミア属の木,まかだみあぞくのき_マカダミアナッツ,まかだみあなっつ",0
macadamization,"マカダム工法,まかだむこうほう",0
