word,meanings,score
N,"〔アルファベットの〕エヌ〔大文字〕,〔あるふぁべっとの〕えぬ〔おおもじ〕_《数学》不定整数,《すうがく》ふていせいすう_〔成績の〕N,〔せいせきの〕えぬ",0
N Is for Noose,"縛り首のN,しばりくびのえぬ",0
N or M?,"NかMか,えぬかえむか",0
N'djamena,"ヌジャメナ,ぬじゃめな",0
N'Gaundere,"ヌガウンデレ,ぬがうんでれ",0
N-acetyl-D-glucosamine,"N-アセチル-D-グルコサミン,えぬまいなすあせちるまいなすでぃまいなすぐるこさみん",0
N-acetylaspartate,"N-アセチルアスパラギン酸,えぬまいなすあせちるあすぱらぎんさん",0
N-acetylcysteine,"《医薬》N-アセチルシステイン,《いやく》えぬまいなすあせちるしすていん",0
N-acetylglucosamine,"N-アセチルグルコサミン,えぬまいなすあせちるぐるこさみん",0
N-acetylglucosaminyl-1-phosphotransferase,"N-アセチルグルコサミニル-1-ホスホトランスフェラーゼ,えぬまいなすあせちるぐるこさみにるまいなすいちまいなすほすほとらんすふぇらーぜ",0
N-acetylglucosaminyltransferase,"《生化学》N-アセチルグルコサミニルトランスフェラーゼ,《せいかがく》えぬまいなすあせちるぐるこさみにるとらんすふぇらーぜ",0
N-acetylglutamate,"N-アセチルグルタミン酸,えぬまいなすあせちるぐるたみんさん",0
N-acetylhexose,"N-アセチルヘキソース,えぬまいなすあせちるへきそーす",0
N-acetyltransferase,"N-アセチルトランスフェラーゼ,えぬまいなすあせちるとらんすふぇらーぜ",0
N-acylethanolamines,"N-アシルエタノールアミン,えぬまいなすあしるえたのーるあみん",0
N-acylglycine,"N-アシルグリシン,えぬまいなすあしるぐりしん",0
n-ary,"〔関数などが〕n変数の,〔かんすうなどが〕えぬへんすうの",0
N-benzoylglycine,"N-ベンゾイルグリシン,えぬまいなすべんぞいるぐりしん",0
n-butane,"《化学》n-ブタン(ガス),《かがく》えぬまいなすぶたん(がす)",0
n-butanol,"《化学》n-ブタノール,《かがく》えぬまいなすぶたのーる",0
N-demethylation,"N-脱メチル化反応,えぬまいなすだつめちるかはんのう",0
N-dumping,"核廃棄物投棄,かくはいきぶつとうき",0
N-formimino-L-glutamate,"N-ホルムイミノ-L-グルタミン酸,えぬまいなすほるむいみのまいなすえるまいなすぐるたみんさん",0
N-formyl-methionine,"N-ホルミルメチオニン,えぬまいなすほるみるめちおにん",0
n-hexane,"nヘキサン,えぬへきさん_ノルマルヘキサン,のるまるへきさん",0
N-methyl-D-aspartate,"N-メチル-D-アスパラギン酸,えぬまいなすめちるまいなすでぃまいなすあすぱらぎんさん",0
N-methyl-N'-nitro-N-nitrosoguanidine,"《医》メチルーニトローニトロソグアニジン,《い》めちるーにとろーにとろそぐあにじん",0
N-methyl-N-nitrosourea,"N-メチル-N-ニトロソ尿素,えぬまいなすめちるまいなすえぬまいなすにとろそにょうそ",0
N-Methyl-N-nitrosourea,"メチルニトロソ尿素［ニトロソウレア］,めちるにとろそにょうそ［にとろそうれあ］",0
N-methylamphetamine,"N-メチルアンフェタミン,えぬまいなすめちるあんふぇたみん",0
N-methylhistidine,"N-メチルヒスチジン,えぬまいなすめちるひすちじん",0
N-methylproline,"N-メチルプロリン,えぬまいなすめちるぷろりん",0
n-mile,"《単位》海里,《たんい》かいり",0
n-minex,"10のマイナスn乗,じゅうのまいなすえぬじょう_0.n個の0,れいてんえぬこのれい",0
n-plex,"10のn乗,じゅうのえぬじょう_1とn個の0,ひととえぬこの",0
n-simplex,"n次元単体,えぬじげんたんたい",0
n-sphere,"《幾何》n次元球(面),《きか》えぬじげんたま(めん)",0
n-tier,"n階層,えぬかいそう",0
n-tuple,"《数学》n組,《すうがく》えぬくみ",0
n-type,"《電気》n型の,《でんき》えぬかたの",0
n-word,"〔遠回しに〕nから始まる言葉,〔とおまわしに〕えぬからはじまることば",0
n.b.,"注意せよ,ちゅういせよ",0
N.B.,"注意せよ,ちゅういせよ",0
