word,meanings,score
O,"英語アルファベットの第15字,えいごあるふぁべっとのだいじゅうごじ_O字形(の物),おうじけい(のもの)_〈話〉〔アラビア数字の〕ゼロ,〈はなし〉〔あらびあすうじの〕ぜろ_〔血液の〕O型,〔けつえきの〕おうかた_オー型,おーかた",0
O Pothos,"オ・ポトス,お・ぽとす",0
o'clock,"時計では,とけいでは",0
O'Connell Street,"オコンネルストリート,おこんねるすとりーと",0
O'Higgins,"オイギンス,おいぎんす",0
o-,"ob-の異形,obまいなすのいぎょう_《化学》ortho-の省略形,《かがく》orthoまいなすのしょうりゃくけい_oo-の異形,ooまいなすのいぎょう",0
O-antigen,"O抗原,おうこうげん",0
o-benzenediol,"《化学》o-ベンゼンジオール,《かがく》おうまいなすべんぜんじおーる",0
o-bromochlorobenzene,"《化学》o-ブロモクロロベンゼン,《かがく》おうまいなすぶろもくろろべんぜん",0
O-chem,"〈話〉有機化学,〈はなし〉ゆうきかがく",0
o-chlorotoluene,"o-クロロトルエン,おうまいなすくろろとるえん",0
o-dihydroxybenzene,"《化学》o-ジヒドロキシベンゼン,《かがく》おうまいなすじひどろきしべんぜん",0
o-grade,"〔母音交代の〕o階梯,〔ぼいんこうたいの〕おうかいてい",0
o-hydroxybenzaldehyde,"o-ヒドロキシベンズアルデヒド,おうまいなすひどろきしべんずあるでひど",0
O-M Ltd.,"オーエム製作所,おーえむせいさくしょ",0
O-neg,"〈話〉〔血液型の〕O型Rhマイナス,〈はなし〉〔けつえきがたの〕おうかたあーるえいちまいなす",0
O-negative,"O型Rhマイナス,おうかたあーるえいちまいなす",0
o-o,"《鳥》オーオー,《とり》おーおー",0
o-phenylphenol,"o-フェニルフェノール,おうまいなすふぇにるふぇのーる",0
O-positive,"O型,おうかた",0
O-ring,"《機械》Oリング,《きかい》おうりんぐ",0
O-sign,"〈米俗〉〔死人の〕丸く開いた口,〈こめぞく〉〔しにんの〕まるくひらいたくち",0
O.C. & Stiggs,"突撃！O・Cとスティッグス／お笑い黙示録,とつげき！おう・しーとすてぃっぐす／おわらいもくじろく",0
o.j.,"〈米俗〉,〈こめぞく〉",0
O.S.,"〈豪俗〉海外の,〈ごうぞく〉かいがいの_外国の,がいこくの_〈豪俗〉海外に,〈ごうぞく〉かいがいに_外国に,がいこくに",0
"OA System Plaza Co., Ltd.","オーエー・システム・プラザ,おーえー・しすてむ・ぷらざ",0
oaf,"無骨者,ぶこつもの_のろま,のろま",0
oafish,"うすのろの,うすのろの_ばかな,ばかな_間抜けな,まぬけな",0
Oahe Reservoir,"オアヒ湖,おあひみずうみ",0
Oahu,"オアフ島,おあふしま",0
oak,"《植物》オーク(材),《しょくぶつ》おーく(ざい)_オーク製の,おーくせいの_オーク材の,おーくざいの",0
Oak and the Calf,"《The ～》仔牛が樫の木に角突いた,《The ～》しうしがかしのきにかくついた",0
"Oak Co., Ltd.","オーク,おーく",0
Oak Harbor,"オークハーバー,おーくはーばー",0
Oak Park Oak Leaves,"オーク・パーク・オーク・リーブズ,おーく・ぱーく・おーく・りーぶず",0
Oak Ridge,"オークリッジ,おーくりっじ",0
Oak Ridge Institute for Science Education,"《米》オークリッジ科学教育研究所,《こめ》おーくりっじかがくきょういくけんきゅうところ",0
Oak Ridge Institute of Nuclear Study,"オークリッジ原子力研究所,おーくりっじげんしりょくけんきゅうしょ",0
Oak Ridge National Laboratory,"オークリッジ国立研究所,おーくりっじこくりつけんきゅうしょ",0
Oak Ridge School of Reactor Technology,"オークリッジ原子炉技術専門学校,おーくりっじげんしろぎじゅつせんもんがっこう",0
Oak Ridger,"オークリッジャー,おーくりっじゃー",0
Oak Street,"オーク・ストリート,おーく・すとりーと",0
oak-beamed,"梁がオーク材の,はりがおーくざいの",0
