word,meanings,score
P,"〔成績の〕P,〔せいせきの〕ぴー",0
P Is for Peril,"危険のP,きけんのぴー",0
P'anmunjom,"パンムンジョム,ぱんむんじょむ",0
P'ohang,"ポハン,ぽはん",0
P'unggi,"プンギ,ぷんぎ",0
P'yongan nam,"ピョンアンナム,ぴょんあんなむ",0
P'yonggang,"ピョンガン,ぴょんがん",0
P'yongsong,"ピョンソン,ぴょんそん",0
P'yongyang,"ピョンヤン,ぴょんやん",0
P-2,"〔アメリカ製〕対潜哨戒機,〔あめりかせい〕たいせんしょうかいき",0
P-2J,"〔アメリカ製〕対潜哨戒機,〔あめりかせい〕たいせんしょうかいき",0
P-3,"〔アメリカ製〕対潜哨戒機,〔あめりかせい〕たいせんしょうかいき",0
P-3C,"〔アメリカ製〕対潜哨戒機,〔あめりかせい〕たいせんしょうかいき",0
p-benzenediol,"《化学》p-ベンゼンジオール,《かがく》ぴーまいなすべんぜんじおーる",0
p-book,"紙の本［書籍］,かみのほん［しょせき］",0
p-chloromercuribenzoate,"p-塩化第二水銀安息香酸,ぴーまいなすえんかだいにすいぎんあんそくこうさん",0
p-dihydroxybenzene,"《化学》p-ジヒドロキシベンゼン,《かがく》ぴーまいなすじひどろきしべんぜん",0
p-dimethylaminobenzaldehyde,"p-ジメチルアミノベンズアルデヒド,ぴーまいなすじめちるあみのべんずあるでひど",0
P-frame,"〔動画圧縮の〕Pフレーム,〔どうがあっしゅくの〕ぴーふれーむ",0
P-glycoprotein,"P-糖タンパク,ぴーまいなすとうたんぱく",0
P-glycoprotein-mediated,"P糖タンパク媒介［介在・仲介］(性)の,ぴーとうたんぱくばいかい［かいざい・ちゅうかい］(せい)の_P糖タンパクの媒介［介在・仲介］による,ぴーとうたんぱくのばいかい［かいざい・ちゅうかい］による_P糖タンパクを介した［に仲介された］,ぴーとうたんぱくをかいした［にちゅうかいされた］",0
p-hydroxymercuribenzoate,"p-ヒドロキシ水銀安息香酸,ぴーまいなすひどろきしすいぎんあんそくこうさん",0
p-hydroxyphenylethylamine,"《医》パラヒドロキシフェニルエチルアミン,《い》ぱらひどろきしふぇにるえちるあみん",0
p-machine,"《コ》疑似マシン,《こ》ぎじましん",0
p-methoxybenzaldehyde,"p-メトキシベンズアルデヒド,ぴーまいなすめときしべんずあるでひど",0
p-methoxyphenol,"《化学》p-メトキシフェノール,《かがく》ぴーまいなすめときしふぇのーる",0
p-nitrophenylhydrazine,"p-ニトロフェニルヒドラジン,ぴーまいなすにとろふぇにるひどらじん",0
p-process,"p過程,ぴーかてい",0
p-toluenesulfonate,"p-トルエンスルホン酸塩,ぴーまいなすとるえんするほんさんしお",0
P-trap,"〈米〉〔流し台の下の〕防臭弁,〈こめ〉〔ながしだいのしたの〕ぼうしゅうべん",0
p-type,"《半導体》p型の,《はんどうたい》ぴーかたの",0
P.J.,"PJ,ぴーじぇー",0
P.K. And the Kid,"青春のランナウェイ,せいしゅんのらんなうぇい",0
p.o.'d,"〈卑俗〉困りはてた,〈ひぞく〉こまりはてた_怒る,いかる_不愉快になる,ふゆかいになる_うんざりする,うんざりする",0
P.O.W. The Escape,"P.O.W.／地獄からの脱出,ぴー.おう.だぶる.／じごくからのだっしゅつ",0
P.S. Corporation,"ピー・エス,ぴー・えす",0
P.T. Garuda Indonesia,"ガルーダ・インドネシア航空,がるーだ・いんどねしあこうくう",0
P.U.,"臭いっ！,くさいっ！",0
pa,"〈話・幼児語〉パパ(papa),〈はなし・ようじご〉ぱぱ(papa)",0
pa'anga,"パーアンガ,ぱーあんが",0
Pa-an,"パアン,ぱあん",0
paan,"〈インド〉パーン,〈いんど〉ぱーん",0
Paarl,"パール,ぱーる",0
Paauilo,"パーウイロ,ぱーういろ",0
Pabianice,"パビャニツェ,ぱびゃにつぇ",0
pablum,"エネルギー源,えねるぎーげん_陳腐な考え,ちんぷなかんがえ",0
Pabna,"パーブナ,ぱーぶな",0
pabulum,"栄養物,えいようもの_基礎資料,きそしりょう_燃料,ねんりょう_(精神的な)糧,(せいしんてきな)かて",0
Pac-Man,"パックマン,ぱっくまん",0
paca,"《動物》パカ,《どうぶつ》ぱか",0
Pacaraima,"パカライマ山脈,ぱからいまさんみゃく",0
pacarana,"《動物》パカラナ,《どうぶつ》ぱからな",0
Pacasmayo,"パカスマヨ,ぱかすまよ",0
pace,"〔歩いたり走ったりするときの〕一歩,〔あるいたりはしったりするときの〕いっぽ_〔一歩の〕歩幅,〔いっぽの〕ほはば_〔長さの単位の〕ペース,〔ながさのたんいの〕ぺーす_歩調,ほちょう_足並み,あしなみ_歩く速度,あるくそくど_〔ある様態の〕歩き方,〔あるようたいの〕あるきかた_〔物事の進む〕速さ,〔ものごとのすすむ〕はやさ_ペース,ぺーす_〔演劇や演奏の〕速度,〔えんげきやえんそうの〕そくど_テンポ,てんぽ_〔馬の〕足並み,〔うまの〕あしなみ_歩態,ほたい_〔動物の〕側対歩,〔どうぶつの〕がわついほ_〔場所を〕行きつ戻りつする,〔ばしょを〕いきつもどりつする_〔場所に沿って〕一定の速度で歩く,〔ばしょにそって〕いっていのそくどであるく_〔長さを〕歩測する,〔ながさを〕ほそくする_〔人が歩いたり走ったりする速度を〕調整する,〔にんがあるいたりはしったりするそくどを〕ちょうせいする_一定にする,いっていにする_〔馬を〕側対歩で歩かせる,〔うまを〕がわついほであるかせる_行きつ戻りつする,いきつもどりつする_ゆったりと歩く,ゆったりとあるく_歩測する,ほそくする_〔馬が〕側対歩で進む,〔うまが〕がわついほですすむ",0
paced,"歩みが～の,あゆみが～の_歩測された,ほそくされた",0
pacemaker,"〔マラソンなどの〕ペースメーカー,〔まらそんなどの〕ぺーすめーかー_先導役,せんどうやく_〔ある分野の〕リーダー,〔あるぶんやの〕りーだー_先導者,せんどうもの_《解剖》〔洞房結節などの〕歩調取り,《かいぼう》〔ほらぼうけつふしなどの〕ほちょうとり_ペースメーカー,ぺーすめーかー_《医》〔人工の〕ペースメーカー,《い》〔じんこうの〕ぺーすめーかー",0
pacemaking,"ペース設定,ぺーすせってい",0
pacer,"〔マラソンなどの〕ペースメーカー,〔まらそんなどの〕ぺーすめーかー_〔競馬の〕側対歩馬,〔けいばの〕がわついほうま_ペーサー,ぺーさー",0
pacesetter,"〔マラソンなどの〕ペースメーカー,〔まらそんなどの〕ぺーすめーかー_〔ある分野の〕リーダー,〔あるぶんやの〕りーだー_先導者,せんどうもの",0
pacesetting,"先導的な,せんどうてきな_模範を示す,もはんをしめす_流行をリードする,りゅうこうをりーどする",0
Pacesetting Times,"《The ～》ザ・ペースセッティング・タイムズ,《The ～》ざ・ぺーすせってぃんぐ・たいむず",0
paceway,"〈豪〉競馬の練習場,〈ごう〉けいばのれんしゅうじょう",0
pacey,"スピードのある,すぴーどのある",0
pachalic,"パシャ(pasha)の管轄区,ぱしゃ(pasha)のかんかつく",0
Pachamama,"パチャママ,ぱちゃまま",0
Pachayachachic,"パチャヤチャチク,ぱちゃやちゃちく",0
pachinko,"パチンコ,ぱちんこ",0
Pachinko Pachislot Security Information Organization,"遊技産業不正対策情報機構,ゆうぎさんぎょうふせいたいさくじょうほうきこう",0
pachisi,"インドすごろく,いんどすごろく",0
pachuca,"〈米〉pachucoと付き合っている10代の女の子,〈こめ〉pachucoとつきあっているじゅうだいのおんなのこ",0
Pachuca,"パチュカ,ぱちゅか",0
pachuco,"〈米〉パチューコ,〈こめ〉ぱちゅーこ",0
pachy-,"厚い,あつい",0
pachyblepharon,"《病理》瞼縁肥厚症,《びょうり》まぶたへりひこうしょう",0
pachycephalosaur,"《古代生物》パキケファロサウルス,《こだいせいぶつ》ぱきけふぁろさうるす",0
pachycheilia,"《病理》口唇肥厚症,《びょうり》こうしんひこうしょう",0
pachydactyly,"指趾肥厚,ゆびしひこう",0
pachyderm,"厚皮動物,あつしかわどうぶつ",0
pachyderma,"《病理》皮膚肥厚,《びょうり》ひふひこう_強皮症,きょうかわしょう",0
pachydermatous,"厚皮動物の,あつしかわどうぶつの_肥厚した,ひこうした_面の皮の厚い,めんのかわのあつい_鈍感な,どんかんな",0
pachydermoperiostosis,"《病理》強皮骨膜症,《びょうり》きょうかわほねまくしょう",0
pachydermous,"厚い壁の(ある),あついかべの(ある)",0
pachyglossia,"《病理》厚舌症,《びょうり》あつししたしょう",0
pachymeninges,"pachymeninxの複数形,pachymeninxのふくすうけい",0
pachymeningitis,"《病理》硬髄膜炎,《びょうり》こうずいまくえん",0
pachymeninx,"《解剖》硬膜,《かいぼう》こうまく",0
pachymeter,"パキメーター,ぱきめーたー_厚さ計,あつさけい_測厚器,そくあつしうつわ",0
pachynsis,"病的肥厚,びょうてきひこう",0
pachyonychia,"《病理》爪肥厚症,《びょうり》つめひこうしょう",0
pachyotia,"《病理》巨耳症,《びょうり》きょみみしょう",0
pachyperiostitis,"《病理》肥厚性骨膜炎,《びょうり》ひこうせいこつまくえん",0
pachypleuritis,"《病理》肥厚性胸膜炎,《びょうり》ひこうせいむねまくほのお",0
pachypodous,"巨足の,きょあしの",0
pachysandra,"フッキソウ属の多年草,ふっきそうぞくのたねんそう",0
pachytene,"《生物》太糸期,《せいぶつ》たいとき_原糸期,はらいとき",0
pachyvaginalitis,"《病理》肥厚性鞘膜炎,《びょうり》ひこうせいさやまくほのお",0
pachyvaginitis,"《病理》肥厚性膣炎,《びょうり》ひこうせいちつほのお",0
pacifarin,"《医》パシファリン,《い》ぱしふぁりん",0
pacifiable,"平和な状態に戻せる,へいわなじょうたいにもどせる_〔騒乱などを〕静められる,〔そうらんなどを〕しずめられる_〔怒っている人などを〕なだめられる,〔いかっているにんなどを〕なだめられる",0
pacific,"〔政策などが〕平和をもたらす,〔せいさくなどが〕へいわをもたらす_紛争を終わらせる,ふんそうをおわらせる_〔気候や気質などが〕穏やかな,〔きこうやきしつなどが〕おだやかな_平和を好む,へいわをこのむ_《Pacific》太平洋(沿岸)の,《Pacific》たいへいよう(えんがん)の_《the Pacific》太平洋,《the Pacific》たいへいよう_〈米〉太平洋時間,〈こめ〉たいへいようじかん",0
Pacific Accreditation Cooperation,"太平洋認定機関協力機構,たいへいようにんていきかんきょうりょくきこう",0
Pacific Air Forces,"《米》太平洋空軍司令部,《こめ》たいへいようくうぐんしれいぶ",0
Pacific and East Asian Travel Commission,"太平洋東アジア旅行委員会,たいへいようひがしあじありょこういいんかい",0
Pacific Area Travel Association,"太平洋地域旅行協会,たいへいようちいきりょこうきょうかい",0
Pacific Asia Resource Center,"アジア太平洋資料センター,あじあたいへいようしりょうせんたー",0
Pacific Asia Society,"アジア太平洋学会,あじあたいへいようがっかい",0
Pacific Asia Travel Association,"太平洋アジア旅行協会,たいへいようあじありょこうきょうかい",0
Pacific Banana,"トンチキ・バナナ航空,とんちき・ばななこうくう",0
Pacific Basin Economic Council,"太平洋経済委員会,たいへいようけいざいいいんかい",0
Pacific Business News,"パシフィック・ビジネス・ニュース,ぱしふぃっく・びじねす・にゅーす",0
Pacific Command,"《米》太平洋軍,《こめ》たいへいようぐん",0
Pacific Gas & Electric Co.,"パシフィック・ガス・アンド・エレクトリック,ぱしふぃっく・がす・あんど・えれくとりっく",0
Pacific Heights,"パシフィック・ハイツ,ぱしふぃっく・はいつ",0
"Pacific Industrial Co., Ltd.","太平洋工業,たいへいようこうぎょう",0
Pacific Industrial Property Association,"太平洋工業所有権協会,たいへいようこうぎょうしょゆうけんきょうかい",0
Pacific Islands,"太平洋諸島,たいへいようしょしま",0
Pacific Islands Center,"太平洋諸島センター,たいへいようしょしませんたー",0
Pacific Islands Report,"パシフィック・アイランド・レポート,ぱしふぃっく・あいらんど・れぽーと",0
Pacific Marine Association,"太平洋海運協会,たいへいようかいうんきょうかい",0
Pacific Marine Environmental Laboratory,"《米》太平洋海洋環境研究所,《こめ》たいへいようかいようかんきょうけんきゅうしょ",0
"Pacific Metals Co., Ltd.","太平洋金属,たいへいようきんぞく",0
"Pacific Music Festival, Center, Inc.","PMFセンター,ぴーえむえふせんたー",0
Pacific Northwest Laboratory,"パシフィックノースウェスト研究所,ぱしふぃっくのーすうぇすとけんきゅうしょ",0
Pacific Northwest National Laboratory,"パシフィック・ノースウエスト国立研究所,ぱしふぃっく・のーすうえすとこくりつけんきゅうしょ",0
Pacific Ocean,"《the ～》太平洋,《the ～》たいへいよう",0
Pacific Palisades 90272,"パシフィック・パリせーズ90272,ぱしふぃっく・ぱりせーずきゅうまんにひゃくしちじゅうに",0
Pacific Resource Exchange Center,"太平洋人材交流センター,たいへいようじんざいこうりゅうせんたー",0
Pacific saury,"《魚》秋刀魚,《さかな》さんま_さんま,さんま_さいら,さいら",0
Pacific Science Association,"太平洋学術協会,たいへいようがくじゅつきょうかい",0
Pacific Society,"《The ～》太平洋学会,《The ～》たいへいようがっかい",0
Pacific Stars and Stripes,"パシフィック・スターズ・アンド・ストライプス,ぱしふぃっく・すたーず・あんど・すとらいぷす",0
Pacific Telecommunications Council,"太平洋電気通信評議会,たいへいようでんきつうしんひょうぎかい",0
Pacific Wrestling Federation,"太平洋レスリング連盟,たいへいようれすりんぐれんめい",0
Pacific-rim,"環太平洋の,かんたいへいようの",0
Pacific-to-Atlantic,"太平洋から大西洋への,たいへいようからたいせいようへの",0
Pacifica,"パシフィカ,ぱしふぃか",0
Pacifica Tribune,"パシフィカ・トリビューン,ぱしふぃか・とりびゅーん",0
pacifically,"平和的に,へいわてきに",0
pacification,"和平工作,わへいこうさく_講和(条約),こうわ(じょうやく)_平和条約,へいわじょうやく",0
pacificator,"調停者,ちょうていしゃ",0
pacificatory,"融和的な,ゆうわてきな",0
pacifico,"〈スペイン語〉平和的な人,〈すぺいんご〉へいわてきなにん",0
pacifier,"〔人を〕落ち着かせるもの,〔にんを〕おちつかせるもの_〈米〉〔乳児用の〕おしゃぶり,〈こめ〉〔にゅうじようの〕おしゃぶり_調停者,ちょうていしゃ",0
pacifism,"戦争反対,せんそうはんたい_平和［反戦］主義,へいわ［はんせん］しゅぎ",0
pacifist,"平和主義者,へいわしゅぎもの_無抵抗主義者,むていこうしゅぎしゃ_良心的徴兵忌避者,りょうしんてきちょうへいきひもの",0
pacifistic,"平和主義(者)の,へいわしゅぎ(もの)の",0
pacify,"静める,しずめる_平和(な状態)にする［戻す］,へいわ(なじょうたい)にする［もどす］_(戦乱を)収める,(せんらんを)おさめる_制圧する,せいあつする_(食欲を)満たす,(しょくよくを)みたす",0
pacing,"歩調合せ,ほちょうあわせ",0
