word,meanings,score
R$,"レアル,れある",0
R&D Institute of Metals and Composites for Future Industries,"財団法人次世代金属・複合材料研究開発協会,ざいだんほうじんじせだいきんぞく・ふくごうざいりょうけんきゅうかいはつきょうかい",0
R&D-based,"研究開発ベースの,けんきゅうかいはつべーすの",0
r-colored,"r音を帯びた,あーるおとをおびた",0
r-determinant,"耐性決定遺伝子群,たいせいけっていいでんしぐん",0
r-dropping,"母音の後のrを発音しない,ぼいんののちのあーるをはつおんしない",0
r-process,"r過程,あーるかてい",0
R-rated,"〈米〉〔映画などが〕R指定の,〈こめ〉〔えいがなどが〕あーるしていの",0
R-shaft,"《ゴルフ》標準の硬さのシャフト,《ごるふ》ひょうじゅんのこうさのしゃふと",0
R-symmetry,"R対称性,あーるたいしょうせい",0
R-value,"R値,あーるあたい_熱貫流抵抗値,ねつかんりゅうていこうち",0
R.H. Macy,"RHメーシー社,あーるえいちめーしーしゃ",0
R.J. Reynolds Industries,"RJレイノルズインダストリーズ,あーるじぇーれいのるずいんだすとりーず",0
R.O.T.O.R.,"ロボポリス,ろぼぽりす",0
R.R. Donnelley and Sons,"ドネリーアンドサンズ,どねりーあんどさんず",0
R/C Car Action,"R/Cカー・アクション,あーる/しーかー・あくしょん",0
R/C Modeler,"R/Cモデラー,あーる/しーもでらー",0
r00t,"〈俗〉ルート,〈ぞく〉るーと",0
r0x0r,"〈俗〉すごい,〈ぞく〉すごい",0
Ra,"《船》ラー号,《ふね》らーごう",0
Ra Expeditions,"《The ～》ラー号の探検,《The ～》らーごうのたんけん",0
Ra's Al Hadd,"ハッド岬,はっどみさき",0
Ra's al-'Ayn,"ラース・アルアイン,らーす・あるあいん",0
Ra's Fartak,"ファルタク岬,ふぁるたくみさき",0
Ra's Madrakah,"マドラカ岬,まどらかみさき",0
Ra-Shalom,"《天文》ラーシャロム,《てんもん》らーしゃろむ",0
Raahe,"ラーヘ,らーへ",0
raas,"〈卑〉くそっ,〈ひ〉くそっ",0
Rab,"ラブ島,らぶしま",0
Raba,"ラバ川,らばかわ",0
Rabat,"ラバト,らばと",0
rabato,"〔16～17世紀初頭の〕ラバート,〔じゅうろく～じゅうしちせいきしょとうの〕らばーと_レバート,ればーと",0
Rabaul,"ラバウル,らばうる",0
Rabbah,"《聖書》ラバ,《せいしょ》らば_アンマン(Amman)の古称,あんまん(Amman)のこしょう",0
rabban,"《ユダヤ教》師,《ゆだやきょう》し_先生,せんせい",0
Rabbath-Ammon,"ヨルダンの首都Ammanの古称,よるだんのしゅとAmmanのこしょう",0
