word,meanings,score
S,"〔優秀な成績を表す〕S,〔ゆうしゅうなせいせきをあらわす〕えす_〔まあまあの成績を表す〕S,〔まあまあのせいせきをあらわす〕えす",0
"S & B Foods, Inc.","エスビー食品,えすびーしょくひん",0
s'more,"《食》スモア,《しょく》すもあ",0
S-adenosyl-L-homocysteine,"《生化学》S-アデノシル-L-ホモシステイン,《せいかがく》えすまいなすあでのしるまいなすえるまいなすほもしすていん",0
S-adenosyl-L-methionine,"《生化学》S-アデノシル-L-メチオニン,《せいかがく》えすまいなすあでのしるまいなすえるまいなすめちおにん",0
S-adenosyl-methionine,"S-アデノシルメチオニン,えすまいなすあでのしるめちおにん",0
S-adenosylhomocysteine,"《生化学》S-アデノシルホモシステイン,《せいかがく》えすまいなすあでのしるほもしすていん",0
S-adenosylmethionine,"《生化学》S-アデノシルメチオニン,《せいかがく》えすまいなすあでのしるめちおにん",0
S-bend,"S(字)排水管［継ぎ手・ベンド］,えす(じ)はいすいかん［つぎて・べんど］",0
S-characteristics,"S字特性,えすじとくせい",0
S-curve,"S字型カーブ［曲線］,えすじけいかーぶ［きょくせん］",0
S-distortion,"Sひずみ,えすひずみ",0
s-hook,"S字フック,えすじふっく",0
s-indacene,"《化学》s-インダセン,《かがく》えすまいなすいんだせん",0
S-potential,"S電位,えすでんい",0
s-process,"s過程,えすかてい",0
"S-Science Co., Ltd.","株式会社エス・サイエンス,かぶしきがいしゃえす・さいえんす",0
S-shaft,"《ゴルフ》硬いシャフト,《ごるふ》かたいしゃふと",0
S-turns,"S字ターン,えすじたーん",0
S-wave,"S波,えすなみ",0
S.F.W.,"S.F.W.,えす.えふ.だぶる.",0
S.H.E. (Security Hazards Expert),"S.H.E.クレオパトラ・ジャガー,えす.えいち.いー.くれおぱとら・じゃがー",0
S.O.B.,"S.O.B.,えす.おう.びー.",0
S.O.S. Titanic,"失われた航海,うしなわれたこうかい",0
S.S.White Technologies Incorporated,"エス・エス・ホワイト,えす・えす・ほわいと",0
"S.T. Chemical Co., Ltd.","エステー化学,えすてーかがく",0
S/M powder,"S・M散,えす・えむさん",0
S/Z,"S/Z－－バルザック『サラジーヌ』の構造分析,えす/ぜっと－－ばるざっく『さらじーぬ』のこうぞうぶんせき",0
