word,meanings,score
T,"《数学》ティー,《すうがく》てぃー_時間の記号,じかんのきごう_《the ～》トリード,《the ～》とりーど",0
T Zero,"柔かい月,やわらかかいがつ",0
T'ongchon,"トンチョン,とんちょん",0
T-back,"〔下着や水着の〕Tバック,〔したぎやみずぎの〕てぃーばっく",0
T-ball,"《野球》Tボール,《やきゅう》てぃーぼーる",0
T-bandage,"T字包帯,てぃーじほうたい",0
T-beam,"T形梁,てぃーかたちはり",0
t-bone,"真横に［T字状に］車が突っ込む［衝突する］,まよこに［てぃーじじょうに］くるまがつっこむ［しょうとつする］",0
T-bone,"Tボーン,てぃーぼーん",0
T-bucket,"ホットロッドの一種,ほっとろっどのいっしゅ",0
T-cell,"T細胞,てぃーさいぼう_Tリンパ球,てぃーりんぱたま",0
T-joint,"T継ぎ手,てぃーつぎて",0
T-junction,"T字路,てぃーじろ_T字の接合部分,てぃーじのせつごうぶふん",0
T-lymphocyte,"Tリンパ球,てぃーりんぱたま",0
T-man,"〈米〉特別税務調査官,〈こめ〉とくべつぜいむちょうさかん",0
T-matrix,"遷移行列,せんいぎょうれつ_遷移マトリクス,せんいまとりくす",0
T-men,"T-manの複数形,てぃーまいなすmanのふくすうけい",0
T-Mobile,"Tモービル,てぃーもーびる",0
T-Mobile USA Inc.,"Tモバイル・アメリカ,てぃーもばいる・あめりか",0
T-mycoplasma,"《微生物》Tマイコプラズマ,《びせいぶつ》てぃーまいこぷらずま",0
T-phage,"T系ファージ,てぃーけいふぁーじ",0
T-piece,"T字形の部品,てぃーじけいのぶひん",0
T-Rex,"T-REX,てぃーまいなすあーるいーえっくす",0
T-score,"《数学・統計》偏差値,《すうがく・とうけい》へんさち",0
T-shaped,"T字形の,てぃーじけいの",0
T-shirt,"Tシャツ,てぃーしゃつ",1
T-shirt-able,"〔スローガンやロゴとして〕Tシャツへのプリントに使える［適した］,〔すろーがんやろごとして〕てぃーしゃつへのぷりんとにつかえる［てきした］",0
T-square,"T定規,てぃーじょうぎ",0
T-strap,"T字形ストラップ,てぃーじけいすとらっぷ",0
t-test,"t-検定,てぃーまいなすけんてい",0
T-time,"Tタイム,てぃーたいむ",0
T-Town,"〈米俗〉Tタウン,〈こめぞく〉てぃーたうん",0
T-tube,"T字管,てぃーじかん",0
T-word,"Tで始まる言葉,てぃーではじまることば",0
T-zone,"Tゾーン,てぃーぞーん",0
T.G.I. Friday's,"T.G.I.フライデーズ,てぃー.じー.あい.ふらいでーず",0
ta,"〈英・豪〉ありがとう,〈えい・ごう〉ありがとう",0
Ta Khmau,"タクマウ,たくまう",0
Ta'if,"ターイフ,たーいふ",0
ta-da,"ジャジャーン！,じゃじゃーん！",0
ta-dah,"ジャジャーン！,じゃじゃーん！",0
ta-ta,"〈幼児語〉バイバイ,〈ようじご〉ばいばい_さよなら,さよなら_〈俗〉〔片方の〕おっぱい,〈ぞく〉〔かたほうの〕おっぱい",0
Taanack,"タアナク,たあなく",0
tab,"〔手でつまむ小さな〕ツメ,〔てでつまむちいさな〕つめ_つまみ,つまみ_〔服の〕タブ,〔ふくの〕たぶ_垂れ飾り,たれかざり_〈米話〉〔レストランなどの〕勘定書,〈こめはなし〉〔れすとらんなどの〕かんじょうしょ_〔商品や本などに付ける〕タグ,〔しょうひんやほんなどにつける〕たぐ_ラベル,らべる_インデックス,いんでっくす_〔飛行機の〕タブ,〔ひこうきの〕たぶ_プルタブ,ぷるたぶ_《コ》タブ,《こ》たぶ_札をつける,さつをつける_レッテルを貼る,れってるをはる_選定する,せんていする_つけにする,つけにする_タブレット(tablet),たぶれっと(tablet)_錠剤,じょうざい_タブロイド誌(tabloid),たぶろいどし(tabloid)_たばこ(tobacco),たばこ(tobacco)",0
TaB,"タブ,たぶ",0
tab-delimited,"タブ区切りの,たぶくぎりの_タブで区切った,たぶでくぎった",0
tab-end,"〈俗〉たばこの吸い殻,〈ぞく〉たばこのすいから_シケモク,しけもく",0
tabacism,"タバコ中毒症,たばこちゅうどくしょう_タバコ症,たばこしょう",0
Tabaco,"タバコ,たばこ",0
tabacosis,"タバコ中毒症,たばこちゅうどくしょう_タバコ症,たばこしょう",0
tabagism,"タバコ中毒症,たばこちゅうどくしょう_タバコ症,たばこしょう",0
Tabai Espec Corporation,"タバイエスペック,たばいえすぺっく",0
tabanid,"《生物》アブ,《せいぶつ》あぶ",0
Tabanidae,"《昆虫》アブ科,《こんちゅう》あぶか",0
Tabankulu,"タバンクル,たばんくる",0
Tabanus,"《昆虫》アブ属,《こんちゅう》あぶぞく",0
tabard,"伝令官服,でんれいかんふく_陣羽織,じんばおり",0
tabaret,"タバレット,たばれっと_刺しゅう枠,ししゅうわく",0
Tabasco,"タバスコ州,たばすこしゅう",0
tabasheer,"竹みそ,たけみそ",0
Tabayas,"タバヤ,たばや",0
tabbed,"〈米俗〉立派な服を着た,〈こめぞく〉りっぱなふくをきた_身なりのいい,みなりのいい",0
tabbing,"タブ移動,たぶいどう",0
tabbouleh,"タブーラ,たぶーら",0
tabby,"虎猫,とらねこ_ぶち猫,ぶちねこ_〔雌の〕飼い猫,〔めすの〕かいねこ_〈古〉うわさ［詮索］好きな女,〈こ〉うわさ［せんさく］すきなおんな_波紋絹,はもんきぬ_平織り,たいらおり_〔動物の毛が〕ぶちの,〔どうぶつのけが〕ぶちの_しまの,しまの_〔生地が〕波紋絹の,〔きじが〕はもんきぬの",0
tabefaction,"《医》痩削,《い》そうさく",0
tabella,"錠剤,じょうざい",0
tabellae,"錠剤,じょうざい",0
Taber,"テーバー,てーばー",0
tabernacle,"《the ～》〔旧約聖書の〕幕屋,《the ～》〔きゅうやくせいしょの〕まくや_タバナクル,たばなくる_〔ユダヤ教の〕神殿,〔ゆだやきょうの〕しんでん_〔カトリック教会の〕聖櫃,〔かとりっくきょうかいの〕ひじりひつ_〔モルモン教の〕寺院,〔もるもんきょうの〕じいん_礼拝堂,れいはいどう_〔教会の〕壁龕,〔きょうかいの〕かべがん_《海事》檣根枠,《かいじ》しょうねわく_タバネークル,たばねーくる_〔一時的に霊魂の宿る〕肉体,〔いちじてきにれいこんのやどる〕にくたい_〔仮の〕住まい,〔かりの〕すまい_幕屋,まくや",0
tabernacular,"天蓋造りの,てんがいつくりの",0
tabes,"《病理》癆,《びょうり》ろう_消耗症,しょうもうしょう",0
tabescence,"痩削,そうさく_消耗,しょうもう",0
tabescent,"消耗性の,しょうもうせいの",0
