word,meanings,score
U,"〈主に英話〉〔人の言葉遣いや社会的マナーが〕上流社会的な,〈おもにえいはなし〉〔にんのことばづかいやしゃかいてきまなーが〕じょうりゅうしゃかいてきな",0
U-571,"U-571,ゆーまいなすごひゃくしちじゅういち",0
U-boat,"Uボート,ゆーぼーと_ドイツの潜水艦,どいつのせんすいかん",0
U-bolt,"U字形ボルト,ゆーじけいぼると",0
U-CARD INC,"株式会社ユーカード,かぶしきがいしゃゆーかーど",0
U-Haul,"ユーホール,ゆーほーる",0
u-ie,"〈豪俗〉Uターン(をすること),〈ごうぞく〉ゆーたーん(をすること)",0
U-shaped,"U字形の,ゆーじけいの",0
U-Shin Ltd.,"ユーシン,ゆーしん",0
U-tube,"U字管,ゆーじかん",0
U-turn,"Uターン,ゆーたーん_〈話〉〔考え・計画・政策などの〕180度転換,〈はなし〉〔かんがえ・けいかく・せいさくなどの〕ひゃくはちじゅうどてんかん_Uターンする,ゆーたーんする_〈話〉〔考え・計画・政策などが〕180度転換する,〈はなし〉〔かんがえ・けいかく・せいさくなどが〕ひゃくはちじゅうどてんかんする_〈話〉〔考え・計画・政策などを〕180度転換させる,〈はなし〉〔かんがえ・けいかく・せいさくなどを〕ひゃくはちじゅうどてんかんさせる",0
U-valley,"U字谷,ゆーじたに",0
"U. Store Co., Ltd.","ユーストア,ゆーすとあ",0
U.N.-backed,"国連に支えられた［支援された］,こくれんにささえられた［しえんされた］",0
U.N.-led,"国連主導の,こくれんしゅどうの",0
U.N.-proposed,"国連提案の,こくれんていあんの",0
U.N.-sponsored,"国連が支援する,こくれんがしえんする",0
U.N.-supervised,"国連の監督下の,こくれんのかんとくかの",0
U.N.contingent,"国連派遣部隊,こくれんはけんぶたい",0
U.S.,"米国の,べいこくの_アメリカの,あめりかの",0
U.S. Coast Guard Academy,"米国沿岸警備隊士官学校,べいこくえんがんけいびたいしかんがっこう",0
U.S. Coast Guard Activities Far East,"米国沿岸警備隊極東司令部,べいこくえんがんけいびたいきょくとうしれいぶ",0
U.S. Department of Homeland Security,"米国国土安全保障省,べいこくこくどあんぜんほしょうしょう",0
U.S. Department of Labor,"米国労働省,べいこくろうどうしょう",0
U.S. Energy Information Administration,"《the ～》アメリカ合衆国エネルギー情報局,《the ～》あめりかがっしゅうこくえねるぎーじょうほうきょく",0
U.S. Fish and Wildlife Service,"米国魚類野生生物局,べいこくぎょるいやせいせいぶつきょく",0
U.S. Green Building Council,"《the ～》米国グリーンビルディング協会,《the ～》べいこくぐりーんびるでぃんぐきょうかい",0
U.S.-appointed,"米国によって任命［設置］された,べいこくによってにんめい［せっち］された",0
U.S.-backed,"米国が支援する,べいこくがしえんする",0
U.S.-centered,"合衆国中心の,がっしゅうこくちゅうしんの",0
U.S.-driven,"米国主導の,べいこくしゅどうの_米国を中心とした,べいこくをちゅうしんとした",0
U.S.-funded,"米国から資金提供を受けた,べいこくからしきんていきょうをうけた",0
U.S.-installed,"米国によって任命［設置］された,べいこくによってにんめい［せっち］された",0
U.S.-led,"米国［アメリカ］主導の,べいこく［あめりか］しゅどうの",0
U.S.-mandated,"米国が命じた,べいこくがめいじた_米国に指図された,べいこくにさしずされた",0
U.S.-pledged,"米国が約束した,べいこくがやくそくした",0
U.S.-related,"米国関連の,べいこくかんれんの",0
U.S.-Sino,"米・中国(の),こめ・ちゅうごく(の)_米中(の),こめなか(の)",0
U.S.-sponsored,"米国がスポンサーの,べいこくがすぽんさーの_米国が提供する,べいこくがていきょうする",0
U.S.-style,"米国型の,べいこくがたの",0
U.S.-trained,"米国で教育を受けた,べいこくできょういくをうけた",0
U.S.A.,"U.S.A.,ゆー.えす.えー.",0
U.S.Marshals,"追跡者,ついせきもの",0
U2,"U2,ゆーに",0
U2 Rattle And Hum,"U2／魂の叫び,ゆーに／たましいのさけび",0
uakari,"《動物》ウアカリ,《どうぶつ》うあかり",0
"UAL, Inc.","ユーエイエル,ゆーえいえる",0
Uaupe's,"ウアウペス川,うあうぺすかわ",0
Uaupes,"ワウペス,わうぺす",0
Uba,"ウバー,うばー",0
Ubangi,"ウバンギ川,うばんぎかわ",0
Ubangi-Shari,"ウバンギシャリ,うばんぎしゃり",0
Ubatuba,"ウバツバ,うばつば",0
ubble-gubble,"〈米俗〉たわ言,〈こめぞく〉たわげん",0
"Ube Industries, Ltd.","宇部興産,うべこうさん",0
"UBE MACHINERY CORPORATION, LTD.","宇部興産機械株式会社,うべこうさんきかいかぶしきがいしゃ",0
"Ube Material Industries, Ltd.","宇部マテリアルズ,うべまてりあるず",0
"Ube-Nitto Kasei Co., Ltd.","宇部日東化成,うべにっとうかせい",0
Ubeda,"ウベダ,うべだ",0
ubenimex,"《化学》ウベニメクス,《かがく》うべにめくす",0
uber,"〈俗〉すごく,〈ぞく〉すごく_とても,とても",0
uber-1337,"〈俗〉超すごい,〈ぞく〉ちょうすごい_スーパーハッカーで,すーぱーはっかーで",0
uber-cool,"〈俗〉超クールな,〈ぞく〉ちょうくーるな_超格好いい,ちょうかっこういい",0
uber-l33t,"〈俗〉超すごい,〈ぞく〉ちょうすごい_スーパーハッカーで,すーぱーはっかーで",0
