word,meanings,score
V,"《ローマ数字》5,《ろーますうじ》ご_五,ご",0
V-1,"《軍事》V-1号(爆弾),《ぐんじ》ぶいまいなすいちごう(ばくだん)",0
V-agent,"V剤,ぶいざい",0
V-bomb,"V型兵器,ぶいかたへいき",0
V-bomber,"V爆撃機,ぶいばくげきき",0
V-day,"〔戦争の〕勝利の日,〔せんそうの〕しょうりのにち",0
V-eight,"V型8気筒エンジンの,ぶいかたはちきとうえんじんの",0
V-engine,"《自動車》V型エンジン,《じどうしゃ》ぶいかたえんじん",0
V-formation,"V字型,ぶいじけい",0
V-neck,"V字型の襟元,ぶいじけいのえりもと_Vネック,ぶいねっく_Vネツクの,ぶいねつくの",0
V-notch,"V(字の)切り欠き,ぶい(じの)きりかき",0
V-shaped,"V字形の,ぶいじけいの",0
V-six,"V型6気筒エンジンの,ぶいかたろっきとうえんじんの",0
V-string,"ブイストリング,ぶいすとりんぐ",0
V-strut,"V字型支柱,ぶいじけいしちゅう",0
V-tach,"〈話〉《医》上室性頻拍,〈はなし〉《い》うえしつせいひんはく",0
V-twelve,"V型12気筒エンジンの,ぶいかたじゅうにきとうえんじんの",0
V-Twin,"Vツイン,ぶいついん",0
V.I.P.s,"《The ～》予期せぬ出来事,《The ～》よきせぬできごと",0
V.I.Warshawski,"私がウォシャウスキー,わたしがうぉしゃうすきー",0
Va'h,"ヴァーフ川,ゔぁーふかわ",0
va-va-voom,"〈米俗〉わあ,〈こめぞく〉わあ_すごい,すごい_〈米俗〉ワクワクすること［もの］,〈こめぞく〉わくわくすること［もの］",0
va-voom,"アー,あー_アヘアヘ,あへあへ_ハー,はー_ウーッ,うーっ_好き者の,すきものの_グッとくる,ぐっとくる_セクシーな,せくしーな_性欲をそそる,せいよくをそそる",0
vaad,"〈ヘブライ語〉ユダヤ評議会,〈へぶらいご〉ゆだやひょうぎかい",0
vaal,"《動物》リーボック,《どうぶつ》りーぼっく",0
Vaal,"バール川,ばーるかわ",0
Vaaldam,"バール・ダム,ばーる・だむ",0
Vaalplaas,"バールプラース,ばーるぷらーす",0
