word,meanings,score
w,"アルファベットの第23字,あるふぁべっとのだいにじゅうさんじ",0
W,"タングステン(tungsten)を表す記号,たんぐすてん(tungsten)をあらわすきごう",0
W&G Foyle Ltd.,"フォイルズ,ふぉいるず",0
W-value,"W値,だぶるあたい",0
W. M. Keck Foundation,"W.M.ケック財団,だぶる.えむ.けっくざいだん",0
W.B.Blue And the Beaner,"アウトライダー,あうとらいだー",0
W.H.Smith,"ダブリュ・エイチ・スミス,だぶりゅ・えいち・すみす",0
w00t,"〈俗〉おお,〈ぞく〉おお_へへ,へへ_やった,やった",0
waa,"エーン,えーん_ワーン,わーん",0
Waal,"ワール川,わーるかわ",0
Waalwijk,"ワールワイク,わーるわいく",0
Wabana,"ワバナ,わばな",0
Wabash,"ウォバシュ,うぉばしゅ",0
Wabrzezno,"ボンブジェジノ,ぼんぶじぇじの",0
wac,"〈俗〉非常に気色の悪い,〈ぞく〉ひじょうにきしょくのわるい_非常に不快な,ひじょうにふかいな_不適切な,ふてきせつな",0
Wachow,"ワッホー,わっほー",0
wack,"〈米俗〉変人,〈こめぞく〉へんじん_〈米俗〉ひどい,〈こめぞく〉ひどい_ださい,ださい_ばかげている,ばかげている_最低の,さいていの",0
Wackenhut,"ワッケンハット,わっけんはっと",0
Wacker,"ワッカー・アマダー法,わっかー・あまだーほう",0
wackiness,"狂気さ,きょうきさ",0
wacko,"〈俗〉変わった［おかしな］やつ,〈ぞく〉かわった［おかしな］やつ_〈俗〉妙ちきりんな,〈ぞく〉みょうちきりんな_変てこな,かえてこな_訳が分からない,わけがわからない_奇怪な,きかいな",0
Wacko,"死霊のかぼちゃ,しりょうのかぼちゃ",0
wacky,"〈俗・軽蔑的〉頭のおかしい,〈ぞく・けいべつてき〉あたまのおかしい_いかれた,いかれた_〈話〉変わった,〈はなし〉かわった_奇抜な,きばつな",0
Waco,"ウェーコ,うぇーこ",0
Waco Tribune-Herald,"ウェイコ・トリビューン・ヘラルド,うぇいこ・とりびゅーん・へらるど",0
Wacoal Corporation,"ワコール,わこーる",0
wacterwards,"水のある方向へ,みずのあるほうこうへ",0
wad,"小塊,しょうかい_束,そく_詰め物,つめもの_〈俗〉多量,〈ぞく〉たりょう_〈卑俗〉精液,〈ひぞく〉せいえき_詰め物をする,つめものをする",0
Wad Medani,"ワド・メダニ,わど・めだに",0
wad up,"〈米黒人俗〉,〈こめこくじんぞく〉",0
wada,"バーダ,ばーだ_ワーダ,わーだ",0
wadcutter,"ワッドカッター(弾),わっどかったー(だん)",0
Wadden Zee,"ワッデ海,わっでうみ",0
waddie,"〈米西部俗〉カウボーイ(cowboy),〈こめせいぶぞく〉かうぼーい(cowboy)_〈米西部俗〉牛泥棒,〈こめせいぶぞく〉うしどろぼう",0
wadding,"詰め物,つめもの_詰め綿,つめめん",0
Waddington,"ワディントン山,わでぃんとんやま",0
waddle,"〔人や動物が体を揺らしながら〕よたよたと歩く,〔にんやどうぶつがからだをゆらしながら〕よたよたとあるく_〔船などが左右に揺れながら〕ぎこちなく進む,〔ふねなどがさゆうにゆれながら〕ぎこちなくすすむ_〔アヒルなどのような〕よたよた歩き,〔あひるなどのような〕よたよたあるき",0
waddler,"よたよた歩く人,よたよたあるくにん",0
waddling,"詰め物,つめもの_詰め綿,つめめん",0
waddly,"よたよた［よちよち］歩く,よたよた［よちよち］あるく",0
waddy,"〔オーストラリア先住民が戦いに用いた〕こん棒,〔おーすとらりあせんじゅうみんがたたかいにもちいた〕こんぼう_〈米西部俗〉カウボーイ(cowboy),〈こめせいぶぞく〉かうぼーい(cowboy)_〈米西部俗〉牛泥棒,〈こめせいぶぞく〉うしどろぼう",0
wade,"水中を歩く［歩いて渡る］,すいちゅうをあるく［あるいてわたる］_苦労して進む,くろうしてすすむ_やり通す,やりとうす_やっと切り抜ける,やっときりぬける_《囲碁》わたる,《いご》わたる_〔水などを〕苦労して通り抜ける,〔みずなどを〕くろうしてとうりぬける_〔川などを〕歩いて行くこと,〔かわなどを〕あるいていくこと",0
wadeable,"〔川などが〕歩いて渡れる,〔かわなどが〕あるいてわたれる",0
Wadelai,"ワデライ,わでらい",0
Wadenswil,"ウェデンスウィル,うぇでんすうぃる",0
wader,"〔川などを〕歩いて渡る人,〔かわなどを〕あるいてわたるにん_〔魚釣り用の〕ウェイダー,〔さかなつりようの〕うぇいだー_ウェーダー,うぇーだー_防水長靴,ぼうすいながぐつ_《鳥》渉禽類,《とり》わたるきんるい",0
wadge,"〈英話〉塊(になったもの),〈えいはなし〉かい(になったもの)_束,そく",0
wadi,"ワジ,わじ",0
Wadi Al Seer,"ワーディー・アッスィール,わーでぃー・あっすぃーる",0
Wadi Halfa,"ワディハルファ,わでぃはるふぁ",0
Wadi Musa,"ワジムサ,わじむさ",0
Wadi Zerka,"ワディ・ザーカ川,わでぃ・ざーかかわ",0
Wadi Zerka River,"ワディ・ザーカ川,わでぃ・ざーかかわ",0
wadi-al-kabir,"〈アラビア語〉大きな川,〈あらびあご〉おおきなかわ",0
Wadias,"《the ～》ワディア一族,《the ～》わでぃあいちぞく",0
wading,"《囲碁》ワタリ,《いご》わたり_わたり,わたり",0
Wadowice,"バドビツェ,ばどびつぇ",0
Wadsworth,"ウォズワース,うぉずわーす",0
Wafangdian,"瓦房店市,かわらぼうみせし",0
Wafd,"ワフド党,わふどとう",0
wafer,"〔菓子の〕ウエハース,〔かしの〕うえはーす_ウエハー,うえはー_聖餅,ひじりもち",0
wafer-thin,"非常に薄い,ひじょうにうすい_僅差の,きんさの",0
wafery,"ウエハース状の,うえはーすじょうの",0
