word,meanings,score
x,"未知数,みちすう_未知の人［物］,みちのにん［もの］_掛け算の符号,かけざんのふごう_〔レンズなどの〕倍率,〔れんずなどの〕ばいりつ",0
X,"アルファベットの第24字,あるふぁべっとのだいにじゅうよんじ_第24番(のもの),だいにじゅうよんばん(のもの)_24番目(のもの),にじゅうしばんめ(のもの)_X字形(のもの),えっくすじけい(のもの)_《記号》クロス記号,《きごう》くろすきごう_×印,ばついん_《ローマ数字》10,《ろーますうじ》じゅう_十,じゅう_成人映画,せいじんえいが_未成年者入場お断りの映画,みせいねんしゃにゅうじょうおことわりのえいが_内線,ないせん_《電気》リアクタンス,《でんき》りあくたんす",0
X - The Man with the X-ray Eyes,"X線の眼を持つ男,えっくすせんのめをもつおとこ",0
X chromosome-linked,"X染色体連鎖の,えっくすせんしょくたいれんさの",0
X Files - The Movie,"《The ～》Xファイル　ザ・ムービー,《The ～》えっくすふぁいる　ざ・むーびー",0
X Stands for Unknown,"未知のX,みちのえっくす",0
X-32,"《軍事》短距離離着陸機,《ぐんじ》たんきょりりちゃくりくき",0
X-35,"《軍事》短距離離着陸機,《ぐんじ》たんきょりりちゃくりくき",0
X-Acto,"エグザクト,えぐざくと",0
x-axis,"《数学》X軸,《すうがく》えっくすじく",0
X-body,"X体,えっくすからだ",0
X-chromosome,"X染色体,えっくすせんしょくたい",0
x-coordinate,"《数学》X座標,《すうがく》えっくすざひょう",0
X-disease,"X病,えっくすびょう",0
X-engine,"X形機関,えっくすかたちきかん",0
x-factor,"未知の人物,みちのじんぶつ",0
x-height,"《活版印刷》エックスハイト,《かっぱんいんさつ》えっくすはいと",0
X-inactivation,"《遺伝》X染色体の不活性化［不活化］,《いでん》えっくすせんしょくたいのふかっせいか［ふかつか］",0
x-indication,"×印,ばついん",0
x-intercept,"x切片,えっくすせっぺん",0
X-irradiated,"X線照射された,えっくすせんしょうしゃされた",0
X-irradiation,"X線照射,えっくすせんしょうしゃ",0
X-linkage,"X連鎖,えっくすれんさ",0
x-linked,"X染色体に連鎖した,えっくすせんしょくたいにれんさした",0
X-linked,"X連鎖性の,えっくすれんさせいの",0
x-mark,"xの記号,えっくすのきごう_バツ印,ばついん",0
x-new,"権利落ち,けんりおち_新株落ち,しんかぶおち",0
X-ogen,"X素,えっくすもと",0
x-punch,"X穿孔,えっくすせんこう",0
X-radiate,"レントゲン［X線］をかける,れんとげん［えっくすせん］をかける",0
x-radiation,"X線照射,えっくすせんしょうしゃ",0
X-rate,"成人向け映画に指定する,せいじんむけえいがにしていする",0
X-rated,"〔映画が〕成人向き指定の,〔えいがが〕せいじんむきしていの_成人向けの,せいじんむけの_〔言葉が〕いかがわしい,〔ことばが〕いかがわしい_エッチな,えっちな_ポルノの,ぽるのの_下品な,げひんな_わいせつな,わいせつな",0
X-rating,"成人向き映画指定,せいじんむきえいがしてい",0
X-ray,"X線,えっくすせん_X線写真,えっくすせんしゃしん_レントゲン写真,れんとげんしゃしん_X,えっくす_X線で検査［治療・処理］する,えっくすせんでけんさ［ちりょう・しょり］する_X線で調べる,えっくすせんでしらべる_レントゲンで検査する,れんとげんでけんさする_レントゲン写真を撮る,れんとげんしゃしんをとる_X線の,えっくすせんの_レントゲン検査の,れんとげんけんさの_レントゲン写真の,れんとげんしゃしんの",0
X-ray-crystallographic,"X線結晶学的な,えっくすせんけっしょうがくてきな",0
X-ray-emitting,"X線を発生［放出］する,えっくすせんをはっせい［ほうしゅつ］する",0
X-ray-induced,"X線誘導［誘発・誘起・起因］(性)の,えっくすせんゆうどう［ゆうはつ・ゆうき・きいん］(せい)の_X線に(よって)誘導［誘発・誘起・引き起こ］される,えっくすせんに(よって)ゆうどう［ゆうはつ・ゆうき・ひきおこ］される",0
X-ray-inducible,"X線誘導［誘発・誘起・起因］(性)の,えっくすせんゆうどう［ゆうはつ・ゆうき・きいん］(せい)の_X線に(よって)誘導［誘発・誘起・引き起こ］される,えっくすせんに(よって)ゆうどう［ゆうはつ・ゆうき・ひきおこ］される",0
X-ray-related,"X線に関連した,えっくすせんにかんれんした",0
x-section,"断面,だんめん_切断面,せつだんめん_横断面,おうだんめん_筒［輪］切りにされたもの,つつ［わ］きりにされたもの_断面の,だんめんの_切断面の,せつだんめんの_横断面の,おうだんめんの_筒［輪］切りにされた,つつ［わ］きりにされた",0
x-sectional,"断面の,だんめんの_切断面の,せつだんめんの_横断面の,おうだんめんの_筒［輪］切りにされた,つつ［わ］きりにされた",0
X-shaped,"X字形の,えっくすじけいの",0
X-sport,"過激なスポーツ,かげきなすぽーつ",0
X-stool,"X脚スツール,えっくすあしすつーる",0
X-strabismus,"X斜視,えっくすしゃし",0
X-terminal,"《コ》Xターミナル,《こ》えっくすたーみなる",0
X-theory,"《組織心理学》X理論,《そしきしんりがく》えっくすりろん",0
X-TRAIL,"エクストレイル,えくすとれいる",0
X-way,"X方向の,えっくすほうこうの",0
X-window,"《コ》Xウィンドウ(エックスウィンドウ),《こ》えっくすうぃんどう(えっくすうぃんどう)",0
X-wing,"X翼,えっくすつばさ",0
Xanadu,"桃源郷,とうげんきょう_ザナドゥ,ざなどぅ",0
Xanax,"ザナックス,ざなっくす",0
Xanelim,"ザネリン,ざねりん",0
Xankandi,"ハンケンディ,はんけんでぃ",0
Xankendi,"ハンケンディ,はんけんでぃ",0
Xanten,"クサンテン,くさんてん",0
xanth-,"xantho-の異形,xanthoまいなすのいぎょう",0
xanthan,"《化学》キサンタン,《かがく》きさんたん",0
xanthate,"キサントゲン酸塩,きさんとげんさんしお",0
xanthate-mediated,"キサントゲン酸塩媒介［介在・仲介］(性)の,きさんとげんさんしおばいかい［かいざい・ちゅうかい］(せい)の_キサントゲン酸塩の媒介［介在・仲介］による,きさんとげんさんしおのばいかい［かいざい・ちゅうかい］による",0
xanthate-related,"キサントゲン酸塩関連の,きさんとげんさんしおかんれんの",0
xanthation,"キサントゲン酸塩,きさんとげんさんしお",0
xanthein,"《化学》キサンテイン,《かがく》きさんていん",0
xanthelasma,"黄色板腫,きいろいたしゅ_黄色板(症),きいろいた(しょう)",0
xanthemia,"《病理》黄色血(症),《びょうり》きいろち(しょう)",0
xanthene,"《化学》キサンテン,《かがく》きさんてん",0
Xanthi,"クサンチ,くさんち_クサンテイ,くさんてい",0
xanthic,"《化学》キサンチンの,《かがく》きさんちんの_キサントゲン酸の,きさんとげんさんの_《植物》黄色の,《しょくぶつ》きいろの",0
Xanthidae,"《動物》オウギガニ科,《どうぶつ》おうぎがにか",0
xanthin,"キサンチン,きさんちん_アカネ色素,あかねしきそ",0
xanthine,"《化学》キサンチン,《かがく》きさんちん",0
xanthine-containing,"キサンチン含有の,きさんちんがんゆうの",0
xanthine-dependent,"キサンチン依存の,きさんちんいぞんの",0
xanthine-induced,"キサンチン誘導［誘発・誘起・起因］(性)の,きさんちんゆうどう［ゆうはつ・ゆうき・きいん］(せい)の_キサンチンに(よって)誘導［誘発・誘起・引き起こ］される,きさんちんに(よって)ゆうどう［ゆうはつ・ゆうき・ひきおこ］される",0
xanthine-mediated,"キサンチン媒介［介在・仲介］(性)の,きさんちんばいかい［かいざい・ちゅうかい］(せい)の_キサンチンの媒介［介在・仲介］による,きさんちんのばいかい［かいざい・ちゅうかい］による",0
xanthine-related,"キサンチン関連の,きさんちんかんれんの",0
xanthine-resistant,"キサンチン耐性の,きさんちんたいせいの",0
xanthine-sensitive,"キサンチン感受性の,きさんちんかんじゅせいの",0
xanthine-stimulated,"キサンチン刺激性の,きさんちんしげきせいの",0
xanthinuria,"キサンチン尿(症),きさんちんにょう(しょう)",0
Xanthippe,"クサンティッペ,くさんてぃっぺ_ガミガミ女,がみがみおんな",0
xanthism,"黄色化,きいろか",0
Xanthium,"《植物》オナモミ属,《しょくぶつ》おなもみぞく",0
xantho-,"黄色,きいろ_キサントゲン酸,きさんとげんさん",0
xanthoastrocytoma,"《病理》黄色星状膠細胞腫,《びょうり》きいろほしじょうにかわさいぼうしゅ",0
xanthochroi,"黄白人種,きはくじんたね",0
xanthochroic,"黄白人種の,きはくじんたねの",0
xanthochroid,"黄白人種(の),きはくじんたね(の)",0
xanthochroism,"《獣医》黄変症,《じゅうい》きへんしょう",0
xanthochromatic,"黄色調の,きいろちょうの",0
xanthochromia,"《医》キサントクロミー,《い》きさんとくろみー_黄色化,きいろか",0
xanthochroous,"黄色皮膚の,きいろひふの",0
xanthoderm,"肌の黄色い人,はだのきいろいにん",0
xanthoderma,"《医》黄色皮膚,《い》きいろひふ",0
xanthofibroma,"《医》黄色線維腫,《い》きいろせんいしゅ",0
xanthogenate,"キサントゲン酸塩,きさんとげんさんしお",0
xanthogranuloma,"《病理》黄色肉芽腫,《びょうり》きいろにくがしゅ",0
xanthoma,"《医》黄色腫,《い》きいろしゅ",0
xanthomatosis,"《病理》黄色腫症,《びょうり》きいろしゅしょう",0
xanthomatous,"黄色腫の［に関する］,きいろしゅの［にかんする］_黄色腫性の,きいろしゅせいの",0
xanthomelanous,"毛髪が黒く皮膚が黄褐色の人種の［に関する］,もうはつがくろくひふがきかっしょくのじんしゅの［にかんする］",0
Xanthomonas,"《細菌》キサントモナス,《さいきん》きさんともなす",0
xanthone,"《生物》キサントン,《せいぶつ》きさんとん",0
xanthone-containing,"キサントン含有の,きさんとんがんゆうの",0
