word,meanings,score
y,"第2未知数,だいにみちすう_統一,とういつ_統合,とうごう",0
Y,"第2未知数,だいにみちすう_統一,とういつ_統合,とうごう",0
y'ain't,"〈俗〉,〈ぞく〉",0
y'hear,"〈俗〉,〈ぞく〉",0
y-axis,"《数学》Y軸,《すうがく》わいじく",0
Y-branch,"Y字型の管,わいじけいのかん",0
Y-cable,"《コ》Yケーブル,《こ》わいけーぶる",0
Y-chromosome,"Y染色体,わいせんしょくたい",0
Y-connection,"Y結線,わいけっせん",0
y-coordinate,"《数学》Y座標,《すうがく》わいざひょう",0
Y-front,"《Y-fronts》,《わいまいなすfronts》",0
y-intercept,"《数学》y切片,《すうがく》わいせっぺん",0
Y-intersection,"Y字路,わいじろ",0
Y-junction,"Y字路,わいじろ",0
Y-linkage,"Y連鎖,わいれんさ",0
Y-people,"ヤッピー,やっぴー_若い都会派プロフェッショナル,わかいとかいはぷろふぇっしょなる",0
Y-person,"ヤッピー,やっぴー_若い都会派プロフェッショナル,わかいとかいはぷろふぇっしょなる",0
y-punch,"Y穿孔,わいせんこう",0
Y-shaped,"Y(字)型の,わい(じ)かたの",0
Y2K,"西暦2000年,せいれきにせんねん",0
Y2K compliant,"《コ》2000年(問題)対応の,《こ》にせんねん(もんだい)たいおうの",0
Y2K-ready,"2000年問題を解決する用意ができて,にせんねんもんだいをかいけつするよういができて",0
Y2K-related,"Y2K関連の,わいにけいかんれんの",0
Y2K1,"2000年,にせんねん",0
ya,"〈話〉そ,〈はなし〉そ_うん,うん",0
Ya,"ヤー,やー",0
Yaan,"ヤーアン,やーあん",0
yabber,"〈豪〉おしゃべりをする,〈ごう〉おしゃべりをする_〈豪〉おしゃべり,〈ごう〉おしゃべり",0
yabbie,"〈豪〉ザリガニをとりに行く,〈ごう〉ざりがにをとりにいく_〈豪〉ザリガニ,〈ごう〉ざりがに",0
yabby,"〈豪〉ザリガニをとりに行く,〈ごう〉ざりがにをとりにいく_〈豪〉ザリガニ,〈ごう〉ざりがに",0
Yablonitskii Pereval,"ヤブロニカ峠,やぶろにかとうげ",0
Yablonovyi Khrebet,"ヤブロノイ山脈,やぶろのいさんみゃく_ヤブロノボ山脈,やぶろのぼさんみゃく",0
Yacatecutli,"ヤカテクトリ,やかてくとり",0
"Yachiyo Industry Co., Ltd.","八千代工業,やちよこうぎょう",0
"Yachiyo Musen Denki Co., Ltd.","八千代ムセン電機,やちよむせんでんき",0
yacht,"《海事》〔帆船の〕ヨット,《かいじ》〔はんせんの〕よっと_《海事》クルーザー,《かいじ》くるーざー_ヨットで帆走する,よっとではんそうする",0
Yacht Aid Kyushu,"ヨットエイド九州,よっとえいどきゅうしゅう",0
Yacht Safety Bureau,"帆船安全局,はんせんあんぜんきょく",0
yachtie,"〈豪NZ話〉ヨット乗り,〈ごうえぬぜっとはなし〉よっとのり",0
yachting,"ヨット操縦(術),よっとそうじゅう(じゅつ)_ヨット遊び,よっとあそび_ヨット乗りの,よっとのりの_ヨット遊びの,よっとあそびの",0
Yachting,"ヨッティング,よってぃんぐ",0
yachtsman,"ヨット操縦者,よっとそうじゅうしゃ",0
yachtsmanship,"ヨット操縦法,よっとそうじゅうほう",0
yachtsmen,"yachtsmanの複数形,yachtsmanのふくすうけい",0
yachtswoman,"yachtsmanの女性形,yachtsmanのじょせいかたち",0
yachtswomen,"yachtswomanの複数形,yachtswomanのふくすうけい",0
yack,"〔ガヤガヤ・ペチャクチャと〕無駄話［くだらないおしゃべり］をする,〔がやがや・ぺちゃくちゃと〕むだばなし［くだらないおしゃべり］をする_吐く,はく_嘔吐する,おうとする",0
yack-e-ty-yack,"〔ガヤガヤ・ペチャクチャと〕無駄話［くだらないおしゃべり］をする,〔がやがや・ぺちゃくちゃと〕むだばなし［くだらないおしゃべり］をする_くだらないおしゃべり,くだらないおしゃべり_無駄話,むだばなし_ガヤガヤ,がやがや_ペチャクチャ,ぺちゃくちゃ",0
yack-e-ty-yak,"〔ガヤガヤ・ペチャクチャと〕無駄話［くだらないおしゃべり］をする,〔がやがや・ぺちゃくちゃと〕むだばなし［くだらないおしゃべり］をする_くだらないおしゃべり,くだらないおしゃべり_無駄話,むだばなし_ガヤガヤ,がやがや_ペチャクチャ,ぺちゃくちゃ",0
yacker,"〈豪俗〉おしゃべり(な人),〈ごうぞく〉おしゃべり(なにん)_〈豪俗〉おしゃべりをする,〈ごうぞく〉おしゃべりをする",0
yackety-yak,"〔ガヤガヤ・ペチャクチャと〕無駄話［くだらないおしゃべり］をする,〔がやがや・ぺちゃくちゃと〕むだばなし［くだらないおしゃべり］をする_くだらないおしゃべり,くだらないおしゃべり_無駄話,むだばなし_ガヤガヤ,がやがや_ペチャクチャ,ぺちゃくちゃ",0
yacky,"胸が悪くなるような,むねがわるくなるような_実に嫌な,じつにいやな_気持ち悪い,きもちわるい_気色悪い,きしょくわるい",0
yacon,"《植物》ヤーコン,《しょくぶつ》やーこん",0
Yacuiba,"ヤクイバ,やくいば",0
yad,"《ユダヤ教》ヤド,《ゆだやきょう》やど",0
Yadava,"ヤーダヴァ朝,やーだゔぁあさ",0
Yadkin,"ヤドキン川,やどきんかわ",0
Yadong,"ヤトン,やとん",0
Yadrin,"ヤドリン,やどりん",0
"Yaesu Musen Co., Ltd.","八重洲無線株式会社,やえすむせんかぶしきがいしゃ",0
yaff,"〈スコ〉〔犬などが〕ほえる,〈すこ〉〔いぬなどが〕ほえる_〈スコ〉ガミガミ言う,〈すこ〉がみがみいう",0
yaffle,"〈英方言〉,〈えいほうげん〉",0
"Yagami, Inc.","株式会社ヤガミ,かぶしきがいしゃやがみ",0
Yage Letters,"《The ～》麻薬書簡,《The ～》まやくしょかん",0
"Yagi & Co., Ltd.","株式会社ヤギ,かぶしきがいしゃやぎ",0
"Yagi Antenna Co., Ltd.","八木アンテナ,やぎあんてな",0
Yagi Corporation,"株式会社ヤギコーポレーション,かぶしきがいしゃやぎこーぽれーしょん",0
Yagua,"《民族》ヤグア族,《みんぞく》やぐあぞく",0
yah,"〈北アメリカ方言〉はい,〈きたあめりかほうげん〉はい_ええ,ええ_うん,うん",0
Yaha.F,"ヤハF,やはえふ",0
"Yahagi Construction Co., Ltd.","矢作建設工業株式会社,やはぎけんせつこうぎょうかぶしきがいしゃ",0
Yahgan,"《民族》ヤーガン族,《みんぞく》やーがんぞく",0
yahoo,"ヤフー,やふー_けだもののような粗野な人間,けだもののようなそやなにんげん_野蛮な人間,やばんなにんげん_田舎者,いなかもの",0
Yahoo! Buzz Index,"《イ》ヤフー・バズ指数［インデックス］,《い》やふー・ばずしすう［いんでっくす］",0
