word,meanings,score
z,"〔アルファベットの〕ゼット,〔あるふぁべっとの〕ぜっと_ジー,じー_Z字形(のもの),ぜっとじけい(のもの)_未知のもの,みちのもの_最後のもの,さいごのもの_《数学》第3未知数,《すうがく》だいさんみちすう_《Z》協定世界時,《ぜっと》きょうていせかいとき",0
Z's,"グーグー,ぐーぐー_ガーガー,がーがー_ズーズー,ずーずー_寝ること,ねること",0
z-axis,"Z軸,ぜっとじく",0
Z-bar,"Z型鋼,ぜっとかたこう",0
Z-bend,"ジグザグのカーブ,じぐざぐのかーぶ",0
z-coordinate,"Z座標,ぜっとざひょう",0
Z-DNA,"《生化学》Z型DNA,《せいかがく》ぜっとかたでぃえぬえー",0
z-line,"〔IRCサーバーなどの設定で〕～からのアクセスを禁止する,〔あいあーるしーさーばーなどのせっていで〕～からのあくせすをきんしする",0
Z-plasty,"《外科》〔形成外科の〕Z形成術,《げか》〔けいせいげかの〕ぜっとけいせいじゅつ",0
Z-protein,"Z蛋白,ぜっとたんぱく",0
Z-score,"Z値,ぜっとあたい",0
z-value,"《統計》z値,《とうけい》ぜっとあたい",0
Z.P.G.,"赤ちゃんよ永遠に,あかちゃんよえいえんに",0
za,"〈俗〉ピザ,〈ぞく〉ぴざ",0
Zaandam,"ザーンダム,ざーんだむ",0
Zaanstad,"ザーンスタット,ざーんすたっと",0
Zab,"ザブ川,ざぶかわ",0
zabaglione,"〈イタリア語〉サバヨン,〈いたりあご〉さばよん_サバイヨン,さばいよん_サバイヨーネ,さばいよーね",0
zabaione,"〈イタリア語〉サバヨン,〈いたりあご〉さばよん_サバイヨン,さばいよん_サバイヨーネ,さばいよーね",0
Zabern,"ツァベルン,つぁべるん",0
Zabid,"ザビード,ざびーど",0
Zabkowice,"ゾンブコビツェ,ぞんぶこびつぇ",0
Zabol,"ザーボル州,ざーぼるしゅう",0
Zaboli,"ザーボリー,ざーぼりー",0
Zabrze,"ザブジェ,ざぶじぇ",0
Zabul,"ザブル,ざぶる",0
Zabxan,"ザブハン州,ざぶはんしゅう",0
zac,"〈豪俗〉5セント硬貨,〈ごうぞく〉ごせんとこうか_〈豪俗〉わずかの金,〈ごうぞく〉わずかのきん",0
Zacapa,"サカパ,さかぱ",0
Zacatecas,"サカテカス,さかてかす",0
Zacateco,"《民族》サカテコ族,《みんぞく》さかてこぞく",0
Zacatecoluca,"サカテコルカ,さかてこるか",0
zacaton,"ザカトン,ざかとん",0
Zachariah,"ウェスタン・ロック／ザカライヤ,うぇすたん・ろっく／ざからいや",0
zachun,"ザカン油,ざかんあぶら",0
zack,"〈豪俗〉5セント硬貨,〈ごうぞく〉ごせんとこうか_〈豪俗〉わずかの金,〈ごうぞく〉わずかのきん",0
Zadar,"ザダル,ざだる",0
zaddik,"〔ユダヤ教のハシド派の〕精神的指導者,〔ゆだやきょうのはしどはの〕せいしんてきしどうしゃ",0
Zadonsk,"ザドンスク,ざどんすく",0
Zafarana,"ザファラーナ,ざふぁらーな",0
zaffer,"呉須,くれす",0
zaffre,"呉須,くれす",0
zaftig,"〈米俗〉〔女性が〕豊満な,〈こめぞく〉〔じょせいが〕ほうまんな_グラマーな,ぐらまーな",0
zag,"〔ジグザグの動きの〕一方へ動く［鋭く曲がる］,〔じぐざぐのうごきの〕いっぽうへうごく［するどくまがる］_〔ジグザグの動きの〕一方向,〔じぐざぐのうごきの〕いちほうこう",0
Zagan,"ジャガニ,じゃがに",0
Zagarolo,"ザガロロ,ざがろろ",0
ZAGAT,"ザガット,ざがっと",0
Zagazig,"ザガジグ,ざがじぐ",0
zagged,"〈米俗〉酔っぱらった,〈こめぞく〉よっぱらった",0
Zagheh,"ザーゲ,ざーげ",0
Zaghouan,"ザグワン,ざぐわん",0
Zaglossus,"《動物》ミユビハリモグラ属,《どうぶつ》みゆびはりもぐらぞく",0
Zagora,"ザゴラ,ざごら",0
Zagorsk,"ザゴルスク,ざごるすく",0
Zagreb,"ザグレブ,ざぐれぶ",0
Zagros Mountains,"ザグロス山脈,ざぐろすさんみゃく",0
Zahedan,"ザーヒダーン,ざーひだーん",0
Zahedshahr,"ザーヘドシャフル,ざーへどしゃふる",0
Zahlah,"ザハレ,ざはれ",0
Zahle,"ザーレ,ざーれ",0
Zahorska-Ves,"ザホルスカベス,ざほるすかべす",0
Zahorsky,"ザホルスキー病,ざほるすきーびょう",0
