word,meanings,score
B,"アルファベットのB,あるふぁべっとのB_B字形,Bじけい_第二の既知数,だいにのきちかず_Bクラス,Bくらす_2級,2きゅう_2番目,2ばんめ_ロ音,ろおと_ロ調,ろちょう_鉛筆の軟度を示す記号,えんぴつのなんどをしめすきごう_Bサイズ,Bさいず_良,りょう_おまえ,おまえ",-
B Is for Burglar,"泥棒のB,どろぼうのB",-
B&W Nuclear Service Company,"B&W原子力サービス・カンパニー,B&Wげんしりょくさーびす・かんぱにー",-
B'nai B'rith,"ユダヤ人文化教育促進協会,ゆだやじんぶんかきょういくそくしんきょうかい",-
B-1,"爆撃機,ばくげきき",-
B-1 bomber,"爆撃機,ばくげきき",-
B-52,"B-52,B-52_蜂の巣髪形,はちのすかみがた",-
B-axis,"B軸,Bじく",-
b-ball,"バスケットボール,ばすけっとぼーる",-
b-baller,"バスケットボール選手,ばすけっとぼーるせんしゅ_バスケットボールをする人,ばすけっとぼーるをするにん",-
B-battery,"B電池,Bでんち_真空管陽極バイアス用電池,しんくうかんようきょくばいあすようでんち_陽極バイアス用電池,ようきょくばいあすようでんち_プレートバイアス用電池,ぷれーとばいあすようでんち_アノードバイアス用電池,あのーどばいあすようでんち",-
b-boy,"Bボーイ,Bぼーい",-
B-Boy,"Bボーイ,Bぼーい",-
B-boy,"Bボーイ,Bぼーい",-
b-boy/b-girl,"ラップミュージックの熱烈少年少女ファン,らっぷみゅーじっくのねつれつしょうねんしょうじょふぁん",-
b-carboline,"ベータ・カルボリン,べーた・かるぼりん",-
B-cell,"B細胞,Bさいぼう_Bリンパ球,Bりんぱたま",-
B-Day,"Bデイ,Bでい_トイレに大変な日,といれにたいへんなにち",-
B-DNA,"B型DNA,BかたDNA",-
B-Encephalitis,"日本脳炎,にっぽんのうえん",-
B-frame,"Bフレーム,Bふれーむ",-
B-language,"第二言語,だいにげんご",-
B-lister,"準有名人,じゅんゆうめいじん_B級スター,Bきゅうすたー",-
B-More,"米国メリーランド州ボルチモアのニックネーム,べいこくめりーらんどしゅうぼるちもあのにっくねーむ",-
B-movie,"B級映画,Bきゅうえいが",-
B-school,"経営学大学院,けいえいがくだいがくいん",-
B-tree,"Bツリー,Bつりー",-
B.O.R.N. (Body Organ Replacement Network),"ターボ・クライシス,たーぼ・くらいしす",-
B.V.D.,"ビーブイディー,びーぶいでぃー",-
b0x,"コンピューター,こんぴゅーたー",-
b0x0r,"コンピューター,こんぴゅーたー",-
ba,"バー,ばー_霊魂,れいこん",-
baa,"メー,めー",-
baa-aa,"メーメー,めーめー",-
baa-baa,"メーメー,めーめー",-
baa-lamb,"メーメー,めーめー",-
Baabda,"バアブダー,ばあぶだー",-
baal,"バアル,ばある_バル,ばる",-
Baal,"バール,ばーる",-
Baalbek,"バールベック,ばーるべっく",-
Baao,"バーオ,ばーお",-
baap,"父親,ちちおや",-
Baar,"バール,ばーる",-
Baarle-Hertog,"バールレヘルトーホ,ばーるれへるとーほ",-
Baarn,"バールン,ばーるん",-
baas,"主人,しゅじん",-
Baasskap,"バースカップ,ばーすかっぷ_白人優越主義,はくじんゆうえつしゅぎ",-
Baathist,"バース党支持者,ばーすとうしじしゃ_バース党員,ばーすとういん",-
Bab Anar,"バーブ・アナール,ばーぶ・あなーる",-
Bab el Mandeb,"バブ・エル・マンデブ海峡,ばぶ・える・まんでぶかいきょう",-
baba,"バーバ,ばーば_ラム酒入りケーキ,らむさけいりけーき_ババ,ばば_尊師,みことし_男の子,おとこのこ",-
babaco,"ババコ,ばばこ",-
Babaeski,"ババエスキ,ばばえすき",-
Babahoyo,"ババオヨ,ばばおよ",-
Babai Khola,"ババイコラ川,ばばいこらかわ",-
Babanango,"ババナンゴ,ばばなんご",-
Babar,"ババル諸島,ばばるしょしま",-
Babarashani,"バーバーラシャーニー,ばーばーらしゃーにー",-
Babarnama,"バーブル・ナーマ,ばーぶる・なーま",-
Babayevo,"ババエボ,ばばえぼ",-
Babbar,"バッバル,ばっばる",-
babbitt,"バビット合金,ばびっとごうきん_減摩合金,げんまごうきん_軸受合金,じくうけごうきん",-
Babbitt,"低俗な実業家,ていぞくなじつぎょうか_俗物,ぞくぶつ_名利にとらわれているつまらない人,みょうりにとらわれているつまらないにん_バビット,ばびっと",-
babble,"ガヤガヤという話し声,がやがやというはなしごえ_片言話,かたことはなし_せせらぎ,せせらぎ_泡立つ音,あわだつおと",-
babbler,"チメドリ,ちめどり_おしゃべりな人,おしゃべりなにん_ぺちゃくちゃしゃべる人,ぺちゃくちゃしゃべるにん",-
babbling,"くだらないおしゃべり,くだらないおしゃべり_赤ちゃん言葉,あかちゃんことば_喃語,なんご",-
babby,"赤ん坊,あかんぼう_子ども,こども",-
Babcock & Wilcox Company,"B&W,B&W",-
babe,"赤ちゃん,あかちゃん_赤ん坊,あかんぼう_乳児,にゅうじ_幼児,ようじ_うぶな人,うぶなにん_世間知らず,せけんしらず_かわいい女の子,かわいいおんなのこ_セクシーな女,せくしーなおんな_かわいこちゃん,かわいこちゃん",-
Babe,"夢を生きた男／ザ・ベーブ,ゆめをいきたおとこ／ざ・べーぶ_ベイブ,べいぶ",-
Babe - Pig in the City,"ベイブ／都会へ行く,べいぶ／とかいへいく",-
babel,"摩天楼,まてんろう_高層建築物,こうそうけんちくぶつ_空想的計画,くうそうてきけいかく_架空の計画,かくうのけいかく_言葉の混乱,ことばのこんらん_たくさんの人の話し声が混じって聞き取れない状態,たくさんのにんのはなしごえがまじってききとれないじょうたい_喧騒,けんそう",-
Babel,"バベル,ばべる",-
Babel-17,"バベル＝17,ばべる＝17",-
Babeldaob,"バベルダオブ島,ばべるだおぶしま",-
Babeldaob Island,"バベルダオブ島,ばべるだおぶしま",-
Babelization,"異なる言語による混乱,ことなるげんごによるこんらん",-
Babelthuap,"バベルトゥアプ島,ばべるとぅあぷしま",-
Babelthuap Island,"バベルトゥアプ島,ばべるとぅあぷしま",-
Babes In Toyland,"おもちゃの国のクリスマス,おもちゃのくにのくりすます",-
babesia,"バベシア,ばべしあ",-
Babesia,"バベシア属,ばべしあぞく",-
babesiasis,"バベシア症,ばべしあしょう_ピロプラスマ症,ぴろぷらすましょう",-
Babesiidae,"バベシア科,ばべしあか",-
babesioses,"babesiosisの複数形,babesiosisのふくすうけい",-
babesiosis,"バベシア症,ばべしあしょう_ピロプラスマ症,ぴろぷらすましょう",-
babester,"かわいい女の子,かわいいおんなのこ",-
Babette's Feast,"バベットの晩餐会,ばべっとのばんさんかい",-
Babi,"バーブ教,ばーぶきょう",-
Babi Yar,"バービ・ヤール,ばーび・やーる",-
babiche,"皮ひも,かわひも",-
Babies R Us,"ベビーザらス,べびーざらす",-
Babil,"バービル,ばーびる_バビル,ばびる",-
Babine Lake,"バビーン湖,ばびーんみずうみ",-
Babine Range,"バビーン山脈,ばびーんさんみゃく",-
Babingtonite,"バビントン石,ばびんとんいし",-
babirusa,"バビルサ,ばびるさ",-
babka,"バーブカ,ばーぶか",-
Babol,"バーブル,ばーぶる",-
Babolsar,"バーボルサル,ばーぼるさる",-
baboon,"ヒヒ,ひひ_乱暴な人間,らんぼうなにんげん",-
baboonery,"ヒヒのような粗野な振る舞い,ひひのようなそやなふるまい",-
baboosh,"バブーシュ,ばぶーしゅ",-
babouche,"バブーシュ,ばぶーしゅ",-
babu,"バブー,ばぶー",-
Babul,"バーブル,ばーぶる",-
Babusar,"バブサル峠,ばぶさるとうげ",-
babushka,"老婦人,ろうふじん_バブーシュカ,ばぶーしゅか",-
Babushkin,"バブシキン,ばぶしきん",-
Babuyan Channel,"バブヤン海峡,ばぶやんかいきょう",-
Babuyan Island,"バブヤン島,ばぶやんしま_バブヤン諸島,ばぶやんしょしま",-
