word,meanings,score
C,"単2,たんに_C言語,しーげんご_セ氏度,せしど_℃,ど_光速,こうそく_光の速さ,ひかりのはやさ_100,ひゃく_百,ひゃく_Cサイズ,しーさいず_甲乙丙の丙,こうおつひのえのひのえ_優良可の可,ゆうりょうかのか_100ドル,ひゃくどる",0
C Is for Corpse,"死体のC,したいのしー",0
C++,"シー・プラス・プラス,しー・ぷらす・ぷらす_シー・プラ・プラ,しー・ぷら・ぷら",0
C-arms,"Cアーム,しーあーむ",0
C-axis,"C軸,しーじく_主軸,しゅじく",0
C-battery,"C電池,しーでんち_真空管グリッドバイアス用電池,しんくうかんぐりっどばいあすようでんち_グリッドバイアス用電池,ぐりっどばいあすようでんち_格子バイアス用電池,こうしばいあすようでんち",0
C-clamp,"しゃこ万力,しゃこまんりき",0
C-Cube Corporation,"シーキューブ,しーきゅーぶ",0
C-day,"誕生日,たんじょうび",0
C-frame,"C形フレーム,しーかたちふれーむ",0
C-Heights,"Cハイツ,しーはいつ",0
c-lo,"チンチロリン,ちんちろりん",0
c-mail,"商用メール,しょうようめーる",0
C-mode,"Cモード,しーもーど",0
C-note,"100ドル札,ひゃくどるさつ",0
C-section,"帝王切開,ていおうせっかい",0
C-town,"米国オハイオ州クリーブランドのニックネーム,べいこくおはいおしゅうくりーぶらんどのにっくねーむ",0
C-word,"Cワード,しーわーど_Cで始まる言葉,しーではじまることば",0
C.A.T. Squad,"C.A.T.スクワッド／対ゲリラ特別襲撃班,しー.えー.てぃー.すくわっど／ついげりらとくべつしゅうげきはん",0
C.C. And Company,"C.C.ライダー,しー.しー.らいだー",0
C.H.U.D,"チャド,ちゃど",0
"C.I. Kasei Co., Ltd.","シーアイ化成,しーあいかせい",0
C.I.A. Code name - Alexa,"地獄のアレクサ／殺人捜査網,じごくのあれくさ／さつじんそうさあみ",0
C/C+ User Journal,"C/C+ユーザー・ジャーナル,しー/しーぷらすゆーざー・じゃーなる",0
C4,"C4火薬,しーしかやく_プラスティック爆弾,ぷらすてぃっくばくだん",0
ca-ching,"カチャカチャ・チーン,かちゃかちゃ・ちーん",0
Caacupe,"カークペ,かーくぺ",0
Caaguazu,"カーグアス,かーぐあす",0
caatinga,"カーチンガ,かーちんが_カーティンガ,かーてぃんが",0
Caazapa,"カーサパ,かーさぱ",0
cab,"タクシー,たくしー_馬車,ばしゃ_運転室,うんてんしつ_運転台,うんてんだい_管制塔,かんせいとう",0
cab'over,"キャブ・オーバー,きゃぶ・おーばー_キャブオーバー,きゃぶおーばー",0
cab-getter,"タクシーを捕まえる人,たくしーをつかまえるにん",0
Cab-link,"キャブ・リンク,きゃぶ・りんく",0
cab-over,"キャブ・オーバー,きゃぶ・おーばー_キャブオーバー,きゃぶおーばー",0
Cabagan,"カバガン,かばがん",0
Cabaiguan,"カバイグアン,かばいぐあん",0
cabal,"陰謀団,いんぼうだん_陰謀,いんぼう_はかりごと,はかりごと_徒党,ととう",0
cabala,"カバラ,かばら_秘教,ひきょう",0
Cabalete,"カバレテ島,かばれてしま",0
cabaletta,"カバレッタ,かばれった",0
cabalism,"カバラ主義,かばらしゅぎ",0
cabalist,"カバラ信奉者,かばらしんぽうしゃ_カバラ研究者,かばらけんきゅうしゃ_密教に詳しい人,みっきょうにくわしいにん",0
caballerial,"キャバレリアル,きゃばれりある",0
caballero,"騎士,きし_紳士,しんし_馬の名手,うまのめいしゅ",0
caballo,"馬,うま_麻薬,まやく",0
cabana,"脱衣小屋,だついこや",0
Cabanaquinta,"カバニャキンタ,かばにゃきんた",0
