word,meanings,score
e,"電子の電荷,でんしのでんか_自然対数の底,しぜんたいすうのそこ",0
E,"アルファベットのイー,あるふぁべっとのいー_ホ調,ほちょう_ホ音,ほおと_10の指数,じゅうのしすう_10のべき数,じゅうのべきかず_250,にひゃくごじゅう_靴の幅を表す記号,くつのはばをあらわすきごう",0
E Ink Corporation,"イーインク社,いーいんくしゃ",0
E Is for Evidence,"証拠のE,しょうこのいー",0
"E*TRADE Group, Inc.","イー・トレード・グループ,いー・とれーど・ぐるーぷ",0
"E*Trade Securities Co., Ltd.","イー・トレード株式会社,いー・とれーどかぶしきがいしゃ",0
e-airport,"e-エアポート,いーまいなすえあぽーと",0
e-banking,"電子バンキング,でんしばんきんぐ_電子銀行業務,でんしぎんこうぎょうむ",0
e-bike,"電動自転車,でんどうじてんしゃ",0
e-bill,"電子明細書,でんしめいさいしょ_オンライン明細照会サービス,おんらいんめいさいしょうかいさーびす",0
e-blast,"Eブラスト,いーぶらすと",0
E-boat,"Eボート,いーぼーと",0
e-Bomb,"イーメール爆弾,いーめーるばくだん_電子爆弾,でんしばくだん",0
E-bomb,"E爆弾,いーばくだん_電磁パルス爆弾,でんじぱるすばくだん",0
E-Bomb,"イーメール爆弾,いーめーるばくだん_電子爆弾,でんしばくだん",0
e-book,"電子本,でんしほん_イーブック,いーぶっく",0
e-business,"Eビジネス,いーびじねす_電子商取引,でんししょうとりひき",0
e-card,"eカード,いーかーど_電子グリーティングカード,でんしぐりーてぃんぐかーど",0
e-cash,"電子キャッシュ,でんしきゃっしゅ",0
e-CEO,"ネット企業の最高経営責任者,ねっときぎょうのさいこうけいえいせきにんしゃ",0
e-commerce,"電子商取引,でんししょうとりひき_eコマース,いーこまーす",0
e-conveyancing,"電子不動産譲渡,でんしふどうさんじょうと",0
e-corporation,"ネット企業,ねっときぎょう",0
E-Cortal Securities,"イー・コータル証券,いー・こーたるしょうけん",0
e-crime,"ネット犯罪,ねっとはんざい_インターネットにからむ犯罪,いんたーねっとにからむはんざい",0
E-Day,"EC参加記念日,いーしーさんかきねんび",0
E-Debit,"イー・デビット,いー・でびっと",0
e-discovery,"eディスカバリー,いーでぃすかばりー_電子情報,でんしじょうほう",0
E-education,"電子教育,でんしきょういく",0
e-envoy,"電子技術促進者,でんしぎじゅつそくしんもの_インターネット促進者,いんたーねっとそくしんもの",0
E-envoy,"電子技術促進者,でんしぎじゅつそくしんもの_インターネット促進者,いんたーねっとそくしんもの",0
e-Europe,"電子ヨーロッパ,でんしよーろっぱ",0
e-experience,"電子商取引の経験,でんししょうとりひきのけいけん",0
e-fencer,"盗品をネットオークションで売る人,とうひんをねっとおーくしょんでうるにん",0
e-fencing,"盗品をネットオークションで売る違法行為,とうひんをねっとおーくしょんでうるいほうこうい",0
e-file,"イーファイル,いーふぁいる_電子申告,でんししんこく_コンピューター申告,こんぴゅーたーしんこく",0
e-fit,"コンピューターを使用したモンタージュ写真,こんぴゅーたーをしようしたもんたーじゅしゃしん",0
e-gift,"Eギフト,いーぎふと_インターネットで買う贈り物,いんたーねっとでかうおくりもの",0
e-gine,"電子雑誌,でんしざっし",0
e-gov,"電子政府,でんしせいふ",0
e-governance,"e-ガバナンス,いーまいなすがばなんす_電子政府,でんしせいふ",0
e-government,"電子政府,でんしせいふ",0
e-Government,"電子政府,でんしせいふ",0
e-grade,"e階梯,いーかいてい",0
e-graveyard,"コンピューター機器類の廃棄場,こんぴゅーたーききるいのはいきば",0
e-greeting,"Eメールでの挨拶,いーめーるでのあいさつ",0
e-health,"Eヘルス,いーへるす",0
e-joke,"インターネットジョーク,いんたーねっとじょーく",0
e-lancer,"イーランサー,いーらんさー",0
E-layer,"E層,いーそう_E領域,いーりょういき",0
e-learning,"Eラーニング,いーらーにんぐ_オンライン研修,おんらいんけんしゅう",0
e-life,"Eライフ,いーらいふ",0
e-lifer,"Eライフ生活者,いーらいふせいかつしゃ",0
e-magazine,"電子雑誌,でんしざっし_eマガジン,いーまがじん",0
e-mail,"電子メール,でんしめーる",2
e-mail address,"メールアドレス,めーるあどれす_電子メールの宛先,でんしめーるのあてさき",0
e-mailee,"電子メールの受信者,でんしめーるのじゅしんしゃ",0
e-mailer,"電子メール送信者,でんしめーるそうしんしゃ_電子メール・ソフト,でんしめーる・そふと",0
e-marketer,"電子メールマーケティング業者,でんしめーるまーけてぃんぐぎょうしゃ",0
e-marketplace,"電子商取引市場,でんししょうとりひきしじょう_電子市場,でんししじょう",0
e-minder,"予定通知メール,よていつうちめーる",0
e-money,"電子マネー,でんしまねー",0
e-municipality,"電子自治体,でんしじちたい",0
e-newspaper,"電子新聞,でんししんぶん",0
e-office,"e-オフィス,いーまいなすおふぃす",0
e-pal,"電子メールのペンパル,でんしめーるのぺんぱる_メル友,めるとも",0
e-paper,"電子ペーパー,でんしぺーぱー",0
e-piracy,"eパイラシー,いーぱいらしー",0
e-postcard,"電子メール版の絵はがき,でんしめーるはんのえはがき",0
e-prank,"インターネットを使ったいたずら,いんたーねっとをつかったいたずら",0
e-print,"デジタル原稿,でじたるげんこう",0
e-procurement,"eプロキュアメント,いーぷろきゅあめんと_電子調達,でんしちょうたつ",0
e-profitability,"eビジネスの収益性,いーびじねすのしゅうえきせい",0
e-publication,"電子出版,でんししゅっぱん",0
e-publisher,"電子出版社,でんししゅっぱんしゃ",0
e-publishing,"電子出版,でんししゅっぱん",0
e-quaintance,"ネット上の知人,ねっとじょうのちじん",0
E-Rate,"Eレート,いーれーと",0
e-recruitment,"オンラインでの求人,おんらいんでのきゅうじん",0
E-region,"E層,いーそう_E領域,いーりょういき",0
e-retailing,"電子小売業,でんしこうりぎょう",0
e-rights,"電子メディア上の権利,でんしめでぃあじょうのけんり",0
e-scroll,"電子巻物,でんしまきもの",0
e-shopper,"Eショッパー,いーしょっぱー_電子ショッピングをする人,でんししょっぴんぐをするにん",0
e-shopping,"Eショッピング,いーしょっぴんぐ_電子ショッピング,でんししょっぴんぐ",0
e-signature,"電子署名,でんししょめい",0
e-solution,"Eソリューション,いーそりゅーしょん",0
e-sports,"eスポーツ,いーすぽーつ",0
e-stalker,"Eストーカー,いーすとーかー",0
e-store,"オンラインショップ,おんらいんしょっぷ_インターネット上の店,いんたーねっとじょうのみせ",0
e-strategy,"電子化戦略,でんしかせんりゃく",0
e-tail,"電子小売り,でんしこうり",0
e-tailer,"Eテイラー,いーていらー",0
e-text,"電子テキスト,でんしてきすと_電子文書,でんしぶんしょ",0
e-textbook,"電子教科書,でんしきょうかしょ",0
e-thrombosis,"コンピューター長時間使用者がかかる血栓症,こんぴゅーたーちょうじかんしようものがかかるけっせんしょう",0
e-ticket,"電子航空券,でんしこうくうけん",0
E-ticket,"電子チケット,でんしちけっと_Eチケット,いーちけっと",0
e-ticketing,"電子発券,でんしはっけん",0
e-tome,"電子大典,でんしだいてん",0
e-trade,"電子株取引,でんしかぶとりひき",0
E-unification,"E単一化,いーたんいつか",0
e-verdict,"電子判決,でんしはんけつ",0
e-volunteer,"オンライン慈善活動家,おんらいんじぜんかつどういえ",0
e-volunteering,"オンライン慈善活動,おんらいんじぜんかつどう",0
e-voting,"電子投票,でんしとうひょう",0
e-wallet,"電子財布,でんしさいふ",0
e-war,"電子戦争,でんしせんそう",0
e-warrant,"eワラント,いーわらんと",0
e-waste,"電子廃棄物,でんしはいきぶつ",0
e-workplace,"電子的な職場空間,でんしてきなしょくばくうかん",0
e-world,"Eワールド,いーわーるど",0
e-zine,"イージーン,いーじーん_電子雑誌,でんしざっし",0
E-ZPass,"E-Zパス,いーまいなすぜっとぱす",0
E.I. du Pont de Nemours and Company,"デュポン,でゅぽん",0
E.T. The Extra-terrestrial,"E.T.,いー.てぃー.",0
Ea,"エア,えあ",0
eagerness,"熱烈,ねつれつ_切望すること,せつぼうすること_熱心,ねっしん_熱望,ねつぼう_熱意,ねつい_意欲,いよく",0
eagle,"ワシ,わし_イーグル,いーぐる",0
Eagle,"イーグル,いーぐる",0
"Eagle Eye Networks, Inc.","イーグル・アイ・ネットワーク社,いーぐる・あい・ねっとわーくしゃ",0
Eagle Has Landed,"鷲は舞いおりた,わしはまいおりた",0
"Eagle Industry Co., Ltd.","イーグル工業,いーぐるこうぎょう",0
Eagle Lake,"イーグル湖,いーぐるみずうみ",0
Eagle Pass,"イーグルパス,いーぐるぱす",0
eagle-hawk,"オオイヌワシ,おおいぬわし",0
eaglestone,"ワシの安産石,わしのあんざんいし",0
eaglet,"ワシの子,わしのこ",0
eaglewood,"沈香材,ちんこうざい",0
eagre,"海嘯,うみしょう",0
Ealing,"イーリング,いーりんぐ",0
ear,"耳,みみ_聴覚器官,ちょうかくきかん_羽角,はすみ_耳状の物,みみじょうのもの_聴覚,ちょうかく_聴力,ちょうりょく_音感,おんかん_傾聴,けいちょう_じっと聞き入ること,じっとききいること_題字脇,だいじわき_ヘッドホン,へっどほん_穂,ほ",0
Ear of Corn,"麦の穂,むぎのほ",0
ear-bender,"しゃべりまくる人,しゃべりまくるにん_おしゃべり屋,おしゃべりや_とめどなくしゃべり続ける人,とめどなくしゃべりつづけるにん",0
ear-bitter,"借金をせがむ人,しゃっきんをせがむにん",0
ear-catcher,"覚えやすい節,おぼえやすいふし",0
ear-duster,"うわさ話,うわさはなし_打者の耳の近くを通過する危険球,だしゃのみみのちかくをつうかするきけんきゅう",0
ear-grabber,"思わず耳を傾けてしまうもの,おもわずみみをかたむけてしまうもの",0
ear-hustler,"うわさ好き,うわさすき_うわさ話を聞いたりまき散らしたりすることが好きな人,うわさはなしをきいたりまきちらしたりすることがすきなにん",0
ear-mail,"音声データ付き電子メール,おんせいでーたつきでんしめーる",0
ear-popping,"耳がツーンとなること,みみがつーんとなること",0
ear-sight,"並外れた聴力,なみはずれたちょうりょく",0
earache,"耳痛,みみつう_耳が痛くなるほどの長話,みみがいたくなるほどのながばなし",0
earbasher,"聞き手をうんざりさせるほどの多弁家,ききてをうんざりさせるほどのたべんいえ",0
earbashing,"とめどなくしゃべり続けること,とめどなくしゃべりつづけること",0
earbud,"イヤホン,いやほん",0
eardrop,"ぶら下げるタイプのイヤリング,ぶらさげるたいぷのいやりんぐ_ペンダント付きイヤリング,ぺんだんとつきいやりんぐ_耳飾り,みみかざりり_点耳剤,てんみみざい",0
eardrum,"鼓膜,こまく",0
earflap,"耳覆い,みみおおい_耳介,じかい",0
earful,"きつい小言,きついこごと_大目玉,おおめだま",0
eargasm,"耳のオーガズム,みみのおーがずむ",0
earhole,"耳の穴,みみのあな_耳道,みみみち_嫌なやつ,いやなやつ",0
earing,"耳索,みみさく_耳発生,みみはっせい_耳伸び,みみのび_耳割れ,みみわれ",0
Earl,"伯爵,はくしゃく",0
earlap,"耳たぶ,みみたぶ",0
earldorman,"伯爵,はくしゃく",0
earliness,"早いこと,はやいこと",0
Earlington,"アーリントン,あーりんとん",0
earlobe,"耳たぶ,みみたぶ_耳垂,みみすい",0
earlock,"耳の前に垂れた髪の房,みみのまえにたれたかみのぼう",0
Early Asimov Vol.1,"カリストの脅威,かりすとのきょうい",0
Early Asimov Vol.2,"ガニメデのクリスマス,がにめでのくりすます",0
Early Asimov Vol.3,"母なる地球,ははなるちきゅう",0
early bird,"早起きの人,はやおきのにん_早く到着する人,はやくとうちゃくするにん",0
Early Childhood Education Division,"幼児教育課,ようじきょういくか",0
Early Development Activity Center,"幼児開発センター,ようじかいはつせんたー",0
Early English Text Society,"初期英語テキスト協会,しょきえいごてきすときょうかい",0
early evening,"夕方,ゆうがた",0
Early Learning Centre,"アーリーラーニングセンター,あーりーらーにんぐせんたー",0
Early summer,"麦秋,ばくしゅう",0
early to-bedder,"早寝の人,はやねのにん",0
early-morning meeting,"早朝会議,そうちょうかいぎ",0
earlywood,"早材,そうざい",0
earmark,"耳標,みみしるべ_目印,めじるし_特徴,とくちょう",0
earmuff,"耳覆い,みみおおい_耳あて,みみあて",0
earner,"稼ぐ人,かせぐにん_稼ぎ手,かせぎて_もうかる仕事,もうかるしごと",0
earnest,"熱心,ねっしん_真剣,しんけん_真面目,まじめ_本気,ほんき_手付金,てつけきん_保証金,ほしょうきん_印,いん_証拠,しょうこ_約束,やくそく_保証,ほしょう",6
Earnest Goes To Jail,"アーネスト／監獄へ行く！,あーねすと／かんごくへいく！",0
Earnest Scared Stupid,"アーネスト／モンスターと戦う！,あーねすと／もんすたーとたたかう！",0
earnestness,"真面目さ,まじめさ",0
earning,"収入を得ること,しゅうにゅうをえること_お金を稼ぐこと,おきんをかせぐこと",0
earnings,"報酬,ほうしゅう_賃金,ちんぎん_利益,りえき_利潤,りじゅん",0
earp,"げろ,げろ",0
earphone,"イヤホン,いやほん",0
earpick,"耳かき,みみかき",0
earpiece,"耳覆い,みみおおい_イヤホン,いやほん_受話器,じゅわき",0
earplug,"イヤプラグ,いやぷらぐ_耳栓,みみせん",0
earring,"イヤリング,いやりんぐ_耳飾り,みみかざりり",0
earshot,"聞こえる範囲,きこえるはんい",0
earsore,"耳障りな音,みみざわりなおと",0
earth,"地球,ちきゅう_土,つち_土壌,どじょう_全ての人々,すべてのひとびと_全人類,ぜんじんるい_現世,げんせい_この世,このよ_現実の生活,げんじつのせいかつ",0
Earth Family Circle,"地球家族の会,ちきゅうかぞくのかい",0
Earth First,"アースファースト,あーすふぁーすと",0
Earth Greenery Activities Japan,"地球緑化の会,ちきゅうりょっかのかい",0
Earth Is Room Enough,"地球は空地でいっぱい,ちきゅうはあきちでいっぱい",0
Earth Liberation Front,"地球解放戦線,ちきゅうかいほうせんせん",0
Earth Light,"アース・ライト君は星になった,あーす・らいとくんはほしになった",0
Earth Observation Center,"地球観測センター,ちきゅうかんそくせんたー",0
Earth Observation Summit,"地球観測サミット,ちきゅうかんそくさみっと",0
Earth Remote Sensing Data Analysis Center,"財団法人資源・環境観測解析センター,ざいだんほうじんしげん・かんきょうかんそくかいせきせんたー",0
Earth Tree,"地球の木,ちきゅうのき",0
Earth vs The Flying Saucers,"世紀の謎：空飛ぶ円盤地球を襲撃す,せいきのなぞ：くうひぶえんばんちきゅうをしゅうげきす",0
Earth Water & Green Foundation,"財団法人水と緑の惑星保全機構,ざいだんほうじんみずとみどりのわくせいほぜんきこう",0
Earth-crosser,"地球横断小惑星,ちきゅうおうだんしょうわくせい",0
earthday,"地球日,ちきゅうにち",0
earthenware,"土器,どき_陶器,とうき",0
earthfall,"地滑り,じすべり",0
Earthgrains,"アースグレインズ,あーすぐれいんず",0
Earthian,"地球人,ちきゅうじん",0
earthiness,"土質,どしつ_土壌性,どじょうせい_現実性,げんじつせい_世俗性,せぞくせい_洗練されていないこと,せんれんされていないこと_土臭さ,つちしゅうさ",0
earthing,"土入れ,つちいれ",0
Earthlight,"地球光,ちきゅうひかり",0
earthliness,"世俗性,せぞくせい",0
earthling,"人間,にんげん_地球人,ちきゅうじん_俗人,ぞくじん_俗物,ぞくぶつ",0
Earthling,"アドベンチャー・ロード,あどべんちゃー・ろーど",0
earthlubber,"地球から宇宙に出たことのない人,ちきゅうからうちゅうにでたことのないにん",0
earthman,"地球人,ちきゅうじん",0
earthmover,"土工機械,つちこうきかい",0
earthmoving,"土工事,つちこうじ",0
earthpea,"ピーナッツ,ぴーなっつ",0
earthperson,"地球人,ちきゅうじん",0
earthquake,"地震,じしん_激震,げきしん_大変動,だいへんどう",0
Earthquake,"大地震,だいじしん",0
Earthquake and Disaster-Reduction Research Division,"地震・防災研究課,じしん・ぼうさいけんきゅうか",0
Earthquake and Natural Disaster Laboratory,"地震等災害研究室,じしんなどさいがいけんきゅうしつ",0
Earthquake and Tsunami Observations Division,"地震津波監視課,じしんつなみかんしか",0
Earthquake and Volcanic Disaster Management Office,"地震・火山砂防室,じしん・かざんさぼうしつ",0
Earthquake Disaster Countermeasures Division,"震災対策課,しんさいたいさくか",0
Earthquake Engineering Research Institute,"地震技術研究学会,じしんぎじゅつけんきゅうがっかい",0
Earthquake Prediction Information Division,"地震予知情報課,じしんよちじょうほうか",0
Earthquake Research Center,"地震調査研究センター,じしんちょうさけんきゅうせんたー",0
earthrise,"地球の出,ちきゅうのしゅつ",0
earthshine,"地球照,ちきゅうしょう",0
earthstar,"ツチグリ,つちぐり_クリプタンサス,くりぷたんさす",0
Earthwatch,"アースウオッチ,あーすうおっち",0
earthwoman,"地球上の女性,ちきゅうじょうのじょせい",0
earthwork,"土塁,どるい_防塁,ぼうるい_切り盛り,きりもり_土盛り,つちもり_掘削,くっさく_アースワーク,あーすわーく",0
Earthworks,"虚構の大地,きょこうのだいち",0
earthworm,"ミミズ,みみず",0
earwax,"耳あか,みみあか_耳垢,みみあか_耳くそ,みみくそ",0
earwig,"ハサミムシ,はさみむし_盗み聞きをする人,ぬすみぎきをするにん",0
earwigging,"小言,こごと",0
earwitness,"伝聞証人,でんぶんしょうにん_自分が聞いたことを報告する人,じぶんがきいたことをほうこくするにん_他人同士の話を聞く人,たにんどうしのはなしをきくにん",0
earworm,"アメリカタバコガの幼虫,あめりかたばこがのようちゅう_頭から抜けない,あたまからぬけない",0
ease,"容易さ,よういさ_たやすさ,たやすさ_楽であること,らくであること_気楽さ,きらくさ_安心,あんしん_休めの姿勢,やすめのしせい_軽減,けいげん_緩和,かんわ",0
ease of installation,"取り付けやすさ,とりつけやすさ_インストールの容易さ,いんすとーるのよういさ",0
ease-up,"緩和,かんわ",0
easel,"画架,がか_イーゼル,いーぜる",0
easement,"地役権,ちやくけん",0
easer,"ゆるめるもの,ゆるめるもの",0
easiness,"容易さ,よういさ_気楽さ,きらくさ",0
easing,"緩和,かんわ",0
east,"東,ひがし_東側,ひがしがわ_東部,とうぶ_東方,とうほう_東洋,とうよう_東アジア,ひがしあじあ_東側諸国,ひがしがわしょこく_共産圏,きょうさんけん",0
East,"イースト,いーすと",0
East African Common Services Organization,"東アフリカ共同市場機構,ひがしあふりかきょうどうしじょうきこう",0
East African Development Bank,"東アフリカ開発銀行,ひがしあふりかかいはつぎんこう",0
East Anglia,"イースト・アングリア,いーすと・あんぐりあ",0
East Angus,"イーストアンガス,いーすとあんがす",0
East Asia Travel Association,"東アジア観光協会,ひがしあじあかんこうきょうかい",0
East Asian Circle of Apprised Technology,"財団法人東亜留学生育友会,ざいだんほうじんとうありゅうがくせいいくゆうかい",0
East Asian Football Federation,"東アジアサッカー連盟,ひがしあじあさっかーれんめい",0
