word,meanings,score
F,"細字用,ほそじよう_F評価,えふひょうか_不可,ふか_落第点,らくだいてん_赤点,あかてん",0
F Is for Fugitive,"逃亡者のF,とうぼうしゃのえふ",0
F-14,"F-14戦闘機,えふまいなすじゅうよんせんとうき",0
F-15,"戦闘機,せんとうき",0
F-16,"F-16戦闘爆撃機,えふまいなすじゅうろくせんとうばくげきき",0
F-18,"F-18戦闘機,えふまいなすじゅうはちせんとうき",0
F-8,"中国の戦闘機,ちゅうごくのせんとうき",0
f-axis,"f軸,えふじく",0
f-Campus,"エフ・キャンパス,えふ・きゃんぱす",0
F-distribution,"F分布,えふぶんぷ",0
F-duction,"F導入,えふどうにゅう",0
F-factor,"F因子,えふいんし_稔性因子,みのるせいいんし",0
f-hole,"f字孔,えふじあな",0
F-layer,"F層,えふそう_F領域,えふりょういき",0
F-measure,"F値,えふあたい",0
f-number,"F値,えふあたい_焦点比,しょうてんひ",0
F-One Ltd.,"エフワン,えふわん",0
f-orbital,"f軌道,えふきどう",0
F-pilus,"F線毛,えふせんもう",0
f-ratio,"F値,えふあたい_焦点比,しょうてんひ",0
F-region,"F層,えふそう_F領域,えふりょういき",0
F-statistics,"F統計量,えふとうけいりょう",0
f-stop,"Fストップ,えふすとっぷ_絞り目盛り,しぼりめもり",0
"F-Tech, Inc.","エフテック,えふてっく",0
F-test,"F検定,えふけんてい",0
f-word,"エフ・ワード,えふ・わーど",0
F-word,"Fワード,えふわーど_Fで始まる言葉,えふではじまることば_汚い言葉,きたないことば_罵りの言葉,ののしりのことば_罵詈雑言,ばりぞうごん",0
F. Hoffmann-La Roche Limited,"エフ・ホフマン・ラ・ロシュ社,えふ・ほふまん・ら・ろしゅしゃ",0
"F.C.C. Co., Ltd.","エフ・シー・シー,えふ・しー・しー",0
F.I.S.T.,"フィスト,ふぃすと",0
F/X,"F/X／引き裂かれたトリック,えふ/えっくす／ひきさかれたとりっく",0
F/X 2 - The Deadly Art of Illusion,"F/X2　イリュージョン,えふ/えっくすに　いりゅーじょん",0
F1-layer,"F1層,えふいっそう_F1領域,えふいちりょういき",0
F1-region,"F1層,えふいっそう_F1領域,えふいちりょういき",0
F2-layer,"F二層,えふにそう_F2領域,えふにりょういき",0
F2-region,"F二層,えふにそう_F2領域,えふにりょういき",0
fa,"ファ,ふぁ",0
Fabaceae,"マメ科,まめか",0
fabada,"ファバーダ,ふぁばーだ_ファバダ,ふぁばだ",0
Fabales,"マメ目,まめめ",0
Fabian Society,"フェビアン協会,ふぇびあんきょうかい",0
fable,"寓話,ぐうわ",0
Fable,"寓話,ぐうわ",0
"Fables for Our Time, and Famous Poems Illustrated","現代イソップ－－名詩に描く,げんだいいそっぷ－－めいしにえがく",0
fabliau,"ファブリオ,ふぁぶりお",0
Faboideae,"マメ亜科,まめあか",0
Faborg,"フォボア,ふぉぼあ",0
Fabriano,"ファブリアノ,ふぁぶりあの",0
fabric,"織物,おりもの_編み物,あみもの_布,ぬの_生地,きじ_織り方,おりほう_編み方,あみほう_基礎構造,きそこうぞう_骨組み,ほねぐみ_仕組み,しくみ_建材,けんざい_素材,そざい_構成成分,こうせいせいぶん",6
Fabrica Toyama Corporation,"ファブリカトヤマ,ふぁぶりかとやま",0
fabricant,"製造者,せいぞうしゃ",0
fabricating,"二次加工,にじかこう",0
fabrication,"製作,せいさく_製造,せいぞう_うそを作り出すこと,うそをつくりだすこと_でっち上げ,でっちあげ_作り話,つくりはなし_模造,もぞう_偽造,ぎぞう",0
fabricator,"製作者,せいさくしゃ_うそをでっち上げる人,うそをでっちあげるにん",0
Fabry-Perot-interferometer,"ファブリー・ペロ干渉計,ふぁぶりー・ぺろかんしょうけい",0
fabulist,"寓話作者,ぐうわさくしゃ_うそつき,うそつき",0
