word,meanings,score
G,"一般向き映画,いっぱんむききえいが_おまえ,おまえ",0
G Is for Gumshoe,"探偵のG,たんていのじー",0
G-Day,"地上部隊の導入日,ちじょうぶたいのどうにゅうにち",0
G-forces,"重力加速度,じゅうりょくかそくど",0
G-jan,"ジージャン,じーじゃん",0
g-line,"特定アドレスからのアクセス禁止,とくていあどれすからのあくせすきんし",0
G-man,"FBIの捜査官,えふびーあいのそうさかん",0
G-Net Corporation,"ジーネット,じーねっと",0
G-pan,"ジーパン,じーぱん",0
G-Spot,"Gスポット,じーすぽっと",0
G-string,"G線,じーせん_ゲー線,げーせん_ジーストリング,じーすとりんぐ_ふんどし,ふんどし_下帯,したおび_バタフライ,ばたふらい",0
g-tolerance,"重力耐性,じゅうりょくたいせい",0
G-value,"G値,じーあたい",0
"G. Schirmer, Inc.","G・シャーマー社,じー・しゃーまーしゃ",0
G.I.,"米兵,べいへい",0
G.I. Joe,"GIジョー,じーあいじょー",0
G10,"積層板のグレード,せきそういたのぐれーど",0
G11,"積層板のグレード,せきそういたのぐれーど",0
ga-ga,"バーブー,ばーぶー",0
GaAs,"ガリウム・ヒ素,がりうむ・ひもと_ガリ・ヒソ,がり・ひそ",0
gab,"無駄話,むだばなし_引っ掛け,ひっかけ",0
Gabapentin,"ガバペンチン,がばぺんちん",0
gabapentine,"ガバペンチン,がばぺんちん",0
gabardine,"ギャバジン,ぎゃばじん_ギャバジン製の衣服,ぎゃばじんせいのいふく",0
Gabardine,"ギャバジン,ぎゃばじん",0
Gabbai,"会計係,かいけいかかり_主事,しゅじ",0
gabber,"よくしゃべる人,よくしゃべるにん_ガバ,がば",0
gabble,"おしゃべり,おしゃべり_ガーガーという鳴き声,がーがーというなきごえ",0
gabbler,"よくしゃべる人,よくしゃべるにん",0
gabbro,"斑糲岩,はんれいいわ",0
gabelle,"塩税,しおぜい",0
gaberdine,"ギャバジン,ぎゃばじん",0
gaberlunzie,"浮浪の乞食,ふろうのこじき",0
Gaberones,"ガベロネス,がべろねす",0
Gabes,"ガベス,がべす",0
gabexate,"ガベキサート,がべきさーと",0
gabfest,"おしゃべり,おしゃべり",0
Gabii,"ガビイ,がびい",0
Gabin,"ゴンビン,ごんびん",0
gabion,"蛇籠,へびかご_一時的に要塞を築くために使われる石をつめたかご,いちじてきにようさいをきづくためにつかわれるいしをつめたかご",0
gable,"切妻,きりづま_破風,はふ",0
gablet,"小破風,しょうはかぜ",0
Gabonese,"ガボン人,がぼんにん",0
Gaborone,"ガボローネ,がぼろーね_ハボロネ,はぼろね",0
Gabriel,"ガブリエル,がぶりえる",0
Gabrielino,"ガブリエレーニョ族,がぶりえれーにょぞく",0
gaby,"ばか,ばか_間抜け,まぬけ",0
Gaby - A True Story,"ギャビー／愛は全てを越えて,ぎゃびー／あいはすべてをこえて",0
gacha,"カプセルトイ,かぷせるとい_ガチャ,がちゃ",0
Gacheta,"ガチェタ,がちぇた",0
Gacko,"ガツコ,がつこ",0
Gacrux,"ガクルックス,がくるっくす",0
gad,"出歩き,であるき_ほっつき歩くこと,ほっつきあるくこと_突き棒,つきぼう_たがね,たがね",0
gadabout,"旅行する人,りょこうするにん",0
Gadag,"ガダグ,がだぐ",0
Gadag-Betigeri,"ガダグ,がだぐ",0
Gadara,"ガダラ,がだら",0
Gadchiroli,"ガドチローリー,がどちろーりー",0
Gaddang,"ガッダン族,がっだんぞく",0
gadfly,"アブ,あぶ_うるさい人,うるさいにん",0
gadget,"道具,どうぐ_装置,そうち_面白い小物,おもしろいこもの_ガジェット,がじぇっと_不要な小物,ふようなこもの_役立ちそうでそうでもない装置,やくたちそうでそうでもないそうち",0
gadgeteer,"小道具の考案者,こどうぐのこうあんしゃ",0
gadgetry,"小道具類,こどうぐるい_がらくた類,がらくたるい",0
gadid,"タラ科の魚,たらかのさかな",0
Gadidae,"タラ科,たらか",0
Gadiformes,"タラ目,たらめ",0
Gadir,"ガディル,がでぃる",0
gadling,"放浪者,ほうろうしゃ_漂流者,ひょうりゅうしゃ",0
gado-gado,"ガドガド,がどがど",0
Gadoidei,"タラ亜目,たらあめ",0
gadolinite,"ガドリナイト,がどりないと",0
gadolinium,"ガドリニウム,がどりにうむ_ガドリニァム,がどりにぁむ",0
Gadra,"ガドラ,がどら",0
gadroon,"丸ひだ装飾,まるひだそうしょく",0
Gadsden,"ガズデン,がずでん",0
Gadus,"マダラ属,まだらぞく",0
gadwall,"オカヨシガモ,おかよしがも",0
Gadyach,"ガジャチ,がじゃち",0
Gadzhiyevo,"ガジーヴォ,がじーゔぉ",0
gadzookery,"古語,こご_古風な表現,こふうなひょうげん",0
Gaea,"ガイア,がいあ_大地の女神,だいちのめがみ",0
Gaelic,"ゲール人,げーるにん",0
Gaelic League,"ゲール語連盟,げーるごれんめい",0
Gaesti,"グエシチ,ぐえしち",0
Gaeta,"ガエタ,がえた",0
Gaferut,"ガフェルート島,がふぇるーとしま",0
gaff,"うおかぎ,うおかぎ_かぎざお,かぎざお_鉄蹴爪,てつしゅうつめ_ガフ,がふ_斜桁,しゃけた_トリック,とりっく_からくり,からくり_罵り,ののしり_手ひどい扱い,てひどいあつかい",0
gaffe,"失敗,しっぱい_しくじり,しくじり_へま,へま_失言,しつげん_失策,しっさく_社会的失態,しゃかいてきしったい",0
gaffer,"じいさん,じいさん_年寄り,としより_田舎者,いなかもの_照明係,しょうめいかかり",0
Gafsa,"ガフサ,がふさ",0
gag,"猿ぐつわ,さるぐつわ_言論統制,げんろんとうせい_言論の自由の制限,げんろんのじゆうのせいげん_開口器,かいこううつわ_開口具,かいこうぐ_息が詰まること,いきがつまること_吐くこと,はくこと_ギャグ,ぎゃぐ_ジョーク,じょーく_いたずら,いたずら_悪ふざけ,あくふざけ_冗談,じょうだん",0
gaga-imo,"ガガイモ,ががいも",0
Gagangir,"ガガンギル,ががんぎる",0
gage,"担保,たんぽ_抵当,ていとう_ウイスキー,ういすきー_酒,さけ_たばこ,たばこ_マリフアナ,まりふあな",0
gagers,"目,め",0
gagger,"抑圧する人,よくあつするにん",0
gagging,"吐き気,はきけ",0
gaggle,"ガーガー鳴く声,がーがーなくこえ_ガチョウの群れ,がちょうのむれ_騒々しい集団,そうぞうしいしゅうだん",0
Gaglioppo,"ガリオッポ,がりおっぽ",0
gagman,"ギャグ作家,ぎゃぐさっか_ギャグが得意なお笑い芸人,ぎゃぐがとくいなおわらいげいにん",0
Gagnoa,"ガニョア,がにょあ",0
gago,"ジプシーでない人,じぷしーでないにん",0
Gagra,"ガグラ,がぐら",0
gagster,"悪ふざけする人,あくふざけするにん_ひょうきん者,ひょうきんもの",0
gahnite,"亜鉛尖晶石,あえんせんあきいし",0
Gahru,"ギャフルー,ぎゃふるー",0
Gahvareh,"ギャフヴァーレ,ぎゃふゔぁーれ",0
Gai,"ガイ,がい",0
Gaia,"ガイア,がいあ_大地の女神,だいちのめがみ",0
Gaibanda,"ガイバンダ,がいばんだ",0
Gaidhouronisi,"ガイドロニシ島,がいどろにししま",0
gaiety,"陽気,ようき_お祭り騒ぎ,おまつりさわぎ_明るさ,あかるさ_快活,かいかつ_にぎやかさ,にぎやかさ_愉快,ゆかい_華やかさ,はなやかさ_派手,はで_華美,かび",0
Gaighata,"ガイガタ,がいがた",0
Gaillard Cut,"ゲーリャードカット,げーりゃーどかっと_ゲイリャード・カット,げいりゃーど・かっと",0
gaillardia,"テンニンギク,てんにんぎく",0
gain,"得たもの,えたもの_利益,りえき_得ること,えること_獲得,かくとく_前進,ぜんしん_進歩,しんぽ_発展,はってん_増加,ぞうか_増大,ぞうだい_利得,りとく_ゲイン,げいん_溝,みぞ_ほぞ穴,ほぞあな_切り込み,きりこみ",4
Gain,"ゲイン,げいん",0
gain compensation,"利得補償,りとくほしょう",0
gain in height,"身長増加,しんちょうぞうか",0
gain in weight,"重さ,おもさ",0
gain recognition,"利益認識,りえきにんしき",0
gain stability,"利得安定性,りとくあんていせい",0
gain-of-function,"機能獲得,きのうかくとく",0
gain-up,"ゲインアップ,げいんあっぷ",0
gaine,"飾り台座,かざりだいざ",0
gainer,"勝利者,しょうりしゃ_利得者,りとくもの_値上がり株,ねあがりかぶ_ゲイナー,げいなー",0
Gainesville,"ゲーンズビル,げーんずびる",0
gainings,"稼ぎ,かせぎ_もうけ,もうけ_収益,しゅうえき",0
gainsayer,"否定する人,ひていするにん",0
Gainsborough,"ゲーンズバラ,げーんずばら",0
Gairdner,"ゲアドナー湖,げあどなーみずうみ",0
Gaisin,"ガイシン,がいしん",0
gait,"歩き方,あるきかた_足取り,あしどり_馬の歩き方,うまのあるきかた_歩様,ほさま_進み方,すすみかた_進度,しんど",0
gaita,"ガイタ,がいた",0
gaiter,"ゲートル,げーとる_脚半,あしはん",0
gaiting,"織り付け,おりつけ",0
Gajan,"ガジャン,がじゃん",0
"GAKKEN HOLDINGS CO.,LTD.","株式会社学研ホールディングス,かぶしきがいしゃがっけんほーるでぃんぐす",0
gal,"ガル,がる",0
gala,"祭り,まつり_祝祭,しゅくさい_にぎやかな催し,にぎやかなもよおし",0
galactacrasia,"母乳異常,ぼにゅういじょう",0
galactagogue,"催乳,さいちち",0
galactan,"ガラクタン,がらくたん",0
Galactic Gigolo,"ギャラクシー・ジゴロ,ぎゃらくしー・じごろ",0
Galactic Pot-Healer,"銀河のつぼ直し,ぎんがのつぼなおし",0
Galactic-halo,"銀河系ハロー,ぎんがけいはろー",0
galactin,"ガラクチン,がらくちん",0
galacto-oligosaccharide,"ガラクトオリゴ糖,がらくとおりごとう",0
galactoblast,"初乳球,はつちちたま",0
galactocele,"乳瘤,ちちこぶ",0
galactokinase,"ガラクトキナーゼ,がらくときなーぜ",0
galactolipid,"ガラクトリピド,がらくとりぴど",0
galactomannan,"ガラクトマンナン,がらくとまんなん",0
galactometer,"乳比重計,ちちひじゅうけい",0
