word,meanings,score
i,"イォータ,いぉーた_iota,iota",-
I,"アルファベットのアイ,あるふぁべっとのあい_1,1_一,いち_怪奇！二つの顔を持つ男,かいき！ふたつのかおをもつおとこ",-
I Am A Dancer,"華麗なるダンサー,かれいなるだんさー",-
I Am Sam,"アイ・アム・サム,あい・あむ・さむ",-
I Bought A Vampire Motorcycle,"暴走スプラッターマシーン,ぼうそうすぷらったーましーん",-
I can't believe it's not butter!,"アイ・キャント・ビリーブ・イッツ・ノット・バター！,あい・きゃんと・びりーぶ・いっつ・のっと・ばたー！",-
I Confess,"私は告白する,わたしはこくはくする",-
I Is for Innocent,"無実のI,むじつのI",-
I Know What You Did Last Summer,"ラストサマー,らすとさまー",-
I Live In Grovenor Square,"大空に散る恋,おおぞらにちるこい",-
I Love N.Y.,"ニューヨーク恋物語,にゅーよーくこいものがたり",-
I Love Trouble.,"アイ・ラブ・トラブル,あい・らぶ・とらぶる",-
I Love You to Death,"殺したいほど／アイ・ラヴ・ユー,ころしたいほど／あい・らゔ・ゆー",-
I Married A Monster From Outer Space,"宇宙船の襲来,うちゅうせんのしゅうらい",-
I Married A Witch,"奥様は魔女,おくさまはまじょ",-
I Miss You Hugs And Kisses,"ミス・ユー／氷の接吻,みす・ゆー／こおりのせっぷん",-
I Never Sang For My Father,"父の肖像,ちちのしょうぞう",-
I Ought To Be In Pictures,"私は女優志願,わたしはじょゆうしがん",-
I Remember Mama,"ママの想い出,ままのおもいで",-
I Shall Spit on Your Graves,"墓に唾をかけろ,はかにつばをかけろ",-
I Still Know What You Did Last Summer,"ラストサマー2,らすとさまー2",-
I Walked with A Zombie,"ブードゥリアン,ぶーどぅりあん",-
I Wanna Hold Your Hand,"抱きしめたい,だきしめたい",-
I Want to Live!,"私は死にたくない,わたしはしにたくない",-
I Want You,"我が心の呼ぶ声,わがこころのよぶこえ",-
I Was A Teenage Vampire,"ティーンバンパイア,てぃーんばんぱいあ",-
I was born but...,"生まれてはみたけれど,うまれてはみたけれど",-
I Will Fear No Evil,"悪徳なんか恐くない,あくとくなんかこわくない",-
"I Will, I Will... For Now","可愛い女,かわいおんな",-
I'll Met By Moonlight,"将軍月光に消ゆ,しょうぐんげっこうにきゆ",-
I've Heard the Mermaids Singing,"私は人魚の歌を聞いた,わたしはにんぎょのうたをきいた",-
"I, etcetera","わたしエトセトラ,わたしえとせとら",-
