word,meanings,score
M,"アルファベットのM,あるふぁべっとのM_1000,1000_千,せん",-
M Butterfly,"Mバタフライ,Mばたふらい",-
M Is for Malice,"悪意のM,あくいのM",-
M&M's,"エムアンドエムズ,えむあんどえむず",-
M'Bigou,"ムビグー,むびぐー",-
M'Bomou,"ムボム川,むぼむかわ",-
M'bour,"ンブール,んぶーる_ムブール,むぶーる",-
M'Clure Strait,"マクルアー海峡,まくるあーかいきょう",-
M'Lud,"ミラッド,みらっど_閣下,かっか",-
M'Sila,"ムシラ,むしら",-
M'Zab Valley,"ムザブの谷,むざぶのたに",-
M-1,"専門学校生用ビザ,せんもんがっこうせいようびざ",-
M-16,"軽機関銃,けいきかんじゅう_自動ライフル銃,じどうらいふるじゅう",-
m-banking,"モバイルバンキング,もばいるばんきんぐ",-
m-benzenediol,"m-ベンゼンジオール,m-べんぜんじおーる",-
M-day,"動員日,どういんにち",-
m-dihydroxybenzene,"m-ジヒドロキシベンゼン,m-じひどろきしべんぜん",-
M-sequence,"M系列,Mけいれつ",-
M-theory,"M理論,Mりろん",-
M0,"転移なし,てんいなし",-
M1,"通貨供給量の一つ,つうかきょうきゅうりょうのひとつ_転移あり,てんいあり",-
ma,"ママ,まま_お母さん,おかあさん_おかあちゃん,おかあちゃん_セクシーな女,せくしーなおんな",-
MA Training,"MAトレーニング,MAとれーにんぐ",-
ma'am,"ご婦人,ごふじん_お嬢さん,おじょうさん_女王様,じょおうさま",-
Ma'amuniye,"マアムーニーイェ,まあむーにーいぇ",-
Ma'arrat al-Numan,"マアッラト・アン＝ヌウマーン,まあっらと・あん＝ぬうまーん",-
Ma'mulan,"マアムーラーン,まあむーらーん",-
Maalox,"マーロックス,まーろっくす",-
Maan,"マアーン,まあーん",-
Maanshan,"馬鞍山,うまくらやま_マーアンシャン,まーあんしゃん_まあんさん,まあんさん",-
maar,"マール,まーる",-
Maarianhamina,"マーリアンハミナ,まーりあんはみな",-
Maartensdijk,"マールテンスダイク,まーるてんすだいく",-
Maas,"マース川,まーすかわ",-
Maastricht,"マーストリヒト,まーすとりひと",-
Maastrichtian,"マーストリヒチアン,まーすとりひちあん",-
Mabana,"マバナ,まばな",-
MabCampath,"マブキャンパス,まぶきゃんぱす",-
MaBell,"母ベル,ははべる",-
Mabeskraal,"メーブスクラール,めーぶすくらーる",-
mabolo,"ケガキ,けがき",-
Mabrak,"マブラク,まぶらく",-
Mabrouk,"マブルク,まぶるく",-
"Mabuchi Motor Co., Ltd.","マブチモーター,まぶちもーたー",-
