word,meanings,score
S,"S,S",-
"S & B Foods, Inc.","エスビー食品,えすびーしょくひん",-
s'more,"スモア,すもあ",-
S-adenosyl-L-homocysteine,"S-アデノシル-L-ホモシステイン,S-あでのしる-L-ほもしすていん",-
S-adenosyl-L-methionine,"S-アデノシル-L-メチオニン,S-あでのしる-L-めちおにん",-
S-adenosyl-methionine,"S-アデノシルメチオニン,S-あでのしるめちおにん",-
S-adenosylhomocysteine,"S-アデノシルホモシステイン,S-あでのしるほもしすていん",-
S-adenosylmethionine,"S-アデノシルメチオニン,S-あでのしるめちおにん",-
S-bend,"S排水管,Sはいすいかん",-
S-characteristics,"S字特性,Sじとくせい",-
S-curve,"S字型カーブ,Sじけいかーぶ",-
S-distortion,"Sひずみ,Sひずみ",-
s-hook,"S字フック,Sじふっく",-
s-indacene,"s-インダセン,s-いんだせん",-
S-potential,"S電位,Sでんい",-
s-process,"s過程,sかてい",-
"S-Science Co., Ltd.","株式会社エス・サイエンス,かぶしきがいしゃえす・さいえんす",-
S-shaft,"硬いシャフト,かたいしゃふと",-
S-turns,"S字ターン,Sじたーん",-
S-wave,"S波,Sなみ",-
S.F.W.,"S.F.W.,S.F.W.",-
S.H.E. (Security Hazards Expert),"S.H.E.クレオパトラ・ジャガー,S.H.E.くれおぱとら・じゃがー",-
S.O.B.,"S.O.B.,S.O.B.",-
S.O.S. Titanic,"失われた航海,うしなわれたこうかい",-
S.S.White Technologies Incorporated,"エス・エス・ホワイト,えす・えす・ほわいと",-
"S.T. Chemical Co., Ltd.","エステー化学,えすてーかがく",-
S/M powder,"S・M散,S・Mさん",-
S/Z,"S/Z－－バルザック『サラジーヌ』の構造分析,S/Z－－ばるざっく『さらじーぬ』のこうぞうぶんせき",-
s0x,"＝socks,＝socks",-
s0x0r,"＝socks,＝socks",-
Sa da Bandeira,"サ・ダ・バンデイラ,さ・だ・ばんでいら",-
Sa'a,"サー語,さーご",-
Sa'adabad,"サアダーバード,さあだーばーど",-
SA-18,"携帯型地対空ミサイルの一種,けいたいがたちたいくうみさいるのいっしゅ",-
SA-7,"旧ソ連型携行型地対空ミサイル,きゅうそれんかたけいこうかたちたいくうみさいる",-
Sa-dec,"サデク,さでく",-
Saadatabad,"サーダタバード,さーだたばーど",-
saag,"サグ,さぐ_サーグ,さーぐ",-
Saale,"ザーレ川,ざーれかわ",-
Saalfeld,"ザールフェルト,ざーるふぇると",-
Saami,"サーミ,さーみ",-
Saane,"ザーネ川,ざーねかわ",-
Saanen,"ザーネン,ざーねん",-
Saar,"ザール,ざーる_ザール川,ざーるかわ",-
Saarbrucken,"ザールブリュッケン,ざーるぶりゅっけん",-
Saarebourg,"サールブール,さーるぶーる",-
Saargemund,"ザールゲミュント,ざーるげみゅんと",-
Saarland,"ザールラント州,ざーるらんとしゅう",-
Saarlautern,"ザールラウテルン,ざーるらうてるん",-
Saarlouis,"ザールルイ,ざーるるい",-
Saavedra,"サーベドラ,さーべどら",-
sab,"狩猟反対者,しゅりょうはんたいしゃ",-
Sabac,"シャバツ,しゃばつ",-
Sabadell,"サバデル,さばでる",-
sabadilla,"サバジラ,さばじら",-
Sabaean,"シバ人,しばにん_シバ語,しばご",-
Sabah,"サバ州,さばしゅう",-
Sabana de Uchire,"サバナ・デ・ウチレ,さばな・で・うちれ",-
Sabanalarga,"サバナラルガ,さばならるが",-
Sabanas Paramo,"サバナスパラモ山,さばなすぱらもやま",-
Sabang,"サバン,さばん",-
Sabaoth,"万軍,まんぐん",-
Sabara,"サバラ,さばら",-
Sabarmati,"サバルマティ川,さばるまてぃかわ",-
Sabaudia,"サバウジア,さばうじあ",-
Sabbatarian,"安息日厳守主義者,あんそくびげんしゅしゅぎしゃ",-
Sabbatarianism,"安息日厳守主義,あんそくびげんしゅしゅぎ",-
Sabbath,"安息日,あんそくび",-
sabbatical,"サバティカルリーブ,さばてぃかるりーぶ_長期有給休暇,ちょうきゆうきゅうきゅうか_特別研究期間,とくべつけんきゅうきかん",-
Sabbatical,"サバティカル,さばてぃかる",-
Sabbatist,"安息日厳守者,あんそくびげんしゅもの",-
Sabderat,"サブデラト,さぶでらと",-
Sabean,"シバ人,しばにん_シバ語,しばご",-
Sabellian,"サベリウス主義,さべりうすしゅぎ",-
Sabellianism,"サベリウス主義,さべりうすしゅぎ",-
Sabellidae,"ケヤリ科,けやりか",-
Sabena Belgian World Airlines,"サベナ・ベルギー航空,さべな・べるぎーこうくう",-
saber,"サーベル,さーべる_軍刀,ぐんかたな_サーブル,さーぶる",-
saber-cut,"サーベルでやられた切り傷,さーべるでやられたきりきず",-
saber-rattling,"武力による威嚇,ぶりょくによるいかく",-
sabermetrician,"セイバーメトリクス研究者,せいばーめとりくすけんきゅうしゃ_新思考派,しんしこうは",-
sabermetrics,"野球の記録データのコンピューター分析法,やきゅうのきろくでーたのこんぴゅーたーぶんせきほう",-
sabertooth,"サーベルタイガー,さーべるたいがー_剣歯虎,つるぎはとら",-
Sabhah,"サブハー,さぶはー",-
Sabi,"サビ川,さびかわ",-
Sabiaceae,"アワブキ科,あわぶきか",-
Sabian,"サービア教徒,さーびあきょうと",-
Sabile,"サビレ,さびれ",-
sabin,"セービン,せーびん",-
Sabinas,"サビナス,さびなす",-
Sabine,"サビニ人,さびににん_サビーン川,さびーんかわ",-
Sabine Lake,"サビーン湖,さびーんみずうみ",-
sabinene,"サビネン,さびねん",-
Sabir,"サビール語,さびーるご",-
sabkha,"サブカ,さぶか",-
sabkhah,"サブカ,さぶか",-
sabkhat,"サブカ,さぶか",-
Sabkhat el Bardawil,"バルダウィル湖,ばるだうぃるみずうみ",-
Sablayan,"サブラヤン,さぶらやん",-
sable,"クロテン,くろてん_クロテンの毛皮,くろてんのけがわ_黒色,こくしょく_喪服,もふく",-
Sable,"セーブル島,せーぶるしま",-
Sable-sur-Sarthe,"サブレ・シュル・サルト,さぶれ・しゅる・さると",-
sablefish,"ギンダラ,ぎんだら",-
Sablya,"サブリャ山,さぶりゃやま",-
Sabo (Erosion and Sediment Control) Administration Office,"砂防管理室,さぼうかんりしつ",-
Sabo (Erosion and Sediment Control) Department,"砂防部,さぼうぶ",-
Sabo (Erosion and Sediment Control) Planning Division,"砂防計画課,さぼうけいかくか",-
SABO Technical Center,"財団法人砂防・地すべり技術センター,ざいだんほうじんさぼう・ちすべりぎじゅつせんたー",-
Sabor,"セイバー,せいばー_サボル川,さぼるかわ",-
sabora,"ユダヤ教律法学者,ゆだやきょうりつほうがくもの",-
sabot,"木靴,きぐつ_弾底板,だんそこいた_送弾筒,そうだんつつ",-
sabotage,"サボタージュ,さぼたーじゅ_妨害工作,ぼうがいこうさく_妨害行為,ぼうがいこうい",-
Sabotage,"サボタージュ,さぼたーじゅ",-
saboteur,"サボタージュを行う人,さぼたーじゅをおこなうにん",-
Saboteur,"逃走迷路,とうそうめいろ",-
sabra,"イスラエル生まれの人,いすらえるうまれのにん",-
Sabrata,"サブラタ,さぶらた",-
sabreur,"サーベルを持った騎士,さーべるをもったきし",-
Sabrina,"麗しのサブリナ,うるわしのさぶりな_サブリナ,さぶりな",-
saburra,"食物残渣,たべものざんさ",-
Sabzavar,"サブザバル,さぶざばる",-
Sabzevar,"サブゼバール,さぶぜばーる",-
sabzi,"サブジ,さぶじ",-
sac,"嚢,のう_液嚢,えきのう",-
Sac-Town,"米国カリフォルニア州サクラメントのニックネーム,べいこくかりふぉるにあしゅうさくらめんとのにっくねーむ",-
Sacandaga Reservoir,"サカンダガ湖,さかんだがみずうみ",-
Sacavem,"サカベン,さかべん_サカベン川,さかべんかわ",-
sacbut,"サックバット,さっくばっと_三角琴,さんかくこん",-
saccade,"衝動性運動,しょうどうせいうんどう_サッカード,さっかーど_馬の急停止,うまのきゅうていし_サカード,さかーど",-
saccharase,"サッカラーゼ,さっからーぜ",-
saccharate,"サッカラート,さっからーと",-
saccharephidrosis,"糖汗,とうあせ",-
