word,meanings,score
w,"アルファベットの第23字,あるふぁべっとのだいにじゅうさんじ",0
W&G Foyle Ltd.,"フォイルズ,ふぉいるず",0
W-value,"W値,だぶるあたい",0
W. M. Keck Foundation,"W.M.ケック財団,だぶる.えむ.けっくざいだん",0
W.B.Blue And the Beaner,"アウトライダー,あうとらいだー",0
W.H.Smith,"ダブリュ・エイチ・スミス,だぶりゅ・えいち・すみす",0
Waal,"ワール川,わーるかわ",0
Waalwijk,"ワールワイク,わーるわいく",0
Wabana,"ワバナ,わばな",0
Wabash,"ウォバシュ,うぉばしゅ",0
Wabrzezno,"ボンブジェジノ,ぼんぶじぇじの",0
Wachow,"ワッホー,わっほー",0
wack,"変人,へんじん",0
Wackenhut,"ワッケンハット,わっけんはっと",0
Wacker,"ワッカー・アマダー法,わっかー・あまだーほう",0
wackiness,"狂気さ,きょうきさ",0
wacko,"変わったやつ,かわったやつ",0
Wacko,"死霊のかぼちゃ,しりょうのかぼちゃ",0
Waco,"ウェーコ,うぇーこ",0
Wacoal Corporation,"ワコール,わこーる",0
wad,"小塊,しょうかい_束,そく_詰め物,つめもの_多量,たりょう_精液,せいえき",0
Wad Medani,"ワド・メダニ,わど・めだに",0
wadcutter,"ワッドカッター,わっどかったー",0
Wadden Zee,"ワッデ海,わっでうみ",0
waddie,"牛泥棒,うしどろぼう",0
wadding,"詰め物,つめもの_詰め綿,つめめん",0
Waddington,"ワディントン山,わでぃんとんやま",0
waddle,"よたよた歩き,よたよたあるき",0
waddler,"よたよた歩く人,よたよたあるくにん",0
waddling,"詰め物,つめもの_詰め綿,つめめん",0
waddy,"こん棒,こんぼう_牛泥棒,うしどろぼう",0
wade,"歩いて行くこと,あるいていくこと",0
Wadelai,"ワデライ,わでらい",0
Wadenswil,"ウェデンスウィル,うぇでんすうぃる",0
wader,"歩いて渡る人,あるいてわたるにん_ウェイダー,うぇいだー_ウェーダー,うぇーだー_防水長靴,ぼうすいながぐつ_渉禽類,わたるきんるい",0
wadge,"塊,かい_束,そく",0
wadi,"ワジ,わじ",0
Wadi Al Seer,"ワーディー・アッスィール,わーでぃー・あっすぃーる",0
Wadi Halfa,"ワディハルファ,わでぃはるふぁ",0
Wadi Musa,"ワジムサ,わじむさ",0
Wadi Zerka,"ワディ・ザーカ川,わでぃ・ざーかかわ",0
Wadi Zerka River,"ワディ・ザーカ川,わでぃ・ざーかかわ",0
wadi-al-kabir,"大きな川,おおきなかわ",0
Wadias,"ワディア一族,わでぃあいちぞく",0
wading,"ワタリ,わたり_わたり,わたり",0
Wadowice,"バドビツェ,ばどびつぇ",0
Wadsworth,"ウォズワース,うぉずわーす",0
Wafangdian,"瓦房店市,かわらぼうみせし",0
Wafd,"ワフド党,わふどとう",0
wafer,"ウエハース,うえはーす_ウエハー,うえはー_聖餅,ひじりもち",0
waff,"一吹き,いちふき_ちらっと見ること,ちらっとみること",0
waffle,"ワッフル,わっふる_無駄口,むだくち_おしゃべり,おしゃべり_ナンセンス,なんせんす_曖昧な言葉,あいまいなことば",0
waffler,"コロコロ考えが変わるやつ,ころころかんがえがかわるやつ",0
waft,"そよ風で運ばれるもの,そよかぜではこばれるもの_そよ風,そよかぜ_ひと吹きの風,ひとふきのかぜ_羽ばたき,はねばたき_うねり,うねり_信号旗,しんごうはた_手旗信号,てばたしんごう",0
waftage,"浮動,ふどう_浮遊,ふゆう",0
wafter,"風を送る人,かぜをおくるにん_送風装置,そうふうそうち",0
wafture,"手を動かして合図すること,てをうごかしてあいずすること_そよ風で運ばれるもの,そよかぜではこばれるもの",0
wag,"振ること,ふること_おどけもの,おどけもの_ひょうきんもの,ひょうきんもの",5
Wag the Dog,"ウワサの真相／ワグ・ザ・ドッグ,うわさのしんそう／わぐ・ざ・どっぐ",0
Wagbag,"登山用携帯トイレ,とざんようけいたいといれ",0
wage,"賃金,ちんぎん_時間給,じかんきゅう_応報,おうほう",0
wage-earner,"時間給で働く人,じかんきゅうではたらくにん_賃金所得者,ちんぎんしょとくもの_賃金生活者,ちんぎんせいかつしゃ_賃金労働者,ちんぎんろうどうしゃ_勤労者,きんろうしゃ_働き手,はたらきて_稼ぎ手,かせぎて",0
wage-snatch,"給料泥棒,きゅうりょうどろぼう",0
wage-worker,"時間給で働く人,じかんきゅうではたらくにん_賃金所得者,ちんぎんしょとくもの_賃金生活者,ちんぎんせいかつしゃ_賃金労働者,ちんぎんろうどうしゃ_勤労者,きんろうしゃ_働き手,はたらきて_稼ぎ手,かせぎて",0
Wagenia,"ウァゲン族,うぁげんぞく",0
wager,"賭け,かけ_賭け金,かけきん_賭けの対象,かけのたいしょう",7
Wager Bay,"ウェージャー湾,うぇーじゃーわん",0
wagerer,"賭けをする人,かけをするにん",0
Wages and Working Hours Department,"賃金時間部,ちんぎんじかんぶ",0
Wages Council,"賃金審議会,ちんぎんしんぎかい",0
Wages Division,"賃金課,ちんぎんか",0
wagga,"ウォガ,うぉが",0
Wagga Wagga,"ウォガウォガ,うぉがうぉが",0
wagger,"くず入れ,くずいれ",0
wagger-pagger,"くず入れ,くずいれ",0
wagger-pagger-bagger,"くず入れ,くずいれ",0
waggery,"滑稽,こっけい_おどけ,おどけ",0
waggle,"振れ,ふれ_揺れ,ゆれ_ワッグル,わっぐる",0
waggler,"ワグラー,わぐらー",0
Wagner,"ワーグナー／偉大なる生涯,わーぐなー／いだいなるしょうがい",0
Wagnerian,"ワグナー崇拝者,わぐなーすうはいもの",0
wagon,"荷馬車,にばしゃ_キャスター付きの小テーブル,きゃすたーつきのしょうてーぶる_食器台,しょっきだい_ワゴン,わごん_台車,だいしゃ_バン,ばん_乳母車,うばぐるま_ベビーカー,べびーかー_おもちゃの四輪車,おもちゃのよんりんしゃ_犯人護送車,はんにんごそうしゃ",0
wagon-lit,"寝台車,しんだいしゃ",0
wagonage,"ワゴンによる輸送,わごんによるゆそう_荷馬車,にばしゃ",0
wagoner,"荷馬車の御者,にばしゃのぎょしゃ",0
wagonette,"ワゴネット,わごねっと",0
wagonful,"馬車いっぱいのもの,ばしゃいっぱいのもの_馬車の積み荷,ばしゃのつみに",0
wagonload,"荷馬車1台の積荷,にばしゃいちだいのつみに",0
Wagonmaster,"幌馬車,ほろばしゃ",0
Wagrowiec,"ボングロビェツ,ぼんぐろびぇつ",0
wagtail,"セキレイ,せきれい",0
wagyu,"和牛,わぎゅう_脂身の多い牛肉,あぶらみのおおいぎゅうにく",0
wagyu beef,"和牛,わぎゅう_脂身の多い牛肉,あぶらみのおおいぎゅうにく",0
Wagyu Registry Association,"社団法人全国和牛登録協会,しゃだんほうじんぜんこくわぎゅうとうろくきょうかい",0
Wah,"バー,ばー",0
wah-wah,"ワウワウ音,わうわうおと",0
wahabi,"ワッハーブ派の信徒,わっはーぶはのしんと",0
Wahabi,"ワッハーブ派,わっはーぶは",0
Wahhab,"ワッハーブ派,わっはーぶは",0
Wahhabi,"ワッハーブ派,わっはーぶは",0
Wahhabism,"ワッハーブ派の教義,わっはーぶはのきょうぎ",0
wahhaby,"ワッハーブ派,わっはーぶは",0
Wahiawa,"ワヒアワ,わひあわ",0
wahine,"女性,じょせい_妻,つま_女性サーファー,じょせいさーふぁー",0
Wahlern,"ワーレルン,わーれるん",0
wahoo,"ニレの木,にれのき_ムラサキマサキ,むらさきまさき_ワフー,わふー",0
Wahpekute,"ワーペクーテ族,わーぺくーてぞく",0
wahyu,"ワハユ,わはゆ_啓示,けいじ_お告げ,おつげ",0
Wai Tan,"外灘,そとなだ_上海バンド,しゃんはいばんど",0
Waialua,"ワイアルア,わいあるあ",0
Waianae,"ワイアナエ,わいあなえ",0
Waianae Range,"ワイアナエ山脈,わいあなえさんみゃく",0
Waiapu,"ワイアプ川,わいあぷかわ",0
waiata,"マオリ族の歌,まおりぞくのうた",0
Waiau,"ワイアウ川,わいあうかわ",0
Waicuri,"ワイクリ族,わいくりぞく",0
Waidhofen,"ワイトホーフェン,わいとほーふぇん",0
waif,"浮浪児,ふろうじ_棄児,きじ_捨てられた動物,すてられたどうぶつ_捨て猫,すてねこ_持ち主不明の拾得物,もちぬしふめいのしゅうとくぶつ_漂着物,ひょうちゃくもの_手旗信号,てばたしんごう_非常に痩せている女性,ひじょうにやせているじょせい",0
Waigeo,"ワイゲウ島,わいげうしま",0
Waihou,"ワイホー川,わいほーかわ",0
Waikato River,"ワイカト川,わいかとかわ",0
Waikerie,"ワイカリー,わいかりー",0
Waikiki,"ワイキキ,わいきき",0
wail,"嘆くこと,なげくこと_悲嘆すること,ひたんすること_うめき声,うめきこえ_泣き声,なきこえ_泣き叫ぶ声,なきさけぶこえ_物悲しい音,ものかなしいおと",0
Wailaki,"ワイラキ族,わいらきぞく",0
wailer,"泣き叫ぶ人,なきさけぶにん",0
Wailuku,"ワイルク,わいるく",0
Waimakariri,"ワイマカリリ川,わいまかりりかわ",0
Waimanalo,"ワイマナロ,わいまなろ",0
wain,"農作業用荷車,のうさぎょうようにぐるま_北斗七星,ほくとしちほし",0
Wain,"北斗七星,ほくとしちほし",0
Wainganga,"ワインガンガ川,わいんがんがかわ",0
Waingapu,"ワインガプ,わいんがぷ",0
wainscot,"羽目板,はめいた",0
wainscoting,"羽目板,はめいた_腰羽目,こしはめ",0
wainscotting,"羽目板,はめいた_腰羽目,こしはめ",0
wainwright,"荷車製造,にぐるませいぞう",0
Wainwright,"ウェーンライト,うぇーんらいと",0
Waipahu,"ワイパフ,わいぱふ",0
Wairau,"ワイラウ川,わいらうかわ",0
Wairoa,"ワイロア川,わいろあかわ",0
waist,"胴のくびれ,どうのくびれ_ウエスト,うえすと_ブラウス,ぶらうす_胴着,どうぎ_腰状のもの,こしじょうのもの",0
waistband,"ウエストバンド,うえすとばんど",0
waistcloth,"腰巻,こしまき",0
waistcoateer,"ふしだらな女,ふしだらなおんな_売春婦,ばいしゅんふ",0
waistline,"ウエストライン,うえすとらいん_腰のくびれ,こしのくびれ_胴回り,どうまわり",0
wait,"待つこと,まつこと_待機,たいき_待ち時間,まちじかん_待っている間,まっているかん_待ち伏せ場所,まちふせばしょ",2
wait time,"待ち時間,まちじかん_待ち合わせ時間,まちあわせじかん",0
Wait Until Dark,"暗くなるまで待って,くらくなるまでまって",0
wait-a-bit,"とげのある植物,とげのあるしょくぶつ",0
Waitaki,"ワイタキ川,わいたきかわ",0
WaiTan,"外灘,そとなだ_上海バンド,しゃんはいばんど",0
Waitan,"外灘,そとなだ_上海バンド,しゃんはいばんど",0
Waitangi,"ワイタンギ,わいたんぎ",0
Waitara,"ワイタラ川,わいたらかわ",0
waiter,"ウエーター,うえーたー_接客係,せっきゃくかかり_待つ人,まつにん_食事用トレー,しょくじようとれー_給仕盆,きゅうじぼん",0
waiting,"待つこと,まつこと_待機,たいき_待ち時間,まちじかん_仕えること,つかえること_給仕,きゅうじ",0
Waiting for Godot,"ゴドーを待ちながら,ごどーをまちながら",0
Waiting For the Moon,"月の出をまって,がつのしゅつをまって",0
Waiting to Exhale,"ため息つかせて,ためいきつかせて",0
waitperson,"給仕人,きゅうじにん_接客係,せっきゃくかかり",0
waitress,"ウエートレス,うえーとれす_女性の給仕人,じょせいのきゅうじにん",0
waitron,"接客係,せっきゃくかかり",0
waitstaff,"給仕人,きゅうじにん_接客係,せっきゃくかかり",0
waiver,"権利放棄,けんりほうき_ウェーバー制,うぇーばーせい",0
Waiwai,"ワイワイ族,わいわいぞく",0
Waiyang,"ワイヤン,わいやん",0
wajib,"ワージブ,わーじぶ_義務,ぎむ",0
waka,"和歌,わか_ワカ,わか",0
"Wakachiku Construction Co., Ltd.","若築建設株式会社,じゃくちくけんせつかぶしきがいしゃ",0
"Wakamoto Pharmaceutical Co., Ltd.","わかもと製薬株式会社,わかもとせいやくかぶしきがいしゃ",0
Wakan Comparative Literature Association Japan,"和漢比較文学会,わかんひかくぶんがくかい",0
