meanings,word,score
"アルファベットのA,あるふぁべっとのえー",A,0
"アトランタ,あとらんた",A,0
"アー・ド・リューズ・エ・フィユ,あー・ど・りゅーず・え・ふぃゆ",A de Luze et Fils,0
"ア・ディスタント・ミラー,あ・でぃすたんと・みらー",A Distant Mirror,0
"アリバイのA,ありばいのえー",A Is for Alibi,0
"ア・ロイヤル・トリビュート,あ・ろいやる・とりびゅーと",A Royals Tribute,0
"アーリー,あーりー",A'ali,0
"アニマチェン山,あにまちぇんやま",A'nyemaqen Shan,0
"アア溶岩,ああようがん",aa,0
"アア,ああ",Aa,0
"アイア,あいあ",Aa,0
"アヤ,あや",Aa,0
"アーヘン,あーへん",Aachen,0
"アーレン,あーれん",Aalen,0
"アーリーアンニール州,あーりーあんにーるしゅう",Aali an-Nil,0
"アールスメール,あーるすめーる",Aalsmeer,0
"アールスト,あーるすと",Aalst,0
"姉,あね",aapa,0
"アーパムーア,あーぱむーあ",aapamoor,0
"アーラウ,あーらう",Aarau,0
"アードバーク,あーどばーく",aardvark,0
"アードウルフ,あーどうるふ",aardwolf,0
"アール川,あーるかわ",Aare,0
"アールガウ州,あーるがうしゅう",Aargau,0
"アロンの子孫である祭司,あろんのしそんであるまつりつかさ",Aaronite,0
"アールスホット,あーるすほっと",Aarschot,0
"アブ,あぶ",Ab,0
"アーブバル,あーぶばる",Ab bar,0
"アーベサルド,あーべさるど",Ab-e Sard,0
"アバ,あば",aba,0
"アバ,あば",Aba,0
"アバカ,あばか",abaca,0
"アバカビル,あばかびる",abacavir,0
"アバコ諸島,あばこしょしま",Abaco islands,0
"アバダン,あばだん",Abadan,0
"アバドン,あばどん",Abaddon,0
"アバデ,あばで",Abadeh,0
"アバエテツバ,あばえてつば",Abaetetuba,0
"アバグ旗,あばぐはた",Abag Qi,0
"アバガ旗,あばがはた",Abag Qi,0
"アバイ,あばい",Abai,0
"アバカリキ,あばかりき",Abakaliki,0
"アバカン,あばかん",Abakan,0
"アワビ,あわび",abalone,0
"アバリン,あばりん",abalyn,0
"アバンカイ,あばんかい",Abancay,0
"アバンダンウェア,あばんだんうぇあ",abandonware,0
"アバルクーフ,あばるくーふ",Abarkuh,0
"圧覚喪失,あっかくそうしつ",abarognosis,0
"圧覚失認,あっかくしつにん",abarognosis,0
"アバヤ,あばや",abaya,0
"アバヤ湖,あばやみずうみ",Abaya,0
"アバザ,あばざ",Abaza,0
"アブ,あぶ",abb,0
"アバ,あば",ABBA,0
"アッバシナレ,あっばしなれ",abbacinare,0
"アバイ川,あばいかわ",Abbai,0
"アッバーサーバード,あっばーさーばーど",Abbasabad,0
"アバシド家,あばしどいえ",Abbasid,0
"アッバース家,あっばーすいえ",Abbasid,0
"アバシド家,あばしどいえ",Abbaside,0
"アッバース家,あっばーすいえ",Abbaside,0
"アブビル,あぶびる",Abbeville,0
"アビー・ナショナル社,あびー・なしょなるしゃ",Abbey National PLC,0
"アビーロード,あびーろーど",Abbey Road,0
"アッビアテグラッソ,あっびあてぐらっそ",Abbiategrasso,0
"アボッツブロムリー,あぼっつぶろむりー",Abbots Bromley,0
"アボッツフォード,あぼっつふぉーど",Abbotsford,0
"アボッタバード,あぼったばーど",Abbottabad,0
"アーブダーン,あーぶだーん",Abdan,0
"アーブダーナーン,あーぶだーなーん",Abdanan,0
"アブデラ,あぶでら",Abdera,0
"アブダクション,あぶだくしょん",abduction,0
"アブドリノ,あぶどりの",Abdulino,0
"アブダス・サラム国際理論物理学センター,あぶだす・さらむこくさいりろんぶつりがくせんたー",Abdus Salam International Center for Theoretical Physics,0
"アベシェ,あべしぇ",Abeche,0
"アベデネゴ,あべでねご",Abednego,0
"アベル,あべる",Abel,0
"アベナキ族,あべなきぞく",Abenaki,0
"アブンゴルー,あぶんごるー",Abengourou,0
"アベノミクス,あべのみくす",Abenomics,0
"アベオクタ,あべおくた",Abeokuta,0
"アベクォース,あべくぉーす",abequose,0
"アバーコーン,あばーこーん",Abercorn,0
"アバークロンビー・アンド・フィッチ社,あばーくろんびー・あんど・ふぃっちしゃ",Abercrombie & Fitch Company,0
"アバーデア,あばーであ",Aberdare,0
"アバデア山脈,あばであさんみゃく",Aberdare Mountains,0
"アバディーン,あばでぃーん",Aberdeen,0
"アバディーンシャー,あばでぃーんしゃー",Aberdeenshire,0
"アバディーンシャイア,あばでぃーんしゃいあ",Aberdeenshire,0
"アバフェルディ,あばふぇるでぃ",Aberfeldy,0
"アバーフォード,あばーふぉーど",Aberford,0
"アバーガベニー,あばーがべにー",Abergavenny,0
"アバネシー,あばねしー",Abernethy,0
"アベリストウィス,あべりすとうぃす",Aberystwyth,0
"あおり行為,あおりこうい",abetting,0
"アブファラッド,あぶふぁらっど",abfarad,0
