meanings,word,score
"イ調,いちょう",A,0
"イ音,いおと",A,0
"陰極加熱用電池,いんきょくかねつようでんち",A-battery,0
"イスタダ湖,いすただみずうみ",Ab-i Istada,0
"頂板,いただきいた",abacus,0
"遺棄化学兵器処理担当室,いきかがくへいきしょりたんとうしつ",Abandoned Chemical Weapons Office,0
"遺棄者,いきもの",abandoner,0
"委付者,いつきもの",abandoner,0
"委付,いつき",abandonment,0
"遺棄,いき",abandonment,0
"いろは,いろは",ABC,0
"異常終了,いじょうしゅうりょう",abend,0
"異常,いじょう",aberrance,0
"逸脱,いつだつ",aberration,0
"異常,いじょう",aberration,0
"異常者,いじょうもの",aberration,0
"異常行動者,いじょうこうどうもの",aberrationist,0
"忌み嫌うこと,いみきらうこと",abhorrence,0
"忌み嫌うもの,いみきらうもの",abhorrence,0
"忌み嫌う人,いみきらうにん",abhorrer,0
"卑しいこと,いやしいこと",abjection,0
"異常であること,いじょうであること",abnormality,6
"異常な状態,いじょうなじょうたい",abnormality,6
"異常なもの,いじょうなもの",abnormality,6
"異常,いじょう",abnormity,0
"嫌なもの,いやなもの",abomination,0
"意志欠乏,いしけつぼう",abuleia,0
"嫌がらせ,いやがらせ",abuse,0
"依存,いぞん",abuse,0
"イチビ,いちび",abutilon,0
"意味の分かりにくい学術用語,いみのわかりにくいがくじゅつようご",academese,0
"意志発表不能,いしはっぴょうふのう",acataphasia,0
"イワヒバリ,いわひばり",accentor,0
"意味,いみ",acceptation,0
"偉業,いぎょう",accomplishment,6
"一致,いっち",accord,0
"一致,いっち",accordance,0
"委託業務,いたくぎょうむ",account,0
"衣服,いふく",accouterment,0
"医学生涯教育認定評議会,いがくせいがいきょういくにんていひょうぎかい",Accreditation Council for Continuing Medical Education,0
"1のカード,いちのかーど",ace,0
"1ドル紙幣,いちどるしへい",ace,0
"痛み,いたみ",ache,0
"胃酸過多,いさんかた",acidity,0
"淫欲,いんよく",acolasia,0
"意志薄弱,いしはくじゃく",acrasia,0
"一色型色覚異常,いっしょくかたしきかくいじょう",acritochromacy,0
"糸状線維腫,いとじょうせんいしゅ",acrochordon,0
"イソギンチャク,いそぎんちゃく",actinia,0
"イソギンチャク目,いそぎんちゃくめ",Actiniaria,0
"イソシギ属,いそしぎぞく",Actitis,0
"イブキトラノオ,いぶきとらのお",adders-wort,0
"依存者,いぞんもの",addict,0
"依存,いぞん",addiction,0
"遺贈撤回,いぞうてっかい",ademption,0
"咽頭炎,いんとうほのお",adenoiditis,0
"位置格,いちかく",adessive,0
"入り口,いりぐち",adit,0
"インド先住民,いんどせんじゅうみん",Adivasi,0
"遺産管理人,いさんかんりにん",administrator,0
"入ること,いること",admission,4
"入る権利,いるけんり",admission,4
"イフォラ山地,いふぉらさんち",Adrar des Iforas,0
"移流,いりゅう",advection,0
"いかさま師,いかさまし",adventurer,0
"一般規則制定諮問委員会,いっぱんきそくせいていしもんいいんかい",Advisory Committee on General Rules,0
"移送手続き,いそうてつづき",advocation,0
"陰部,いんぶ",aedoeo,0
"イーゴン保険,いーごんほけん",Aegon,0
"イオリア人,いおりあにん",Aeolian,0
"異方性,いほうせい",aeolotropy,0
"イオンクレジットサービス株式会社,いおんくれじっとさーびすかぶしきがいしゃ","Aeon Credit Service Co., Ltd.",0
"インパラ属,いんぱらぞく",Aepyceros,0
"胃内空気貯留,いないくうきちょりゅう",aerogastria,0
"石質隕石,いししついんせき",aerolite,0
"石質隕石,いししついんせき",aerolith,0
"医師,いし",Aesculapian,0
"イソップ物語,いそっぷものがたり",Aesop's Fables,0
"イソップ物語,いそっぷものがたり",Aesopica,0
"イーサー・システムズ,いーさー・しすてむず",Aether Systems,0
"姻戚関係にある人,いんせきかんけいにあるにん",affinal,0
"姻戚関係者,いんせきかんけいもの",affine,0
"一体感,いったいかん",affinity,0
"姻戚関係,いんせきかんけい",affinity,0
"イチジクコバチ科,いちじくこばちか",Agaontidae,0
"胃神経支配不全,いしんけいしはいふぜん",agastroneuria,0
"医療政策研究機構,いりょうせいさくけんきゅうきこう",Agency for Health Care Policy and Research,0
"医療研究・品質調査機構,いりょうけんきゅう・ひんしつちょうさきこう",Agency for Healthcare Research and Quality,0
"意図,いと",agenda,0
"イタリア宇宙事業団,いたりあうちゅうじぎょうだん",Agenzia Spaziale Italian,0
"いら立ち,いらたち",aggravation,0
"胃酸過多,いさんかた",agita,0
"一致,いっち",agreement,0
"イトトンボ,いととんぼ",agrion,0
"怒っている人,いかっているにん",agro,0
"イネ科植物に関する文献,いねかしょくぶつにかんするぶんけん",agrostography,0
"イネ学,いねがく",agrostology,0
"インド航空,いんどこうくう",Air India,0
"インド国際航空会社,いんどこくさいこうくうかいしゃ",Air India International Corp,0
"イソギク,いそぎく",ajania,0
"意志薄弱,いしはくじゃく",akrasia,0
"イスマーイーリーヤ,いすまーいーりーや",Al-Ismailiyah,0
"意欲,いよく",alacrity,0
"イランイランノキ,いらんいらんのき",alang-ilang,0
"インド舞踊劇の最初に神・師・観客にささげられる挨拶の踊り,いんどぶようげきのさいしょにかみ・し・かんきゃくにささげられるあいさつのおどり",Alarippu,0
"飲酒癖,いんしゅくせ",alcoholmania,0
"飲酒癖,いんしゅくせ",alcoholphilia,0
"嫌酒薬,いやさけくすり",alcoholphobics,0
"飲酒検知器,いんしゅけんちうつわ",alcometer,0
"痛み,いたみ",algi,0
"言い訳,いいわけ",alibi,0
"異邦人,いほうじん",alien,0
"異星人,いせいじん",alien,0
"一列に並ぶこと,いちれつにならぶこと",alignment,0
"一列に並んだもの,いちれつにならんだもの",alignment,0
"一定分量,いっていぶんりょう",aliquot,0
"生きてこそ,いきてこそ",Alive,0
"イヴの総て,いゔのすべて",All About Eve,0
"遺留品,いりゅうひん",All That Remains,0
"一体化されたもの,いったいかされたもの",all-in-one,0
"異所感覚,いしょかんかく",allachesthesia,0
"異所感覚,いしょかんかく",allaesthesia,0
"異常敏感症,いじょうびんかんしょう",allergy,0
"異所感覚,いしょかんかく",allesthesia,0
"姻戚関係,いんせきかんけい",alliance,0
"異種アルブミン血,いしゅあるぶみんち",alloalbuminemia,0
"異種関節形成,いしゅかんせつけいせい",alloarthroplasty,0
"異所知覚症,いところちかくしょう",allochesthesia,0
"異所排便,いところはいべん",allochetia,0
"異所排便,いところはいべん",allochezia,0
"異色性,いしょくせい",allochromy,0
"異時性,いときせい",allochronic,0
"異地性地層,いちせいちそう",allochthon,0
"異質2倍体,いしつにばいからだ",allodiploid,0
"意見恐怖,いけんきょうふ",allodoxaphobia,0
"異痛,いつう",allodynia,0
"異型酵素,いけいこうそ",alloenzyme,0
"異所感覚,いしょかんかく",alloesthesia,0
"異花受粉,いはなじゅふん",allogamy,0
"異文字,いぶんじ",allograph,0
"異書体,いしょたい",allograph,0
"異質6倍体,いしつろくばいからだ",allohexaploid,0
"異越冬地型,いえっとうちかた",allohyemie,0
"異物角膜移植,いぶつかくまくいしょく",allokeratoplasty,0
"異質同形,いしつどうけい",allomerism,0
"異変態,いへんたい",allometaboly,0
"異記憶,いきおく",allomnesia,0
"異形態,いぎょうたい",allomorph,0
"異形仮像,いぎょうかりぞう",allomorph,0
"異形石,いぎょういし",allomorphite,0
"異所性,いところせい",allopatry,0
"異質5倍体,いしつごばいからだ",allopentaploid,0
"異形質体,いぎょうしつからだ",allophen,0
"依存形質,いぞんけいしつ",allophene,0
"異形質性,いぎょうしつせい",allophenism,0
"異音,いおん",allophone,0
"異色眼,いしょくめ",allophthalmia,0
"異形成,いぎょうせい",alloplasia,0
"異形質,いぎょうしつ",alloplasm,0
"異物形成,いぶつけいせい",alloplasty,0
"異質倍数体,いしつばいすうからだ",alloploid,0
"異質倍数性,いしつばいすうせい",alloploidy,0
"異質倍数性,いしつばいすうせい",allopolyploid,0
"異質倍数性,いしつばいすうせい",allopolyploidy,0
"異質倍数性,いしつばいすうせい",allopolypolyploidy,0
"異質染色体,いしつせんしょくたい",allosome,0
"異質接合,いしつせつごう",allosynapsis,0
"異質接合,いしつせつごう",allosyndenesis,0
"異質接合,いしつせつごう",allosyndesis,0
"異質4倍体,いしつしばいからだ",allotetraploid,0
"異獣亜綱,いけものあこう",Allotheria,0
"位置異常,いちいじょう",allotopia,0
"異地性,いちせい",allotopic,0
"異物移植,いぶついしょく",allotransplantation,0
"異物,いぶつ",allotrio,0
"異所萌出歯,いところほうしゅつは",allotriodontia,0
"異味覚,いみかく",allotriogeusia,0
"異味覚,いみかく",allotriogeustia,0
"異食,いしょく",allotriophagy,0
"異嗅覚,いきゅうかく",allotriosmia,0
"異質3倍体,いしつさんばいからだ",allotriploid,0
"衣装だんす,いしょうだんす",almirah,0
"陰茎亀頭,いんけいきとう",almond,0
"一番目のもの,いちばんめのもの",alpha,0
"言い争い,いいあらそい",altercation,0
"一心同体,いっしんどうたい",alteregoism,0
"以前の仲間,いぜんのなかま",alumnus,0
"イワナズナ,いわなずな",alyssum,0
"インコ,いんこ",Amazonas,0
"インドカリン,いんどかりん",amboina,0
"インドカリン,いんどかりん",amboyna,0
"移動,いどう",ambulation,0
"愛しのレベッカ,いとしのれべっか",American Dreamer,0
"医学研究連盟,いがくけんきゅうれんめい",American Federation for Medical Research,0
"医療情報学会,いりょうじょうほうがくかい",American Medical Informatics Association,0
"医療進歩を目指す米国人の会,いりょうしんぽをめざすべいこくじんのかい",Americans for Medical Progress,0
"異数性,いかずせい",ameuploid,0
"イカナゴ属,いかなごぞく",Ammodytes,0
"イカナゴ科,いかなごか",Ammodytidae,0
"イカナゴ亜目,いかなごあめ",Ammodytoidei,0
"イスラム紀行,いすらむきこう",Among the Believers,0
"一定の形がないこと,いっていのかたちがないこと",amorphism,0
"異質2倍体,いしつにばいからだ",amphihapolid,0
"逸話集,いつわしゅう",ana,0
"依存性,いぞんせい",anaclisis,0
"嫌気性生物,いやけせいせいぶつ",anaerobe,0
"嫌気植物,いやけしょくぶつ",anaerobionts,0
"嫌気生活,いやけせいかつ",anaerobiosis,0
"嫌気性生物,いやけせいせいぶつ",anaerobium,0
"嫌気性細菌,いやけせいさいきん",anaerophyte,0
"嫌気療法,いやけりょうほう",anaeroplasty,0
"異常曹長石,いじょうそうちょういし",analbite,0
"忌み嫌われる物,いみきらわれるもの",anathema,0
"いかり,いかり",anchor,7
"錨効き,いかりきき",anchor-hold,0
"隠者,いんじゃ",anchoret,0
"隠とん者,いんとんもの",anchoret,0
"隠とん主義,いんとんしゅぎ",anchoretism,0
"隠者,いんじゃ",anchorite,0
"隠とん者,いんとんもの",anchorite,0
"錨を上げて,いかりをあげて",Anchors Aweigh,0
"逸話,いつわ",anecdotage,0
"逸話の収集家,いつわのしゅうしゅうか",anecdotalist,0
"逸話主義者,いつわしゅぎしゃ",anecdotalist,0
"逸話,いつわ",anecdote,0
"逸話の収集家,いつわのしゅうしゅうか",anecdotist,0
"逸話主義者,いつわしゅぎしゃ",anecdotist,0
"イノンド属,いのんどぞく",Anethum,0
"異数性配偶,いかずせいはいぐう",aneugamy,0
"異数性,いかずせい",aneuploid,0
"異数性発現,いかずせいはつげん",aneuploidization,0
"異数性,いかずせい",aneuploidy,0
"異数染色体性個体,いかずせんしょくたいせいこたい",aneusomaty,0
"異数染色体,いかずせんしょくたい",aneusomy,0
"怒り,いかり",anger,0
"憤り,いきどおり",anger,0
"咽喉痛,いんこうつう",angina,0
"インド英語,いんどえいご",Anglo-Indian,0
"インド在住の英国人,いんどざいじゅうのえいこくじん",Anglo-Indian,0
"イギリス,いぎりす",Anglophil,0
"イギリス崇拝,いぎりすすうはい",Anglophilia,0
"イギリス嫌いの人,いぎりすきらいのにん",Anglophobe,0
"イギリス症,いぎりすしょう",Anglophobia,0
"怒り,いかり",angriness,0
"医薬品研究用実験動物情報センター,いやくひんけんきゅうようじっけんどうぶつじょうほうせんたー",Animals in Medicines Research Information Centre,0
"陰イオン,いんいおん",anion,0
"遺尿,いにょう",anischuria,0
"異形配偶子,いぎょうはいぐうし",anisogamete,0
"異型配偶,いけいはいぐう",anisogamy,0
"異形配偶子,いぎょうはいぐうし",anisospore,0
"異方性,いほうせい",anisotropism,0
"異方性,いほうせい",anisotropy,0
"異型接合体,いけいせつごうたい",anisozygote,0
"遺伝素質,いでんそしつ",anlage,0
"いら立たしさ,いらたたしさ",annoyance,0
"いら立ちの元,いらたちのもと",annoyance,0
"一年生植物,いちねんせいしょくぶつ",annual,4
"1年生,いちねんせい",annuus,0
"異常,いじょう",anomalia,0
"異常,いじょう",anomalo,0
"異常さ,いじょうさ",anomalousness,0
"異様,いよう",anomaly,7
"異常黒雲母,いじょうくろうんも",anomite,0
