meanings,word,score
"失われた時を求めて,うしなわれたときをもとめて",A la recherche du temps perdu,0
"ウラジロハコヤナギ,うらじろはこやなぎ",abele,0
"膿瘍,うみよう",abscess,0
"膿瘍,うみよう",abscessus,0
"うっかり博士の大発明／フラバァ,うっかりはかせのだいはつめい／ふらばぁ",Absent-minded Professor,0
"宇宙,うちゅう",absolute,6
"受け入れられること,うけいれられること",acceptableness,0
"受け取り,うけとり",acceptance,0
"受け入れ,うけいれ",acceptance,0
"受け取ること,うけとること",acceptancy,0
"受け取り,うけとり",acceptancy,0
"受け入れ,うけいれ",acceptancy,0
"受け入れる人,うけいれるにん",acceptor,0
"右脳の冒険－－内宇宙への道,うのうのぼうけん－－ないうちゅうへのみち",Access to Inner Worlds,0
"運,うん",accident,4
"臼蓋窩,うすふたか",acetabulum,0
"うずき,うずき",ache,0
"動き,うごき",action,0
"動く部品,うごくぶひん",action,0
"動き方,うごきほう",action,0
"運動家,うんどういえ",activist,0
"埋み火,うみひ",Actual,0
"運賃の精算,うんちんのせいさん",addfare,0
"受取人,うけとりにん",addressee,0
"鬱病,うつびょう",ademonia,0
"打ち掛け,うちかけ",adjournment,0
"運営陣,うんえいじん",administration,6
"運営部,うんえいぶ",Administration Department,0
"運営企画課,うんえいきかくか",Administration Planning Division,0
"浮き彫り装飾,うきぼりそうしょく",adorno,0
"海嘯,うみしょう",aegir,0
"宇宙飛行,うちゅうひこう",aeronautics,0
"宇宙飛行医学会,うちゅうひこういがくかい",Aerospace Medical Association,0
"宇宙航空青年団,うちゅうこうくうせいねんだん",Aerospace Scouts Association,0
"宇宙航空機部,うちゅうこうくうきぶ",Aerospace Systems Division,0
"浮気,うわき",affair,0
"裏作,うらさく",aftercrop,0
"腕前,うでまえ",aim,0
"運動覚消失,うんどうかくしょうしつ",akinesthesia,0
"運動感覚消失,うんどうかんかくしょうしつ",akinethesia,0
"ウバイラ,うばいら",Al Ubayla,0
"ウラー,うらー",Al-Ula,0
"ウリノキ科,うりのきか",Alangiaceae,0
"ウミスズメ亜目,うみすずめあめ",Alcae,0
"ウミスズメ科の,うみすずめかの",alcid,0
"ウミスズメ科,うみすずめか",Alcidae,0
"ウミトサカ目,うみとさかめ",Alcyonacea,0
"ウミトサカ目,うみとさかめ",Alcyonaria,0
"海鶏頭目,うみにわとりあたまめ",Alcyonaria,0
"ウミトサカ,うみとさか",alcyonarian,0
"宇宙人,うちゅうじん",alien,0
"宇宙人バスター,うちゅうじんばすたー",alien-buster,0
"運輸労連,うんゆろうれん",All Japan Federation of Transport Workers' Unions,0
"運輸一般,うんゆいっぱん",All Japan Transport and General Workers' Union,0
"歌い放題,うたいほうだい",all-you-can-sing,0
"裏通り,うらどおり",alley,7
"右中間,うちゅうかん",alley,7
"裏切り,うらぎり",ambidexterity,0
"うぬぼれ,うぬぼれ",amour-propre,0
"ウミマイマイ科,うみまいまいか",Amphibolidae,0
"ウミケムシ科,うみけむしか",Amphinomidae,0
"運動場,うんどうじょう",amphitheater,0
"ウルシ科,うるしか",Anacardiaceae,0
"上拍,うえはく",anacrusis,0
"うそつき,うそつき",Ananias,0
"上斜位,うえしゃい",anaphoria,0
"受け入れ難いもの,うけいれがたいもの",anathema,0
"上行脚3隆起,うえあんぎゃさんりゅうき",anatricrotism,0
"上斜位,うえしゃい",anatropia,0
"ウシノシタグサ,うしのしたぐさ",anchusa,0
"運命綺譚,うんめいきたん",Anecdotes of Destiny,0
"上後側板,うえうしろがわいた",anepimeron,0
"上前側板,うわまえがわいた",anepisternum,0
"ウナギ属,うなぎぞく",Anguilla,0
"ウナギ科,うなぎか",anguillidae,0
"ウナギ目,うなぎめ",Anguilliformes,0
"ウナギ亜目,うなぎあめ",Anguilloidei,0
"恨み,うらみ",animosity,0
"ウェールズ年代記,うぇーるずねんだいき",Annals of Wales,0
"うるさがらせること,うるさがらせること",annoyance,0
"ウロコオリス,うろこおりす",anomalure,0
"ウロコオリス科,うろこおりすか",Anomaluridae,0
"上斜視,うえしゃし",anoopsia,0
"うおのめ治療薬,うおのめちりょうやく",anthelotic,0
"ウミナナフシ亜目,うみななふしあめ",Anthuridea,0
"ウパスの木,うぱすのき",antiar,0
"疑うことを知らない人,うたがうことをしらないにん",antiskeptic,0
"上顎洞鏡,うわあごほらかがみ",antroscope,0
"上顎洞鏡検査,うわあごほらかがみけんさ",antroscopy,0
"膿瘍,うみよう",apostema,0
"訴え,うったえ",appeal,0
"うわべだけの様子,うわべだけのようす",appearance,5
"腕,うで",appendage,0
"ウコギ科,うこぎか",Araliaceae,0
"ウマノスズクサ,うまのすずくさ",aristolochia,0
"ウマノスズクサ科,うまのすずくさか",Aristolochiaceae,0
"ウマノスズクサ目,うまのすずくさめ",Aristolochiales,0
"腕,うで",arm,2
"腕骨,うでほね",arm-skeleton,0
"腕を振ること,うでをふること",arm-waving,0
"腕相撲,うでずもう",arm-wrestling,0
"腕いっぱい,うでいっぱい",armful,0
"腕輪,うでわ",armlet,0
"腕に抱えられる量,うでにだえられるりょう",armload,0
"腕一杯,うでいっぱい",armload,0
