meanings,word,score
"Aサイズ,えーさいず",A,0
"A,えー",A,0
"英国の地図,えいこくのちず",A to Z,0
"エー・アンド・ダブリュー社,えー・あんど・だぶりゅーしゃ","A&W Restaurants, Inc.",0
"A+,えーぷらす",A+,0
"A-,えーまいなす",A-,0
"エイワン,えいわん",A-1,0
"A軸,えーじく",A-axis,0
"A電池,えーでんち",A-battery,0
"A型DNA,えーかたでぃえぬえー",A-DNA,0
"Aフレーム,えーふれーむ",A-frame,0
"LSD常用者,えるえすでぃじょうようしゃ",A-head,0
"A層,えーそう",A-horizon,0
"A層,えーそう",A-horizon layer,0
"Aキナーゼ,えーきなーぜ",A-kinase,0
"Aライン,えーらいん",A-line,0
"A級,えーきゅう",A-list,0
"A級スター,えーきゅうすたー",A-lister,0
"A型Rhマイナス,えーかたあーるえいちまいなす",A-negative,0
"エイワン,えいわん",A-one,0
"A型,えーかた",A-positive,0
"Aシャツ,えーしゃつ",A-shirt,0
"A面,えーめん",A-side,0
"Aチーム,えーちーむ",A-Teams,0
"ABC順に記載された文献,えーびーしーじゅんにきさいされたぶんけん",A-Z,0
"A.プローブスセイン・アンド・カンパニー,えー.ぷろーぶすせいん・あんど・かんぱにー",A. Probsthain & Co.,0
"ABC殺人事件,えーびーしーさつじんじけん",A.B.C. Murders,0
"A.I.,えー.あい.",A.I. Artificial Intelligence,0
"A.T. カーニー,えー.てぃー. かーにー","A.T. Kearney, Inc.",0
"エイワン,えいわん",A1,0
"AB型Rhマイナス,えーびーかたあーるえいちまいなす",AB-negative,0
"AB型,えーびーかた",AB-positive,0
"ABC兵器,えーびーしーへいき",ABC,0
"ABC,えーびーしー",ABC,0
"エイブル,えいぶる",Able,0
"エイリアンチェイサー,えいりあんちぇいさー",Abraxas,0
"エーシー・ニールセン社,えーしー・にーるせんしゃ",AC Nielsen Company,0
"英国学士院,えいこくがくしいん",Academy,0
"映画芸術科学協会,えいがげいじゅつかがくきょうかい",Academy of Motion Picture Arts and Sciences,0
"嚥下不能症,えんかふのうしょう",acataposis,0
"エンファシス回路,えんふぁしすかいろ",accentuator,0
"栄誉,えいよ",accolade,0
"得,え",account,0
"エース,えーす",ace,0
"エースピッチャー,えーすぴっちゃー",ace,0
"エース交易株式会社,えーすこうえきかぶしきがいしゃ","Ace Koeki Co., Ltd.",0
"エース・ベンチュラ,えーす・べんちゅら",Ace Ventura - Pet Detective,0
"エースフェノン,えーすふぇのん",acephenone,0
"エイセス・大空の誓い,えいせす・おおぞらのちかい",Aces,0
"N-ブロモアセトアミド,えぬまいなすぶろもあせとあみど",acetobromamide,0
"エイシー・デューシー,えいしー・でゅーしー",acey-deucy,0
"塩酸欠乏症,えんさんけつぼうしょう",achlorhydria,0
"LSD,えるえすでぃ",acid,6
"LSD常用者,えるえすでぃじょうようしゃ",acid-head,0
"鋭利感覚,えいりかんかく",acmesthesia,0
"エーシー・ニールセン社,えーしー・にーるせんしゃ",ACNielsen Company,0
"エイコーン・ストリート,えいこーん・すとりーと",Acorn Street,0
"エーカー,えーかー",acre,0
