meanings,word,score
"大物リスト,おおものりすと",A-list,0
"オールボルグ,おーるぼるぐ",Aalborg,0
"オルフス,おるふす",Aarhus,0
"オースゴールストラン,おーすごーるすとらん",Aasgaardstrand,0
"落とすこと,おとすこと",abasement,0
"オベンロ,おべんろ",Abenra,0
"恐れないこと,おそれないこと",abhaya,0
"おとしめること,おとしめること",abjection,0
"オボ,おぼ",Abo,0
"横領,おうりょう",abstraction,0
"おびただしさ,おびただしさ",abundance,0
"オナニー,おなにー",abuse,0
"オービクリッパン,おーびくりっぱん",Aby-Klippan,0
"王立美術院,おうりつびじゅついん",Academy,0
"オッセオインテグレーション学会,おっせおいんてぐれーしょんがっかい",Academy of Osseointegration,0
"オニヒトデ,おにひとで",acanthaster,0
"応諾,おうだく",accedence,0
"おもらし,おもらし",accident,4
"お金,おきん",ackers,0
"お礼,おれい",acknowledgment,0
"音響的記憶喪失,おんきょうてききおくそうしつ",acousmatamnesia,0
"音響,おんきょう",acousmato,0
"音響特性,おんきょうとくせい",acoustic,0
"音響材料協会,おんきょうざいりょうきょうかい",Acoustical Materials Association,0
"音響規格管理委員会,おんきょうきかくかんりいいんかい",Acoustical Standards Management Board,0
"音響技師,おんきょうぎし",acoustician,0
"音響性愛,おんきょうせいあい",acousticophilia,0
"音響恐怖,おんきょうきょうふ",acousticophobia,0
"音響心理学,おんきょうしんりがく",acousticopsychology,0
"音響学,おんきょうがく",acoustics,0
"音響特性,おんきょうとくせい",acoustics,0
"音響光学,おんきょうこうがく",acousto-optics,0
"音弾性,おとだんせい",acoustoelasticity,0
"音響電子工学,おんきょうでんしこうがく",acoustoelectronics,0
"おとなしく従うこと,おとなしくしたがうこと",acquiescence,0
"折句,おりく",acrostic,0
"思いやり,おもいやり",address,6
"おおいぬ座ε星,おおいぬざεほし",Adhara,0
"オオイチモンジチョウ,おおいちもんじちょう",admiral,0
"オーストラリア総督官邸,おーすとらりあそうとくかんてい",Admiralty House,0
"お世辞,おせじ",adulation,0
"大人,おとな",adult,2
"大人化,おとなか",adultification,0
"オーストラリア国歌,おーすとらりあこっか",Advance Australia Fair,0
"オーギー・マーチの冒険,おーぎー・まーちのぼうけん",Adventures of Augie March,0
"音量の大きいコマーシャル,おんりょうのおおきいこまーしゃる",adverblasting,0
"覚書,おぼえがき",adversaria,0
"おびただしさ,おびただしさ",affluence,0
"思い返すこと,おもいかえすこと",aftertaste,0
"お年寄り,おとしより",age,0
"おかま,おかま",agfay,0
"おこり,おこり",ague,0
"悪寒,おかん",ague,0
"横断恐怖,おうだんきょうふ",agyiophobia,0
"オーヒウス,おーひうす",Ahus,0
"覚書,おぼえがき",aide-memoire,0
"オンエア,おんえあ",airplay,0
"オート麦,おーとむぎ",ait,0
"オキルケビュ,おきるけびゅ",Akirkeby,0
"オーランド諸島,おーらんどしょしま",Aland,0
"驚き,おどろき",alarm,0
"オールバニー,おーるばにー",Albany,0
"オルバニ川,おるばにかわ",Albany,0
"オルバニ,おるばに",Albany,0
"オルバニ川,おるばにかわ",Albany river,0
"オールバニ技術者協会,おーるばにぎじゅつしゃきょうかい",Albany Society of Engineers,0
"オールバニ・ストリート,おーるばに・すとりーと",Albany Street,0
"オルボア,おるぼあ",Alborg,0
"オルベリー,おるべりー",Albury,0
"オオハシウミガラス属,おおはしうみがらすぞく",Alca,0
"オルダーグローブ,おるだーぐろーぶ",Aldergrove,0
"オールダーグローブ空港,おーるだーぐろーぶくうこう",Aldergrove Airport,0
"オルダーマストン,おるだーますとん",Aldermaston,0
"オールダニー種の乳牛,おーるだにーたねのにゅうぎゅう",Alderney,0
"オールダニー島,おーるだにーしま",Alderney,0
"オルダニー島,おるだにーしま",Alderney,0
"オールダーショット,おーるだーしょっと",Aldershot,0
"オルダーソン,おるだーそん",Alderson,0
"オルダーウッドマナー,おるだーうっどまなー",Alderwood Manor,0
"オーレスン,おーれすん",Alesund,0
"オーレスンド,おーれすんど",Alesund,0
"オランダフウロ,おらんだふうろ",alfilaria,0
"オランダフウロ,おらんだふうろ",alfileria,0
"オルフリトン,おるふりとん",Alfreton,0
"悪寒,おかん",algor,0
"折り返し雑音,おりかえしざつおん",alias,0
"オモダカ科,おもだかか",Alismataceae,0
"オモダカ目,おもだかめ",Alismatales,0
"オモダカ亜綱,おもだかあこう",Alismatidae,0
"オール,おーる",All,0
"オール・アバウト・ユー,おーる・あばうと・ゆー",All About You,0
"オール・フォー・ラブ／輪廻の恋,おーる・ふぉー・らぶ／りんねのこい",All For Love,0
"オール・オブ・ミー／突然半身が女に！,おーる・おぶ・みー／とつぜんはんしんがおんなに！",All of Me,0
"沖駐労,おきちゅうろう",All Okinawa Garrison Forces Labor Union,0
"オール・ザット・ジャズ,おーる・ざっと・じゃず",All That Jazz,0
"オール・ザ・キングス・メン,おーる・ざ・きんぐす・めん",All the King's Men,0
"オール・ザ・キングスメン,おーる・ざ・きんぐすめん",All The King's Men,0
"終わりよければ全てよし,おわりよければすべてよし",All's Well That Ends Well,0
"オールラウンドプレーヤー,おーるらうんどぷれーやー",all-arounder,0
"オールバック,おーるばっく",all-back,0
"オールパック10,おーるぱっくじゅう",All-Pac-10,0
"オールスライミング,おーるすらいみんぐ",all-sliming,0
"おはじき,おはじき",alley,7
"オールスパイス,おーるすぱいす",allspice,0
"オナガザメ属,おながざめぞく",Alopias,0
"オナガザメ科,おながざめか",Alopiidae,0
"大麦占い,おおむぎうらない",alphitomancy,0
"オロビエアルプス,おろびえあるぷす",Alpi Orobie,0
"オルタマハ川,おるたまはかわ",Altamaha,0
"オプション,おぷしょん",alternative,6
"オルタナティブ・プレス,おるたなてぃぶ・ぷれす",Alternative Press,0
"オルタネータ,おるたねーた",alternator,0
"オールソープ,おーるそーぷ",Althorp,0
"オールトン,おーるとん",Alton,0
"オルトリナム,おるとりなむ",Altrincham,0
"OB,おうびー",alumnus,0
"オールウェイズ,おーるうぇいず",Always,0
"オールウェイズ・カミングホーム,おーるうぇいず・かみんぐほーむ",Always Coming Home,0
"オーモル,おーもる",Amal,0
"驚き,おどろき",amazement,0
"大柄で強い女性,おおがらでしいじょせい",Amazon,0
"オーム,おーむ",Amazonas,0
"オナシサソリモドキ,おなしさそりもどき",Amblypygi,0
"恩恵,おんけい",amenity,0
"尾状花序,おじょうかじょ",ament,0
"尾状花序,おじょうかじょ",amentum,0
"オックスフォードの恋,おっくすふぉーどのこい",American Friends,0
"狼男アメリカン,おおかみおとこあめりかん",American Werewolf in London,0
"男友達,おとこともだち",ami,0
"女友達,おんなともだち",amie,0
"女友達,おんなともだち",amiga,0
"恩赦,おんしゃ",amnesty,0
"恩赦課,おんしゃか",Amnesty Division,0
"狼たちの報酬,おおかみたちのほうしゅう",Among Wolves,0
"オーモト,おーもと",Amot,0
"大きさ,おおきさ",amplitude,0
"大きいこと,おおきいこと",amplitude,0
"奥深さ,おくふかさ",amplitude,0
"お守り,おまもり",amulet,0
"音痴,おんち",amusia,0
"面白さ,おもしろさ",amusingness,0
"表在性びらん,おもてざいせいびらん",anabrosis,0
"表在性びらん形成物質,おもてざいせいびらんけいせいぶっしつ",anabrotic,0
"オレンジ,おれんじ",anaranjado,0
