meanings,word,score
"甲,かぶと",A,0
"かなりの数,かなりのかず",a fair few,0
"幹線道路および街路の幾何構造設計指針,かんせんどうろおよびがいろのきかこうぞうせっけいししん",A Policy on Geometric Design of Highways and Streets,0
"株式会社エーアンドエーマテリアル,かぶしきがいしゃえーあんどえーまてりある",A&A Material Corporation,0
"カソード加熱用電池,かそーどかねつようでんち",A-battery,0
"隠れ場所,かくればしょ",abditory,0
"隠し場所,かくしばしょ",abditory,0
"隠れ家,かくれいえ",abditory,0
"仮説形成,かせつけいせい",abduction,0
"仮説的推論,かせつてきすいろん",abduction,0
"完全分離政策,かんぜんぶんりせいさく",Abgrenzung,0
"怪人ドクター・ファイブス,かいじんどくたー・ふぁいぶす",Abominable Dr. Phibes,0
"完全な転換,かんぜんなてんかん",about-face,0
"鍛冶用大型ハンマー,かじようおおがたはんまー",about-sledge,0
"解除反応,かいじょはんのう",abreaction,0
"窩,か",absconsio,0
"陥凹,かんおう",absconsio,0
"神,かみ",absolute,6
"完全な沈黙,かんぜんなちんもく",absopause,0
"獲得物,かくとくもの",abstauben,0
"韓国精神文化研究院,かんこくせいしんぶんかけんきゅういん",Academy of Korean Studies,0
"カシュー,かしゅー",acajou,0
"関節強直症,かんせつきょうちょくしょう",acampsia,0
"鈎頭虫,かぎあたまむし",acanthocephalan,0
"鈎頭虫症,かぎあたまむししょう",acanthocephaliasis,0
"角質増殖症,かくしつぞうしょくしょう",acanthokeratodermia,0
"完全句,かんぜんく",acatalectic,0
"加盟,かめい",accedence,0
"加入,かにゅう",accedence,0
"加速すること,かそくすること",acceleration,0
"加速度,かそくど",acceleration,0
"加速度原理主義者,かそくどげんりしゅぎしゃ",accelerationist,0
"加速するもの,かそくするもの",accelerator,0
"加速装置,かそくそうち",accelerator,0
"加速器,かそくき",accelerator,0
"加速度記録図,かそくどきろくず",accelerogram,0
"加速度計,かそくどけい",accelerograph,0
"加速度計,かそくどけい",accelerometer,0
"加速度測定法,かそくどそくていほう",accelerometry,0
"加速度計測,かそくどけいそく",accelometry,0
"可触性,かしょくせい",accessibility,0
"加入,かにゅう",accession,0
"加盟,かめい",accession,0
"貸し付け,かしつけ",accommodation,5
"加担者,かたんもの",accomplice,0
"完成,かんせい",accomplishment,6
"価値があること,かちがあること",account,0
"会計センター,かいけいせんたー","Account Center, Ministry of Finance",0
"会計士の職,かいけいしのしょく",accountancy,0
"会計士,かいけいし",accountant,0
"会計,かいけい",accountant,0
"会計係,かいけいかかり",accountant,0
