meanings,word,score
"合掌造り,がっしょうづくり",A-frame,0
"学究的環境,がっきゅうてきかんきょう",academe,0
"学問の機関,がくもんのきかん",academe,0
"学究的環境,がっきゅうてきかんきょう",academia,0
"学者,がくしゃ",academian,0
"学究肌の人,がっきゅうはだのにん",academic,0
"学者,がくしゃ",academic,0
"学業,がくぎょう",academic,0
"学士院会員,がくしいんかいいん",academician,0
"学究的な傾向,がっきゅうてきなけいこう",academicism,0
"学究的態度,がっきゅうてきたいど",academicism,0
"学究的な傾向,がっきゅうてきなけいこう",academism,0
"学究的態度,がっきゅうてきたいど",academism,0
"学術団体,がくじゅつだんたい",academy,0
"学会,がっかい",academy,0
"学究的環境,がっきゅうてきかんきょう",academy,0
"合致,がっち",accord,0
"合致,がっち",accordance,0
"学識,がくしき",acquirement,0
"含脂肪細胞,がんしぼうさいぼう",adipocyte,0
"外国語の借用,がいこくごのしゃくよう",adoption,6
"学問の進歩,がくもんのしんぽ",Advancement of Learning,0
"外来生物,がいらいせいぶつ",adventive,0
"ガス産生菌,がすさんなまきん",aerogen,0
"ガス産生,がすさんなま",aerogenesis,0
"ガス形成,がすけいせい",aerosis,0
"月フライバイ軌道,がつふらいばいきどう",afflight,0
"外出嫌いの人,がいしゅつきらいのにん",agoraphobe,0
"外出嫌いの人,がいしゅつきらいのにん",agoraphobiac,0
"我執,がしゅう",ahamkara,0
"外気,がいき",air,0
"外見,がいけん",air,0
"外出,がいしゅつ",airing,0
"側廊,がわろう",aisle,0
"学会,がっかい",Akademi,0
"ガルダカ,がるだか",Al Ghardaqah,0
"ガルビーヤ,がるびーや",Al-Gharbiyah,0
"画像のギザギザ,がぞうのぎざぎざ",aliasing,0
"外国人,がいこくじん",alien,0
"外国人であること,がいこくじんであること",alienage,0
"合併,がっぺい",amalgamation,0
"側対歩,がわついほ",amble,0
"外来診療所,がいらいしんりょうじょ",ambulatorium,0
"ガンカモ科,がんかもか",Anatidae,0
"がい骨,がいほね",anatomy,0
"合併,がっぺい",annexation,0
"ガンカモ目,がんかもめ",Anseres,0
"ガン・カモ目,がん・かもめ",Anseriformes,0
"がん抑制遺伝子,がんよくせいいでんし",anti-oncogene,0
"ガゼル亜,がぜるあ",Antilopinae,0
"蓋然的三段論法,がいぜんてきさんだんろんぽう",apagoge,0
"がさつな人,がさつなにん",ape,0
"外観,がいかん",appearance,5
"外見,がいけん",appearance,5
"願書,がんしょ",application,3
"贋作者,がんさくもの",appropriationist,0
"概算,がいさん",approximation,0
"凱旋門,がいせんもん",Arch of Triump,0
"凱旋門,がいせんもん",Arch of Triumph,0
"額縁,がくぶち",architrave,0
"ガンシティ,がんしてぃ",Armed For Action,0
"外装,がいそう",armoring,0
"月の女神,がつのめがみ",Artemis,0
"画家,がか",artist,0
"ガガイモ科の植物,ががいもかのしょくぶつ",asclepiad,0
"ガガイモ科,ががいもか",Asclepiadaceae,0
"外見,がいけん",aspect,5
"外観,がいかん",aspect,5
"側,がわ",aspect,5
"眼精疲労者,がんせいひろうもの",asthenope,0
"眼精疲労,がんせいひろう",asthenopia,0
"画室,がしつ",atelier,0
"学術振興組織,がくじゅつしんこうそしき",athenaeum,0
"学術振興組織,がくじゅつしんこうそしき",atheneum,0
"学識,がくしき",attainment,6
"眼球,がんきゅう",augen,0
"外国人,がいこくじん",auslander,0
"楽器,がっき",ax,0
"ガヤガヤという話し声,がやがやというはなしごえ",babble,0
"学士の称号,がくしのしょうごう",baccalaureate,0
"学士号,がくしごう",baccalaureate,0
"学士,がくし",bachelor,0
"学士の資格,がくしのしかく",bachelorship,0
"額縁材,がくぶちざい",backband,0
"がたつき,がたつき",backlash,0
"害を加える人,がいをくわえるにん",backstabber,0
"がんばれ！ベアーズ,がんばれ！べあーず",Bad News Bears,0
"外交販売員,がいこうはんばいいん",bagman,0
"外壁,がいへき",bailey,0
"ガーンジー管区,がーんじーかんく",Bailiwick of Guernsey,0
"概算,がいさん",ballpark,0
"概算見積もり,がいさんみつもり",ballpark,0
"ガン,がん",bam,0
"楽団,がくだん",band,0
