meanings,word,score
"気まま,きまま",abandon,6
"きまり悪さ,きまりわるさ",abashedness,0
"きまり悪さ,きまりわるさ",abashment,0
"切り込み,きりこみ",abbeting,0
"教会堂,きょうかいどう",abbey,0
"基礎,きそ",ABC,0
"奇行,きこう",aberration,0
"教唆,きょうさ",abetment,0
"教唆者,きょうさもの",abetter,0
"教唆,きょうさ",abetting,0
"教唆者,きょうさもの",abettor,0
"休止,きゅうし",abeyance,0
"帰属者不在状態,きぞくものふざいじょうたい",abeyance,0
"緊扼,きんやく",abjunction,0
"教皇特使,きょうこうとくし",ablegate,0
"清めの水,きよめのみず",ablution,0
"昨日の夜は,きのうのよるは",About Last Night,0
"急に考えを変えること,きゅうにかんがえをかえること",about-face,0
"器官脱離,きかんだつり",abscission,0
"休暇許可,きゅうかきょか",absit,0
"吸収性,きゅうしゅうせい",absorbability,0
"吸光度,きゅうこうど",absorbance,0
"吸収度,きゅうしゅうど",absorbance,0
"吸光度,きゅうこうど",absorbancy,0
"吸収度,きゅうしゅうど",absorbancy,0
"吸収された物質,きゅうしゅうされたぶっしつ",absorbate,0
"吸収剤,きゅうしゅうざい",absorbefacient,0
"吸収性,きゅうしゅうせい",absorbency,0
"吸光度,きゅうこうど",absorbency,0
"吸収剤,きゅうしゅうざい",absorbent,0
"吸収する人,きゅうしゅうするにん",absorber,0
"吸収装置,きゅうしゅうそうち",absorber,0
"吸収材,きゅうしゅうざい",absorber,0
"吸収体,きゅうしゅうからだ",absorber,0
"吸収率,きゅうしゅうりつ",absorptance,0
"吸光光度計,きゅうひかりこうどけい",absorptiometer,0
"吸光光度分析法,きゅうひかりこうどぶんせきほう",absorptiometry,0
"吸収,きゅうしゅう",absorption,0
"吸収合併,きゅうしゅうがっぺい",absorption,0
"吸収性,きゅうしゅうせい",absorptivity,0
"吸収率,きゅうしゅうりつ",absorptivity,0
"吸光係数,きゅうひかりけいすう",absorptivity,0
"棄権者,きけんしゃ",abstainee,0
"禁酒家,きんしゅいえ",abstainer,0
"禁煙家,きんえんいえ",abstainer,0
"棄権,きけん",abstention,0
"棄権者,きけんしゃ",abstentionist,0
"禁欲,きんよく",abstinence,7
"禁酒,きんしゅ",abstinence,7
"禁断,きんだん",abstinentia,0
"緊扼,きんやく",abstriction,0
"橋台,きょうだい",abutment,0
"境界,きょうかい",abuttal,0
"教員,きょういん",academic,0
"協会,きょうかい",academy,0
"キツネノマゴ科,きつねのまごか",Acanthaceae,0
"寄生虫恐怖症,きせいちゅうきょうふしょう",acarophobia,0
"強勢,きょうせい",accent,0
"強勢学,きょうせいがく",accentology,0
"強調,きょうちょう",accentuation,0
"強調する人,きょうちょうするにん",accentuator,0
"強調の虚偽,きょうちょうのきょぎ",accentus,0
"許容可能であること,きょようかのうであること",acceptableness,0
"近接性,きんせつせい",accessibility,0
"基本,きほん",accidence,0
"協調性,きょうちょうせい",accommodativeness,0
"共犯,きょうはん",accomplice,0
"協定,きょうてい",accord,0
"協約,きょうやく",accord,0
"記述,きじゅつ",account,0
"企業会計基準委員会,きぎょうかいけいきじゅんいいんかい",Accounting Standards Board of Japan,0
"厳しさ,きびしさ",acerbity,0
"黄癬菌,きせんきん",achorion,0
"極致,きょくち",acme,0
"企業買収によって人材を獲得すること,きぎょうばいしゅうによってじんざいをかくとくすること",acqui-hire,0
"曲芸師,きょくげいし",acrobat,0
"曲芸,きょくげい",acrobatics,0
"曲芸,きょくげい",acrobatism,0
"求頂的な,きゅういただきてきな",acropetal,0
"傷だらけのランナー,きずだらけのらんなー",Across the Tracks,0
"起動,きどう",activation,0
"脚色,きゃくしょく",adaptation,7
"脚色者,きゃくしょくもの",adapter,0
"吸着原子,きゅうちゃくげんし",adatom,0
"求婚,きゅうこん",address,6
"近接,きんせつ",adjacence,0
"近接,きんせつ",adjacence,0
"近接,きんせつ",adjacency,0
"近接,きんせつ",adjacency,0
"休会,きゅうかい",adjournment,0
"規制改革委員会,きせいかいかくいいんかい",Administrative Reform Commission,0
"規制改革委員会,きせいかいかくいいんかい",Administrative Reform Committee,0
"許容,きょよう",admissibility,0
"吸気,きゅうき",admission,4
"許可された人,きょかされたにん",admittee,0
"吸着分子,きゅうちゃくぶんし",admolecule,0
"機敏さ,きびんさ",adroitness,0
"筋肉神経支配不全,きんにくしんけいしはいふぜん",adromia,0
"吸着力,きゅうちゃくちから",adsorbability,0
"吸着質,きゅうちゃくしつ",adsorbate,0
"吸着剤,きゅうちゃくざい",adsorbent,0
"吸着体,きゅうちゃくからだ",adsorbent,0
"吸着薬,きゅうちゃくくすり",adsorbent,0
"吸着材,きゅうちゃくざい",adsorbent,0
"吸着・粘滑薬,きゅうちゃく・ねんかつくすり",adsorbent-demulcent,0
"吸着体,きゅうちゃくからだ",adsorber,0
"吸着,きゅうちゃく",adsorption,0
"吸着力,きゅうちゃくちから",adsorptivity,0
"キリストの降臨,きりすとのこうりん",advent,0
"危険な冒険,きけんなぼうけん",adventure,2
"記事体広告,きじからだこうこく",advertorial,0
"気血,きち",aeremia,0
"気化,きか",aerification,0
"曲芸飛行,きょくげいひこう",aerobatics,0
"曲芸飛行術,きょくげいひこうじゅつ",aerobatics,0
"気瘤,きこぶ",aerocele,0
"気象観測官,きしょうかんそくかん",aerographer,0
"気象学,きしょうがく",aerography,0
"気象学者,きしょうがくしゃ",aerologist,0
"気象占い,きしょううらない",aeromancy,0
"気体計,きたいけい",aerometer,0
"気体測定,きたいそくてい",aerometry,0
"気腹,きはら",aeroperitoneum,0
"気腹,きはら",aeroperitonia,0
"気鳴楽器,きめいがっき",aerophone,0
"気圧療法,きあつりょうほう",aeropiesotherapy,0
"気流感覚,きりゅうかんかく",aeroscepsy,0
"気胸,ききょう",aerothorax,0
"気圧計,きあつけい",aerotonometer,0
"幾何図法,きかずほう",aestheometry,0
"気取り,きどり",affectation,0
"きざ,きざ",affectation,0
"気持ち,きもち",affection,4
"気質,きしつ",affection,4
"求心性神経,きゅうしんせいしんけい",afferent,0
"強烈な恐怖,きょうれつなきょうふ",affright,0
"恐怖のもと,きょうふのもと",affright,0
"鬼神,きじん",afreet,0
"鬼神,きじん",afrit,0
"きんたま,きんたま",agate,0
"狂気恐怖症,きょうききょうふしょう",agateophobia,0
"機関,きかん",agency,0
"局,きょく",agency,0
"強化,きょうか",aggrandizement,0
"機敏性,きびんせい",agility,0
"共産主義プロパガンダ,きょうさんしゅぎぷろぱがんだ",agitprop,0
"競技者,きょうぎしゃ",agonist,0
"協定,きょうてい",agreement,0
"協約,きょうやく",agreement,0
"キンミズヒキ,きんみずひき",agrimony,0
"キハダマグロ,きはだまぐろ",ahi,0
"キハダマグロ,きはだまぐろ",ahi tuna,0
"救済,きゅうさい",aid,0
"救護員,きゅうごいん",aidman,0
"気取った様子,きどったようす",air,0
"教育航空群,きょういくこうくうぐん",Air Training Group,0
"教育航空隊,きょういくこうくうたい",Air Training Squadron,0
"吸気量,きゅうきりょう",air-intake,0
"気流,きりゅう",airflow,0
"機体,きたい",airframe,0
"気取り,きどり",airiness,0
"気泡ポンプ,きほうぽんぷ",airlift,0
"気嚢炎,きのうほのお",airsacculitis,0
"気流,きりゅう",airstream,0
"気密性,きみつせい",airtightness,0
"気道,きみち",airway,0
"キランソウ,きらんそう",ajuga,0
"黄灰色,きはいいろ",alabaster,0
"危険を知らせる声,きけんをしらせるこえ",alarm,0
"恐怖,きょうふ",alarm,0
"曲集,きょくしゅう",album,0
"宮殿,きゅうでん",Alcazar,0
"禁酒会,きんしゅかい",Alcoholics Anonymous,0
"僅黄卵,きんきたまご",alecithal,0
"キンメダイ,きんめだい",alfonsin,0
"協力,きょうりょく",alignment,0
"キング・ソロモンの秘宝2／幻の黄金都市を求めて,きんぐ・そろもんのひほうに／まぼろしのおうごんとしをもとめて",Allan Quartermain the Lost City of the Gold,0
"近縁,きんえん",alliance,0
"気圧変化,きあつへんか",allobar,0
"吸血ダニ,きゅうけつだに",allodermanyssus,0
"許容,きょよう",allowance,0
"許可量,きょかりょう",allowance,0
"許容差,きょようさ",allowance,0
"給与厚生課,きゅうよこうせいか",Allowance and Welfare Division,0
"給与共済課,きゅうよきょうさいか",Allowance Control and Mutual Assistance Insurance Division,0
"給与課,きゅうよか",Allowance Control Division,0
"許可,きょか",allowing,0
"協力者,きょうりょくしゃ",ally,0
"救貧院,きゅうびんいん",almshouse,0
"去勢,きょせい",Alteration,0
"器官の表面にある小孔,きかんのひょうめんにあるしょうあな",alveola,0
"驚嘆,きょうたん",amazement,0
"器用さ,きようさ",ambidexterity,0
"境界,きょうかい",ambit,0
"キララマダニ属,きららまだにぞく",Amblyomma,0
"救急車,きゅうきゅうしゃ",ambulance,0
"救急救助課,きゅうきゅうきゅうじょか",Ambulance and Rescue Service Division,0
"救急企画室,きゅうきゅうきかくしつ",Ambulance Service Planning Office,0
"救急車の乗務員,きゅうきゅうしゃのじょうむいん",ambulanceman,0
"起立恐怖,きりつきょうふ",ambulophobia,0
