meanings,word,score
"技量,ぎりょう",ability,5
"虐待,ぎゃくたい",abuse,0
"虐待の被害者,ぎゃくたいのひがいしゃ",abusee,0
"虐待者,ぎゃくたいもの",abuser,0
"業績,ぎょうせき",accomplishment,6
"業績,ぎょうせき",achievement,6
"技能,ぎのう",acquirement,0
"行政局,ぎょうせいきょく",Administrative Affairs Bureau,0
"業務管理官室,ぎょうむかんりかんしつ",Administrative Affairs Office,0
"行政控訴裁判所,ぎょうせいこうそさいばんしょ",Administrative Appeals Tribunal,0
"行政調整委員会,ぎょうせいちょうせいいいんかい",Administrative Committee on Coordination,0
"行政相談課,ぎょうせいそうだんか",Administrative Counseling Division,0
"行政評価局,ぎょうせいひょうかきょく",Administrative Evaluation Bureau,0
"行政監察局,ぎょうせいかんさつきょく",Administrative Inspection Bureau,0
"行政訟務課,ぎょうせいしょうつとむか",Administrative Litigation Division,0
"行政管理局,ぎょうせいかんりきょく",Administrative Management Bureau,0
"行政改革委員会,ぎょうせいかいかくいいんかい",Administrative Reform Commission,0
"行政改革委員会,ぎょうせいかいかくいいんかい",Administrative Reform Committee,0
"行政改革会議,ぎょうせいかいかくかいぎ",Administrative Reform Council,0
"行政改革推進本部,ぎょうせいかいかくすいしんほんぶ",Administrative Reform Promotion Office,0
"行政改革推進本部,ぎょうせいかいかくすいしんほんぶ",Administrative Reform Task Force,0
"業務学校,ぎょうむがっこう",Administrative Service School,0
"行政官,ぎょうせいかん",administrator,0
"犠牲木,ぎせいき",advance growth,0
"逆境,ぎゃっきょう",adversity,0
"行財政問題諮問委員会,ぎょうざいせいもんだいしもんいいんかい",Advisory Committee on Administrative and Budgetary Questions,0
"業務,ぎょうむ",affair,0
"銀河帝国の崩壊,ぎんがていこくのほうかい",Against the Fall of the Night,0
"儀式,ぎしき",agendum,0
"凝集,ぎょうしゅう",agglomeration,0
"凝集したもの,ぎょうしゅうしたもの",agglutinate,0
"凝集,ぎょうしゅう",agglutination,0
"凝集素,ぎょうしゅうもと",agglutinin,0
"凝集原,ぎょうしゅうはら",agglutinogen,0
"凝集族,ぎょうしゅうぞく",agglutinophore,0
"凝集観察器,ぎょうしゅうかんさつうつわ",agglutinoscope,0
"凝集性,ぎょうしゅうせい",aggregability,0
"凝集体,ぎょうしゅうからだ",aggregate,0
"凝集,ぎょうしゅう",aggregation,0
"ギニア航空,ぎにあこうくう",Air Guinee,0
"ギザ,ぎざ",Al-Jizah,0
"偽名,ぎめい",alias,0
"偽信号,ぎしんごう",aliasing,0
"義務,ぎむ",allegiance,0
"逆症療法医,ぎゃくしょうりょうほうい",allopath,0
"逆症療法医,ぎゃくしょうりょうほうい",allopathist,0
"逆症療法,ぎゃくしょうりょうほう",allopathy,0
"疑似性愛,ぎじせいあい",altrigendrism,0
"疑似盲目性愛,ぎじもうもくせいあい",amaurophilia,0
"仰天,ぎょうてん",amazement,0
