meanings,word,score
"クリスマス・キャロル,くりすます・きゃろる",A Christmas Carol,0
"空軍の導入日,くうぐんのどうにゅうにち",A-Day,0
"屈辱,くつじょく",abasement,0
"くだらない,くだらない",abba-dabba,0
"空輸認可局,くうゆにんかきょく",ABCCC Airlift Clearance Authority,0
"口調,くちょう",accent,0
"繰越勝馬投票,くりこしかちうまとうひょう",accumulator,0
"苦さ,くるさ",acridity,0
"クモ指症,くもゆびしょう",acromacria,0
"空港地域活性化調整室,くうこうちいきかっせいかちょうせいしつ",Active Airport Area Coordination Office,0
"クサリヘビ,くさりへび",adder,7
"口,くち",aditus,0
"口説き,くどき",advance,0
"クリスマス・プディングの冒険,くりすます・ぷでぃんぐのぼうけん",Adventure of the Christmas Pudding,0
"空気混和,くうきこんわ",aeration,0
"空中での技,くうちゅうでのわざ",aerial,0
"空中曲芸師,くうちゅうきょくげいし",aerialist,0
"空虚,くうきょ",aeriality,0
"空気アレルゲン,くうきあれるげん",aeroallergen,0
"空中生物学,くうちゅうせいぶつがく",aerobiology,0
"空中細菌検査器,くうちゅうさいきんけんさうつわ",aerobioscope,0
"空中爆弾,くうちゅうばくだん",aerobomb,0
"空力制動,くうりきせいどう",aerobraking,0
"空中写真地図学,くうちゅうしゃしんちずがく",aerocartography,0
"空中栽培,くうちゅうさいばい",aeroculture,0
"空気力学者,くうきりきがくもの",aerodynamicist,0
"空気力学,くうきりきがく",aerodynamics,0
"空力弾性,くうりきだんせい",aeroelasticity,0
"空気塞栓症,くうきさいせんしょう",aeroembolism,0
"空気気腫,くうききしゅ",aeroemphysema,0
"空中地理学,くうちゅうちりがく",aerogeography,0
"空中地質学,くうちゅうちしつがく",aerogeology,0
"空気水治療法,くうきみずちりょうほう",aerohydrotherapy,0
"空気イオン化,くうきいおんか",aeroionization,0
"空中磁気,くうちゅうじき",aeromagnetism,0
"空気力学,くうきりきがく",aeromechanics,0
"空気計,くうきけい",aerometer,0
"空中自動車,くうちゅうじどうしゃ",aeromobile,0
"空軍・航空軍資料センター,くうぐん・こうくうぐんしりょうせんたー",Aeronautical Craft & Information Center,0
"空気嚥下,くうきえんか",aerophagia,0
"空気嚥下,くうきえんか",aerophagy,0
"空気恐怖症の人,くうききょうふしょうのにん",aerophobe,0
"空気恐怖症,くうききょうふしょう",aerophobia,0
"空気物理学,くうきぶつりがく",aerophysics,0
"空中浮遊生物,くうちゅうふゆうせいぶつ",aeroplankton,0
"空中プランクトン,くうちゅうぷらんくとん",aeroplankton,0
"空中都市,くうちゅうとし",aeropolis,0
"空中栽培,くうちゅうさいばい",aeroponics,0
"空中プロペラ,くうちゅうぷろぺら",aeropropeller,0
