meanings,word,score
"軍用輸送機A400M,ぐんようゆそうきえーしひゃくえむ",A400M,0
"偶然,ぐうぜん",accident,4
"偶然の出来事,ぐうぜんのできごと",accident,4
"偶性,ぐうせい",accident,4
"偶有性,ぐうゆうせい",accident,4
"偶然の旅行者,ぐうぜんのりょこうしゃ",Accidental Tourist,0
"偶発説,ぐうはつせつ",accidentalism,0
"偶然論,ぐうぜんろん",accidentalism,0
"偶然できないこと,ぐうぜんできないこと",accidentalness,0
"ぐる,ぐる",accomplice,0
"寓意性,ぐういせい",allegoricalness,0
"寓話性,ぐうわせい",allegoricalness,0
"寓意的解釈,ぐういてきかいしゃく",allegorism,0
"寓話作者,ぐうわさくしゃ",allegorist,0
"寓喩,ぐうゆ",allegory,0
"寓意,ぐうい",allegory,0
"寓意詩,ぐういし",allegory,0
"寓話,ぐうわ",allegory,0
"寓意像,ぐういぞう",allegory,0
"偶発運動,ぐうはつうんどう",allokinesis,0
"偶像反対主義,ぐうぞうはんたいしゅぎ",aniconism,0
"軍事衛星,ぐんじえいせい",antisatellite,0
"寓話,ぐうわ",apologue,0
"群島,ぐんしま",archipelago,0
"軍通信電子機器協会,ぐんつうしんでんしきききょうかい",Armed Forces Communications and Electronic Association,0
"軍伝書使部,ぐんでんしょしぶ",Armed Forces Courier Service,0
"軍病理学研究所,ぐんびょうりがくけんきゅうしょ",Armed Forces Institute of Pathology,0
"軍放射性生物研究所,ぐんほうしゃせいせいぶつけんきゅうしょ",Armed Forces Radiobiology Research Institute,0
"軍技術情報庁,ぐんぎじゅつじょうほうちょう",Armed Services Technical Information Agency,0
"軍事訓練棟,ぐんじくんれんとう",armory,0
"軍備管理軍縮庁,ぐんびかんりぐんしゅくちょう",Arms Control and Disarmament Agency,0
"軍備管理軍縮課,ぐんびかんりぐんしゅくか",Arms Control and Disarmament Division,0
"軍団,ぐんだん",army,0
"軍司令部,ぐんしれいぶ",Army Headquarters,0
"郡,ぐん",arrondissement,0
"偶蹄目の動物,ぐうていもくのどうぶつ",artiodactyl,0
"偶蹄目,ぐうていもく",Artiodactyla,0
"群集,ぐんしゅう",association,4
"具現,ぐげん",avatar,0
"軍用機,ぐんようき",aviation,0
"グレーゾーン,ぐれーぞーん",avoision,0
"ぐるになって助け合うこと,ぐるになってたすけあうこと",back-scratch,0
"グランデ湾,ぐらんでわん",Bahia Grande,0
"グアナバラ湾,ぐあなばらわん",Baia de Guanabara,0
"グレゴリオ・コルテス,ぐれごりお・こるてす",Ballad of Gregorio Cortez,0
"グアテマラ銀行,ぐあてまらぎんこう",Banco de Guatemala,0
"グアム銀行,ぐあむぎんこう",Bank of Guam,0
"グアテマラ銀行,ぐあてまらぎんこう",Bank of Guatemala,0
"軍旗,ぐんき",banner,0
"グレート・バーバリアン,ぐれーと・ばーばりあん",Barbarians,0
"軍用馬,ぐんよううま",bathorse,0
"愚痴,ぐち",bellyache,0
"愚鈍,ぐどん",betise,0
"群集生態学,ぐんしゅうせいたいがく",biocenology,0
"群集生態学,ぐんしゅうせいたいがく",biocoenology,0
"具体例,ぐたいれい",bit,4
"愚痴を言う人,ぐちをいうにん",bleater,0
"軍の休暇,ぐんのきゅうか",Blighty,0
"群衆,ぐんしゅう",boodle,0
