meanings,word,score
"軽減,けいげん",abatement,0
"欠格,けっかく",abessive,0
"けしかけること,けしかけること",abetment,0
"嫌悪,けんお",abhorrence,0
"嫌悪の対象,けんおのたいしょう",abhorrence,0
"嫌悪の対象,けんおのたいしょう",abomination,0
"研磨性,けんませい",abradability,0
"研磨材,けんまざい",abradant,0
"研磨器,けんまうつわ",abrader,0
"研磨剤,けんまざい",abrasive,0
"研削材,けんさくざい",abrasive,0
"欠席,けっせき",absence,4
"欠勤,けっきん",absence,4
"欠如,けつじょ",absence,4
"欠勤者,けっきんもの",absentee,0
"欠席者,けっせきしゃ",absentee,0
"研究者,けんきゅうしゃ",academic,0
"研究活動,けんきゅうかつどう",academic,0
"形式主義,けいしきしゅぎ",academicism,0
"形式主義,けいしきしゅぎ",academism,0
"経営学会,けいえいがくかい",Academy of Management,0
"計算不能,けいさんふのう",acalculia,0
"継承,けいしょう",accession,0
"経理,けいり",accountant,0
"経理担当者,けいりたんとうしゃ",accountant,0
"経理,けいり",accounting,0
"経理補給課,けいりほきゅうか",Accounting and Provision Division,0
"経理課,けいりか",Accounts Division,0
"携行品,けいこうひん",accouterment,0
"刑事訴訟の原告,けいじそしょうのげんこく",accuser,0
"欠手症,けつてしょう",acheiria,0
"決議,けつぎ",act,0
"結合体,けつごうからだ",adelphus,0
"結節性峡部卵管炎,けつふしせいきょうぶたまごかんほのお",adenosalpingitis,0
"血行停止,けっこうていし",adiemorrhysis,0
"形容詞的語句,けいようしてきごく",adjectival,0
"形容詞相当語句,けいようしそうとうごく",adjectival,0
"形容詞,けいようし",adjective,0
"形容詞相当語句,けいようしそうとうごく",adjective-equivalent,0
"形容詞語,けいようしご",adjective-word,0
"経営陣,けいえいじん",administration,6
"警告,けいこく",admonishment,0
"警告,けいこく",admonition,0
"ケレイヴ・ウィリアムズ,けれいゔ・うぃりあむず",Adventure of Caleb Williams,0
"刑事規則制定諮問委員会,けいじきそくせいていしもんいいんかい",Advisory Committee on Criminal Rules,0
"軽航空機,けいこうくうき",aerobody,0
"煙霧質,けむりきりしつ",aerosol,0
"軽航空機,けいこうくうき",aerostat,0
"結合性,けつごうせい",affinitas,0
"けんか,けんか",affray,0
"結果論,けっかろん",afterthought,0
"結婚に関する規則がないこと,けっこんにかんするきそくがないこと",agamy,0
"計略,けいりゃく",agenda,0
"血小板凝集計,けっしょうばんぎょうしゅうけい",aggregometer,0
"けんか,けんか",aggro,0
"経年劣化,けいねんれっか",aging,0
"懸賞付き競技,けんしょうつききょうぎ",agon,0
"契約,けいやく",agreement,0
"経営・組織対策室,けいえい・そしきたいさくしつ",Agricultural Cooperatives Organization Office,0
"経営体育成支援室,けいえいたいいくせいしえんしつ",Agricultural Managements Support Office,0
"計画運用課,けいかくうんようか",Aids to Navigation Management Division,0
"肩章,けんしょう",ailette,0
"煙道,けむりみち",airflue,0
"軽快さ,けいかいさ",airiness,0
"軽妙,けいみょう",airiness,0
"欠脚目,けつあしめ",Aistopoda,0
"警報,けいほう",alarm,0
"警告,けいこく",alarm,0
