meanings,word,score
"原子爆弾,げんしばくだん",A-bomb,0
"減少,げんしょう",abatement,0
"下劣さ,げれつさ",abjection,0
"衒学者,げんがくもの",academe,0
"現像促進剤,げんぞうそくしんざい",accelerator,0
"現金,げんきん",ackers,0
"言動,げんどう",act,0
"芸能人,げいのうじん",act,0
"元気,げんき",action,0
"弦高,げんこう",action,0
"限界水準,げんかいすいじゅん",actionlevel,0
"現役編入,げんえきへんにゅう",activation,0
"現状改革主義,げんじょうかいかくしゅぎ",activism,0
"現物,げんぶつ",actual,0
"現実,げんじつ",actual,0
"現実説,げんじつせつ",actualism,0
"現実主義者,げんじつしゅぎしゃ",actualist,0
"現代的興味,げんだいてききょうみ",actualite,0
"現実,げんじつ",actuality,0
"現実性,げんじつせい",actuality,0
"原子炉安全諮問委員会,げんしろあんぜんしもんいいんかい",Advisory Committee on Reactor Safeguards,0
"原子炉規格諮問委員会,げんしろきかくしもんいいんかい",Advisory Committee on Reactor Standards,0
"原子力委員会調達規則,げんしりょくいいんかいちょうたつきそく",AEC Procurement Regulation,0
"原因論,げんいんろん",aetiology,0
"劇の終了後に演じられる寸劇,げきのしゅうりょうごにえんじられるすんげき",afterpiece,0
"現代化,げんだいか",aggiornamento,0
"激化,げきか",aggravation,0
"解毒薬,げどくくすり",alexipharmac,0
"解毒剤,げどくざい",alexipharmic,0
"月経痛,げっけいつう",algomenorrhea,0
"現場不在証明,げんばふざいしょうめい",alibi,0
"言語錯乱,げんごさくらん",allophasis,0
"言及すること,げんきゅうすること",allusion,7
"言及,げんきゅう",allusion,7
"言語の曖昧性,げんごのあいまいせい",amphibology,0
"言語の曖昧性,げんごのあいまいせい",amphiboly,0
"劇場,げきじょう",amphitheater,0
"原型,げんけい",ancestor,4
"元気,げんき",animation,0
"原基,げんき",anlage,0
"原基,げんき",anlagen,0
"原型,げんけい",antetype,0
"減摩ベアリング製造業者協会,げんまべありんぐせいぞうぎょうしゃきょうかい","Anti-Friction Bearings Manufacturers' Association, Inc.",0
"下痢止め薬,げりとめくすり",antidiarrheal,0
"下痢止め,げりとめ",antidiarrheic,0
"下痢止め剤,げりとめざい",antidiarrhoic,0
"解毒剤,げどくざい",antidote,0
"解熱剤,げねつざい",antifebrile,0
"解熱薬,げねつくすり",antifebrile,0
"減摩材,げんまざい",antifriction,0
"毛嫌い,げぎらい",antipathy,0
"解熱処置,げねつしょち",antipyresis,0
"解熱剤,げねつざい",antipyretic,0
"解熱薬,げねつくすり",antipyretic,0
"解熱剤,げねつざい",antipyretics,0
"言語知覚不能,げんごちかくふのう",aphemesthesia,0
"ゲームセンター,げーむせんたー",arcade,0
"ゲームセンターの常連,げーむせんたーのじょうれん",arcadenik,0
"ゲームセンターの常連,げーむせんたーのじょうれん",arcadian,0
"原始細胞,げんしさいぼう",archaeocyte,0
"原始腹足類,げんしはらあしるい",archaeogastropod,0
"原始腹足目,げんしはらあしめ",Archaeogastropoda,0
"原人,げんじん",archanthropine,0
"原型,げんけい",archetype,0
"原始体腔,げんしたいくう",archicoel,0
"原皮質,げんひしつ",archicortex,0
"原始嚢胚,げんしのうはい",archigastrula,0
"原始細胞,げんしさいぼう",archigeocyte,0
"原始排せつ器,げんしはいせつうつわ",archinephridium,0
"原音素,げんおんもと",archiphoneme,0
"原始びれ,げんしびれ",archipterygium,0
"言論の自由－－アレオパヂティカ,げんろんのじゆう－－あれおぱぢてぃか",Areopagitica,0
"芸術,げいじゅつ",art,0
"芸術論,げいじゅつろん",art,0
"芸術作品,げいじゅつさくひん",art,0
"芸術分野,げいじゅつぶんや",art,0
"芸術文化課,げいじゅつぶんかか",Art and Culture Division,0
"芸術品,げいじゅつひん",artifact,5
"芸術家,げいじゅつか",artist,0
"芸人俳優,げいにんはいゆう",artist,0
"芸能人,げいのうじん",artiste,0
"芸術家気取り,げいじゅつかきどり",artiste,0
"芸術的才能,げいじゅつてきさいのう",artistry,0
"芸術性,げいじゅつせい",artistry,0
"芸術特有の用語,げいじゅつとくゆうのようご",artspeak,0
"芸術作品,げいじゅつさくひん",artwork,0
"現地人の警察官,げんちじんのけいさつかん",askari,0
"迎合,げいごう",assentation,0
"原子力電力開発に用いられる電気雑用器機協会,げんしりょくでんりょくかいはつにもちいられるでんきざつようきききょうかい",Association of Electric Utilities Active in Nuclear Power Development,0
"言質,げんち",assurance,0
"ゲンゲ,げんげ",astragalus,0
"原子,げんし",atom,0
"原子力,げんしりょく",atom,0
"原子炉展示館,げんしろてんじかん",atomarium,0
"原爆傷害調査委員会,げんばくしょうがいちょうさいいんかい",Atomic Bomb Casualty Commission,0
"原爆調査委員会,げんばくちょうさいいんかい",Atomic Bomb Mission,0
"原子衝突研究協会,げんししょうとつけんきゅうきょうかい",Atomic Collision Research in Japan,0
"原子力応用開発機関,げんしりょくおうようかいはつきかん",Atomic Development Authority,0
"原子力委員会,げんしりょくいいんかい",Atomic Energy Board,0
"原子力局,げんしりょくきょく",Atomic Energy Bureau,0
"原子力委員会,げんしりょくいいんかい",Atomic Energy Commission,0
"原子力エネルギー協会マニュアル,げんしりょくえねるぎーきょうかいまにゅある",Atomic Energy Commission Manual,0
"原子力委員会,げんしりょくいいんかい",Atomic Energy Commission of Japan,0
"原子力課,げんしりょくか",Atomic Energy Division,0
"原子力エネルギー事業団,げんしりょくえねるぎーじぎょうだん",Atomic Energy Establishment,0
"原子力発電所安全性委員会,げんしりょくはつでんしょあんぜんせいいいんかい",Atomic energy Plant Safety Committee,0
"原子力懇話会,げんしりょくこんわかい",Atomic Forum,0
"原子力燃料公社,げんしりょくねんりょうこうしゃ",Atomic Fuel Corporation,0
"原子力安全管理者免許委員会パネル,げんしりょくあんぜんかんりしゃめんきょいいんかいぱねる",Atomic Safety and Licensing Board Panel,0
"原子力安全管理者免許委員会,げんしりょくあんぜんかんりしゃめんきょいいんかい",Atomic Safety Licensing Board,0
"原子兵器研究所,げんしへいきけんきゅうしょ",Atomic Weapons Research Establishment,0
"原子数,げんしかず",atomicity,0
"原子性,げんしせい",atomicity,0
"原子学,げんしがく",atomics,0
"原子論,げんしろん",atomism,0
"原子論者,げんしろんもの",atomist,0
"原子論,げんしろん",atomistics,0
"原子,げんし",atomy,0
"減衰度,げんすいど",attenuance,0
"減衰,げんすい",attenuation,0
"減衰器,げんすいき",attenuator,0
"言語病理学,げんごびょうりがく",audiology,0
"厳格さ,げんかくさ",austerity,0
"原作者,げんさくしゃ",authorship,0
"現金自動預払機,げんきんじどうよふつき",automated teller,0
"現金自動預払機,げんきんじどうよふつき",automatic teller,0
"現金自動預払機,げんきんじどうよふつき",autoteller,0
"言明,げんめい",averment,0
"毛嫌い,げぎらい",averseness,0
"原理,げんり",axiom,0
"減摩合金,げんまごうきん",babbitt,0
"激励,げきれい",back-pat,0
"激励,げきれい",back-patting,0
"幻惑,げんわく",bamboozlement,0
"ゲイセル・バンク,げいせる・ばんく",Banc du Geyser,0
"下品,げひん",barnyardism,0
"限界,げんかい",barrier,0
"言語渋滞,げんごじゅうたい",barylalia,0
"玄武岩,げんぶいわ",basalt,0
"下品さ,げひんさ",baseness,0
"原理,げんり",basis,0
"原則,げんそく",basis,0
"激怒,げきど",bate,0
"激突！タイガー重戦車／最後の砲火,げきとつ！たいがーじゅうせんしゃ／さいごのほうか",Battle of the Last Panzer,0
"月桂樹,げっけいじゅ",bay,0
"月桂冠,げっけいかん",bay,0
"原始怪獣現れる,げんしかいじゅうあらわれる","Beast from 20,000 Fathoms",0
"言動,げんどう",behavior,6
"げっぷ,げっぷ",belch,0
"減量経営,げんりょうけいえい",belt-tightening,0
"舷側厚板,げんがわあつしいた",bend,6
"減圧痛,げんあつつう",bend,6
"減圧病,げんあつびょう",bend,6
"げっぷ,げっぷ",berp,0
"舷墻,げんしょう",berthing,0
"激論,げきろん",bickering,0
"元気はつらつとした人,げんきはつらつとしたにん",birkie,0
"下水,げすい",black-water,0
"下痢,げり",blaps,0
"下痢,げり",blatts,0
"元気,げんき",blood,0
"月下の銃声,げっかのじゅうせい",Blood On the Moon,0
"激怒,げきど",blow-up,0
"舷側,げんがわ",board,4
"下宿人,げしゅくにん",boarder,0
"下宿,げしゅく",boarding,0
"原木,げんぼく",bolt,0
"原子爆弾,げんしばくだん",bomb,0
"原子の手,げんしのて",bond,4
"外科医,げかい",bone-bender,0
"月例図書推薦会,げつれいとしょすいせんかい",Book-of-the-Month Club,0
"原子力潜水艦,げんしりょくせんすいかん",boomer,0
"限界,げんかい",bound,0
"限度,げんど",bound,0
"限界,げんかい",boundary,0
"限度,げんど",boundary,0
"元気の源,げんきのげん",brace,0
"言語緩慢,げんごかんまん",bradyarthria,0
"言語緩慢,げんごかんまん",bradylalia,0
