meanings,word,score
"耕作放棄地活用推進室,こうさくほうきちかつようすいしんしつ",Abandoned Farmland Utilization Office,0
"怖がらないこと,こわがらないこと",abhaya,0
"攻撃,こうげき",abordar,0
"殺しはアブラカダブラ,ころしはあぶらかだぶら",Abracadaver,0
"国営アブダビ石油公社,こくえいあぶだびせきゆこうしゃ",Abu Dhabi National Oil Company,0
"個体数,こたいすう",abundance,0
"酷使,こくし",abuse,0
"抗がん剤併用療法の名前,こうがんざいへいようりょうほうのなまえ",ABV,0
"抗体酵素,こうたいこうそ",abzyme,0
"高校,こうこう",academy,0
"公認ソーシャルワーカー学会,こうにんそーしゃるわーかーがっかい",Academy of Certified Social Workers,0
"公益社団法人日本薬剤学会,こうえきしゃだんほうじんにっぽんやくざいがっかい","Academy of Pharmaceutical Science and Technology, Japan",0
"昆虫恐怖,こんちゅうきょうふ",acaraphobia,0
"コナダニ,こなだに",acarid,0
"コナダニ科,こなだにか",Acaridae,0
"コナダニ,こなだに",acaridan,0
"コナダニ,こなだに",Acarina,0
"コナダニ,こなだに",acarus,0
"交通の便,こうつうのびん",access,0
"交通バリアフリー対策室,こうつうばりあふりーたいさくしつ",Accessible Transport Office,0
"交通バリアフリー政策室,こうつうばりあふりーせいさくしつ",Accessible Transport Policy Office,0
"功績,こうせき",accomplishment,6
"顧客,こきゃく",account,0
"降着,こうちゃく",accretion,0
"告発,こくはつ",accusation,0
"告訴,こくそ",accusation,0
"告発の行方,こくはつのなめがた",Accused,0
"告訴人,こくそにん",accuser,0
"告発人,こくはつにん",accuser,0
"功績,こうせき",achievement,6
"好意的でない記事,こういてきでないきじ",acid,6
"好酸球,こうさんたま",acidocyte,0
"好酸球減少,こうさんたまげんしょう",acidocytopenia,0
"好酸球減少,こうさんたまげんしょう",acidopenia,0
"好酸性微生物,こうさんせいびせいぶつ",acidophil,0
"好酸性微生物,こうさんせいびせいぶつ",acidophile,0
"好酸球増多,こうさんたまぞうた",acidophilia,0
"好酸性乳酸菌,こうさんせいにゅうさんきん",acidophilus,0
"鋼化,こうか",acierage,0
"高射砲,こうしゃほう",ack-ack,0
"肯定応答,こうていおうとう",acknowledge,5
"肯定応答,こうていおうとう",acknowledgment,0
"コンピューター協会規格委員会,こんぴゅーたーきょうかいきかくいいんかい",ACM Standards Committee,0
"孤立点,こりつてん",acnode,0
"コガシラアブ科,こがしらあぶか",Acroceridae,0
"高所恐怖症の人,こうしょきょうふしょうのにん",acrophobe,0
"高所恐怖,こうしょきょうふ",acrophobia,0
"行為,こうい",act,0
"公式記録,こうしききろく",acta,0
"行為項,こういこう",actant,0
"行為,こうい",acting,0
"光線,こうせん",actino,0
"光化学,こうかがく",actinochemistry,0
"光量測定,こうりょうそくてい",actinography,0
"光量計,こうりょうけい",actinometer,0
"光量測定法,こうりょうそくていほう",actinometry,0
"向日性,こうひせい",actinotropism,0
"行動,こうどう",action,0
"行為,こうい",action,0
"行動力,こうどうりょく",action,0
"交戦,こうせん",action,0
"行動的市民,こうどうてきしみん",active citizen,0
"行動主義,こうどうしゅぎ",activism,0
"広告,こうこく",ad,0
"広告制作者,こうこくせいさくしゃ",ad-maker,0
"ことわざ,ことわざ",adage,0
"恋に溺れて,こいにおぼれて",Addicted to Love,0
"呼称,こしょう",address,6
"氷着,こおりちゃく",adfreezing,0
"固守,こしゅ",adherence,0
"固守,こしゅ",adhesion,0
"心拡張欠如,こころかくちょうけつじょ",adiastole,0
"懇願,こんがん",adjuration,0
"抗原性補強剤,こうげんせいほきょうざい",adjuvant,0
"広告業界,こうこくぎょうかい",adland,0
"広告業界人,こうこくぎょうかいにん",adman,0
"高齢者局,こうれいしゃきょく",Administration on Aging,0
"告白,こくはく",admission,4
"混合,こんごう",admixture,0
"子どもっぽい大人,こどもっぽいおとな",adolescent,0
"広告人,こうこくにん",adperson,0
"抗アドレナリン剤,こうあどれなりんざい",adrenolytic,0
"広告,こうこく",ads,0
"誇大な称賛,こだいなしょうさん",adulation,0
"混和物,こんわもの",adulterant,0
"国立計算機科学高等研究所,こくりつけいさんきかがくこうとうけんきゅうしょ",Advanced National Research Institute on Computer Science,0
"高度通信網振興課,こうどつうしんあみしんこうか",Advanced Network Division,0
"好都合な点,こうつごうなてん",advantage,4
"降臨節,こうりんふし",advent,0
"広告ゲーム,こうこくげーむ",advergame,0
"困難,こんなん",adversity,0
"困難な出来事,こんなんなできごと",adversity,0
"広告,こうこく",advert,0
"広告キャンペーンによる政策の展開,こうこくきゃんぺーんによるせいさくのてんかい",advertcracy,0
"広告,こうこく",advertisement,4
"広告をすること,こうこくをすること",advertisement,4
"広告主,こうこくぬし",advertiser,0
"広告者,こうこくもの",advertiser,0
"広告,こうこく",advertising,0
"広告業,こうこくぎょう",advertising,0
"広告学,こうこくがく",advertising,0
"広告調査機関,こうこくちょうさきかん",Advertising Checking Bureau,0
"広告業協同組合,こうこくぎょうきょうどうくみあい",Advertising Cooperative Association,0
"広告協議会,こうこくきょうぎかい",Advertising Council,0
"広告諮問委員会,こうこくしもんいいんかい",Advertising Inquiry Council,0
"広告調査財団,こうこくちょうさざいだん",Advertising Research Foundation,0
"広告審査会,こうこくしんさかい",Advertising Review Board,0
"広告規制局,こうこくきせいきょく",Advertising Standards Authority,0
"広告ビデオ,こうこくびでお",advid,0
"顧問,こもん",adviser,3
"国民医療サービス用薬剤諮問委員会,こくみんいりょうさーびすようやくざいしもんいいんかい",Advisory Committee on NHS Drugs,0
"個人線量測定業務諮問委員会,こじんせんりょうそくていぎょうむしもんいいんかい",Advisory Committee on Personal Dosimetry Services,0
"公務員制度審議会,こうむいんせいどしんぎかい",Advisory Council on the Public Service Personnel System,0
"航空宇宙研究所開発諮問グループ,こうくううちゅうけんきゅうしょかいはつしもんぐるーぷ",Advisory Group for Aerospace Research and Development,0
"古代ローマの造営官,こだいろーまのぞうえいかん",aedile,0
"後援,こうえん",aegis,0
"公益財団法人イオン環境財団,こうえきざいだんほうじんいおんかんきょうざいだん",AEON Environment Foundation,0
"国庫,こっこ",aerarium,0
"航空衰弱,こうくうすいじゃく",aerasthenia,0
"高所にある家,こうしょにあるいえ",aerie,0
"航空工業開発センター,こうくうこうぎょうかいはつせんたー",Aero Industry Development Center,0
"航空音響学,こうくうおんきょうがく",aeroacoustics,0
"高所空間恐怖,こうしょくうかんきょうふ",aeroacrophobia,0
"航空無気肺,こうくうむきはい",aeroatelectasis,0
"好気細菌,こうきさいきん",aerobacter,0
"好気性細菌,こうきせいさいきん",aerobe,0
"好気性菌,こうきせいきん",aerobes,0
"好気生物,こうきせいぶつ",aerobiont,0
"好気生活,こうきせいかつ",aerobiosis,0
"好気性細菌,こうきせいさいきん",aerobium,0
"航空写真機,こうくうしゃしんき",aerocamera,0
"航空性歯痛,こうくうせいはいた",aerocontalgia,0
"航空性歯痛,こうくうせいはいた",aerodontalgia,0
"航空歯科学,こうくうしかがく",aerodontia,0
"航空電子工学,こうくうでんしこうがく",aeroelectronic,0
"航空エンジン,こうくうえんじん",aeroengine,0
"航空書簡,こうくうしょかん",aerogram,0
