meanings,word,score
"誤差測定器,ごさそくていき",aberrometer,0
"誤用,ごよう",abusage,0
"誤用,ごよう",abuse,0
"誤用,ごよう",abusion,0
"合格,ごうかく",acceptance,0
"語義,ごぎ",acceptation,0
"語形論,ごけいろん",accidence,0
"合意,ごうい",accord,0
"午後,ごご",afternoon,1
"午後の新聞,ごごのしんぶん",afternooner,0
"午後,ごご",afto,0
"護衛官,ごえいかん",agent,0
"合意,ごうい",agreement,0
"ゴム製ベッド,ごむせいべっど",airbed,0
"合金,ごうきん",alloy,7
"合金法,ごうきんほう",alloyage,0
"合金化,ごうきんか",alloying,0
"合同衣服繊維労働組合,ごうどういふくせんいろうどうくみあい",Amalgamated Clothing and Textile Workers Union,0
"娯楽,ごらく",amenity,0
"娯楽,ごらく",amusement,4
"語録,ごろく",ana,0
"語録,ごろく",analects,0
"合流,ごうりゅう",anastomosis,0
"語頭,ごとう",anlaut,0
"語末第三音節,ごまつだいさんおんせつ",antepenult,0
"語末第三音節,ごまつだいさんおんせつ",antepenultimate,0
"語順転倒,ごじゅんてんとう",anteposition,0
"合法化反対派,ごうほうかはんたいは",anti-legalizer,0
"語意反用,ごいはんよう",antiphrasis,0
"敖漢旗,ごうかんはた",Aohan Qi,0
"語頭音消失,ごとうおとしょうしつ",aphaeresis,0
"語頭音消失,ごとうおとしょうしつ",apheresis,0
"語頭母音消失,ごとうぼいんしょうしつ",aphesis,0
"語尾音消失,ごびおとしょうしつ",apocope,0
"護教論者,ごきょうろんしゃ",apologist,0
"ゴマすり,ごますり",apple-polisher,0
"ご機嫌取り,ごきげんとり",apple-polisher,0
"午後,ごご",apres-midi,0
"極秘の製陶法を伝授する人,ごくひのせいとうほうをでんじゅするにん",arcanist,0
"ごり押し屋,ごりおしや",arm-twister,0
"ごり押し,ごりおし",arm-twisting,0
"合意,ごうい",arrangement,0
"傲慢さ,ごうまんさ",arrogance,0
"ゴマすり,ごますり",arse-licker,0
"ご機嫌取り,ごきげんとり",arse-licker,0
"ごますり,ごますり",arse-licking,0
"強盗放火,ごうとうほうか",arson-robbery,0
"午後,ごご",arvo,0
"ごみ箱,ごみはこ",ash-bin,0
"ごみ入れ,ごみいれ",ashcan,0
"ごみ回収業者,ごみかいしゅうぎょうしゃ",ashman,0
"御坊アジア友の会,ごぼうあじあとものかい",Asian Friends Gobo,0
"誤嚥,ごえん",aspiration,0
"ゴマすり,ごますり",ass-kisser,0
"ご機嫌取り,ごきげんとり",ass-kisser,0
"ごますり,ごますり",ass-kissing,0
"ごますり,ごますり",ass-lick,0
"ゴマすり,ごますり",ass-licker,0
"ご機嫌取り,ごきげんとり",ass-licker,0
"ごますり,ごますり",ass-licking,0
"強姦,ごうかん",assault,0
"合同,ごうどう",association,4
"後光,ごこう",aureola,0
"後光,ごこう",aureole,0
"豪亜地中海,ごうあちちゅうかい",Australasian Mediterranean Sea,0
"豪州購買管理者協会,ごうしゅうこうばいかんりしゃきょうかい",Australian Purchasing Officers' Association,0
"強欲,ごうよく",avarice,0
"強欲さ,ごうよくさ",avariciousness,0
"権化,ごんげ",avatar,0
"ゴマすり,ごますり",back-scratcher,0
"ご機嫌取り,ごきげんとり",back-scratcher,0
"ゴマすり,ごますり",back-scratching,0
"ご機嫌取り,ごきげんとり",back-scratching,0
"豪胆さ,ごうたんさ",badassery,0
"ご機嫌取り,ごきげんとり",bag-play,0
"ごろつき,ごろつき",balla,0
"ゴム風船,ごむふうせん",balloon,0
"強盗,ごうとう",bandit,0
"強盗行為,ごうとうこうい",banditry,0
"ごちそう,ごちそう",banquet,0
"豪華な食事,ごうかなしょくじ",banquet,0
"強欲な人,ごうよくなにん",barathrum,0
"ゴシキドリ,ごしきどり",barbet,0
"五色鳥,ごしきとり",barbet,0
"傲慢さ,ごうまんさ",bardiness,0
"ゴバンノアシ,ごばんのあし",barringtonia,0
"語基,ごもと",base,0
"語句の退屈な反復,ごくのたいくつなはんぷく",battology,0
"ご機嫌取り用紹介文,ごきげんとりようしょうかいぶん",beat-sweetener,0
"ごますり記事,ごますりきじ",beat-sweetener,0
"極貧,ごくひん",beggarliness,0
"極貧状態,ごくひんじょうたい",beggary,0
"ゴング,ごんぐ",bell,0
"強姦性愛,ごうかんせいあい",biastophilia,0
"ゴキブリ属,ごきぶりぞく",Biatta,0
"ゴースト・ハンターズ,ごーすと・はんたーず",Big Trouble In Little China,0
"ごみ収集作業員,ごみしゅうしゅうさぎょういん",binman,0
"ごみ収集作業員,ごみしゅうしゅうさぎょういん",binner,0
"剛毛,ごうもう",birse,0
"ゴンドウクジラ,ごんどうくじら",blackfish,0
"ごろつき,ごろつき",blackguard,0
"ごろつきのような言動,ごろつきのようなげんどう",blackguardism,0
"強盗,ごうとう",blag,0
"強奪者,ごうだつもの",blagger,0
"強盗,ごうとう",blagger,0
"ご機嫌取り,ごきげんとり",blandisher,0
"ご機嫌取り,ごきげんとり",blandishment,0
"ゴキブリ属,ごきぶりぞく",Blatta,0
"ゴキブリ目,ごきぶりめ",Blattaria,0
"ゴキブリ科,ごきぶりか",Blattidae,0
"ごまかし,ごまかし",blind,6
"豪華なパーティー,ごうかなぱーてぃー",blowout,0
"傲慢さ,ごうまんさ",boastfulness,0
"護衛,ごえい",bodyguard,0
"ゴーンという音,ごーんというおと",bong,0
"ゴマすり,ごますり",bootlick,0
"ご機嫌取り,ごきげんとり",bootlick,0
"強奪品,ごうだつひん",booty,0
"傲慢な人,ごうまんなにん",bossy-boots,0
"ゴロ,ごろ",bounder,0
"語派,ごは",branch,0
"ごろつき,ごろつき",brave,0
"娯楽本位の帯番組,ごらくほんいのおびばんぐみ",bread and butter,0
"剛毛,ごうもう",bristle,0
"ゴウシュウヅル,ごうしゅうづる",brolga,0
"ゴマすり,ごますり",brown-noser,0
"ご機嫌取り,ごきげんとり",brown-noser,0
"5セント,ごせんと",bullhead,0
"ごろつき,ごろつき",bully,0
"ゴマすり,ごますり",bum-licker,0
"ご機嫌取り,ごきげんとり",bum-licker,0
"傲慢,ごうまん",bumptiousness,0
"ごますり,ごますり",bumsucking,0
