meanings,word,score
"最上の試合,さいじょうのしあい",A-game,0
"最上層,さいじょうそう",A-horizon,0
"最上層,さいじょうそう",A-horizon layer,0
"下げること,さげること",abasement,0
"逆茂木,さかもぎ",abatis,0
"才能,さいのう",ability,5
"削磨,さくま",ablation,0
"サペリ材,さぺりざい",aboudikro,0
"迫台,さこだい",abutment,0
"採用,さいよう",acceptance,0
"災難,さいなん",accident,4
"災害補償審査委員会,さいがいほしょうしんさいいんかい",Accident Compensation Examination Commission,0
"賛美,さんび",accolade,0
"最高の物,さいこうのもの",ace,0
"最高の成績,さいこうのせいせき",ace,0
"酸味,さんみ",acerbity,0
"酸味恐怖症,さんみきょうふしょう",acerbophobia,0
"酸味恐怖症,さんみきょうふしょう",acerophobia,0
"酢酸塩,さくさんしお",acetate,0
"酢酸エステル,さくさんえすてる",acetate,0
"酢酸セルロース,さくさんせるろーす",acetate,0
"酢酸製造装置,さくさんせいぞうそうち",acetifier,0
"酢酸濃度測定器,さくさんのうどそくていき",acetimeter,0
"酢酸菌,さくさんきん",acetobacter,0
"酢酸カーミン,さくさんかーみん",acetocarmine,0
"酢酸濃度測定器,さくさんのうどそくていき",acetometer,0
"酢酸セルロース,さくさんせるろーす",acetylcellulose,0
"酢酸繊維素,さくさんせんいもと",acetylcellulose,0
"酢酸イソ吉草酸タイロシン,さくさんいそきっそうさんたいろしん",acetylisovaleryltylosin,0
"三途の川,さんずのかわ",Acheron,0
"サポジラ属,さぽじらぞく",Achras,0
"酸,さん",acid,6
"酸味,さんみ",acid,6
"酸剤,さんざい",acida,0
"酸血症,さんちしょう",acidemia,0
"酸性化,さんせいか",acidification,0
"酸滴定器,さんてきていうつわ",acidimeter,0
"酸滴定,さんてきてい",acidimetry,0
"酸を加える作業者,さんをくわえるさぎょうしゃ",acidiser,0
"酸性,さんせい",acidity,0
"酸味,さんみ",acidity,0
"酸処理,さんしょり",acidizing,0
"酸性度,さんせいど",acidness,0
"酸分解,さんぶんかい",acidolysis,0
"酸滴定器,さんてきていうつわ",acidometer,0
"酸血症,さんちしょう",acidosis,0
"酸味料,さんみりょう",acidulant,0
"酸性尿,さんせいにょう",aciduria,0
"細葉炎,さいはほのお",acinitis,0
"最盛期,さいせいき",acme,0
"最繁栄期,さいはんえいき",acme,0
"サンダカンモドキ,さんだかんもどき",acocanthera,0
"サンダカンモドキの強心配糖体,さんだかんもどきのきょうしんぱいとうからだ",acocantherin,0
"サンダカンモドキ,さんだかんもどき",acokanthera,0
"祭壇奉仕者,さいだんほうししゃ",acolyte,0
"侍祭,さむらいまつり",acolyte,0
"酸性度,さんせいど",acor,0
"債務免除,さいむめんじょ",acquittal,0
"債務消滅認証書,さいむしょうめつにんしょうかき",acquittance,0
"先節,さきふし",acron,0
"先体,さきからだ",acrosone,0
"作用,さよう",acting,0
"作用,さよう",action,0
"作用量,さようりょう",action,0
"参加者,さんかしゃ",actor,4
"作動,さどう",actuation,0
"作動装置,さどうそうち",actuator,0
"才覚,さいかく",acumen,0
"差出人,さしだしにん",addresser,0
"索状帯,さくじょうおび",adhesio,0
"索状帯,さくじょうおび",adhesion,0
"索状帯,さくじょうおび",adhesiones,0
"散会,さんかい",adjournment,0
"裁決,さいけつ",adjudication,0
"裁定,さいてい",adjudication,0
"査定人,さていにん",adjuster,0
"最高司令官,さいこうしれいかん",admiral,0
"騒ぎ,さわぎ",ado,0
"採用者,さいようもの",adopter,0
"里親,さとおや",adopter,0
"採用,さいよう",adoption,6
"採択,さいたく",adoption,6
"最新式航空機搭載ロケット発射センター,さいしんしきこうくうきとうさいろけっとはっしゃせんたー",Advance Airborne Launch Centers,0
"最新型弾道ミサイル防御庁,さいしんがただんどうみさいるぼうぎょちょう",Advanced Ballistic Missile Defense Agency,0
"最新式基地戦闘通信訓練センター,さいしんしききちせんとうつうしんくんれんせんたー",Advanced Base Combat Communication Training Center,0
"殺人のすすめ,さつじんのすすめ",Advancement of Learning,0
"再臨説,さいりんせつ",Adventism,0
"再臨派信者,さいりんはしんじゃ",Adventist,0
"策士,さくし",adventurer,0
"賛同者,さんどうしゃ",advocate,6
"サビ胞子,さびほうし",aecidiospore,0
"サビ胞子堆,さびほうしつい",aecidium,0
"サビ胞子,さびほうし",aeciospore,0
"サビ胞子堆,さびほうしつい",aecium,0
"酸素吸入器,さんそきゅうにゅうき",aerophose,0
"賛成票,さんせいひょう",affirmative,0
"殺到,さっとう",affluence,0
"寒い国の女,さむいくにのおんな",After Tonight,0
"再燃焼装置,さいねんやきそうち",afterburner,0
"再燃焼,さいねんやき",afterburning,0
"最終冷却器,さいしゅうれいきゃくうつわ",aftercooler,0
"最終ろ過器,さいしゅうろかうつわ",afterfilter,0
"作用,さよう",agency,0
"作用因子,さよういんし",agent,0
"先金具,さきかなぐ",aglet,0
"さかむけ,さかむけ",agnail,0
"ささくれ,ささくれ",agnail,0
"作用薬,さようくすり",agonist,0
"作動薬,さどうくすり",agonist,0
"作動物質,さどうぶっしつ",agonist,0
