meanings,word,score
"財団法人研究学園都市コミュニティケーブルサービス,ざいだんほうじんけんきゅうがくえんとしこみゅにてぃけーぶるさーびす",Academic Newtown Community Cable Service,0
"座瘡,ざかさ",acne,0
"財団法人アダチ伝統木版画技術保存財団,ざいだんほうじんあだちでんとうきはんがぎじゅつほぞんざいだん",Adachi Institute of Woodcut Prints,0
"財団法人先端建設技術センター,ざいだんほうじんせんたんけんせつぎじゅつせんたー",Advanced Construction Technology Center,0
"財団法人先端加工機械技術振興協会,ざいだんほうじんせんたんかこうきかいぎじゅつしんこうきょうかい",Advanced Machining Technology & Development Association,0
"財団法人近畿高エネルギー加工技術研究所,ざいだんほうじんきんきたかえねるぎーかこうぎじゅつけんきゅうしょ",Advanced Materials Processing Institute,0
"財団法人京都高度技術研究所,ざいだんほうじんきょうとこうどぎじゅつけんきゅうしょ",Advanced Software Technology & Mechatronics Research Institute of Kyoto,0
"財団法人高度映像情報センター,ざいだんほうじんこうどえいぞうじょうほうせんたー",Advanced Visual Communication Center,0
"雑録,ざつろく",adversaria,0
"財団法人エイ・エフ・エス日本協会,ざいだんほうじんえい・えふ・えすにっぽんきょうかい","AFS Japan Association, Inc.",0
"残存膨張,ざんそんぼうちょう",after-expansion,0
"残聴,ざんちょう",after-hearing,0
"残効,ざんこう",aftereffect,0
"残炎,ざんほのお",afterflame,0
"残光,ざんひかり",afterglow,0
"残像,ざんぞう",afterimage,0
"残感覚,ざんかんかく",afterimpression,0
"残照,ざんしょう",afterlight,0
"残感覚,ざんかんかく",aftersensation,0
"残音,ざんおと",aftersound,0
"財団法人国際保健医療交流センター,ざいだんほうじんこくさいほけんいりょうこうりゅうせんたー",Agency for Cooperation in International Health,0
"財団法人農政調査委員会,ざいだんほうじんのうせいちょうさいいんかい","Agricultural Policy Research Committee, Inc.",0
"財団法人農政調査会,ざいだんほうじんのうせいちょうさかい",Agriculture Policy Research Association,0
"財団法人愛知県文化振興事業団,ざいだんほうじんあいちけんぶんかしんこうじぎょうだん",Aichi Arts Foundation,0
"財団法人愛知県建築住宅センター,ざいだんほうじんあいちけんけんちくじゅうたくせんたー",Aichi Building Housing Center,0
"財団法人愛知県がん研究振興会,ざいだんほうじんあいちけんがんけんきゅうしんこうかい",Aichi Cancer Research Foundation,0
"財団法人愛知県健康づくり振興事業団,ざいだんほうじんあいちけんけんこうづくりしんこうじぎょうだん",Aichi Health Promotion Foundation,0
"財団法人愛知県国際交流協会,ざいだんほうじんあいちけんこくさいこうりゅうきょうかい",Aichi International Association,0
