meanings,word,score
"真空管陰極加熱用電池,しんくうかんいんきょくかねつようでんち",A-battery,0
"主支柱,しゅしちゅう",A-pillar,0
"主要幹線道路,しゅようかんせんどうろ",A-road,0
"失墜,しっつい",abasement,0
"社団法人網走青年会議所,しゃだんほうじんあばしりせいねんかいぎところ","Abashiri Junior Chamber, Inc.",0
"身体障害性愛,しんたいしょうがいせいあい",abasiophilia,0
"食肉処理場,しょくにくしょりじょう",abattoir,0
"鹿の足跡,しかのそくせき",abature,0
"神父,しんぷ",abbe,0
"修道士,しゅうどうし",abbey,0
"修道女,しゅうどうじょ",abbey,0
"省略,しょうりゃく",abbreviation,0
"初歩,しょほ",ABC,0
"初学者,しょがくしゃ",abecedarian,0
"初心者,しょしんしゃ",abecedarian,0
"初学者,しょがくしゃ",abecedary,0
"初心者,しょしんしゃ",abecedary,0
"収差,しゅうさ",aberration,0
"失効,しっこう",abeyance,0
"手腕,しゅわん",ability,5
"障害者技能競技大会,しょうがいしゃぎのうきょうぎたいかい",Abilympic,0
"自然発生説,しぜんはっせいせつ",abiogenesis,0
"自然発生説の信奉者,しぜんはっせいせつのしんぽうしゃ",abiogenist,0
"自然発生説,しぜんはっせいせつ",abiogeny,0
"刺激感受性減退,しげきかんじゅせいげんたい",abirritation,0
"身障者差別,しんしょうしゃさべつ",ableism,0
"視覚消失,しかくしょうしつ",ablepsia,0
"視覚消失,しかくしょうしつ",ablepsy,0
"皺胃,しわい",abomasum,0
"強い嫌悪,しいけんお",abomination,0
"醜態,しゅうたい",abomination,0
"失敗,しっぱい",abortion,0
"抄本,しょうほん",abridgment,0
"失踪者,しっそうもの",abscondee,0
"失踪,しっそう",abscondence,0
"失踪者,しっそうもの",absconder,0
"職務離脱者,しょくむりだつもの",absentee,0
"赦免,しゃめん",absolution,0
"瀉下,しゃした",abstersion,0
"社団法人あぶくま青年会議所,しゃだんほうじんあぶくませいねんかいぎところ",Abukuma Junior Chamber Inc.,0
"支台歯,しだいは",abutment,0
"心臓萎縮,しんぞういしゅく",acardiotrophia,0
"診断不確実,しんだんふかくじつ",acatalepsia,0
"就任,しゅうにん",accedence,0
"承諾,しょうだく",acceptance,0
"信奉,しんぽう",acceptance,0
"支持,しじ",acceptance,0
"承認,しょうにん",acceptation,0
"信じること,しんじること",acceptation,0
"手段,しゅだん",access,0
"取得,しゅとく",accession,0
"就任,しゅうにん",accession,0
"新規収蔵品,しんきしゅうぞうひん",accession,0
"称賛,しょうさん",accolade,0
"宿泊設備,しゅくはくせつび",accommodation,5
"収容設備,しゅうようせつび",accommodation,5
"釈明,しゃくめい",account,0
"信用取引,しんようとりひき",account,0
"収支計算書,しゅうしけいさんしょ",account,0
"信用状開設者,しんようじょうかいせつもの",accountee,0
"信用受領者,しんようじゅりょうもの",accreditee,0
"信用状発行依頼人,しんようじょうはっこういらいにん",accreditee,0
"心拍同調,しんぱくどうちょう",accrochage,0
"生じること,しょうじること",accrual,0
"集積,しゅうせき",accumulation,0
"主戦投手,しゅせんとうしゅ",ace,0
"親友,しんゆう",ace,0
"伸縮包帯,しんしゅくほうたい",Ace bandage,0
"辛辣さ,しんらつさ",acerbity,0
"弛緩不能症,しかんふのうしょう",achalasia,0
"尻,しり",acher,0
"食用カンナ,しょくようかんな",achira,0
"縮小,しゅくしょう",achoresis,0
"収色性,しゅうしょくせい",achromaticity,0
"収色性,しゅうしょくせい",achromatism,0
"色覚異常,しきかくいじょう",achromatopsia,0
"色覚異常,しきかくいじょう",achromatopsy,0
"色素欠乏,しきそけつぼう",achromia,0
"色素非産生,しきそひさんなま",achromogenic,0
"消化酵素分泌欠乏症,しょうかこうそぶんぴつけつぼうしょう",achylia,0
"針葉樹林,しんようじゅはやし",aciculignosa,0
"辛辣な言葉,しんらつなことば",acid,6
"辛辣さ,しんらつさ",acidity,0
"承認,しょうにん",acknowledgment,0
"謝意,しゃい",acknowledgment,0
"謝辞,しゃじ",acknowledgment,0
"信奉者,しんぽうしゃ",acolyte,0
"ショウブ科,しょうぶか",Acoraceae,0
"ショウブ属,しょうぶぞく",Acorus,0
"社団法人日本音響材料協会,しゃだんほうじんにっぽんおんきょうざいりょうきょうかい",Acoustical Materials Association of Japan,0
"社団法人日本音響学会,しゃだんほうじんにほんおんきょうがっかい",Acoustical Society of Japan,0
"知り合い,しりあい",acquaintance,5
"知っていること,しっていること",acquaintance,5
"知り合いの関係,しりあいのかんけい",acquaintanceship,0
"取得財産,しゅとくざいさん",acquest,0
"取得したもの,しゅとくしたもの",acquiree,0
"取得,しゅとく",acquirement,0
"取得者,しゅとくしゃ",acquirer,0
"習得者,しゅうとくもの",acquirer,0
"取得,しゅとく",acquisition,5
"習得,しゅうとく",acquisition,5
"収集,しゅうしゅう",acquisition,5
"取得学会,しゅとくがっかい",Acquisition Institute,0
"四肢感覚性認識欠如,ししかんかくせいにんしきけつじょ",acragnosis,0
"辛辣さ,しんらつさ",acridity,0
"刺激性,しげきせい",acridity,0
"刺激性,しげきせい",acridness,0
"辛辣さ,しんらつさ",acridness,0
"辛辣さ,しんらつさ",acrimoniousness,0
"峻烈性,しゅんれつせい",acrimony,0
"四肢感覚性認識欠如,ししかんかくせいにんしきけつじょ",acroagnosis,0
"肢端知覚まひ,しはじちかくまひ",acroanesthesia,0
"四肢関節炎,ししかんせつほのお",acroarthritis,0
"肢端知覚異常症,しはじちかくいじょうしょう",acroasphyxia,0
"肢端運動失調,しはじうんどうしっちょう",acroataxia,0
"四肢拘縮,ししこうしゅく",acrocontracture,0
"肢端チアノーゼ,しはじちあのーぜ",acrocyanosis,0
"肢端皮膚病,しはじひふびょう",acrodermatitis,0
"肢端長大,しはじちょうだい",acrodolichomelia,0
"肢端疼痛症,しはじとうつうしょう",acrodynia,0
"肢端知覚不全,しはじちかくふぜん",acrodysesthesia,0
"肢端浮腫,しはじふしゅ",acroedema,0
"肢端知覚過敏,しはじちかくかびん",acroesthesia,0
"肢端早老,しはじそうろう",acrogeria,0
"肢端多汗症,しはじたあせしょう",acrohyperhidrosis,0
"肢端冷却症,しはじれいきゃくしょう",acrohypothermy,0
"四肢端角化症,ししはじかくかしょう",acrokeratosis,0
"肢端白皮症,しはじしろかわしょう",acroleukopathy,0
"肢端巨大,しはじきょだい",acromegalia,0
"肢端巨大性巨人症,しはじきょだいせいきょじんしょう",acromegalogigantism,0
"肢端巨人症,しはじきょじんしょう",acromegaloidism,0
"肢端疼痛症,しはじとうつうしょう",acromelalgia,0
"肢端矮小症,しはじわいしょうしょう",acromicria,0
"出べそ,しゅつべそ",acromphalus,0
"肢端筋緊張,しはじすじきんちょう",acromyotonia,0
"肢端神経症,しはじしんけいしょう",acroneuropathy,0
"肢端神経症,しはじしんけいしょう",acroneurosis,0
"肢端骨溶解症,しはじほねようかいしょう",acroosteolysis,0
"肢端強皮症,しはじきょうかわしょう",acropachyderma,0
"四肢まひ,ししまひ",acroparalysis,0
"肢端感覚異常,しはじかんかくいじょう",acroparesthesia,0
"肢端部疾患,しはじぶしっかん",acropathy,0
"肢端色素沈着症,しはじしきそちんちゃくしょう",acropigmentation,0
"肢端膿疱症,しはじのうほうしょう",acropustulosis,0
"肢端強皮症,しはじきょうかわしょう",acroscleroderma,0
"肢端硬化,しはじこうか",acrosclerosis,0
"肢端骨痛,しはじほねつう",acrostealgia,0
"四角連語,しかくれんご",acrostic,0
"身体欠損性愛,しんたいけっそんせいあい",acrotomophilia,0
"肢端栄養性疼痛,しはじえいようせいとうつう",acrotrophodynia,0
"肢端栄養神経症,しはじえいようしんけいしょう",acrotrophoneurosis,0
"芝居,しばい",acting,0
"シラミ,しらみ",active citizen,0
"使徒行伝,しとぎょうでん",Acts,0
"指揮官,しきかん",actual,0
"識見,しきけん",acumen,0
"指圧療法,しあつりょうほう",acupressure,0
"シシバナヘビ,ししばなへび",adder,7
"処理の手際よさ,しょりのてぎわよさ",address,6
"食肉亜目,しょくにくあめ",Adephaga,0
"支持,しじ",adherence,0
"信奉,しんぽう",adherence,0
"支持者,しじしゃ",adherent,0
"信奉者,しんぽうしゃ",adherent,0
"支持,しじ",adhesion,0
"執着,しゅうちゃく",adhesion,0
"使用,しよう",adhibition,0
"雌雄同熟,しゆうどうじゅく",adichogamy,0
"脂肪組織切除,しぼうそしきせつじょ",adipectomy,0
"脂肪,しぼう",adipo,0
"脂肪ヘルニア,しぼうへるにあ",adipocele,0
"屍ろう,しかばねろう",adipocere,0
"脂肪腫,しぼうしゅ",adipoma,0
"脂肪計,しぼうけい",adipometer,0
"脂肪壊死,しぼうえし",adiponecrosis,0
"脂肪,しぼう",adipose,0
"脂肪体質,しぼうたいしつ",adiposeness,0
"脂肪過多,しぼうかた",adiposis,0
"脂肪症,しぼうしょう",adiposity,0
"脂肪尿,しぼうにょう",adiposuria,0
"審判課,しんぱんか",Adjudication Division,0
"審査員,しんさいん",adjudicator,0
"審判者,しんぱんもの",adjudicator,0
"修正,しゅうせい",adjustment,0
"市町村課,しちょうそんか",Administration Improvement Division,0
"庶務課,しょむか",Administrative Affairs Division,0
"称賛に値すること,しょうさんにあたいすること",admirableness,0
"司令長官,しれいちょうかん",admiral,0
"将官,しょうかん",admiral,0
"称賛,しょうさん",admiration,6
"称賛の的,しょうさんのてき",admiration,6
"称賛者,しょうさんもの",admirer,0
"承認,しょうにん",admission,4
"収斂,しゅうれん",adstriction,0
"収斂薬,しゅうれんくすり",adstringentia,0
"進歩,しんぽ",advance,0
"昇進,しょうしん",advance,0
"進歩,しんぽ",advancement,0
"出世,しゅっせ",advancement,0
"昇進,しょうしん",advancement,0
"出現,しゅつげん",advent,0
"詳細広告,しょうさいこうこく",advermation,0
"社団法人農村環境整備センター,しゃだんほうじんのうそんかんきょうせいびせんたー",Advice Center for Rural Environment Support,0
"指導教師,しどうきょうし",adviser,3
"司法修習運営諮問委員会,しほうおさむしゅううんえいしもんいいんかい",Advisory Committee on Administration of Legal Training for Judicial Apprentice,0
"社会保障制度審議会,しゃかいほしょうせいどしんぎかい",Advisory Council on Social Security,0
"身体障害者福祉審議会,しんたいしょうがいしゃふくししんぎかい",Advisory Council on Welfare of the Physically Handicapped People,0
"司法制度改革審議会,しほうせいどかいかくしんぎかい",Advisory Panel for Reforming the Judicial System,0
"支援運動,しえんうんどう",advocacy,0
"支持者,しじしゃ",advocate,6
"唱道者,しょうみちもの",advocate,6
"主唱者,しゅしょうもの",advocator,0
"小建造物,しょうけんぞうぶつ",aedicula,0
"小建造物,しょうけんぞうぶつ",aedicule,0
"潮津波,しおつなみ",aegir,0
"支援,しえん",aegis,0
"心臓内空気搬入,しんぞうないくうきはんにゅう",aerendocardia,0
