meanings,word,score
"11月,じゅういちがつ",Ab,0
"人工流産,じんこうりゅうざん",abactio,0
"地獄,じごく",Abaddon,0
"自暴自棄,じぼうじき",abandon,6
"自由奔放,じゆうほんぽう",abandon,6
"自暴自棄,じぼうじき",abandonment,0
"自己卑下,じこひげ",abasement,0
"常軌こと,じょうきこと",aberration,0
"順守,じゅんしゅ",abidance,0
"侍女,じじょ",abigail,0
"実力主義,じつりょくしゅぎ",ability-ism,0
"自制,じせい",abnegation,0
"住居,じゅうきょ",abode,0
"住所,じゅうしょ",abode,0
"人工中絶薬,じんこうちゅうぜつくすり",aborticide,0
"上記のこと,じょうきのこと",above,2
"上層部,じょうそうぶ",above,2
"常習的欠勤,じょうしゅうてきけっきん",absenteeism,0
"常習的欠席,じょうしゅうてきけっせき",absenteeism,0
"常習欠勤,じょうしゅうけっきん",absenteeism-proneness,0
"ジ・アブソルート・サウンド,じ・あぶそるーと・さうんど",Absolute Sound,0
"自制主義,じせいしゅぎ",abstentionism,0
"自制主義者,じせいしゅぎしゃ",abstentionist,0
"自制,じせい",abstinence,7
"上の空,じょうのそら",abstractedness,0
"自慰,じい",abuse,0
"純理論的な思想,じゅんりろんてきなしそう",academicism,0
"純理論的な思想,じゅんりろんてきなしそう",academism,0
"塾,じゅく",academy,0
"受容性,じゅようせい",acceptability,0
"受諾,じゅだく",acceptance,0
"受納,じゅのう",acceptance,0
"受容,じゅよう",acceptance,0
"受諾者,じゅだくもの",acceptant,0
"従順さ,じゅうじゅんさ",acceptingness,0
"受容体,じゅようたい",acceptor,0
"受容器,じゅようき",acceptor,0
"従犯者,じゅうはんもの",accessory,0
"事故,じこ",accident,4
"事故対策室,じこたいさくしつ",Accidents Response Office,0
"順応,じゅんのう",acclimation,0
"順化,じゅんか",acclimation,0
"順応,じゅんのう",acclimatization,0
"順化,じゅんか",acclimatization,0
"順応,じゅんのう",accommodation,5
"従犯者,じゅうはんもの",accomplice,0
"成就,じょうじゅ",accomplishment,6
"授与,じゅよ",accordance,0
"助産師,じょさんし",accoucheuse,0
"重要性,じゅうようせい",account,0
"順応,じゅんのう",accustomization,0
"地獄の英雄,じごくのえいゆう",Ace in the Hole,0
"ジム・キャリーのエースにおまかせ！,じむ・きゃりーのえーすにおまかせ！",Ace Ventura When Nature Calls,0
"弱酸性,じゃくさんせい",acescence,0
"地獄,じごく",Acheron,0
"侍者,じしゃ",acolyte,0
"地所,じしょ",acreage,0
"上層方言,じょうそうほうげん",acrolect,0
"自記日射計記録,じきにっしゃけいきろく",actinogram,0
"自記日射計,じきにっしゃけい",actinograph,0
"軸足虫,じくあしむし",actinopod,0
"条鰭亜綱,じょうひれあこう",Actinopteri,0
"条鰭亜綱,じょうひれあこう",Actinopterygii,0
"自信行動家,じしんこうどういえ",actionaire,0
"実践主義者,じっせんしゅぎしゃ",activist,0
"女優,じょゆう",actress,0
"実費用,じっぴよう",actual,0
"実際,じっさい",actual,0
"時事ニュース,じじにゅーす",actualite,0
"実在,じつざい",actuality,0
"実状,じつじょう",actuality,0
"実現化,じつげんか",actualization,0
"順応性,じゅんおうせい",adaptability,0
"順応,じゅんのう",adaptation,7
"順応,じゅんのう",adaptedness,0
"順応性,じゅんおうせい",adaptiveness,0
"順応曲線,じゅんのうきょくせん",adaptogram,0
"順応計,じゅんのうけい",adaptometer,0
"次元がいっぱい,じげんがいっぱい",Adding a Dimension,0
"住所,じゅうしょ",address,6
