meanings,word,score
"滑りやすいもの,すべりやすいもの",abhesive,0
"擦り傷,すりきず",abrasio,0
"すり減り,すりへり",abrasion,0
"擦り傷,すりきず",abrasion,0
"スクープ／悪意の不在,すくーぷ／あくいのふざい",Absence of Malice,0
"吸い込み,すいこみ",absorption,0
"スター教授,すたーきょうじゅ",academonstar,0
"素直さ,すなおさ",acceptingness,0
"酸っぱさ,すっぱさ",acerbity,0
"スカイエース,すかいえーす",Aces High,0
"酢化,すか",acetification,0
"酢,す",acetum,0
"酢化機,すかき",acetylator,0
"錐輝石,すいてるいし",acmite,0
"膵臓ホルモン,すいぞうほるもん",acomatol,0
"筋の展開,すじのてんかい",action,0
"数理課,すうりか",Actuarial Affairs Division,0
"鋭さ,するどさ",acuity,0
"鋭くすること,するどくすること",acumination,0
"鋭さ,するどさ",acuteness,0
"水平な坑道,すいへいなこうどう",adit,0
"崇拝者,すうはいもの",admirer,0
"崇敬,すうたかし",adoration,0
"崇拝者,すうはいもの",adorer,0
"推奨度,すいしょうど",advisability,0
"筋無力症,すじむりょくしょう",adynamia,0
"スキャンダル,すきゃんだる",affair,0
"するべきこと,するべきこと",affair,0
"スケジュール,すけじゅーる",agenda,0
"スパイ,すぱい",agent,0
"スピリチュアルな成長の助け,すぴりちゅあるなせいちょうのたすけ",aid in spiritual growth,0
"すっぱい,すっぱい",aigre,0
"スパタ岬,すぱたみさき",Akra Spatha,0
"素早さ,すばやさ",alacrity,0
"スコットランドの王国,すこっとらんどのおうこく",Albyn,0
"全て,すべて",all,1
"全て王の臣,すべておうのしん",All the King's Men,0
"全ての美しい馬,すべてのうつくしいうま",All the Pretty Horses,0
"全て悲しき若者たち,すべてかなしきわかものたち",All the Sad Young Men,0
"スパイダー,すぱいだー",Along Came A Spider,0
"寸法直し,すんぽうなおし",alteration,0
"裾上げ,すそあげ",alteration,0
"水銀合金,すいぎんごうきん",amalgam,7
"スポーツ医学会,すぽーついがくかい",American College of Sports Medicine,0
"砂浴療法,すなよくりょうほう",ammotherapy,0
"水陸両用飛行機,すいりくりょうようひこうき",amphibian,0
"水陸両用車,すいりくりょうようくるま",amphibian,0
"水陸両用軍団,すいりくりょうようぐんだん",Amphibious Corps,0
"水陸両用自動車,すいりくりょうようじどうしゃ",amphicar,0
"水陸両用トラクタ,すいりくりょうようとらくた",amtrac,0
"筋覚消失,すじかくしょうしつ",amyoesthesia,0
"筋覚消失,すじかくしょうしつ",amyoesthesis,0
"筋形成不全,すじけいせいふぜん",amyoplasia,0
"筋,すじ",amyostasia,0
"筋,すじ",amyostasis,0
"筋無力,すじむりょく",amyosthenia,0
"筋性運動失調,すじせいうんどうしっちょう",amyotaxia,0
"筋性運動失調,すじせいうんどうしっちょう",amyotaxy,0
"筋無緊張,すじむきんちょう",amyotonia,0
"筋萎縮,すじいしゅく",amyotrophia,0
"筋萎縮,すじいしゅく",amyotrophy,0
"推論,すいろん",analogism,0
"スクリーミング／夜歩く手首,すくりーみんぐ／よあるくてくび",And Now the Screaming Stars,0
"隅,すみ",angle,0
"推進者,すいしんしゃ",animateur,0
"素性,すじょう",antecedent,0
"炭疽病,すみそびょう",anthracnose,0
"炭珪肺症,すみけいはいしょう",anthracosilicosis,0
"炭粉沈着,すみこなちんちゃく",anthracosis,0
"炭疽,すみそ",anthrax,0
"炭疽菌,すみそきん",anthrax,0
"炭疽病,すみそびょう",anthrax,0
"炭木炭,すみもくたん",anthraxylon,0
"スプリングボック属,すぷりんぐぼっくぞく",Antidorcas,0
"スモッグ防止論者,すもっぐぼうしろんしゃ",antismogger,0
"隙間,すきま",aperture,0
"すぐに使えるソフト,すぐにつかえるそふと",app-on-tap,0
"姿を見せること,すがたをみせること",apparition,0
"姿,すがた",apparition,0
"垂,すい",appendicis,0
"スキー後の集い,すきーのちのつどい",apres-ski,0
"水管,すいかん",aqeduct,0
"水溶液,すいようえき",aqua,0
"水上ショー,すいじょうしょー",aquacade,0
"水産養殖,すいさんようしょく",aquaculture,0
"水中運動,すいちゅううんどう",aquakinetics,0
"水分計,すいぶんけい",aquameter,0
"水上スキー用の板,すいじょうすきーようのいた",aquaplane,0
"水彩画,すいさいが",aquarelle,0
"水溶性樹脂,すいようせいじゅし",aquaresin,0
"水利尿薬,すいりにょうくすり",aquaretics,0
"水生生物学者,すいせいせいぶつがくしゃ",aquarist,0
"水槽,すいそう",aquarium,3
"水族館,すいぞくかん",aquarium,3
"水中エアロビクス,すいちゅうえあろびくす",aquarobics,0
"水上ショー,すいじょうしょー",aquashow,0
"水生植物,すいせいしょくぶつ",aquatic,0
"水中競技,すいちゅうきょうぎ",aquatic,0
"水道橋,すいどうばし",aqueduct,0
"水管,すいかん",aqueduct,0
