meanings,word,score
"頭蓋骨円形穿孔器,ずがいこつえんけいせんこううつわ",abaptiston,0
"随伴,ずいはん",accompaniment,0
"随伴行列,ずいはんぎょうれつ",adjoint,0
"随伴行列,ずいはんぎょうれつ",adjugate,0
"ズクヨタカ科,ずくよたかか",Aegothelidae,0
"ズバイル,ずばいる",Al Zubayr,0
"頭痛学会,ずつうがっかい",American Headache Society,0
"髄鞘消失,ずいさやしょうしつ",amyelination,0
"頭痛の種,ずつうのたね",annoyance,0
"図案,ずあん",architectonics,0
"ずるさ,ずるさ",art,0
"ずる賢さ,ずるさかさ",art,0
"図柄,ずがら",artwork,0
"ずうずうしさ,ずうずうしさ",assumption,6
"随行員,ずいこういん",attache,0
"随意運動,ずいいうんどう",autokinesia,0
"随意運動,ずいいうんどう",autokinesis,0
"ズバイル,ずばいる",Az Zubayr,0
"ずうずうしさ,ずうずうしさ",bardiness,0
"ずぶとさ,ずぶとさ",bardiness,0
"頭蓋底,ずがいそこ",basicranium,0
"ズボンの上にモッコリ見える男性器,ずぼんのじょうにもっこりみえるだんせいうつわ",basket,0
"ズルカマラ,ずるかまら",bittersweet,0
"ズグロアメリカムシクイ,ずぐろあめりかむしくい",black-poll,0
"ズグロムシクイ,ずぐろむしくい",blackcap,0
"ズキンアザラシ,ずきんあざらし",bladdernose,0
"随行員,ずいこういん",bodyguard,0
"ズボン,ずぼん",bottom,0
"ズボンを膝の下でくくるひも,ずぼんをひざのしたでくくるひも",bowyang,0
"頭脳,ずのう",brain,0
"頭脳流出,ずのうりゅうしゅつ",brain drain,0
"頭脳流入,ずのうりゅうにゅう",brain gain,0
"頭蓋,ずがい",brainpan,0
"頭脳集団,ずのうしゅうだん",brainpower,0
"頭脳労働,ずのうろうどう",brainwork,0
"頭脳労働者,ずのうろうどうしゃ",brainworker,0
"ずうずうしさ,ずうずうしさ",brashness,0
"ずうずうしさ,ずうずうしさ",brass,0
"ズボン,ずぼん",breeches,0
"ズボン,ずぼん",breeks,0
"ズボン,ずぼん",britches,0
