meanings,word,score
"精神障害,せいしんしょうがい",abalienation,0
"聖職者,せいしょくしゃ",abbe,0
"先住民族,せんじゅうみんぞく",abbo,0
"扇動,せんどう",abetment,0
"扇動,せんどう",abetting,0
"生命力の欠如,せいめいりょくのけつじょ",abiosis,0
"切除,せつじょ",ablatio,0
"切除,せつじょ",ablation,0
"洗剤,せんざい",abluent,0
"洗浄すること,せんじょうすること",ablution,0
"洗浄強迫,せんじょうきょうはく",ablutomania,0
"洗浄恐怖,せんじょうきょうふ",ablutophobia,0
"先住民族,せんじゅうみんぞく",abo,0
"接舷,せつげん",aboardage,0
"堰,せき",aboideau,0
"先住民,せんじゅうみん",aboriginal,0
"先住民族,せんじゅうみんぞく",aborigine,0
"節制する人,せっせいするにん",abstainer,0
"節度,せつど",abstemiousness,0
"節制,せっせい",abstemiousness,0
"節制,せっせい",abstention,0
"洗浄剤,せんじょうざい",abstergent,0
"洗浄,せんじょう",abstersion,0
"節制,せっせい",abstinence,7
"窃取,せつしゅ",abstraction,0
"専門学校,せんもんがっこう",academy,0
"静坐不能,せいざふのう",acathisia,0
"染色強化剤,せんしょくきょうかざい",accentuator,0
"接近,せっきん",access,0
"接近手段,せっきんしゅだん",access,0
"接近,せっきん",accession,0
"成果,せいか",accomplishment,6
"説明,せつめい",account,0
"説明責任,せつめいせきにん",accountability,0
"成績責任,せいせきせきにん",accountability,0
"積算器,せきさんうつわ",accumulator,0
"正確さ,せいかくさ",accuracy,0
"精密さ,せいみつさ",accuracy,0
"精確さ,せいかくさ",accuracy,0
"精度,せいど",accuracy,0
"セルロース・アセテート,せるろーす・あせてーと",acetylcellulose,0
"切望,せつぼう",ache,0
"成果,せいか",achievement,6
"成績,せいせき",achievement,6
"腺房,せんぼう",acino,0
"腺房,せんぼう",acinus,0
"選手獲得,せんしゅかくとく",acquisition,5
"責任解除,せきにんかいじょ",acquittal,0
"尖頭症,せんあたましょう",acrocephalia,0
"尖頭多合指,せんあたまたごうゆび",acrocephalopolysyndactylia,0
"尖頭多合指,せんあたまたごうゆび",acrocephalopolysyndactyly,0
"尖頭合指,せんあたまごうゆび",acrocephalosyndactylia,0
"尖頭合指症,せんあたまごうゆびしょう",acrocephalosyndactylism,0
"尖頭合指症,せんあたまごうゆびしょう",acrocephalosyndactyly,0
"尖頭症,せんあたましょう",acrocephaly,0
"先端骨形成不全,せんたんほねけいせいふぜん",acrodysostosis,0
"先端巨大症,せんたんきょだいしょう",acromegaly,0
"先端病理学,せんたんびょうりがく",acropathology,0
"尖頭合指症,せんあたまごうゆびしょう",acrosphenosyndactyly,0
"先端汗腺腫,せんたんかんせんしゅ",acrospiroma,0
"先端合指,せんたんごうゆび",acrosyndactylia,0
"先端合指,せんたんごうゆび",acrosyndactyly,0
"戦闘,せんとう",action,0
"生理的作用,せいりてきさよう",action,0
"積極性,せっきょくせい",activeness,0
"積極的行動,せっきょくてきこうどう",activism,0
"尖鋭度,せんえいど",acutance,0
"宣伝,せんでん",ad,0
"腺痛,せんつう",adenalgia,0
"腺摘出,せんてきしゅつ",adenectomy,0
"腺転位,せんてんい",adenectopia,0
"腺閉塞,せんへいそく",adenemphraxis,0
"腺炎,せんほのお",adenitis,0
"腺化,せんか",adenization,0
