meanings,word,score
"全称肯定命題,ぜんしょうこうていめいだい",A-proposition,0
"絶対アンペア,ぜったいあんぺあ",abampere,0
"絶対クーロン,ぜったいくーろん",abcoulomb,0
"全廃,ぜんぱい",abolition,0
"絶食,ぜっしょく",abrosia,0
"絶対的なもの,ぜったいてきなもの",absolute,6
"絶対的存在,ぜったいてきそんざい",absolute,6
"絶対性,ぜったいせい",absoluteness,0
"絶対であること,ぜったいであること",absoluteness,0
"絶対主義,ぜったいしゅぎ",absolutism,0
"絶対主義者,ぜったいしゅぎしゃ",absolutist,0
"絶対格,ぜったいかく",absolutive,0
"絶対化,ぜったいか",absolutization,0
"絶対視,ぜったいし",absolutization,0
"絶対ボルト,ぜったいぼると",abvolt,0
"絶対ワット,ぜったいわっと",abwatt,0
"絶賛,ぜっさん",acclaim,0
"絶賛,ぜっさん",accolade,0
"漸次増大,ぜんじぞうだい",accrescence,0
"全紋章,ぜんもんしょう",achievement,6
"全色覚異常者,ぜんしきかくいじょうしゃ",achromat,0
"全色覚異常者,ぜんしきかくいじょうしゃ",achromate,0
"全色覚異常,ぜんしきかくいじょう",achromatopia,0
"絶頂,ぜっちょう",acme,0
"全色覚異常,ぜんしきかくいじょう",acritochromacy,0
"前進,ぜんしん",advance,0
"前進,ぜんしん",advancement,0
"前進する人,ぜんしんするにん",advancer,0
"税務諮問委員会,ぜいむしもんいいんかい",Advisory Tax Board,0
"前述の事柄,ぜんじゅつのことがら",aforementioned,0
"善霊,ぜんれい",agathodemon,0
"絶対に笑わない人,ぜったいにわらわないにん",agelast,0
"全部,ぜんぶ",all,1
"全米花卉審議会,ぜんべいはなきしんぎかい",All America Selections,0
"全アッサム学生連合,ぜんあっさむがくせいれんごう",All Assam Students Union,0
"全ビルマ学生連盟,ぜんびるまがくせいれんめい",All Burma Federation of Student Unions,0
"全インド経営管理協会,ぜんいんどけいえいかんりきょうかい",All India Management Association,0
"全インドシーク教徒学生連盟,ぜんいんどしーくきょうとがくせいれんめい",All India Sikh Students Federation,0
"全インド労働組合会議,ぜんいんどろうどうくみあいかいぎ",All India Trade Union Congress,0
"全日本アコーディオン連盟,ぜんにほんあこーでぃおんれんめい",All Japan Accordion League,0
"全航連,ぜんこうれん",All Japan Air Transport and Service Association,0
"全日本難聴者・中途失聴者団体連合会,ぜんにほんなんちょうしゃ・ちゅうとしつちょうしゃだんたいれんごうかい",All Japan Association for Hard of Hearing People,0
"全国自動車交通労働組合総連合会,ぜんこくじどうしゃこうつうろうどうくみあいそうれんごうかい",All Japan Automobile Transport Workers' Unions,0
"全日本ボクシング協会,ぜんにほんぼくしんぐきょうかい",All Japan Boxing Association,0
"全日本実業団自転車競技連盟,ぜんにほんじつぎょうだんじてんしゃきょうぎれんめい",All Japan Businessman Cycling Federation,0
"全国化学労働組合協議会,ぜんこくかがくろうどうくみあいきょうぎかい",All Japan Chemistry Workers' Union,0
"全日本洋菓子工業会,ぜんにほんようがしこうぎょうかい",All Japan Confectionery Association,0
"全国原子力発電所所在市町村協議会,ぜんこくげんしりょくはつでんしょしょざいしちょうそんきょうぎかい",All Japan Council of Local Governments with Atomic Power Stations,0
"全原協,ぜんはらきょう",All Japan Council of Local Governments with Atomic Power Stations,0
"全日本光学工業労働組合協議会,ぜんにほんこうがくこうぎょうろうどうくみあいきょうぎかい",All Japan Council of Optical Industry Workers' Union,0
"全日本港湾労働組合,ぜんにほんこうわんろうどうくみあい",All Japan Dockworkers' Union,0
"全港湾,ぜんこうわん",All Japan Dockworkers' Union,0
"全薬協,ぜんくすりきょう",All Japan Druggist Association,0
"全日本電線工業労働組合,ぜんにほんでんせんこうぎょうろうどうくみあい",All Japan Electric Wire Labor Union,0
"全電線,ぜんでんせん",All Japan Electric Wire Labor Union,0
"全日通労働組合,ぜんじつとおりろうどうくみあい",All Japan Express Workers' Union,0
"全日通,ぜんじつとおり",All Japan Express Workers' Union,0
"全日本ホテル労働組合連合会,ぜんにほんほてるろうどうくみあいれんごうかい",All Japan Federation of Hotel Workers' Unions,0
"全保連,ぜんほれん",All Japan Federation of Municipal Health Centers,0
"全日本印刷工業組合連合会,ぜんにほんいんさつこうぎょうくみあいれんごうかい",All Japan Federation of Printing Industry Associations,0
"全印工連,ぜんいんこうれん",All Japan Federation of Printing Industry Associations,0
"全社連,ぜんしゃれん",All Japan Federation of Social Insurance Associations,0
"全日本運輸産業労働組合連合会,ぜんにほんうんゆさんぎょうろうどうくみあいれんごうかい",All Japan Federation of Transport Workers' Unions,0
"全国銀行員組合連合会議,ぜんこくぎんこういんくみあいれんごうかいぎ",All Japan Federative Council of Mutual Bank Labors' Unions,0
"全銀連合,ぜんぎんれんごう",All Japan Federative Council of Mutual Bank Labors' Unions,0
"全駐留軍労働組合,ぜんちゅうりゅうぐんろうどうくみあい",All Japan Garrison Forces Labor Union,0
"全駐労,ぜんちゅうろう",All Japan Garrison Forces Labor Union,0
"全国地理教育研究会,ぜんこくちりきょういくけんきゅうかい",All Japan Geography Teachers' Association,0
"全国穀物取引所連合会,ぜんこくこくもつとりひきじょれんごうかい",All Japan Grain Exchange Association,0
"全日本盲導犬使用者の会,ぜんにほんもうどうけんしようしゃのかい",All Japan Guide Dog Users Association,0
"全日本ハーモニカ連盟,ぜんにほんはーもにかれんめい",All Japan Harmonica Federation,0
"全日病,ぜんじつびょう",All Japan Hospital Association,0
"全日本インラインスケート協会,ぜんにほんいんらいんすけーときょうかい",All Japan In-lineskate Association,0
"全柔連,ぜんじゅうれん",All Japan Judo Federation,0
"全日本キックボクシング連盟,ぜんにほんきっくぼくしんぐれんめい",All Japan Kickboxing Federation,0
"全国小売酒販組合中央会,ぜんこくこうりさけはんくみあいちゅうおうかい",All Japan Liquor Merchants Association,0
"全酒販,ぜんさけはん",All Japan Liquor Merchants Association,0
"全国酒販協同組合連合会,ぜんこくさけはんきょうどうくみあいれんごうかい",All Japan Liquor Merchants Cooperative Association,0
"全酒協,ぜんさけきょう",All Japan Liquor Merchants Cooperative Association,0
"全日本マーチングバンド・バトントワリング連盟,ぜんにほんまーちんぐばんど・ばとんとわりんぐれんめい",All Japan Marching Band & Baton Twirling Association,0
"全日本金属情報機器労働組合,ぜんにほんきんぞくじょうほうききろうどうくみあい",All Japan Metal and Information Machinery Workers' Union,0
"全日本錦鯉振興会,ぜんにほんにしきこいしんこうかい",All Japan Nishikigoi Promotion Association,0
"全日本損害保険労働組合,ぜんにほんそんがいほけんろうどうくみあい",All Japan Non-Life Insurance Labor Union,0
"全損保,ぜんそんほ",All Japan Non-Life Insurance Labor Union,0
"全日本郵政労働組合,ぜんにほんゆうせいろうどうくみあい",All Japan Postal Labor Union,0
"全郵政,ぜんゆうせい",All Japan Postal Labor Union,0
"全日本自治団体労働組合,ぜんにほんじちだんたいろうどうくみあい",All Japan Prefectural and Municipal Workers' Union,0
"全国競走労働組合,ぜんこくきょうそうろうどうくみあい",All Japan Racing Place Workers' Unions,0
"全競労,ぜんきょうろう",All Japan Racing Place Workers' Unions,0
"全日本CM協議会,ぜんにほんしーえむきょうぎかい",All Japan Radio & TV Commercial Council,0
"ゼンニチ,ぜんにち",All Japan Real Estate Federation,0
"全日本海員組合,ぜんにほんかいいんくみあい",All Japan Seamen's Union,0
"全日本少林寺気功協会,ぜんにほんしょうりんじきこうきょうかい",All Japan Shaolin Temple Qigong Association,0
"全日本造船機械労働組合,ぜんにほんぞうせんきかいろうどうくみあい",All Japan Shipbuilding and Engineering Union,0
"全造船機械,ぜんぞうせんきかい",All Japan Shipbuilding and Engineering Union,0
"全日本海運労働組合連合会,ぜんにほんかいうんろうどうくみあいれんごうかい",All Japan Shipping Labours Union,0
"全海連,ぜんうみれん",All Japan Shipping Labours Union,0
"全日本教職員組合,ぜんにほんきょうしょくいんくみあい",All Japan Teachers and Staff Union,0
"全教,ぜんきょう",All Japan Teachers and Staff Union,0
"全日本運輸一般労働組合,ぜんにほんうんゆいっぱんろうどうくみあい",All Japan Transport and General Workers' Union,0
"全日本獣医師協同組合,ぜんにほんじゅういしきょうどうくみあい",All Japan Veterinary Co-operative,0
"全日本貧乏協議会,ぜんにほんびんぼうきょうぎかい",All Japanese poor conferences,0
"全造幣,ぜんぞうへい",All Mint Labor Union,0
