meanings,word,score
"相当数,そうとうすう",a fair few,0
"総覧,そうらん",A-Z,0
"そろばんのうまい人,そろばんのうまいにん",abacist,0
"そろばん,そろばん",abacus,0
"算盤,そろばん",abacus,0
"底なし穴の天使,そこなしあなのてんし",Abaddon,0
"底なし穴,そこなしあな",Abaddon,0
"相対性理論入門,そうたいせいりろんにゅうもん",ABC of Relativity,0
"外転神経,そとてんしんけい",abducens,0
"外転,そとてん",abduction,0
"外転筋,そとてんすじ",abductor,0
"掻爬,そうは",abrasion,0
"存在度,そんざいど",abundance,0
"底知れぬ深い穴,そこしれぬふかいあな",abyss,0
"総合歯科学会,そうごうしかがっかい",Academy of General Dentistry,0
"即位,そくい",accedence,0
"促進する人,そくしんするにん",accelerator,0
"促進因子,そくしんいんし",accelerator,0
"促進剤,そくしんざい",accelerator,0
"即位,そくい",accession,0
"装飾品,そうしょくひん",accessory,0
"装身具,そうしんぐ",accessory,0
"装備品,そうびひん",accessory,0
"装具,そうぐ",accouterment,0
"装飾,そうしょく",accouterment,0
"痩果,そうか",achene,0
"騒音測定器,そうおんそくていうつわ",acoustimeter,0
"創造活動の理論,そうぞうかつどうのりろん",Act of Creation,0
"訴訟,そしょう",action,0
"その場しのぎ,そのばしのぎ",ad hocery,0
"即興演奏,そっきょうえんそう",ad lib,0
"その場しのぎ,そのばしのぎ",ad-hocism,0
"相加性,そうかせい",additivity,0
"総督,そうとく",adelantado,0
"双器綱,そううつわつな",adenophorasida,0
"双器綱,そううつわつな",Adenophorasida,0
"双器綱,そううつわつな",Adenophorea,0
"測定,そくてい",admeasurement,0
"総務部,そうむぶ",Administration Department,0
"総務課,そうむか",Administration Division,0
"総務省行政相談室,そうむしょうぎょうせいそうだんしつ",Administrative Counseling Office,0
"総務省情報公開閲覧室,そうむしょうじょうほうこうかいえつらんしつ",Administrative Information Disclosure Room,0
"騒動,そうどう",ado,0
"装飾品,そうしょくひん",adornment,0
"粗悪化,そあくか",adulteration,0
"粗悪品を作る人,そあくひんをつくるにん",adulterator,0
"早熟化,そうじゅくか",adultification,0
"走行支援道路システム開発機構,そうこうしえんどうろしすてむかいはつきこう",Advanced Cruise-Assist Highway System Research Association,0
"外膜,そとまく",adventitia,0
"相場師,そうばし",adventurer,0
"相談,そうだん",advisement,0
"相談相手,そうだんあいて",adviser,3
"相談役,そうだんやく",adviser,3
"総合エネルギー調査会,そうごうえねるぎーちょうさかい",Advisory Committee for Energy,0
"総合資源エネルギー調査会,そうごうしげんえねるぎーちょうさかい",Advisory Committee on Energy and Natural Resources,0
"挿入器,そうにゅううつわ",aedeagus,0
"挿入器,そうにゅううつわ",aedoeagus,0
"空雷,そらかみなり",aerobomb,0
"空胞,そらほう",aerocyst,0
"空を愛する人,そらをあいするにん",aerophile,0
"走気性,そうきしょう",aerotaxis,0
"装置,そうち",affair,0
"騒動,そうどう",affray,0
"騒々しい口論,そうぞうしいこうろん",affray,0
"騒動を起こす人,そうどうをおこすにん",affrayer,0
"葬儀を終えて,そうぎをおえて",After the Funeral,0
"その後の歳月,そののちのさいげつ",afteryears,0
"底意,そこい",agenda,0
"双潮,そうしお",agger,0
"速話症,そくはなししょう",agitophasia,0
"添え名,そえめい",agnomen,0
"装飾音,そうしょくおん",agrement,0
"躁狂,そうきょう",agriothymia,0
"素材失認,そざいしつにん",ahylognosia,0
"側近,そっきん",aide,0
"空,そら",air,0
"空の旅,そらのたび",air,0
"そよ風,そよかぜ",air,0
"送気管,そうきかん",airline,0
"空整協,そらせいきょう",Airport Environment Improvement Foundation,0
"曹長石,そうちょういし",albite,0
"曹長岩,そうちょういわ",albitite,0
"曹長石化作用,そうちょうせきかさよう",albitization,0
"曹長斑岩,そうちょうはんいわ",albitophyre,0
"ソトイワシ目,そといわしめ",Albuliformes,0
"添え柱,そえはしら",alette,0
"その男ソルバ,そのおとこそるば",Alexis Zorbas,0
"藻類培養,そうるいばいよう",algaculture,0
"藻類学者,そうるいがくしゃ",algologist,0
"藻類学,そうるいがく",algology,0
"疎外感,そがいかん",alienation,0
"疎遠,そえん",alienation,0
"疎外,そがい",alienation,0
"相互触媒,そうごしょくばい",allelocatalysis,0
"相対成長,そうたいせいちょう",allometry,0
"総模様の,そうもようの",allover,0
"卒業生,そつぎょうせい",alum,0
"卒業生,そつぎょうせい",alumnus,0
"そしゃく不能,そしゃくふのう",amasesis,0
"総計,そうけい",amount,5
"総量,そうりょう",amount,5
"総額,そうがく",amount,5
"双神経綱,そうしんけいつな",Amphineura,0
"双口吸虫,そうくちきゅうむし",amphistome,0
"蘇生,そせい",anabiosis,0
"相似器官,そうじきかん",analog,0
"相似,そうじ",analogy,0
"組織,そしき",anatomy,0
"祖先,そせん",ancestor,4
"祖霊崇拝,それいすうはい",ancestor-worshipping,0
"祖先,そせん",ancestry,0
"総合司会者,そうごうしかいもの",anchorman,0
"総合司会者,そうごうしかいもの",anchorpeople,0
"総合司会者,そうごうしかいもの",anchorperson,0
"そして赤ん坊が落ちる,そしてあかんぼうがおちる",And Baby Will Fall,0
"そして誰もいなくなった,そしてだれもいなくなった",And Then There Were None,0
"測風学,そくかぜがく",anemometry,0
"走風性,そうかぜせい",anemotaxis,0
"疎外感,そがいかん",anomie,0
"卒中治療薬,そっちゅうちりょうやく",antapoplectic,0
"外典,そとてん",apocrypha,0
"底なし穴の天使,そこなしあなのてんし",Apollyon,0
"ソクラテスの弁明,そくらてすのべんめい",Apology of Socrates,0
"卒中,そっちゅう",apoplexia,0
"卒中,そっちゅう",apoplexy,0
"装置,そうち",apparatus,0
"組織,そしき",apparatus,0
"装飾,そうしょく",apparel,0
"訴求力,そきゅうりょく",appeal,0
"添え物,そえもの",appendage,0
"装備,そうび",appointment,4
"装置,そうち",appurtenance,0
"装備,そうび",appurtenance,0
"送水路,そうすいみち",aqueduct,0
"疎柱式,そはしらしき",araeostyle,0
"装飾アーケード,そうしょくあーけーど",arcature,0
"祖竜,そりゅう",archosaur,0
"疎柱式,そはしらしき",areostyle,0
"粗酒石,そしゅせき",argol,0
"袖,そで",arm,2
"装備一式,そうびいっしき",armamentarium,0
"袖ぐり,そでぐり",armhole,0
"装甲,そうこう",armor,0
"装甲車両,そうこうしゃりょう",armor,0
"阻止,そし",arrestation,0
"底意,そこい",arriere-pensee,0
"尊大さ,そんだいさ",arrogance,0
"孫子,そんし",Art of War,0
"即位,そくい",ascension,0
"僧院,そういん",ashram,0
"挿話,そうわ",aside,0
"側面,そくめん",aspect,5
"尊厳死のための協会,そんげんしのためのきょうかい",Association for Dignified Mental Death,0
"損害調査・保障会社協会,そんがいちょうさ・ほしょうかいしゃきょうかい",Association of Casualty and Surety Companies,0
"想定,そうてい",assumption,6
"束縛,そくばく",astriction,0
"空電,そらでん",atmospherics,0
"空電学,そらでんがく",atmospherics,0
"空電,そらでん",atomspherics,0
"尊大,そんだい",audacity,0
"送信,そうしん",audio,6
"創造者,そうぞうしゃ",author,4
"即興もの,そっきょうもの",autoschediasm,0
"創縁更生切除,そうへりこうせいせつじょ",avivement,0
"ソリハシセイタカシギ,そりはしせいたかしぎ",avocet,0
"率直に認めること,そっちょくにみとめること",avowal,0
"ソンブレロ岬,そんぶれろみさき",Ayo Sombrero,0
