meanings,word,score
"増加の割合,ぞうかのわりあい",acceleration,0
"増加,ぞうか",accession,0
"増加,ぞうか",accretion,0
"増大,ぞうだい",accretion,0
"増価,ぞうあたい",accretion,0
"増加,ぞうか",accrual,0
"増加分,ぞうかぶん",addition,4
"増築部分,ぞうちくぶぶん",addition,4
"増額,ぞうがく",advance,0
"造林,ぞうりん",afforestation,0
"贈賄,ぞうわい",alyo,0
"増幅,ぞうふく",amplification,0
"増幅／発振,ぞうふく／はっしん",amplification/oscillation,0
"増幅器,ぞうふくき",amplifier,0
"増幅部,ぞうふくぶ",amplifier,0
"増幅プライマー,ぞうふくぷらいまー",amplimer,0
"臓物ソーセージ,ぞうもつそーせーじ",andouille,0
"造血機能障害,ぞうちきのうしょうがい",anhematopoiesis,0
"憎悪,ぞうお",animosity,0
"憎悪,ぞうお",animus,0
"続・赤毛のアン／アンの青春,ぞく・あかげのあん／あんのせいしゅん",Anne of Green Gables 2,0
"造精器,ぞうせいき",antherdium,0
"造精器,ぞうせいき",antheridium,0
"造卵器植物,ぞうたまごうつわしょくぶつ",archegoniate,0
"造卵器,ぞうたまごうつわ",archegonium,0
"造嚢器,ぞうのううつわ",ascogonia,0
"造嚢器,ぞうのううつわ",ascogonium,0
"続・殺しのテクニック／人間標的,ぞく・ころしのてくにっく／にんげんひょうてき",Assassination,0
"造船業基盤整備事業協会,ぞうせんぎょうきばんせいびじぎょうきょうかい",Association for Structural Improvement of the Shipbuilding Industry,0
"属性,ぞくせい",attribute,0
"属性,ぞくせい",attribution,0
"増加,ぞうか",augmentation,0
"増強,ぞうきょう",augmentation,0
"増大,ぞうだい",augmentation,0
"増大,ぞうだい",augmenter,0
"増強因子,ぞうきょういんし",augmenter,0
"増補液,ぞうほえき",augmenter,0
"族長の秋,ぞくちょうのあき",Autumn of the Patriarch,0
"増大胞子,ぞうだいほうし",auxospore,0
"俗物,ぞくぶつ",Babbitt,0
"憎悪,ぞうお",balefulness,0
"増強,ぞうきょう",beef-up,0
"続・猿の惑星,ぞく・さるのわくせい",Beneath The Planet of the Apes,0
"贈与,ぞうよ",bestowal,0
"蔵書癖,ぞうしょくせ",bibliomania,0
"蔵書癖,ぞうしょくせ",bibliophilism,0
"蔵書,ぞうしょ",bibliotheca,0
"ゾウムシ,ぞうむし",billbug,0
"造血,ぞうち",blood-forming,0
"ゾッとする話,ぞっとするはなし",bloodcurdler,0
"造船会社,ぞうせんかいしゃ",boat-builder,0
"象牙,ぞうげ",bone,0
"象牙色,ぞうげしょく",bone,0
"蔵書票,ぞうしょひょう",bookplate,0
"増加,ぞうか",boost,0
"増殖炉,ぞうしょくろ",breeder,0
"増殖炉組合,ぞうしょくろくみあい",Breeder Reactor Corporation,0
"増殖,ぞうしょく",breeding,0
"贈賄者,ぞうわいもの",bribe-giver,0
"贈賄,ぞうわい",bribe-giving,0
"贈賄,ぞうわい",bribery,0
"雑木林,ぞうきばやし",brush,0
"ぞんざいさ,ぞんざいさ",brusqueness,0
"ぞんざいさ,ぞんざいさ",brusquerie,0
"増強,ぞうきょう",buildup,7
"増加,ぞうか",buildup,7
"増加,ぞうか",bump,6
"造幣局,ぞうへいきょく",Bureau of Engraving and Printing,0
"族長,ぞくちょう",caid,0
"増熱剤,ぞうねつざい",carburetant,0
"造果器,ぞうかうつわ",carpogone,0
"造果器,ぞうかうつわ",carpogonium,0
"蔵書目録,ぞうしょもくろく",catalog,0
"族長,ぞくちょう",chief,0
"族長,ぞくちょう",chieftain,0
"増大,ぞうだい",climb,4
"造物主の掟,ぞうぶつしゅのおきて",Code of the Lifemaker,0
"造膣術,ぞうちつじゅつ",colpopoiesis,0
"造船および機械労働組合連盟,ぞうせんおよびきかいろうどうくみあいれんめい",Confederation of Shipbuilding and Engineering Unions,0
"造影剤,ぞうえいざい",contrast,0
"ゾウゲヤシの実,ぞうげやしのみ",corozo,0
"ゾッとする感じ,ぞっとするかんじ",creep,0
"ゾウムシ科,ぞうむしか",Curculionidae,0
"ゾウムシ上科,ぞうむしうえか",Curculionoidea,0
"ぞんざいさ,ぞんざいさ",cursoriness,0
"ゾンビ,ぞんび",Dawn of the Dead (Zombie),0
"象牙の塔の殺人,ぞうげのとうのさつじん",Death Dealers,0
"象牙質,ぞうげしつ",dentin,0
"象牙質,ぞうげしつ",dentine,0
"象牙質様構造物,ぞうげしつさまこうぞうぶつ",dentinoid,0
"象牙質腫,ぞうげしつしゅ",dentinoma,0
"属国,ぞっこく",dependence,4
"属国,ぞっこく",dependency,0
"属領,ぞくりょう",dependency,0
"続脳,ぞくのう",deuterencephalon,0
"続発症,ぞくはつしょう",deuteropathy,0
"続成作用,ぞくせいさよう",diagenesis,0
"造船所,ぞうせんじょ",dockyard,0
"属音,ぞくおと",dominant,5
"贈与者,ぞうよもの",donor,0
"臓器提供者,ぞうきていきょうしゃ",donor,0
"雑巾,ぞうきん",dustcloth,0
"雑巾,ぞうきん",duster,0
"増強,ぞうきょう",dynamization,0
"造血異常,ぞうちいじょう",dyshematopoiesis,0
"ゾー,ぞー",dzho,0
"ゾー,ぞー",dzo,0
"ゾクチェン,ぞくちぇん",Dzogchen,0
"ゾン,ぞん",dzong,0
"ゾンカ語,ぞんかご",Dzongka,0
"俗人,ぞくじん",earthling,0
