meanings,word,score
"単3,たんさん",AA,0
"単4,たんし",AAA,0
"短縮,たんしゅく",abbreviation,0
"短縮する人,たんしゅくするにん",abbreviator,0
"退位者,たいいもの",abdicant,0
"退位,たいい",abdication,0
"退位者,たいいもの",abdicator,0
"滞在,たいざい",abidance,0
"高祖母の姉妹,たかそぼのしまい",abmatertera,0
"滞在,たいざい",abode,0
"多量,たりょう",abundance,0
"大量,たいりょう",abundance,0
"多数,たすう",abundance,0
"態度や言葉が悪いこと,たいどやことばがわるいこと",abusiveness,0
"炭酸欠乏,たんさんけつぼう",acapnia,0
"怠惰,たいだ",accidia,0
"怠惰,たいだ",accidie,0
"タカ目,たかめ",Accipitriformes,0
"貸付金,たいつききん",accommodation,5
"達成した人,たっせいしたにん",accomplisher,0
"達成,たっせい",accomplishment,6
"高い評判,たかいひょうばん",account,0
"ため,ため",account,0
"対格,たいかく",accusative,0
"タッチパネル式の投票マシン,たっちぱねるしきのとうひょうましん",AccuVote-TS,0
"怠惰,たいだ",acedia,0
"体感消失,たいかんしょうしつ",acenesthesia,0
"タナゴ亜科,たなごあか",Acheilognathinae,0
"タナゴ属,たなごぞく",Acheilognathus,0
"達成すること,たっせいすること",achievement,6
"達成度,たっせいど",achievement,6
"達成者,たっせいしゃ",achiever,0
"体感消失,たいかんしょうしつ",acoenaesthesia,0
"退廃,たいはい",acolasia,0
"楽しいこと,たのしいこと",action,0
"隊長,たいちょう",actual,0
"耽溺,たんでき",addiction,0
"足し算,たしざん",addition,4
"態度,たいど",address,6
"多食症,たしょくしょう",adephagia,0
"達人,たつじん",adept,0
"巧みなこと,たくみなこと",adeptness,0
"嘆願,たんがん",adjuration,0
"大衆向け宣伝活動,たいしゅうむけせんでんかつどう",admass,0
"大将,たいしょう",admiral,0
"待降節,たいこうふし",advent,0
"対抗者,たいこうもの",adversary,0
"対戦相手,たいせんあいて",adversary,0
"高いところに作る巣,たかいところにつくるす",aerie,0
"大気界面,たいきかいめん",aeropause,0
"大気圏,たいきけん",aerosphere,0
"耐気,たいき",aerotolerant,0
"耽美主義,たんびしゅぎ",aestheticism,0
"大気計,たいきけい",aethrioscope,0
"闘う人,たたかうにん",agonist,0
"タテガミオオカミ,たてがみおおかみ",agouara,0
"大気,たいき",air,0
"態度,たいど",air,0
"大気環境課,たいきかんきょうか",Air Environment Division,0
"大気汚染防止協会,たいきおせんぼうしきょうかい",Air Pollution Control Association,0
"大気規制課,たいききせいか",Air Pollution Control Division,0
"大気保全局,たいきほぜんきょく",Air Quality Bureau,0
"タンザニア航空,たんざにあこうくう",Air Tanzania,0
"大気光,たいきひかり",airglow,0
"大気中の散乱光,たいきちゅうのさんらんこう",airlight,0
"大気分水界,たいきぶんすいかい",airshed,0
"対気速度,たいきそくど",airspeed,0
"耐空性,たいそらせい",airworthiness,0
"タンパク溶解,たんぱくようかい",albuminolysis,0
"タンパク過剰排せつ,たんぱくかじょうはいせつ",albuminorrhea,0
"タンパク尿,たんぱくにょう",albuminuria,0
"タチアオイ属,たちあおいぞく",Alcea,0
"たばこ,たばこ",alfalfa,0
"多元環,たげんかん",algebra,0
"隊列,たいれつ",alignment,0
"食物,たべもの",aliment,0
"倒れる者全て,たおれるものすべて",All That Fall,0
"たくさんの事柄の同時発生,たくさんのことがらのどうじはっせい",all-at-once-ness,0
"対立遺伝子,たいりついでんし",allele,0
"対立性,たいりつせい",allelism,0
"対立遺伝子,たいりついでんし",allelomorph,0
"対立,たいりつ",allelomorphism,0
"対立形質,たいりつけいしつ",allelotype,0
"大西洋連合軍,たいせいようれんごうぐん",Allied Command Atlantic,0
"多種子植物,たしゅこしょくぶつ",allseed,0
"卓越した人,たくえつしたにん",alp,0
"他者であること,たしゃであること",alterity,0
"高茎草原,たかくきそうげん",altherbosa,0
"平頂山稜,たいらいただきやまりょう",altiplane,0
"高さ,たかさ",altitude,0
"高い地位,たかいちい",altitude,0
"高浮き彫り,たかうきぼり",alto-relievo,0
"高積雲,たかせきうん",altocumulus,0
"タマゴノキ,たまごのき",ambarella,0
"大使,たいし",ambassador,0
"大使,たいし",ambassadorship,0
"大使夫人,たいしふじん",ambassadress,0
"大志,たいし",ambition,0
"ためらい,ためらい",ambivalence,0
"楽しみ,たのしみ",amenity,0
"大西洋のアメリカインディアン,たいせいようのあめりかいんでぃあん",American Indians in the Pacific,0
"タンポン,たんぽん",ammunition,7
"大赦,たいしゃ",amnesty,0
"単位複製配列,たんいふくせいはいれつ",amplicon,0
"楽しんでいる状態,たのしんでいるじょうたい",amusement,4
"楽しみ事,たのしみこと",amusement,4
"楽しみ,たのしみ",amusement,4
"楽しさ,たのしさ",amusement,4
"例え,たとえ",analogy,0
"太平洋型岩石群,たいへいようかたがんせきぐん",anapeirean,0
"短短長格,たんたんちょうかく",anapest,0
"退生,たいなま",anaplasia,0
"退形成,たいけいせい",anaplasia,0
"頼みの綱,たのみのつな",anchor,7
"胆管胆嚢炎,たんかんたんのうほのお",angiocholecystitis,0
"胆管炎,たんかんほのお",angiocholitis,0
"胎盤血管造影,たいばんけっかんぞうえい",angioplacentography,0
"太公望,たいこうぼう",angler,6
"たくらみで目的を達しようとする人,たくらみでもくてきをたっしようとするにん",angler,6
"魂,たましい",anima,0
"タマキノコムシ科,たまきのこむしか",Anisotomidae,0
"対策,たいさく",answer,2
"対処法,たいしょほう",answer,2
"対立,たいりつ",antagonism,0
"太陽背点,たいようせてん",antapex,0
"炭酸ガス測定計,たんさんがすそくていけい",anthracometer,0
"対人恐怖症,たいじんきょうふしょう",anthrophobia,0
"対人恐怖症,たいじんきょうふしょう",anthropophobia,0
"高射特科団,たかしゃとくかだん",Antiaircraft Artillery Brigade,0
