meanings,word,score
"大スター,だいすたー",A-lister,0
"脱臼,だっきゅう",abarticulation,0
"大修道院長,だいしゅうどういんちょう",abbate,0
"大修道院長,だいしゅうどういんちょう",abbess,0
"大修道院,だいしゅうどういん",abbey,0
"大修道院長,だいしゅうどういんちょう",abbot,0
"脱線,だっせん",aberration,0
"奪格,だつかく",ablative,0
"第一分隊,だいいちぶんたい",Able,0
"第4胃炎,だいよんいえん",abomasitis,0
"第4胃,だいよんい",abomasum,0
"唾棄,だき",abomination,0
"堕胎薬,だたいくすり",abortient,0
"堕胎薬,だたいくすり",abortifacient,0
"堕胎,だたい",abortion,0
"堕胎医,だたいい",abortionist,0
"堕胎薬,だたいくすり",abortiva,0
"堕胎薬,だたいくすり",abortivum,0
"堕胎医院,だたいいいん",abortuary,0
"断酒,だんさけ",abstinence,7
"大学連携推進課,だいがくれんけいすいしんか",Academia-Industry Cooperation Promotion Division,0
"大学の式服,だいがくのしきふく",academical,0
"ダニ目,だにめ",Acari,0
"ダニ目の動物,だにめのどうぶつ",acarian,0
"ダニ症,だにしょう",acariasis,0
"ダニ駆除剤,だにくじょざい",acaricide,0
"ダニ目の動物,だにめのどうぶつ",acarine,0
"ダニ皮膚炎,だにひふえん",acarodermatitis,0
"ダニ学者,だにがくしゃ",acarologist,0
"ダニ学,だにがく",acarology,0
"ダニ恐怖症,だにきょうふしょう",acarophobia,0
"妥当と見なすこと,だとうとみなすこと",acceptation,0
"男性の産科医,だんせいのさんかい",accoucheur,0
"第一人者,だいいちにんしゃ",ace,0
"脱毛,だつもう",acomia,0
"台石に載った装飾,だいいしにのったそうしょく",acroterion,0
"段,だん",act,0
"出し物,だしもの",act,0
"代理人としての行為,だいりにんとしてのこうい",act as an agent,0
"男優,だんゆう",actor,4
"ダハナ砂漠,だはなさばく",Ad Dahna,0
"ダム,だむ",Ad Dam,0
"ダワシル,だわしる",Ad Dawasir,0
"ダーメル,だーめる",Ad-Damer,0
"ダンマーム,だんまーむ",Ad-Dammam,0
"ダカリーヤ,だかりーや",Ad-Daqahliyah,0
"ダマガゼル,だまがぜる",addra,0
"妥当性,だとうせい",adequacy,0
"妥当性,だとうせい",adequateness,0
"断熱曲線,だんねつきょくせん",adiabat,0
"断熱曲線,だんねつきょくせん",adiabatic,0
"断熱性,だんねつせい",adiabaticity,0
"断熱材,だんねつざい",adiabator,0
"断熱性の,だんねつせいの",adiathermanous,0
"断熱性の,だんねつせいの",adiathermic,0
"第7日安息日再臨派,だいななにちあんそくびさいりんは",Adventist,0
"大規模小売店舗立地法相談室,だいきぼこうりてんほりっちほうしょうだんしつ",Advisory Office for Large-Scale Retail Stores Location Law,0
"断言する人,だんげんするにん",affirmant,0
"断言,だんげん",affirmation,0
"代理店,だいりてん",agency,0
"代理人,だいりにん",agency,0
"代理関係,だいりかんけい",agency,0
"代理店管理委員会,だいりてんかんりいいんかい",Agency Administration Board,0
"代理店審査委員会,だいりてんしんさいいんかい",Agency Investigation Panel,0
"代理人,だいりにん",agent,0
"代理店,だいりてん",agent,0
"代理人の職,だいりにんのしょく",agentry,0
"打歩,だほ",agio,0
"断片倍数性,だんぺんばいすうせい",agmatoploidy,0
"第四名,だいよんめい",agnomen,0
"大アイアス,だいあいあす",Aias,0
"大空港,だいくうこう",Airport,0
"大アイアス,だいあいあす",Ajax,0
"代数学,だいすうがく",al-jebr,0
"ダーフラ・オアシス,だーふら・おあしす",Al-Wahat ad-Dakhlah,0
"だまされやすい人,だまされやすいにん",Alec,0
"代数学,だいすうがく",algebra,0
"代数,だいすう",algebra,0
"代数学者,だいすうがくもの",algebraist,0
"団結,だんけつ",alignment,0
"大統領の陰謀,だいとうりょうのいんぼう",All the President's Men,0
"大統領の陰謀,だいとうりょうのいんぼう",All The President's Men,0
"断言,だんげん",allegation,0
"代償栄養,だいしょうえいよう",allogotrophia,0
"脱毛症,だつもうしょう",alopecia,0
"代役,だいやく",alternate,0
"代替要員,だいたいよういん",alternate,0
"代替手段,だいたいしゅだん",alternative,6
"男子の卒業生,だんしのそつぎょうせい",alumnus,0
"暖皮,だんかわ",amadou,0
"大花カリッサ,だいはなかりっさ",amatungula,0
"弾薬,だんやく",ammunition,7
"大ヘビ,だいへび",anaconda,0
"男性性徴欠乏,だんせいせいちょうけつぼう",anandria,0
"男性科,だんせいか",andriatrics,0
"男性科,だんせいか",andriatry,0
"男性中心主義,だんせいちゅうしんしゅぎ",androcentrism,0
"男性ホルモン,だんせいほるもん",androgen,0
"男性化,だんせいか",androgenization,0
"男女の区別がつかない人,だんじょのくべつがつかないにん",androgyne,0
"男女,だんじょ",androgyneity,0
"男性学の専門家,だんせいがくのせんもんか",andrologist,0
"男性病の専門医,だんせいやのせんもんい",andrologist,0
"男性病学,だんせいびょうがく",andrology,0
"男子性転換性愛,だんしせいてんかんせいあい",andromimetophilia,0
"男子部屋,だんしへや",andron,0
"男性疾患,だんせいしっかん",andropathy,0
"男性の更年期,だんせいのこうねんき",andropause,0
"男性恐怖症,だんせいきょうふしょう",androphobia,0
"男性化音声,だんせいかおんせい",androphonia,0
"脱水酵素,だっすいこうそ",anhydrase,0
"脱水,だっすい",anhydration,0
"ダム,だむ",anicut,0
"ダム,だむ",annicut,0
"打開案,だかいあん",answer,2
"大腿頸部前捻,だいたいけいぶまえねん",antetorsion,0
"ダンピング防止,だんぴんぐぼうし",anti-dumping,0
"脱塩素剤,だつえんそざい",antichlor,0
"男性上位主義,だんせいじょういしゅぎ",antifeminism,0
"大嫌いなもの,だいきらいなもの",antipathy,0
"ダーティファイター／燃えよ鉄拳,だーてぃふぁいたー／もえよてっけん",Any Which Way You Can,0
"誰とでもセックスする人,だれとでもせっくすするにん",anyone's,0
"大動脈,だいどうみゃく",aorta,0
"大動脈拡張,だいどうみゃくかくちょう",aortalgia,0
"大動脈拡張,だいどうみゃくかくちょう",aortectasia,0
"大動脈拡張症,だいどうみゃくかくちょうしょう",aortectasis,0
"大動脈切除,だいどうみゃくせつじょ",aortectomy,0
"大動脈炎,だいどうみゃくほのお",aortitis,0
