meanings,word,score
"超有名人,ちょうゆうめいじん",A-lister,0
"小さなガラス製タイル,ちいさながらすせいたいる",abaculus,0
"中止,ちゅうし",abatement,0
"父なる神,ちちなるかみ",Abba,0
"中止,ちゅうし",abeyance,0
"中断,ちゅうだん",abeyance,0
"鎮静剤,ちんせいざい",abirritant,0
"中止,ちゅうし",abort,0
"中断,ちゅうだん",abort,0
"中絶クリニック,ちゅうぜつくりにっく",abortuary,0
"チンチラネズミ,ちんちらねずみ",abrocome,0
"抽象的なもの,ちゅうしょうてきなもの",abstract,5
"抽象芸術,ちゅうしょうげいじゅつ",abstract,5
"抽出,ちゅうしゅつ",abstraction,0
"抽象,ちゅうしょう",abstraction,0
"抽象作用,ちゅうしょうさよう",abstraction,0
"抽象化,ちゅうしょうか",abstraction,0
"抽象芸術作品,ちゅうしょうげいじゅつさくひん",abstraction,0
"抽象的な考え方,ちゅうしょうてきなかんがえかた",abstraction,0
"抽象的概念,ちゅうしょうてきがいねん",abstraction,0
"抽象主義,ちゅうしょうしゅぎ",abstractionism,0
"抽象主義の,ちゅうしょうしゅぎの",abstractionist,0
"抽象性,ちゅうしょうせい",abstractiveness,0
"抽象性,ちゅうしょうせい",abstractness,0
"抽象的であること,ちゅうしょうてきであること",abstractness,0
"父,ちち",abu,0
"中毒,ちゅうどく",abuse,0
"中央研究院,ちゅうおうけんきゅういん",Academia Sinica,0
"近づき,ちかづき",access,0
"近づく方法,ちかづくほうほう",access,0
"近づく権利,ちかづくけんり",access,0
"近づきやすさ,ちかづきやすさ",accessibility,0
"調整,ちょうせい",accommodation,5
"調節,ちょうせつ",accommodation,5
"調節緊張症,ちょうせつきんちょうしょう",accommodotonia,0
"調和,ちょうわ",accord,0
"調和,ちょうわ",accordance,0
"蓄積,ちくせき",accumulation,0
"蓄積する人,ちくせきするにん",accumulator,0
"蓄圧タンク,ちくあつたんく",accumulator,0
"蓄圧器,ちくあつうつわ",accumulator,0
"蓄圧室,ちくあつしつ",accumulator,0
"蓄熱装置,ちくねつそうち",accumulator,0
"蓄財家,ちくざいいえ",accumulator,0
"蓄積者,ちくせきもの",accumulator,0
"血の土地,ちのとち",Aceldama,0
"鎮痛剤,ちんつうざい",acesodyne,0
"地下界,ちかかい",Acheron,0
"チョウザメ属,ちょうざめぞく",Acipenser,0
"チョウザメ科,ちょうざめか",Acipenseridae,0
"チョウザメ目,ちょうざめめ",Acipenseriformes,0
"頂点,ちょうてん",acme,0
