meanings,word,score
"ツチブタ,つちぶた",aardvark,0
"ツクバネウツギ属の低木,つくばねうつぎぞくのていぼく",abelia,0
"つっけんどんな性格,つっけんどんなせいかく",abrasiveness,0
"罪の赦し,つみのゆるし",absolution,0
"慎むこと,つつしむこと",abstention,0
"常在糸状虫症,つねざいいとじょうむししょう",acanthocheilonemiasis,0
"ツノカメムシ科,つのかめむしか",Acanthosomatidae,0
"追加,ついか",accession,0
"付従性,つきじゅうせい",accessoriness,0
"付きもの,つきもの",accompaniment,0
"付け合わせ,つけあわせ",accompaniment,0
"積み立て,つみたて",accumulation,0
"通知,つうち",acknowledgment,0
"追随者,ついずいもの",acolyte,0
"痛烈さ,つうれつさ",acridity,0
"辛さ,つらさ",acridity,0
"包皮炎,つつみかわほのお",acrobystitis,0
"包皮炎,つつみかわほのお",acroposthitis,0
"露盤,つゆばん",acroterium,0
"付け加えるもの,つけくわえるもの",add-on,0
"追加物,ついかもの",add-on,0
"追加,ついか",adding,0
"付け足すこと,つけたすこと",addition,4
"追加,ついか",addition,4
"追加物,ついかもの",addition,4
"追随者,ついずいもの",adherent,0
"追従者,ついじゅうもの",adulator,0
"強み,つよみ",advantage,4
"通知,つうち",advice,0
"通気装置,つうきそうち",aerater,0
"通気,つうき",aeration,0
"通気装置,つうきそうち",aerator,0
"通気組織,つうきそしき",aerenchyma,0
"鼓腸,つづみちょう",aerenterectasia,0
"通気膀胱鏡,つうきぼうこうかがみ",aerocystoscope,0
"通気膀胱鏡検査,つうきぼうこうかがみけんさ",aerocystoscopy,0
"翼,つばさ",aerofoil,0
"通気乳腺撮影,つうきちちせんさつえい",aeromammography,0
"付けること,つけること",affixing,0
"追熟,ついじゅく",afterripening,0
"粒団,つぶだん",aggregate,0
"痛風性疼痛,つうふうせいとうつう",agra,0
"つかむこと,つかむこと",ahold,0
"辛い,つらい",aigre,0
"ツンガル航空,つんがるこうくう",Air Tungaru,0
"翼,つばさ",airfoil,0
"通信時間,つうしんじかん",airtime,0
"通気坑道,つうきこうどう",airway,0
"通路,つうろ",aisle,0
"翼,つばさ",ala,0
"通知,つうち",alert,5
"痛覚脱失,つうかくだつしつ",alganesthesia,0
"痛覚,つうかく",algesia,0
"痛覚計,つうかくけい",algesimeter,0
"痛覚測定,つうかくそくてい",algesimetry,0
"痛覚計,つうかくけい",algesiometer,0
"痛覚受容器,つうかくじゅようき",algesiroreceptor,0
"痛覚,つうかく",algesthesia,0
"痛覚発生,つうかくはっせい",algogenesia,0
"痛覚発生,つうかくはっせい",algogenesis,0
"痛覚計,つうかくけい",algometer,0
"痛覚測定,つうかくそくてい",algometry,0
"痛覚愛好症,つうかくあいこうしょう",algophilia,0
"翼手動物,つばさしゅどうもの",aliped,0
"対異染色体,ついいせんしょくたい",allelochromosome,0
"翼膜,つばさまく",alula,0
"償い,つぐない",amends,0
"対がん米国合同委員会,ついがんべいこくごうどういいんかい",American Joint Committee on Cancer,0
"痛覚失象徴,つうかくしつしょうちょう",analgognosia,0
"追憶,ついおく",anamnesis,0
"追想,ついそう",Anastasia,0
"ツンベルギア・フラグランス,つんべるぎあ・ふらぐらんす",angelwings,0
"釣り人,つりびと",angler,6
"釣り師,つりし",angler,6
"釣り,つり",angling,0
"釣魚,つりさかな",angling,0
"対消滅,ついしょうめつ",annihilation,0
"つば,つば",annulus,0
"爪甲欠損,つめかぶとけっそん",anonychosis,0
"対合歯,ついごうは",antagonist,0
"次の間,つぎのかん",anteroom,0
"対耳輪,ついみみわ",anthelix,0
"ツノゴケ科,つのごけか",Anthocerotaceae,0
"ツノゴケ目,つのごけめ",Anthocerotales,0
"ツノゴケ植物門,つのごけしょくぶつもん",Anthocerotophyta,0
"ツノゴケ類,つのごけるい",Anthocerotopsida,0
"対陰極,ついいんきょく",anticathode,0
"対耳輪,ついみみわ",antihelix,0
"対妨信,ついぼうしん",antijamming,0
"痛覚抑制,つうかくよくせい",antinociception,0
"痛風治療薬,つうふうちりょうやく",antipodagric,0
"対掌体,ついてのひらからだ",antipode,0
"対テロリスト,ついてろりすと",antiterrorist,0
"対句法,ついくほう",antithesis,0
"対魚雷,ついぎょらい",antitorpedo,0
"対珠,ついしゅ",antitragus,0
"対型,ついかた",antitype,0
"ツヤコバチ科,つやこばちか",Aphelinidae,0
"追従者,ついじゅうもの",apple-polisher,0
"ツルモドキ科,つるもどきか",Aramidae,0
"つらさ,つらさ",arduousness,0
"通路,つうろ",areaway,0
"つづれ織りの壁掛け,つづれおりのかべかけ",arras,0
"追従者,ついじゅうもの",arse-licker,0
"痛風治療,つうふうちりょう",arthrifuge,0
"作り事,つくりこと",artifact,5
"追従者,ついじゅうもの",ass-kisser,0
"追従者,ついじゅうもの",ass-licker,0
"追想のかなた,ついそうのかなた",Assault,0
"つながり,つながり",association,4
"付き合い,つきあい",association,4
"詰め合わせ,つめあわせ",assortment,0
"ツチグリ科,つちぐりか",Astraeaceae,0
"罪深さ,つみふかさ",atheism,0
"ツルコケモモの類,つるこけもものるい",atoca,0
"ツルコケモモの実,つるこけもものみ",atoca,0
"罪滅ぼし,つみほろぼし",atonement,0
"償い,つぐない",atonement,0
"付け,つけ",attachment,6
"付き添い人,つきそいにん",attendant,0
"付き人,つきびと",attendant,0
"強く人目,つよくひとめ",attention-grabber,0
"剛勇,つよしいさみ",audacity,0
"対ミサイル用ミサイル,ついみさいるようみさいる",auntie,0
"通信速度自動選択,つうしんそくどじどうせんたく",auto-baud,0
"常染色体,つねせんしょくたい",autosome,0
"都合,つごう",availability,6
"通知,つうち",avertissement,0
"通報,つうほう",aviso,0
"通達,つうたつ",aviso,0
"通信艦,つうしんかん",aviso,0
"常衡,つねこう",avoirdupois,0
"常衡ドラム,つねこうどらむ",avoirdupois dram,0
"常衡ポンド,つねこうぽんど",avoirdupois pound,0
"ツツジ,つつじ",azalea,0
"積荷保証状,つみにほしょうじょう",back-letter,0
"追従者,ついじゅうもの",back-scratcher,0
"追従者,ついじゅうもの",back-scratching,0
"つまみ革,つまみかわ",backstrap,0
"つわものぶり,つわものぶり",badassery,0
"つまらないこと,つまらないこと",bagatelle,0
"梅雨,つゆ",Baiu,0
"釣り合い梁,つりあいはり",balance beam,0
"釣り合わせ,つりあわせ",balancing,0
"ツチトリモチ科,つちとりもちか",Balanophoraceae,0
"剣帯,つるぎおび",baldric,0
"剣帯,つるぎおび",baldrick,0
"つらい仕事,つらいしごと",ball-buster,0
"つらいこと,つらいこと",balls-ache,0
"艶消しの厚紙に焼き付けた写真,つやけししのあつがみにやきつけたしゃしん",balop,0
"ツリフネソウ科,つりふねそうか",Balsaminaceae,0
"追放,ついほう",ban,6
"追放,ついほう",banishment,0
"堆,つい",bank,1
"包頭,つつみあたま",Baotou,0
"包頭市,つつみあたまし",Baotou Shi,0
"積み重ねた大麦,つみかさねたおおむぎ",barleymow,0
"つるべ打ち,つるべうち",barrage,0
"付け根,つけね",base,0
"ツルムラサキ科,つるむらさきか",Basellaceae,0
"つえ,つえ",baton,0
"強く何度もたたくこと,つよくなんどもたたくこと",battery,0
"詰め物,つめもの",batting,0
"剣帯,つるぎおび",bauldrick,0
"ツゲ科,つげか",Baxaceae,0
"追従的な人物紹介,ついじゅうてきなじんぶつしょうかい",beat-sweetener,0
"槌打ち,つちうち",beater,0
"妻,つま",bedmate,0
"使い走り,つかいはしり",bellboy,0
"継ぎ手,つぎて",bend,6
"付け値,つけあたい",bid,0
"ツリガネカズラ属のつる性低木,つりがねかずらぞくのつるせいていぼく",bignonia,0
"剣玉,つるぎたま",bilboquet,0
"勤め口,つとめくち",billet,0
"つる,つる",bine,0
"痛飲する人,つういんするにん",binger,0
