meanings,word,score
"天窓,てんまど",abat-jour,0
"手ほどき,てほどき",ABC,0
"停止,ていし",abeyance,0
"撤廃,てっぱい",abolishment,0
"停止,ていし",abort,0
"天上,てんじょう",above,2
"摘要,てきよう",abstract,5
"適格者,てきかくしゃ",acceptee,0
"手形引受商社委員会,てがたひきうけしょうしゃいいんかい",Accepting House Committee,0
"手形引受人,てがたひきうけにん",acceptor,0
"適応,てきおう",accommodation,5
"適格性認定,てきかくせいにんてい",accreditation,7
"添加,てんか",accretion,0
"的確さ,てきかくさ",accuracy,0
"鉄めっき,てつめっき",acierage,0
"鉄による表面皮膜,てつによるひょうめんひまく",acieration,0
"手厳しさ,てきびしさ",acridity,0
"適応性,てきおうせい",adaptabilitas,0
"適応力,てきおうりょく",adaptability,0
"適応力があること,てきおうりょくがあること",adaptableness,0
"適合,てきごう",adaptation,7
"適応,てきおう",adaptation,7
"適応主義,てきおうしゅぎ",adaptationism,0
"適応主義者,てきおうしゅぎしゃ",adaptationist,0
"適応,てきおう",adaptedness,0
"適合させる人,てきごうさせるにん",adapter,0
"適応的動作,てきおうてきどうさ",adapter,0
"適応進化,てきおうしんか",adaptiogenesis,0
"適応性,てきおうせい",adaptivity,0
"適応力,てきおうりょく",adaptivity,0
"適応促進薬,てきおうそくしんくすり",adaptogen,0
"添加,てんか",addition,4
"添加物,てんかぶつ",additive,0
"添加剤,てんかざい",additive,0
"適切さ,てきせつさ",adequacy,0
"適切性,てきせつせい",adequacy,0
"適性,てきせい",adequacy,0
"適切さ,てきせつさ",adequateness,0
"適合性,てきごうせい",adequateness,0
"適用,てきよう",adhibition,0
"添加物,てんかぶつ",adjunct,0
"添加,てんか",adjunction,0
"適応能力,てきおうのうりょく",adjustability,0
"適応性,てきおうせい",adjustability,0
"訂正,ていせい",adjustment,0
"提督,ていとく",admiral,0
"手帳,てちょう",adversaria,0
"敵対主義,てきたいしゅぎ",adversarialism,0
"敵,てき",adversary,0
"敵対者,てきたいしゃ",adversary,0
"提唱者,ていしょうしゃ",advocate,6
"手おの,ておの",adz,0
"てらい,てらい",affectation,0
"提携,ていけい",affiliation,0
"添付物,てんぷもの",affix,0
"添加物,てんかぶつ",affix,0
"添加,てんか",affixture,0
"典礼,てんれい",agendum,0
"敵意,てきい",aggression,7
"的,てき",aim,0
"定期航空路,ていきこうくうろ",airway,0
"テナロン岬,てなろんみさき",Akra Tainaron,0
"徹夜の仕事,てつやのしごと",all-nighter,0
"提携,ていけい",alliance,0
"天命,てんめい",allotment,0
"手当,てあて",allowance,0
"手加減,てかげん",allowance,0
"定置網漁,ていちあみりょう",almadraba,0
"鉄礬柘榴石,てつばんざくろいし",almandine,0
"鉄礬柘榴石,てつばんざくろいし",almandite,0
"テッポウエビ科,てっぽうえびか",Alpheidae,0
"テランセラ,てらんせら",alternanthera,0
"テルミット法,てるみっとほう",aluminothermy,0
"テングタケ属のタケ,てんぐたけぞくのたけ",amanita,0
"テングタケ属,てんぐたけぞく",Amanita,0
"テングタケ科,てんぐたけか",Amanitaceae,0
"手投げ弾,てなげだん",ammunition,7
"停泊,ていはく",anchorage,0
"停泊地,ていはくち",anchorage,0
"停泊料,ていはくりょう",anchorage,0
"天使,てんし",angel,0
"天使像,てんしぞう",angel,0
"天使であること,てんしであること",angelhood,0
"天使たち,てんしたち",angelhood,0
"天使のような性質,てんしのようなせいしつ",angelhood,0
"天使崇拝,てんしすうはい",angelolatry,0
"天使論,てんしろん",angelology,0
"敵意,てきい",animosity,0
"敵対意識,てきたいいしき",animosity,0
"敵意,てきい",animus,0
"添付書類,てんぷしょるい",annex,7
"鉄雲母,てつうんも",Annite,0
"敵意,てきい",antagonism,0
"敵対,てきたい",antagonism,0
"敵対者,てきたいしゃ",antagonist,0
"輝安鉱,てるあんこう",antimonite,0
"抵抗勢力,ていこうせいりょく",antireformer,0
"テロ取締まり,てろとりしまりまり",antiterrorist,0
"抵抗力欠如,ていこうりょくけつじょ",aphylaxis,0
"テンジクダイ属,てんじくだいぞく",Apogon,0
"テンジクダイ科,てんじくだいか",Apogonidae,0
"テンジクダイ亜科,てんじくだいあか",Apogoninae,0
"丁寧な断り,ていねいなことわり",apology,0
"典型,てんけい",apotheosis,0
"手本,てほん",apotheosis,0
"体裁,ていさい",appearance,5
"適用性,てきようせい",applicability,0
"適用,てきよう",application,3
"提案,ていあん",approach,0
"適切性,てきせつせい",appropriateness,0
