meanings,word,score
"凸凹フランケンシュタインの巻,でこぼこふらんけんしゅたいんのかん",Abott And Costello Meet Frankenstein,0
"伝統主義,でんとうしゅぎ",academicism,0
"伝統主義,でんとうしゅぎ",academism,0
"できごと,できごと",Accident,0
"電気メス,でんきめす",acusector,0
"ディラム,でぃらむ",Ad-Dilam,0
"ディーワーニーヤ,でぃーわーにーや",Ad-Diwaniyah,0
"電子工学・電気通信諮問委員会,でんしこうがく・でんきつうしんしもんいいんかい",Advisory Committee for Electronics and Telecommunications,0
"電気器具および付属品諮問委員会,でんききぐおよびふぞくひんしもんいいんかい",Advisory Committee on Electrical Appliances and Accessories,0
"電気通信諮問委員会,でんきつうしんしもんいいんかい",Advisory Committee on Electronics and Telecommunications,0
"電離放射線の生体影響に関する諮問委員会,でんりほうしゃせんのせいたいえいきょうにかんするしもんいいんかい",Advisory Committee on the Biological Effect of Ionizing Radiations,0
"出来事,できごと",affair,0
"凸凹猛獣狩,でこぼこもうじゅうかり",Africa Scream,0
"デザート,でざーと",after,1
"田園狂,でんえんきょう",agromania,0
"ディーワーニーヤ,でぃーわーにーや",Al Diwaniyah,0
"電流計,でんりゅうけい",ammeter,0
"電流容量,でんりゅうようりょう",ampacity,0
"電流測定,でんりゅうそくてい",amperometry,0
"でんぷん形成,でんぷんけいせい",amylogenesis,0
"でんぷん分解,でんぷんぶんかい",amylolysis,0
"でんぷん葉,でんぷんは",amylophyll,0
"でんぷん破壊,でんぷんはかい",amylorrhexis,0
"でんぷん,でんぷん",amylum,0
"伝道に献身する人々の集団,でんどうにけんしんするひとびとのしゅうだん",apostolate,0
"伝達吏,でんたつり",apparitor,0
"電化製品,でんかせいひん",appliance,0
"電気器具,でんききぐ",appliance,0
"溺水性愛,できすいせいあい",aquaphilia,0
"電子水温自動制御装置,でんしすいおんじどうせいぎょそうち",aquatron,0
"電機子,でんきこ",armature,0
"電子データ検索特別委員会に対する協力諮問委員会,でんしでーたけんさくとくべついいんかいにたいするきょうりょくしもんいいんかい",Associate and Advisory Committee to the Special Committee on Electronic Data Retrieval,0
"電気工業連盟,でんきこうぎょうれんめい",Associated Electrical Industries,0
"データ処理・コンピューター管理協会,でーたしょり・こんぴゅーたーかんりきょうかい",Association for Data Processing and Computer Management,0
"デジタル・ミュージアム推進協議会,でじたる・みゅーじあむすいしんきょうぎかい",Association for Promotion of Digital Museum,0
"電池製造者協会,でんちせいぞうものきょうかい",Association of American Battery Manufacturers,0
"電子機器製造業者協会,でんしききせいぞうぎょうしゃきょうかい",Association of Electronic Manufacturers,0
"電気技術者管理者協会,でんきぎじゅつしゃかんりしゃきょうかい",Association of Supervising Electrical Engineers,0
"データ確認,でーたかくにん",authentication,0
"電子なだれ,でんしなだれ",avalanche,0
"でたらめ,でたらめ",baloney,0
"デメニギス,でめにぎす",barreleye,0
"出来損ない,できそこない",bastard,0
"デバネズミ科,でばねずみか",Bathyergidae,0
"電池,でんち",battery,0
"できる限り海岸で時間を過ごす人,できるかぎりかいがんでじかんをすごすにん",beach-bum,0
"でぶ,でぶ",beefy,0
"泥酔,でいすい",befuddlement,0
"電鈴,でんれい",bell,0
"電話をかけること,でんわをかけること",bell,0
"殿下とパリの美女,でんかとぱりのびじょ",Bertie And the Crime of Passion,0
"殿下と七つの死体,でんかとななつのしたい",Bertie And the Seven Bodies,0
"殿下と騎手,でんかときしゅ",Bertie and the Tin Man,0
"伝記,でんき",bio,0
"伝記ミュージカル,でんきみゅーじかる",bio-musical,0
"伝記ドラマ,でんきどらま",biodrama,0
"伝記映画,でんきえいが",bioflick,0
"伝記テレビ番組,でんきてれびばんぐみ",bioflick,0
"伝記作家,でんきさっか",biographer,0
"伝記,でんき",biography,0
"伝記映画,でんきえいが",biopic,0
"でたらめ,でたらめ",blague,0
"電波妨害,でんぱぼうがい",blanketing,0
"でぶ,でぶ",blimp,0
"電撃戦,でんげきせん",blitzkrieg,0
"でぶ,でぶ",blob,0
"できもの,できもの",blotch,0
"泥酔,でいすい",blotto,0
"電話,でんわ",blower,0
"でたらめ,でたらめ",bologna,0
"伝爆薬,でんばくやく",booster,0
"でかぱい,でかぱい",bra-buster,0
"電信技手,でんしんわざて",brass-pounder,0
"電報オペレータ,でんぽうおぺれーた",brass-pounder,0
"伝統との断絶,でんとうとのだんぜつ",break with tradition,0
"臀部,でんぶ",breech,0
